,date,beds,cases,vacc,cases_7day
0,2020-04-01,246.0,112.0,0.0,112.0
1,2020-04-02,237.0,196.0,0.0,154.0
2,2020-04-03,277.0,235.0,0.0,181.0
3,2020-04-04,330.0,121.0,0.0,166.0
4,2020-04-05,281.0,178.0,0.0,168.4
5,2020-04-06,310.0,173.0,0.0,169.16666666666666
6,2020-04-07,405.0,229.0,0.0,177.71428571428572
7,2020-04-08,505.0,306.0,0.0,205.42857142857142
8,2020-04-09,475.0,340.0,0.0,226.0
9,2020-04-10,439.0,158.0,0.0,215.0
10,2020-04-11,432.0,234.0,0.0,231.14285714285714
11,2020-04-12,426.0,321.0,0.0,251.57142857142858
12,2020-04-13,537.0,202.0,0.0,255.71428571428572
13,2020-04-14,662.0,171.0,0.0,247.42857142857142
14,2020-04-15,499.0,265.0,0.0,241.57142857142858
15,2020-04-16,466.0,158.0,0.0,215.57142857142858
16,2020-04-17,449.0,92.0,0.0,206.14285714285714
17,2020-04-18,391.0,230.0,0.0,205.57142857142858
18,2020-04-19,421.0,190.0,0.0,186.85714285714286
19,2020-04-20,543.0,184.0,0.0,184.28571428571428
20,2020-04-21,429.0,241.0,0.0,194.28571428571428
21,2020-04-22,429.0,289.0,0.0,197.71428571428572
22,2020-04-23,367.0,206.0,0.0,204.57142857142858
23,2020-04-24,343.0,192.0,0.0,218.85714285714286
24,2020-04-25,358.0,182.0,0.0,212.0
25,2020-04-26,360.0,201.0,0.0,213.57142857142858
26,2020-04-27,402.0,146.0,0.0,208.14285714285714
27,2020-04-28,387.0,199.0,0.0,202.14285714285714
28,2020-04-29,452.0,159.0,0.0,183.57142857142858
29,2020-04-30,416.0,207.0,0.0,183.71428571428572
30,2020-05-01,434.0,254.0,0.0,192.57142857142858
31,2020-05-02,444.0,260.0,0.0,203.71428571428572
32,2020-05-03,374.0,278.0,0.0,214.71428571428572
33,2020-05-04,389.0,225.0,0.0,226.0
34,2020-05-05,410.0,317.0,0.0,242.85714285714286
35,2020-05-06,402.0,248.0,0.0,255.57142857142858
36,2020-05-07,414.0,344.0,0.0,275.14285714285717
37,2020-05-08,390.0,321.0,0.0,284.7142857142857
38,2020-05-09,366.0,283.0,0.0,288.0
39,2020-05-10,373.0,260.0,0.0,285.42857142857144
40,2020-05-11,399.0,280.0,0.0,293.2857142857143
41,2020-05-12,406.0,305.0,0.0,291.57142857142856
42,2020-05-13,405.0,255.0,0.0,292.57142857142856
43,2020-05-14,392.0,339.0,0.0,291.85714285714283
44,2020-05-15,382.0,332.0,0.0,293.42857142857144
45,2020-05-16,375.0,334.0,0.0,300.7142857142857
46,2020-05-17,376.0,309.0,0.0,307.7142857142857
47,2020-05-18,392.0,299.0,0.0,310.42857142857144
48,2020-05-19,376.0,386.0,0.0,322.0
