,date,beds,cases,vacc,cases_7day
0,2020-04-01,182.0,54.0,0.0,54.0
1,2020-04-02,179.0,65.0,0.0,59.5
2,2020-04-03,183.0,59.0,0.0,59.333333333333336
3,2020-04-04,182.0,5.0,0.0,45.75
4,2020-04-05,198.0,110.0,0.0,58.6
5,2020-04-06,164.0,62.0,0.0,59.166666666666664
6,2020-04-07,196.0,78.0,0.0,61.857142857142854
7,2020-04-08,211.0,78.0,0.0,65.28571428571429
8,2020-04-09,224.0,56.0,0.0,64.0
9,2020-04-10,216.0,75.0,0.0,66.28571428571429
10,2020-04-11,135.0,32.0,0.0,70.14285714285714
11,2020-04-12,123.0,73.0,0.0,64.85714285714286
12,2020-04-13,120.0,103.0,0.0,70.71428571428571
13,2020-04-14,131.0,88.0,0.0,72.14285714285714
14,2020-04-15,165.0,85.0,0.0,73.14285714285714
15,2020-04-16,152.0,52.0,0.0,72.57142857142857
16,2020-04-17,174.0,67.0,0.0,71.42857142857143
17,2020-04-18,175.0,75.0,0.0,77.57142857142857
18,2020-04-19,172.0,4.0,0.0,67.71428571428571
19,2020-04-20,133.0,183.0,0.0,79.14285714285714
20,2020-04-21,140.0,298.0,0.0,109.14285714285714
21,2020-04-22,156.0,19.0,0.0,99.71428571428571
22,2020-04-23,260.0,184.0,0.0,118.57142857142857
23,2020-04-24,196.0,345.0,0.0,158.28571428571428
24,2020-04-25,180.0,99.0,0.0,161.71428571428572
25,2020-04-26,159.0,32.0,0.0,165.71428571428572
26,2020-04-27,161.0,114.0,0.0,155.85714285714286
27,2020-04-28,185.0,66.0,0.0,122.71428571428571
28,2020-04-29,151.0,71.0,0.0,130.14285714285714
29,2020-04-30,158.0,63.0,0.0,112.85714285714286
30,2020-05-01,136.0,55.0,0.0,71.42857142857143
31,2020-05-02,137.0,62.0,0.0,66.14285714285714
32,2020-05-03,158.0,59.0,0.0,70.0
33,2020-05-04,170.0,38.0,0.0,59.142857142857146
34,2020-05-05,172.0,27.0,0.0,53.57142857142857
35,2020-05-06,147.0,115.0,0.0,59.857142857142854
36,2020-05-07,327.0,54.0,0.0,58.57142857142857
37,2020-05-08,157.0,82.0,0.0,62.42857142857143
38,2020-05-09,159.0,237.0,0.0,87.42857142857143
39,2020-05-10,151.0,0.0,0.0,79.0
40,2020-05-11,139.0,59.0,0.0,82.0
41,2020-05-12,160.0,121.0,0.0,95.42857142857143
42,2020-05-13,157.0,72.0,0.0,89.28571428571429
43,2020-05-14,172.0,112.0,0.0,97.57142857142857
44,2020-05-15,180.0,115.0,0.0,102.28571428571429
45,2020-05-16,174.0,115.0,0.0,84.85714285714286
46,2020-05-17,153.0,181.0,0.0,110.71428571428571
47,2020-05-18,194.0,54.0,0.0,110.0
48,2020-05-19,206.0,110.0,0.0,108.42857142857143
49,2020-05-20,170.0,80.0,0.0,109.57142857142857
50,2020-05-21,189.0,455.0,0.0,158.57142857142858
51,2020-05-22,201.0,154.0,0.0,164.14285714285714
52,2020-05-23,168.0,163.0,0.0,171.0
53,2020-05-24,180.0,147.0,0.0,166.14285714285714
54,2020-05-25,198.0,107.0,0.0,173.71428571428572
55,2020-05-26,223.0,151.0,0.0,179.57142857142858
56,2020-05-27,187.0,97.0,0.0,182.0
57,2020-05-28,230.0,261.0,0.0,154.28571428571428
58,2020-05-29,220.0,239.0,0.0,166.42857142857142
59,2020-05-30,203.0,236.0,0.0,176.85714285714286
60,2020-05-31,201.0,240.0,0.0,190.14285714285714
61,2020-06-01,230.0,190.0,0.0,202.0
