,date,beds,cases,vacc,cases_7day
0,2020-04-01,116.0,385.0,0.0,385.0
1,2020-04-02,97.0,403.0,0.0,394.0
2,2020-04-03,107.0,450.0,0.0,412.6666666666667
3,2020-04-04,97.0,390.0,0.0,407.0
4,2020-04-05,104.0,388.0,0.0,403.2
5,2020-04-06,112.0,225.0,0.0,373.5
6,2020-04-07,117.0,269.0,0.0,358.57142857142856
7,2020-04-08,140.0,264.0,0.0,341.2857142857143
8,2020-04-09,121.0,552.0,0.0,362.57142857142856
9,2020-04-10,118.0,368.0,0.0,350.85714285714283
10,2020-04-11,117.0,438.0,0.0,357.7142857142857
11,2020-04-12,125.0,437.0,0.0,364.7142857142857
12,2020-04-13,147.0,383.0,0.0,387.2857142857143
13,2020-04-14,521.0,293.0,0.0,390.7142857142857
14,2020-04-15,483.0,316.0,0.0,398.14285714285717
15,2020-04-16,540.0,421.0,0.0,379.42857142857144
16,2020-04-17,480.0,352.0,0.0,377.14285714285717
17,2020-04-18,388.0,422.0,0.0,374.85714285714283
18,2020-04-19,399.0,271.0,0.0,351.14285714285717
19,2020-04-20,428.0,316.0,0.0,341.57142857142856
20,2020-04-21,569.0,301.0,0.0,342.7142857142857
21,2020-04-22,582.0,466.0,0.0,364.14285714285717
22,2020-04-23,622.0,404.0,0.0,361.7142857142857
23,2020-04-24,636.0,971.0,0.0,450.14285714285717
24,2020-04-25,583.0,710.0,0.0,491.2857142857143
25,2020-04-26,564.0,491.0,0.0,522.7142857142857
26,2020-04-27,578.0,436.0,0.0,539.8571428571429
27,2020-04-28,608.0,495.0,0.0,567.5714285714286
28,2020-04-29,569.0,436.0,0.0,563.2857142857143
29,2020-04-30,575.0,847.0,0.0,626.5714285714286
30,2020-05-01,567.0,460.0,0.0,553.5714285714286
31,2020-05-02,568.0,465.0,0.0,518.5714285714286
32,2020-05-03,570.0,410.0,0.0,507.0
33,2020-05-04,586.0,247.0,0.0,480.0
34,2020-05-05,500.0,368.0,0.0,461.85714285714283
35,2020-05-06,502.0,398.0,0.0,456.42857142857144
36,2020-05-07,498.0,451.0,0.0,399.85714285714283
37,2020-05-08,488.0,461.0,0.0,400.0
38,2020-05-09,472.0,551.0,0.0,412.2857142857143
39,2020-05-10,459.0,359.0,0.0,405.0
40,2020-05-11,496.0,220.0,0.0,401.14285714285717
41,2020-05-12,789.0,252.0,0.0,384.57142857142856
42,2020-05-13,786.0,299.0,0.0,370.42857142857144
43,2020-05-14,764.0,439.0,0.0,368.7142857142857
44,2020-05-15,770.0,416.0,0.0,362.2857142857143
45,2020-05-16,729.0,433.0,0.0,345.42857142857144
46,2020-05-17,387.0,332.0,0.0,341.57142857142856
47,2020-05-18,426.0,221.0,0.0,341.7142857142857
48,2020-05-19,424.0,277.0,0.0,345.2857142857143
49,2020-05-20,408.0,289.0,0.0,343.85714285714283
50,2020-05-21,382.0,375.0,0.0,334.7142857142857
51,2020-05-22,365.0,308.0,0.0,319.2857142857143
52,2020-05-23,336.0,462.0,0.0,323.42857142857144
53,2020-05-24,352.0,226.0,0.0,308.2857142857143
54,2020-05-25,343.0,269.0,0.0,315.14285714285717
55,2020-05-26,350.0,306.0,0.0,319.2857142857143
56,2020-05-27,336.0,205.0,0.0,307.2857142857143
57,2020-05-28,337.0,286.0,0.0,294.57142857142856
58,2020-05-29,295.0,346.0,0.0,300.0
59,2020-05-30,271.0,488.0,0.0,303.7142857142857
60,2020-05-31,268.0,305.0,0.0,315.0
61,2020-06-01,277.0,152.0,0.0,298.2857142857143
62,2020-06-02,359.0,214.0,0.0,285.14285714285717
63,2020-06-03,342.0,247.0,0.0,291.14285714285717
64,2020-06-04,318.0,307.0,0.0,294.14285714285717
65,2020-06-05,305.0,276.0,0.0,284.14285714285717
66,2020-06-06,282.0,240.0,0.0,248.71428571428572
67,2020-06-07,211.0,164.0,0.0,228.57142857142858
68,2020-06-08,341.0,133.0,0.0,225.85714285714286
69,2020-06-09,362.0,183.0,0.0,221.42857142857142
70,2020-06-10,364.0,133.0,0.0,205.14285714285714
71,2020-06-11,346.0,124.0,0.0,179.0
72,2020-06-12,339.0,236.0,0.0,173.28571428571428
73,2020-06-13,285.0,232.0,0.0,172.14285714285714
74,2020-06-14,257.0,120.0,0.0,165.85714285714286
75,2020-06-15,313.0,132.0,0.0,165.71428571428572
76,2020-06-16,270.0,141.0,0.0,159.71428571428572
77,2020-06-17,266.0,252.0,0.0,176.71428571428572
78,2020-06-18,254.0,256.0,0.0,195.57142857142858
79,2020-06-19,245.0,346.0,0.0,211.28571428571428
80,2020-06-20,200.0,180.0,0.0,203.85714285714286
81,2020-06-21,191.0,206.0,0.0,216.14285714285714
82,2020-06-22,191.0,142.0,0.0,217.57142857142858
83,2020-06-23,173.0,195.0,0.0,225.28571428571428
84,2020-06-24,176.0,257.0,0.0,226.0
85,2020-06-25,185.0,259.0,0.0,226.42857142857142
86,2020-06-26,173.0,326.0,0.0,223.57142857142858
87,2020-06-27,158.0,286.0,0.0,238.71428571428572
88,2020-06-28,166.0,293.0,0.0,251.14285714285714
89,2020-06-29,189.0,167.0,0.0,254.71428571428572
90,2020-06-30,185.0,217.0,0.0,257.85714285714283
91,2020-07-01,190.0,289.0,0.0,262.42857142857144
92,2020-07-02,236.0,395.0,0.0,281.85714285714283
93,2020-07-03,252.0,367.0,0.0,287.7142857142857
94,2020-07-04,251.0,296.0,0.0,289.14285714285717
95,2020-07-05,245.0,227.0,0.0,279.7142857142857
96,2020-07-06,325.0,186.0,0.0,282.42857142857144
97,2020-07-07,283.0,390.0,0.0,307.14285714285717
98,2020-07-08,238.0,356.0,0.0,316.7142857142857
99,2020-07-09,242.0,410.0,0.0,318.85714285714283
100,2020-07-10,220.0,633.0,0.0,356.85714285714283
101,2020-07-11,205.0,450.0,0.0,378.85714285714283
102,2020-07-12,204.0,374.0,0.0,399.85714285714283
103,2020-07-13,203.0,369.0,0.0,426.0
104,2020-07-14,215.0,422.0,0.0,430.57142857142856
105,2020-07-15,308.0,414.0,0.0,438.85714285714283
106,2020-07-16,549.0,596.0,0.0,465.42857142857144
107,2020-07-17,445.0,587.0,0.0,458.85714285714283
108,2020-07-18,440.0,525.0,0.0,469.57142857142856
109,2020-07-19,411.0,369.0,0.0,468.85714285714283
110,2020-07-20,426.0,427.0,0.0,477.14285714285717
111,2020-07-21,423.0,558.0,0.0,496.57142857142856
112,2020-07-22,401.0,622.0,0.0,526.2857142857143
113,2020-07-23,438.0,608.0,0.0,528.0
114,2020-07-24,492.0,719.0,0.0,546.8571428571429
115,2020-07-25,547.0,802.0,0.0,586.4285714285714
116,2020-07-26,451.0,582.0,0.0,616.8571428571429
117,2020-07-27,493.0,200.0,0.0,584.4285714285714
118,2020-07-28,485.0,881.0,0.0,630.5714285714286
119,2020-07-29,472.0,496.0,0.0,612.5714285714286
120,2020-07-30,464.0,466.0,0.0,592.2857142857143
121,2020-07-31,452.0,594.0,0.0,574.4285714285714
122,2020-08-01,494.0,549.0,0.0,538.2857142857143
123,2020-08-02,499.0,433.0,0.0,517.0
124,2020-08-03,396.0,250.0,0.0,524.1428571428571
125,2020-08-04,448.0,529.0,0.0,473.85714285714283
126,2020-08-05,392.0,546.0,0.0,481.0
127,2020-08-06,404.0,409.0,0.0,472.85714285714283
128,2020-08-07,415.0,443.0,0.0,451.2857142857143
129,2020-08-08,423.0,454.0,0.0,437.7142857142857
130,2020-08-09,426.0,304.0,0.0,419.2857142857143
131,2020-08-10,422.0,297.0,0.0,426.0
132,2020-08-11,403.0,295.0,0.0,392.57142857142856
133,2020-08-12,404.0,242.0,0.0,349.14285714285717
