,date,beds,cases,vacc,cases_7day
0,2020-04-01,388.0,429.0,0.0,429.0
1,2020-04-02,431.0,267.0,0.0,348.0
2,2020-04-03,433.0,1091.0,0.0,595.6666666666666
3,2020-04-04,395.0,361.0,0.0,537.0
4,2020-04-05,422.0,399.0,0.0,509.4
5,2020-04-06,494.0,1231.0,0.0,629.6666666666666
6,2020-04-07,465.0,875.0,0.0,664.7142857142857
7,2020-04-08,457.0,1000.0,0.0,746.2857142857143
8,2020-04-09,476.0,1003.0,0.0,851.4285714285714
9,2020-04-10,493.0,347.0,0.0,745.1428571428571
10,2020-04-11,484.0,1379.0,0.0,890.5714285714286
11,2020-04-12,500.0,525.0,0.0,908.5714285714286
12,2020-04-13,559.0,1346.0,0.0,925.0
13,2020-04-14,595.0,608.0,0.0,886.8571428571429
14,2020-04-15,587.0,766.0,0.0,853.4285714285714
15,2020-04-16,566.0,1129.0,0.0,871.4285714285714
16,2020-04-17,527.0,925.0,0.0,954.0
17,2020-04-18,516.0,741.0,0.0,862.8571428571429
18,2020-04-19,495.0,412.0,0.0,846.7142857142857
19,2020-04-20,759.0,1853.0,0.0,919.1428571428571
20,2020-04-21,2230.0,545.0,0.0,910.1428571428571
21,2020-04-22,2275.0,2109.0,0.0,1102.0
22,2020-04-23,2264.0,631.0,0.0,1030.857142857143
23,2020-04-24,2243.0,821.0,0.0,1016.0
24,2020-04-25,2153.0,661.0,0.0,1004.5714285714286
25,2020-04-26,2111.0,687.0,0.0,1043.857142857143
26,2020-04-27,2062.0,728.0,0.0,883.1428571428571
27,2020-04-28,2076.0,315.0,0.0,850.2857142857143
28,2020-04-29,2006.0,455.0,0.0,614.0
29,2020-04-30,1940.0,933.0,0.0,657.1428571428571
30,2020-05-01,1895.0,1064.0,0.0,691.8571428571429
31,2020-05-02,1946.0,523.0,0.0,672.1428571428571
32,2020-05-03,1922.0,25.0,0.0,577.5714285714286
33,2020-05-04,1930.0,661.0,0.0,568.0
34,2020-05-05,1947.0,648.0,0.0,615.5714285714286
35,2020-05-06,1834.0,374.0,0.0,604.0
36,2020-05-07,1761.0,789.0,0.0,583.4285714285714
37,2020-05-08,1722.0,627.0,0.0,521.0
38,2020-05-09,1734.0,573.0,0.0,528.1428571428571
39,2020-05-10,1605.0,570.0,0.0,606.0
40,2020-05-11,1576.0,211.0,0.0,541.7142857142857
41,2020-05-12,1622.0,568.0,0.0,530.2857142857143
42,2020-05-13,1595.0,522.0,0.0,551.4285714285714
43,2020-05-14,1475.0,609.0,0.0,525.7142857142857
44,2020-05-15,1435.0,621.0,0.0,524.8571428571429
45,2020-05-16,1386.0,618.0,0.0,531.2857142857143
46,2020-05-17,1330.0,716.0,0.0,552.1428571428571
47,2020-05-18,1375.0,697.0,0.0,621.5714285714286
48,2020-05-19,1334.0,314.0,0.0,585.2857142857143
49,2020-05-20,1204.0,587.0,0.0,594.5714285714286
50,2020-05-21,1172.0,191.0,0.0,534.8571428571429
51,2020-05-22,1120.0,432.0,0.0,507.85714285714283
52,2020-05-23,1102.0,382.0,0.0,474.14285714285717
53,2020-05-24,1109.0,446.0,0.0,435.57142857142856
54,2020-05-25,1112.0,405.0,0.0,393.85714285714283
55,2020-05-26,1127.0,430.0,0.0,410.42857142857144
56,2020-05-27,1225.0,-15.0,0.0,324.42857142857144
57,2020-05-28,1138.0,271.0,0.0,335.85714285714283
58,2020-05-29,792.0,203.0,0.0,303.14285714285717
59,2020-05-30,738.0,260.0,0.0,285.7142857142857
60,2020-05-31,682.0,179.0,0.0,247.57142857142858
61,2020-06-01,676.0,539.0,0.0,266.7142857142857
62,2020-06-02,630.0,239.0,0.0,239.42857142857142
63,2020-06-03,592.0,112.0,0.0,257.57142857142856
64,2020-06-04,581.0,148.0,0.0,240.0
65,2020-06-05,553.0,221.0,0.0,242.57142857142858
66,2020-06-06,555.0,358.0,0.0,256.57142857142856
67,2020-06-07,550.0,150.0,0.0,252.42857142857142
68,2020-06-08,488.0,124.0,0.0,193.14285714285714
69,2020-06-09,453.0,87.0,0.0,171.42857142857142
70,2020-06-10,478.0,168.0,0.0,179.42857142857142
71,2020-06-11,433.0,114.0,0.0,174.57142857142858
72,2020-06-12,430.0,228.0,0.0,175.57142857142858
73,2020-06-13,373.0,305.0,0.0,168.0
74,2020-06-14,386.0,94.0,0.0,160.0
75,2020-06-15,411.0,147.0,0.0,163.28571428571428
76,2020-06-16,398.0,114.0,0.0,167.14285714285714
77,2020-06-17,379.0,80.0,0.0,154.57142857142858
78,2020-06-18,381.0,11.0,0.0,139.85714285714286
79,2020-06-19,346.0,117.0,0.0,124.0
80,2020-06-20,318.0,158.0,0.0,103.0
81,2020-06-21,330.0,40.0,0.0,95.28571428571429
82,2020-06-22,321.0,27.0,0.0,78.14285714285714
83,2020-06-23,328.0,117.0,0.0,78.57142857142857
84,2020-06-24,335.0,14.0,0.0,69.14285714285714
