,date,beds,cases,vacc,cases_7day
0,2020-04-01,149.0,91.0,0.0,91.0
1,2020-04-02,185.0,67.0,0.0,79.0
2,2020-04-03,181.0,104.0,0.0,87.33333333333333
3,2020-04-04,159.0,145.0,0.0,101.75
4,2020-04-05,184.0,96.0,0.0,100.6
5,2020-04-06,204.0,99.0,0.0,100.33333333333333
6,2020-04-07,210.0,114.0,0.0,102.28571428571429
7,2020-04-08,231.0,229.0,0.0,122.0
8,2020-04-09,235.0,83.0,0.0,124.28571428571429
9,2020-04-10,229.0,137.0,0.0,129.0
10,2020-04-11,223.0,118.0,0.0,125.14285714285714
11,2020-04-12,218.0,97.0,0.0,125.28571428571429
12,2020-04-13,240.0,80.0,0.0,122.57142857142857
13,2020-04-14,339.0,103.0,0.0,121.0
14,2020-04-15,357.0,139.0,0.0,108.14285714285714
15,2020-04-16,368.0,153.0,0.0,118.14285714285714
16,2020-04-17,373.0,126.0,0.0,116.57142857142857
17,2020-04-18,385.0,190.0,0.0,126.85714285714286
18,2020-04-19,405.0,127.0,0.0,131.14285714285714
19,2020-04-20,457.0,134.0,0.0,138.85714285714286
20,2020-04-21,477.0,171.0,0.0,148.57142857142858
21,2020-04-22,495.0,108.0,0.0,144.14285714285714
22,2020-04-23,468.0,155.0,0.0,144.42857142857142
23,2020-04-24,465.0,167.0,0.0,150.28571428571428
24,2020-04-25,447.0,171.0,0.0,147.57142857142858
25,2020-04-26,462.0,142.0,0.0,149.71428571428572
26,2020-04-27,413.0,51.0,0.0,137.85714285714286
27,2020-04-28,439.0,102.0,0.0,128.0
28,2020-04-29,498.0,112.0,0.0,128.57142857142858
29,2020-04-30,499.0,217.0,0.0,137.42857142857142
30,2020-05-01,530.0,335.0,0.0,161.42857142857142
31,2020-05-02,517.0,139.0,0.0,156.85714285714286
32,2020-05-03,521.0,219.0,0.0,167.85714285714286
33,2020-05-04,526.0,154.0,0.0,182.57142857142858
34,2020-05-05,525.0,152.0,0.0,189.71428571428572
35,2020-05-06,523.0,139.0,0.0,193.57142857142858
