,date,beds,cases,vacc,cases_7day
0,2020-04-01,56.0,37.0,0.0,37.0
1,2020-04-02,59.0,32.0,0.0,34.5
2,2020-04-03,117.0,172.0,0.0,80.33333333333333
3,2020-04-04,88.0,60.0,0.0,75.25
4,2020-04-05,83.0,71.0,0.0,74.4
5,2020-04-06,89.0,94.0,0.0,77.66666666666667
6,2020-04-07,96.0,226.0,0.0,98.85714285714286
7,2020-04-08,108.0,115.0,0.0,110.0
8,2020-04-09,129.0,99.0,0.0,119.57142857142857
9,2020-04-10,134.0,154.0,0.0,117.0
10,2020-04-11,120.0,138.0,0.0,128.14285714285714
11,2020-04-12,124.0,108.0,0.0,133.42857142857142
12,2020-04-13,136.0,146.0,0.0,140.85714285714286
13,2020-04-14,254.0,195.0,0.0,136.42857142857142
14,2020-04-15,243.0,62.0,0.0,128.85714285714286
15,2020-04-16,256.0,113.0,0.0,130.85714285714286
16,2020-04-17,269.0,286.0,0.0,149.71428571428572
17,2020-04-18,280.0,118.0,0.0,146.85714285714286
18,2020-04-19,285.0,202.0,0.0,160.28571428571428
19,2020-04-20,316.0,188.0,0.0,166.28571428571428
20,2020-04-21,314.0,278.0,0.0,178.14285714285714
21,2020-04-22,336.0,128.0,0.0,187.57142857142858
22,2020-04-23,319.0,143.0,0.0,191.85714285714286
23,2020-04-24,339.0,136.0,0.0,170.42857142857142
24,2020-04-25,356.0,456.0,0.0,218.71428571428572
25,2020-04-26,350.0,130.0,0.0,208.42857142857142
26,2020-04-27,352.0,403.0,0.0,239.14285714285714
27,2020-04-28,344.0,108.0,0.0,214.85714285714286
28,2020-04-29,317.0,38.0,0.0,202.0
29,2020-04-30,311.0,196.0,0.0,209.57142857142858
30,2020-05-01,331.0,131.0,0.0,208.85714285714286
31,2020-05-02,316.0,151.0,0.0,165.28571428571428
32,2020-05-03,309.0,302.0,0.0,189.85714285714286
33,2020-05-04,340.0,216.0,0.0,163.14285714285714
34,2020-05-05,331.0,165.0,0.0,171.28571428571428
35,2020-05-06,327.0,191.0,0.0,193.14285714285714
36,2020-05-07,351.0,174.0,0.0,190.0
37,2020-05-08,325.0,166.0,0.0,195.0
38,2020-05-09,312.0,123.0,0.0,191.0
39,2020-05-10,297.0,487.0,0.0,217.42857142857142
40,2020-05-11,302.0,116.0,0.0,203.14285714285714
41,2020-05-12,331.0,66.0,0.0,189.0
42,2020-05-13,295.0,62.0,0.0,170.57142857142858
43,2020-05-14,291.0,119.0,0.0,162.71428571428572
44,2020-05-15,274.0,447.0,0.0,202.85714285714286
45,2020-05-16,267.0,139.0,0.0,205.14285714285714
46,2020-05-17,271.0,189.0,0.0,162.57142857142858
47,2020-05-18,267.0,110.0,0.0,161.71428571428572
48,2020-05-19,264.0,76.0,0.0,163.14285714285714
49,2020-05-20,254.0,100.0,0.0,168.57142857142858
50,2020-05-21,247.0,132.0,0.0,170.42857142857142
51,2020-05-22,237.0,111.0,0.0,122.42857142857143
52,2020-05-23,244.0,135.0,0.0,121.85714285714286
53,2020-05-24,235.0,157.0,0.0,117.28571428571429
54,2020-05-25,236.0,94.0,0.0,115.0
55,2020-05-26,233.0,35.0,0.0,109.14285714285714
56,2020-05-27,227.0,76.0,0.0,105.71428571428571
57,2020-05-28,210.0,81.0,0.0,98.42857142857143
58,2020-05-29,222.0,157.0,0.0,105.0
59,2020-05-30,199.0,70.0,0.0,95.71428571428571
60,2020-05-31,191.0,127.0,0.0,91.42857142857143
61,2020-06-01,190.0,58.0,0.0,86.28571428571429
62,2020-06-02,175.0,36.0,0.0,86.42857142857143
63,2020-06-03,164.0,43.0,0.0,81.71428571428571
64,2020-06-04,164.0,58.0,0.0,78.42857142857143
65,2020-06-05,165.0,76.0,0.0,66.85714285714286
66,2020-06-06,158.0,81.0,0.0,68.42857142857143
67,2020-06-07,167.0,46.0,0.0,56.857142857142854
68,2020-06-08,170.0,53.0,0.0,56.142857142857146
69,2020-06-09,165.0,36.0,0.0,56.142857142857146
70,2020-06-10,164.0,69.0,0.0,59.857142857142854
71,2020-06-11,159.0,56.0,0.0,59.57142857142857
72,2020-06-12,137.0,60.0,0.0,57.285714285714285
73,2020-06-13,140.0,42.0,0.0,51.714285714285715
74,2020-06-14,139.0,76.0,0.0,56.0
75,2020-06-15,140.0,60.0,0.0,57.0
76,2020-06-16,130.0,47.0,0.0,58.57142857142857
77,2020-06-17,134.0,63.0,0.0,57.714285714285715
78,2020-06-18,132.0,40.0,0.0,55.42857142857143
79,2020-06-19,127.0,49.0,0.0,53.857142857142854
80,2020-06-20,121.0,89.0,0.0,60.57142857142857
81,2020-06-21,126.0,45.0,0.0,56.142857142857146
82,2020-06-22,130.0,47.0,0.0,54.285714285714285
83,2020-06-23,122.0,44.0,0.0,53.857142857142854
84,2020-06-24,130.0,98.0,0.0,58.857142857142854
85,2020-06-25,121.0,84.0,0.0,65.14285714285714
86,2020-06-26,117.0,111.0,0.0,74.0
87,2020-06-27,104.0,134.0,0.0,80.42857142857143
88,2020-06-28,98.0,156.0,0.0,96.28571428571429
89,2020-06-29,101.0,80.0,0.0,101.0
90,2020-06-30,103.0,40.0,0.0,100.42857142857143
91,2020-07-01,99.0,186.0,0.0,113.0
92,2020-07-02,96.0,158.0,0.0,123.57142857142857
93,2020-07-03,97.0,74.0,0.0,118.28571428571429
94,2020-07-04,96.0,207.0,0.0,128.71428571428572
95,2020-07-05,93.0,111.0,0.0,122.28571428571429
96,2020-07-06,106.0,119.0,0.0,127.85714285714286
97,2020-07-07,107.0,54.0,0.0,129.85714285714286
98,2020-07-08,118.0,74.0,0.0,113.85714285714286
99,2020-07-09,105.0,143.0,0.0,111.71428571428571
100,2020-07-10,105.0,114.0,0.0,117.42857142857143
101,2020-07-11,88.0,217.0,0.0,118.85714285714286
102,2020-07-12,86.0,179.0,0.0,128.57142857142858
103,2020-07-13,88.0,125.0,0.0,129.42857142857142
104,2020-07-14,84.0,94.0,0.0,135.14285714285714
105,2020-07-15,149.0,79.0,0.0,135.85714285714286
106,2020-07-16,150.0,126.0,0.0,133.42857142857142
107,2020-07-17,144.0,79.0,0.0,128.42857142857142
108,2020-07-18,292.0,85.0,0.0,109.57142857142857
109,2020-07-19,131.0,115.0,0.0,100.42857142857143
110,2020-07-20,152.0,144.0,0.0,103.14285714285714
111,2020-07-21,144.0,59.0,0.0,98.14285714285714
112,2020-07-22,159.0,149.0,0.0,108.14285714285714
