,date,beds,cases,vacc,cases_7day
0,2020-04-01,30.0,28.0,0.0,28.0
1,2020-04-02,34.0,39.0,0.0,33.5
2,2020-04-03,29.0,23.0,0.0,30.0
3,2020-04-04,29.0,15.0,0.0,26.25
4,2020-04-05,27.0,18.0,0.0,24.6
5,2020-04-06,24.0,22.0,0.0,24.166666666666668
6,2020-04-07,30.0,21.0,0.0,23.714285714285715
7,2020-04-08,23.0,9.0,0.0,21.0
8,2020-04-09,24.0,11.0,0.0,17.0
9,2020-04-10,25.0,20.0,0.0,16.571428571428573
10,2020-04-11,22.0,14.0,0.0,16.428571428571427
11,2020-04-12,21.0,4.0,0.0,14.428571428571429
12,2020-04-13,21.0,6.0,0.0,12.142857142857142
13,2020-04-14,29.0,11.0,0.0,10.714285714285714
14,2020-04-15,24.0,11.0,0.0,11.0
15,2020-04-16,22.0,9.0,0.0,10.714285714285714
16,2020-04-17,23.0,20.0,0.0,10.714285714285714
17,2020-04-18,28.0,8.0,0.0,9.857142857142858
18,2020-04-19,21.0,4.0,0.0,9.857142857142858
19,2020-04-20,19.0,2.0,0.0,9.285714285714286
20,2020-04-21,33.0,6.0,0.0,8.571428571428571
21,2020-04-22,24.0,5.0,0.0,7.714285714285714
22,2020-04-23,38.0,3.0,0.0,6.857142857142857
23,2020-04-24,27.0,2.0,0.0,4.285714285714286
24,2020-04-25,34.0,2.0,0.0,3.4285714285714284
25,2020-04-26,19.0,1.0,0.0,3.0
26,2020-04-27,19.0,1.0,0.0,2.857142857142857
27,2020-04-28,16.0,4.0,0.0,2.5714285714285716
28,2020-04-29,25.0,4.0,0.0,2.4285714285714284
29,2020-04-30,28.0,1.0,0.0,2.142857142857143
30,2020-05-01,20.0,0.0,0.0,1.8571428571428572
31,2020-05-02,17.0,3.0,0.0,2.0
32,2020-05-03,29.0,1.0,0.0,2.0
33,2020-05-04,18.0,3.0,0.0,2.2857142857142856
34,2020-05-05,43.0,1.0,0.0,1.8571428571428572
35,2020-05-06,27.0,2.0,0.0,1.5714285714285714
36,2020-05-07,23.0,0.0,0.0,1.4285714285714286
37,2020-05-08,23.0,2.0,0.0,1.7142857142857142
38,2020-05-09,24.0,1.0,0.0,1.4285714285714286
39,2020-05-10,16.0,2.0,0.0,1.5714285714285714
40,2020-05-11,22.0,1.0,0.0,1.2857142857142858
41,2020-05-12,48.0,3.0,0.0,1.5714285714285714
42,2020-05-13,10.0,0.0,0.0,1.2857142857142858
43,2020-05-14,17.0,0.0,0.0,1.2857142857142858
44,2020-05-15,17.0,2.0,0.0,1.2857142857142858
45,2020-05-16,14.0,1.0,0.0,1.2857142857142858
46,2020-05-17,7.0,0.0,0.0,1.0
47,2020-05-18,11.0,1.0,0.0,1.0
48,2020-05-19,21.0,1.0,0.0,0.7142857142857143
49,2020-05-20,19.0,4.0,0.0,1.2857142857142858
50,2020-05-21,16.0,0.0,0.0,1.2857142857142858
51,2020-05-22,20.0,1.0,0.0,1.1428571428571428
52,2020-05-23,13.0,0.0,0.0,1.0
53,2020-05-24,15.0,0.0,0.0,1.0
54,2020-05-25,13.0,0.0,0.0,0.8571428571428571
55,2020-05-26,7.0,0.0,0.0,0.7142857142857143
56,2020-05-27,2.0,2.0,0.0,0.42857142857142855
57,2020-05-28,2.0,3.0,0.0,0.8571428571428571
58,2020-05-29,7.0,3.0,0.0,1.1428571428571428
59,2020-05-30,4.0,0.0,0.0,1.1428571428571428
60,2020-05-31,2.0,0.0,0.0,1.1428571428571428
61,2020-06-01,3.0,1.0,0.0,1.2857142857142858
62,2020-06-02,6.0,1.0,0.0,1.4285714285714286
63,2020-06-03,7.0,1.0,0.0,1.2857142857142858
64,2020-06-04,6.0,6.0,0.0,1.7142857142857142
65,2020-06-05,18.0,8.0,0.0,2.4285714285714284
66,2020-06-06,4.0,1.0,0.0,2.5714285714285716
67,2020-06-07,3.0,1.0,0.0,2.7142857142857144
68,2020-06-08,19.0,6.0,0.0,3.4285714285714284
69,2020-06-09,6.0,4.0,0.0,3.857142857142857
70,2020-06-10,0.0,6.0,0.0,4.571428571428571
71,2020-06-11,7.0,15.0,0.0,5.857142857142857
72,2020-06-12,91.0,17.0,0.0,7.142857142857143
73,2020-06-13,5.0,5.0,0.0,7.714285714285714
74,2020-06-14,8.0,8.0,0.0,8.714285714285714
75,2020-06-15,9.0,3.0,0.0,8.285714285714286
76,2020-06-16,16.0,5.0,0.0,8.428571428571429
77,2020-06-17,20.0,18.0,0.0,10.142857142857142
78,2020-06-18,13.0,26.0,0.0,11.714285714285714
79,2020-06-19,16.0,12.0,0.0,11.0
80,2020-06-20,19.0,10.0,0.0,11.714285714285714
81,2020-06-21,22.0,4.0,0.0,11.142857142857142
82,2020-06-22,21.0,3.0,0.0,11.142857142857142
83,2020-06-23,20.0,13.0,0.0,12.285714285714286
84,2020-06-24,21.0,15.0,0.0,11.857142857142858
85,2020-06-25,17.0,16.0,0.0,10.428571428571429
86,2020-06-26,20.0,6.0,0.0,9.571428571428571
87,2020-06-27,18.0,26.0,0.0,11.857142857142858
88,2020-06-28,20.0,2.0,0.0,11.571428571428571
89,2020-06-29,16.0,18.0,0.0,13.714285714285714
90,2020-06-30,18.0,7.0,0.0,12.857142857142858
91,2020-07-01,23.0,20.0,0.0,13.571428571428571
92,2020-07-02,11.0,28.0,0.0,15.285714285714286
93,2020-07-03,21.0,24.0,0.0,17.857142857142858
94,2020-07-04,15.0,25.0,0.0,17.714285714285715
95,2020-07-05,17.0,7.0,0.0,18.428571428571427
96,2020-07-06,30.0,41.0,0.0,21.714285714285715
97,2020-07-07,19.0,22.0,0.0,23.857142857142858
98,2020-07-08,19.0,34.0,0.0,25.857142857142858
99,2020-07-09,20.0,27.0,0.0,25.714285714285715
100,2020-07-10,18.0,41.0,0.0,28.142857142857142
101,2020-07-11,26.0,20.0,0.0,27.428571428571427
102,2020-07-12,24.0,20.0,0.0,29.285714285714285
103,2020-07-13,12.0,22.0,0.0,26.571428571428573
104,2020-07-14,25.0,28.0,0.0,27.428571428571427
105,2020-07-15,46.0,19.0,0.0,25.285714285714285
106,2020-07-16,53.0,23.0,0.0,24.714285714285715
107,2020-07-17,44.0,19.0,0.0,21.571428571428573
108,2020-07-18,52.0,28.0,0.0,22.714285714285715
109,2020-07-19,50.0,12.0,0.0,21.571428571428573
110,2020-07-20,55.0,24.0,0.0,21.857142857142858
111,2020-07-21,55.0,17.0,0.0,20.285714285714285
112,2020-07-22,59.0,54.0,0.0,25.285714285714285
113,2020-07-23,65.0,58.0,0.0,30.285714285714285
114,2020-07-24,51.0,70.0,0.0,37.57142857142857
115,2020-07-25,39.0,64.0,0.0,42.714285714285715
116,2020-07-26,48.0,28.0,0.0,45.0
117,2020-07-27,62.0,47.0,0.0,48.285714285714285
118,2020-07-28,69.0,110.0,0.0,61.57142857142857
119,2020-07-29,78.0,123.0,0.0,71.42857142857143
120,2020-07-30,79.0,122.0,0.0,80.57142857142857
121,2020-07-31,81.0,87.0,0.0,83.0
122,2020-08-01,70.0,45.0,0.0,80.28571428571429
123,2020-08-02,78.0,207.0,0.0,105.85714285714286
124,2020-08-03,90.0,143.0,0.0,119.57142857142857
125,2020-08-04,117.0,171.0,0.0,128.28571428571428
126,2020-08-05,128.0,149.0,0.0,132.0
127,2020-08-06,159.0,201.0,0.0,143.28571428571428
128,2020-08-07,153.0,229.0,0.0,163.57142857142858
129,2020-08-08,140.0,151.0,0.0,178.71428571428572
130,2020-08-09,149.0,140.0,0.0,169.14285714285714
131,2020-08-10,178.0,120.0,0.0,165.85714285714286
132,2020-08-11,167.0,199.0,0.0,169.85714285714286
133,2020-08-12,179.0,353.0,0.0,199.0
134,2020-08-13,180.0,232.0,0.0,203.42857142857142
135,2020-08-14,174.0,283.0,0.0,211.14285714285714
136,2020-08-15,173.0,219.0,0.0,220.85714285714286
137,2020-08-16,146.0,174.0,0.0,225.71428571428572
138,2020-08-17,201.0,134.0,0.0,227.71428571428572
139,2020-08-18,217.0,261.0,0.0,236.57142857142858
140,2020-08-19,204.0,235.0,0.0,219.71428571428572
141,2020-08-20,222.0,230.0,0.0,219.42857142857142
142,2020-08-21,229.0,280.0,0.0,219.0
143,2020-08-22,220.0,247.0,0.0,223.0
144,2020-08-23,234.0,169.0,0.0,222.28571428571428
145,2020-08-24,267.0,215.0,0.0,233.85714285714286
146,2020-08-25,279.0,275.0,0.0,235.85714285714286
147,2020-08-26,289.0,306.0,0.0,246.0
148,2020-08-27,263.0,263.0,0.0,250.71428571428572
149,2020-08-28,266.0,310.0,0.0,255.0
150,2020-08-29,227.0,200.0,0.0,248.28571428571428
