,date,beds,cases,vacc,cases_7day
0,2020-04-01,693.0,406.0,0.0,406.0
1,2020-04-02,699.0,474.0,0.0,440.0
2,2020-04-03,805.0,418.0,0.0,432.6666666666667
3,2020-04-04,923.0,496.0,0.0,448.5
4,2020-04-05,891.0,458.0,0.0,450.4
5,2020-04-06,890.0,533.0,0.0,464.1666666666667
6,2020-04-07,1009.0,563.0,0.0,478.2857142857143
7,2020-04-08,1112.0,436.0,0.0,482.57142857142856
8,2020-04-09,1031.0,408.0,0.0,473.14285714285717
9,2020-04-10,931.0,556.0,0.0,492.85714285714283
10,2020-04-11,830.0,528.0,0.0,497.42857142857144
11,2020-04-12,799.0,493.0,0.0,502.42857142857144
12,2020-04-13,1194.0,308.0,0.0,470.2857142857143
13,2020-04-14,1262.0,291.0,0.0,431.42857142857144
14,2020-04-15,1216.0,428.0,0.0,430.2857142857143
15,2020-04-16,1153.0,587.0,0.0,455.85714285714283
16,2020-04-17,1066.0,612.0,0.0,463.85714285714283
17,2020-04-18,949.0,487.0,0.0,458.0
18,2020-04-19,931.0,569.0,0.0,468.85714285714283
19,2020-04-20,985.0,476.0,0.0,492.85714285714283
20,2020-04-21,973.0,411.0,0.0,510.0
21,2020-04-22,884.0,341.0,0.0,497.57142857142856
22,2020-04-23,915.0,601.0,0.0,499.57142857142856
23,2020-04-24,923.0,641.0,0.0,503.7142857142857
24,2020-04-25,918.0,715.0,0.0,536.2857142857143
25,2020-04-26,840.0,617.0,0.0,543.1428571428571
26,2020-04-27,862.0,949.0,0.0,610.7142857142857
27,2020-04-28,786.0,627.0,0.0,641.5714285714286
28,2020-04-29,1406.0,594.0,0.0,677.7142857142857
29,2020-04-30,1421.0,653.0,0.0,685.1428571428571
30,2020-05-01,1405.0,795.0,0.0,707.1428571428571
31,2020-05-02,1286.0,665.0,0.0,700.0
32,2020-05-03,1264.0,638.0,0.0,703.0
33,2020-05-04,1434.0,574.0,0.0,649.4285714285714
34,2020-05-05,1477.0,526.0,0.0,635.0
35,2020-05-06,1444.0,837.0,0.0,669.7142857142857
36,2020-05-07,1332.0,633.0,0.0,666.8571428571429
37,2020-05-08,1199.0,643.0,0.0,645.1428571428571
38,2020-05-09,1225.0,586.0,0.0,633.8571428571429
39,2020-05-10,1191.0,394.0,0.0,599.0
40,2020-05-11,1286.0,501.0,0.0,588.5714285714286
41,2020-05-12,1324.0,500.0,0.0,584.8571428571429
42,2020-05-13,1342.0,346.0,0.0,514.7142857142857
43,2020-05-14,1298.0,580.0,0.0,507.14285714285717
44,2020-05-15,1238.0,602.0,0.0,501.2857142857143
45,2020-05-16,1129.0,625.0,0.0,506.85714285714283
46,2020-05-17,1159.0,498.0,0.0,521.7142857142857
47,2020-05-18,1170.0,477.0,0.0,518.2857142857143
48,2020-05-19,1190.0,450.0,0.0,511.14285714285717
49,2020-05-20,1135.0,569.0,0.0,543.0
50,2020-05-21,1103.0,662.0,0.0,554.7142857142857
51,2020-05-22,1086.0,473.0,0.0,536.2857142857143
52,2020-05-23,1034.0,492.0,0.0,517.2857142857143
53,2020-05-24,1000.0,475.0,0.0,514.0
54,2020-05-25,1003.0,339.0,0.0,494.2857142857143
55,2020-05-26,1083.0,363.0,0.0,481.85714285714283
56,2020-05-27,1042.0,359.0,0.0,451.85714285714283
57,2020-05-28,1035.0,631.0,0.0,447.42857142857144
58,2020-05-29,960.0,490.0,0.0,449.85714285714283
59,2020-05-30,919.0,653.0,0.0,472.85714285714283
60,2020-05-31,908.0,363.0,0.0,456.85714285714283
61,2020-06-01,918.0,256.0,0.0,445.0
62,2020-06-02,936.0,407.0,0.0,451.2857142857143
63,2020-06-03,901.0,475.0,0.0,467.85714285714283
64,2020-06-04,882.0,384.0,0.0,432.57142857142856
65,2020-06-05,836.0,482.0,0.0,431.42857142857144
66,2020-06-06,811.0,419.0,0.0,398.0
67,2020-06-07,759.0,400.0,0.0,403.2857142857143
68,2020-06-08,792.0,226.0,0.0,399.0
69,2020-06-09,821.0,410.0,0.0,399.42857142857144
70,2020-06-10,866.0,304.0,0.0,375.0
71,2020-06-11,842.0,411.0,0.0,378.85714285714283
72,2020-06-12,832.0,398.0,0.0,366.85714285714283
73,2020-06-13,779.0,397.0,0.0,363.7142857142857
74,2020-06-14,680.0,366.0,0.0,358.85714285714283
75,2020-06-15,825.0,521.0,0.0,401.0
76,2020-06-16,735.0,356.0,0.0,393.2857142857143
77,2020-06-17,750.0,227.0,0.0,382.2857142857143
78,2020-06-18,705.0,425.0,0.0,384.2857142857143
79,2020-06-19,679.0,308.0,0.0,371.42857142857144
80,2020-06-20,731.0,315.0,0.0,359.7142857142857
81,2020-06-21,659.0,362.0,0.0,359.14285714285717
82,2020-06-22,671.0,210.0,0.0,314.7142857142857
83,2020-06-23,677.0,238.0,0.0,297.85714285714283
84,2020-06-24,709.0,269.0,0.0,303.85714285714283
85,2020-06-25,688.0,515.0,0.0,316.7142857142857
86,2020-06-26,604.0,485.0,0.0,342.0
87,2020-06-27,573.0,435.0,0.0,359.14285714285717
88,2020-06-28,575.0,355.0,0.0,358.14285714285717
89,2020-06-29,668.0,298.0,0.0,370.7142857142857
90,2020-06-30,650.0,366.0,0.0,389.0
91,2020-07-01,617.0,358.0,0.0,401.7142857142857
92,2020-07-02,631.0,435.0,0.0,390.2857142857143
93,2020-07-03,610.0,528.0,0.0,396.42857142857144
94,2020-07-04,605.0,517.0,0.0,408.14285714285717
95,2020-07-05,558.0,576.0,0.0,439.7142857142857
96,2020-07-06,616.0,323.0,0.0,443.2857142857143
97,2020-07-07,651.0,295.0,0.0,433.14285714285717
98,2020-07-08,653.0,437.0,0.0,444.42857142857144
99,2020-07-09,690.0,512.0,0.0,455.42857142857144
100,2020-07-10,707.0,725.0,0.0,483.57142857142856
101,2020-07-11,672.0,779.0,0.0,521.0
102,2020-07-12,679.0,533.0,0.0,514.8571428571429
103,2020-07-13,777.0,425.0,0.0,529.4285714285714
104,2020-07-14,784.0,648.0,0.0,579.8571428571429
105,2020-07-15,1028.0,685.0,0.0,615.2857142857143
106,2020-07-16,1211.0,710.0,0.0,643.5714285714286
107,2020-07-17,1236.0,733.0,0.0,644.7142857142857
108,2020-07-18,937.0,841.0,0.0,653.5714285714286
109,2020-07-19,892.0,917.0,0.0,708.4285714285714
110,2020-07-20,776.0,635.0,0.0,738.4285714285714
111,2020-07-21,1040.0,710.0,0.0,747.2857142857143
112,2020-07-22,696.0,757.0,0.0,757.5714285714286
113,2020-07-23,790.0,929.0,0.0,788.8571428571429
114,2020-07-24,763.0,996.0,0.0,826.4285714285714
115,2020-07-25,844.0,922.0,0.0,838.0
116,2020-07-26,776.0,852.0,0.0,828.7142857142857
117,2020-07-27,814.0,535.0,0.0,814.4285714285714
118,2020-07-28,817.0,771.0,0.0,823.1428571428571
119,2020-07-29,795.0,621.0,0.0,803.7142857142857
120,2020-07-30,823.0,954.0,0.0,807.2857142857143
121,2020-07-31,979.0,901.0,0.0,793.7142857142857
122,2020-08-01,962.0,968.0,0.0,800.2857142857143
123,2020-08-02,961.0,735.0,0.0,783.5714285714286
124,2020-08-03,960.0,576.0,0.0,789.4285714285714
125,2020-08-04,914.0,822.0,0.0,796.7142857142857
126,2020-08-05,981.0,720.0,0.0,810.8571428571429
127,2020-08-06,937.0,1040.0,0.0,823.1428571428571
128,2020-08-07,940.0,1239.0,0.0,871.4285714285714
129,2020-08-08,945.0,1033.0,0.0,880.7142857142857
130,2020-08-09,903.0,1041.0,0.0,924.4285714285714
131,2020-08-10,942.0,664.0,0.0,937.0
132,2020-08-11,926.0,870.0,0.0,943.8571428571429
133,2020-08-12,966.0,660.0,0.0,935.2857142857143
134,2020-08-13,894.0,1043.0,0.0,935.7142857142857
135,2020-08-14,920.0,1067.0,0.0,911.1428571428571
136,2020-08-15,949.0,1044.0,0.0,912.7142857142857
137,2020-08-16,942.0,739.0,0.0,869.5714285714286
138,2020-08-17,867.0,591.0,0.0,859.1428571428571
139,2020-08-18,841.0,841.0,0.0,855.0
140,2020-08-19,918.0,489.0,0.0,830.5714285714286
141,2020-08-20,861.0,941.0,0.0,816.0
142,2020-08-21,886.0,1040.0,0.0,812.1428571428571
143,2020-08-22,886.0,1000.0,0.0,805.8571428571429
144,2020-08-23,901.0,615.0,0.0,788.1428571428571
145,2020-08-24,981.0,1660.0,0.0,940.8571428571429
146,2020-08-25,940.0,829.0,0.0,939.1428571428571
147,2020-08-26,877.0,938.0,0.0,1003.2857142857143
148,2020-08-27,858.0,1145.0,0.0,1032.4285714285713
149,2020-08-28,856.0,809.0,0.0,999.4285714285714
150,2020-08-29,807.0,1121.0,0.0,1016.7142857142857
151,2020-08-30,860.0,879.0,0.0,1054.4285714285713
152,2020-08-31,825.0,883.0,0.0,943.4285714285714
