,date,beds,cases,vacc,cases_7day
0,2020-04-01,166.0,130.0,0.0,130.0
1,2020-04-02,282.0,113.0,0.0,121.5
2,2020-04-03,316.0,148.0,0.0,130.33333333333334
3,2020-04-04,323.0,99.0,0.0,122.5
4,2020-04-05,322.0,103.0,0.0,118.6
5,2020-04-06,367.0,70.0,0.0,110.5
6,2020-04-07,342.0,124.0,0.0,112.42857142857143
7,2020-04-08,372.0,175.0,0.0,118.85714285714286
8,2020-04-09,380.0,135.0,0.0,122.0
9,2020-04-10,397.0,68.0,0.0,110.57142857142857
10,2020-04-11,368.0,82.0,0.0,108.14285714285714
11,2020-04-12,368.0,94.0,0.0,106.85714285714286
12,2020-04-13,716.0,75.0,0.0,107.57142857142857
13,2020-04-14,704.0,124.0,0.0,107.57142857142857
14,2020-04-15,418.0,124.0,0.0,100.28571428571429
15,2020-04-16,391.0,104.0,0.0,95.85714285714286
16,2020-04-17,383.0,97.0,0.0,100.0
17,2020-04-18,315.0,114.0,0.0,104.57142857142857
18,2020-04-19,316.0,126.0,0.0,109.14285714285714
19,2020-04-20,412.0,137.0,0.0,118.0
20,2020-04-21,402.0,100.0,0.0,114.57142857142857
21,2020-04-22,416.0,213.0,0.0,127.28571428571429
22,2020-04-23,412.0,157.0,0.0,134.85714285714286
23,2020-04-24,478.0,179.0,0.0,146.57142857142858
24,2020-04-25,482.0,211.0,0.0,160.42857142857142
25,2020-04-26,489.0,202.0,0.0,171.28571428571428
26,2020-04-27,488.0,131.0,0.0,170.42857142857142
27,2020-04-28,519.0,127.0,0.0,174.28571428571428
28,2020-04-29,534.0,254.0,0.0,180.14285714285714
29,2020-04-30,509.0,208.0,0.0,187.42857142857142
30,2020-05-01,489.0,311.0,0.0,206.28571428571428
31,2020-05-02,479.0,232.0,0.0,209.28571428571428
32,2020-05-03,504.0,135.0,0.0,199.71428571428572
33,2020-05-04,534.0,124.0,0.0,198.71428571428572
34,2020-05-05,557.0,274.0,0.0,219.71428571428572
35,2020-05-06,454.0,233.0,0.0,216.71428571428572
36,2020-05-07,468.0,180.0,0.0,212.71428571428572
37,2020-05-08,500.0,186.0,0.0,194.85714285714286
38,2020-05-09,414.0,182.0,0.0,187.71428571428572
39,2020-05-10,383.0,124.0,0.0,186.14285714285714
40,2020-05-11,375.0,108.0,0.0,183.85714285714286
41,2020-05-12,575.0,196.0,0.0,172.71428571428572
42,2020-05-13,491.0,274.0,0.0,178.57142857142858
43,2020-05-14,522.0,202.0,0.0,181.71428571428572
