,date,beds,cases,vacc,cases_7day
0,2020-04-01,75.0,41.0,0.0,41.0
1,2020-04-02,70.0,32.0,0.0,36.5
2,2020-04-03,83.0,56.0,0.0,43.0
3,2020-04-04,90.0,24.0,0.0,38.25
4,2020-04-05,83.0,14.0,0.0,33.4
5,2020-04-06,96.0,29.0,0.0,32.666666666666664
6,2020-04-07,96.0,20.0,0.0,30.857142857142858
7,2020-04-08,91.0,18.0,0.0,27.571428571428573
8,2020-04-09,93.0,23.0,0.0,26.285714285714285
9,2020-04-10,85.0,23.0,0.0,21.571428571428573
10,2020-04-11,88.0,33.0,0.0,22.857142857142858
11,2020-04-12,95.0,17.0,0.0,23.285714285714285
12,2020-04-13,92.0,65.0,0.0,28.428571428571427
13,2020-04-14,97.0,36.0,0.0,30.714285714285715
14,2020-04-15,105.0,36.0,0.0,33.285714285714285
15,2020-04-16,115.0,26.0,0.0,33.714285714285715
16,2020-04-17,84.0,31.0,0.0,34.857142857142854
17,2020-04-18,84.0,20.0,0.0,33.0
18,2020-04-19,77.0,20.0,0.0,33.42857142857143
19,2020-04-20,95.0,8.0,0.0,25.285714285714285
20,2020-04-21,72.0,13.0,0.0,22.0
21,2020-04-22,77.0,19.0,0.0,19.571428571428573
22,2020-04-23,87.0,30.0,0.0,20.142857142857142
23,2020-04-24,77.0,28.0,0.0,19.714285714285715
24,2020-04-25,89.0,25.0,0.0,20.428571428571427
25,2020-04-26,83.0,33.0,0.0,22.285714285714285
26,2020-04-27,85.0,17.0,0.0,23.571428571428573
27,2020-04-28,70.0,16.0,0.0,24.0
28,2020-04-29,70.0,39.0,0.0,26.857142857142858
29,2020-04-30,72.0,28.0,0.0,26.571428571428573
30,2020-05-01,67.0,0.0,0.0,22.571428571428573
31,2020-05-02,70.0,29.0,0.0,23.142857142857142
32,2020-05-03,73.0,53.0,0.0,26.0
33,2020-05-04,66.0,21.0,0.0,26.571428571428573
34,2020-05-05,67.0,28.0,0.0,28.285714285714285
35,2020-05-06,59.0,0.0,0.0,22.714285714285715
36,2020-05-07,74.0,120.0,0.0,35.857142857142854
37,2020-05-08,76.0,0.0,0.0,35.857142857142854
38,2020-05-09,64.0,60.0,0.0,40.285714285714285
