,date,beds,cases,vacc,cases_7day
0,2020-04-01,1606.0,1690.0,0.0,1690.0
1,2020-04-02,2268.0,1218.0,0.0,1454.0
2,2020-04-03,2449.0,1296.0,0.0,1401.3333333333333
3,2020-04-04,2710.0,1084.0,0.0,1322.0
4,2020-04-05,2818.0,924.0,0.0,1242.4
5,2020-04-06,2960.0,1458.0,0.0,1278.3333333333333
6,2020-04-07,3046.0,1316.0,0.0,1283.7142857142858
7,2020-04-08,3015.0,1221.0,0.0,1216.7142857142858
8,2020-04-09,3007.0,1112.0,0.0,1201.5714285714287
9,2020-04-10,2890.0,1157.0,0.0,1181.7142857142858
10,2020-04-11,2811.0,903.0,0.0,1155.857142857143
11,2020-04-12,2805.0,733.0,0.0,1128.5714285714287
12,2020-04-13,3009.0,1165.0,0.0,1086.7142857142858
13,2020-04-14,4375.0,1056.0,0.0,1049.5714285714287
14,2020-04-15,4154.0,1055.0,0.0,1025.857142857143
15,2020-04-16,3973.0,1135.0,0.0,1029.142857142857
16,2020-04-17,3868.0,1019.0,0.0,1009.4285714285714
17,2020-04-18,3816.0,833.0,0.0,999.4285714285714
18,2020-04-19,3847.0,616.0,0.0,982.7142857142857
19,2020-04-20,3936.0,1133.0,0.0,978.1428571428571
20,2020-04-21,3878.0,1402.0,0.0,1027.5714285714287
21,2020-04-22,3421.0,1479.0,0.0,1088.142857142857
22,2020-04-23,3320.0,1284.0,0.0,1109.4285714285713
23,2020-04-24,3300.0,1380.0,0.0,1161.0
24,2020-04-25,3130.0,693.0,0.0,1141.0
25,2020-04-26,3068.0,657.0,0.0,1146.857142857143
26,2020-04-27,3030.0,1261.0,0.0,1165.142857142857
27,2020-04-28,3068.0,1218.0,0.0,1138.857142857143
28,2020-04-29,2993.0,1458.0,0.0,1135.857142857143
29,2020-04-30,2844.0,1576.0,0.0,1177.5714285714287
30,2020-05-01,2677.0,1171.0,0.0,1147.7142857142858
31,2020-05-02,2397.0,686.0,0.0,1146.7142857142858
32,2020-05-03,2397.0,501.0,0.0,1124.4285714285713
33,2020-05-04,2398.0,1470.0,0.0,1154.2857142857142
34,2020-05-05,2264.0,1444.0,0.0,1186.5714285714287
35,2020-05-06,2228.0,1482.0,0.0,1190.0
36,2020-05-07,2105.0,1256.0,0.0,1144.2857142857142
37,2020-05-08,2031.0,2848.0,0.0,1383.857142857143
38,2020-05-09,1922.0,1181.0,0.0,1454.5714285714287
39,2020-05-10,1768.0,487.0,0.0,1452.5714285714287
40,2020-05-11,1819.0,2620.0,0.0,1616.857142857143
41,2020-05-12,1880.0,2679.0,0.0,1793.2857142857142
42,2020-05-13,1784.0,1588.0,0.0,1808.4285714285713
43,2020-05-14,1735.0,3332.0,0.0,2105.0
44,2020-05-15,1465.0,3612.0,0.0,2214.1428571428573
45,2020-05-16,1387.0,702.0,0.0,2145.714285714286
46,2020-05-17,1230.0,452.0,0.0,2140.714285714286
47,2020-05-18,1331.0,2545.0,0.0,2130.0
48,2020-05-19,1375.0,2690.0,0.0,2131.5714285714284
49,2020-05-20,1311.0,1245.0,0.0,2082.5714285714284
50,2020-05-21,1250.0,1245.0,0.0,1784.4285714285713
51,2020-05-22,1179.0,1926.0,0.0,1543.5714285714287
52,2020-05-23,1076.0,490.0,0.0,1513.2857142857142
53,2020-05-24,1118.0,348.0,0.0,1498.4285714285713
54,2020-05-25,1096.0,331.0,0.0,1182.142857142857
55,2020-05-26,1167.0,1145.0,0.0,961.4285714285714
56,2020-05-27,1146.0,1183.0,0.0,952.5714285714286
57,2020-05-28,1096.0,1052.0,0.0,925.0
58,2020-05-29,1032.0,1054.0,0.0,800.4285714285714
59,2020-05-30,1011.0,519.0,0.0,804.5714285714286
60,2020-05-31,1068.0,402.0,0.0,812.2857142857143
61,2020-06-01,1065.0,881.0,0.0,890.8571428571429
62,2020-06-02,1050.0,1063.0,0.0,879.1428571428571
63,2020-06-03,999.0,888.0,0.0,837.0
64,2020-06-04,964.0,860.0,0.0,809.5714285714286
65,2020-06-05,914.0,780.0,0.0,770.4285714285714
66,2020-06-06,820.0,421.0,0.0,756.4285714285714
67,2020-06-07,793.0,308.0,0.0,743.0
68,2020-06-08,780.0,931.0,0.0,750.1428571428571
69,2020-06-09,793.0,824.0,0.0,716.0
70,2020-06-10,776.0,819.0,0.0,706.1428571428571
71,2020-06-11,1092.0,736.0,0.0,688.4285714285714
