,date,beds,cases,vacc,cases_7day
0,2020-04-01,167.0,53.0,0.0,53.0
1,2020-04-02,157.0,47.0,0.0,50.0
2,2020-04-03,176.0,0.0,0.0,33.333333333333336
3,2020-04-04,151.0,76.0,0.0,44.0
4,2020-04-05,131.0,121.0,0.0,59.4
5,2020-04-06,156.0,83.0,0.0,63.333333333333336
6,2020-04-07,173.0,85.0,0.0,66.42857142857143
7,2020-04-08,127.0,88.0,0.0,71.42857142857143
8,2020-04-09,134.0,94.0,0.0,78.14285714285714
9,2020-04-10,224.0,0.0,0.0,78.14285714285714
10,2020-04-11,202.0,178.0,0.0,92.71428571428571
11,2020-04-12,184.0,107.0,0.0,90.71428571428571
12,2020-04-13,260.0,74.0,0.0,89.42857142857143
13,2020-04-14,229.0,114.0,0.0,93.57142857142857
14,2020-04-15,231.0,53.0,0.0,88.57142857142857
15,2020-04-16,239.0,151.0,0.0,96.71428571428571
16,2020-04-17,290.0,161.0,0.0,119.71428571428571
17,2020-04-18,290.0,39.0,0.0,99.85714285714286
18,2020-04-19,300.0,257.0,0.0,121.28571428571429
19,2020-04-20,341.0,97.0,0.0,124.57142857142857
20,2020-04-21,341.0,154.0,0.0,130.28571428571428
21,2020-04-22,329.0,0.0,0.0,122.71428571428571
22,2020-04-23,336.0,464.0,0.0,167.42857142857142
23,2020-04-24,382.0,0.0,0.0,144.42857142857142
24,2020-04-25,354.0,261.0,0.0,176.14285714285714
25,2020-04-26,406.0,156.0,0.0,161.71428571428572
26,2020-04-27,423.0,579.0,0.0,230.57142857142858
27,2020-04-28,440.0,464.0,0.0,274.85714285714283
28,2020-04-29,491.0,491.0,0.0,345.0
29,2020-04-30,514.0,0.0,0.0,278.7142857142857
30,2020-05-01,488.0,594.0,0.0,363.57142857142856
31,2020-05-02,539.0,498.0,0.0,397.42857142857144
32,2020-05-03,448.0,1010.0,0.0,519.4285714285714
33,2020-05-04,392.0,-4.0,0.0,436.14285714285717
34,2020-05-05,671.0,617.0,0.0,458.0
35,2020-05-06,652.0,728.0,0.0,491.85714285714283
36,2020-05-07,660.0,1509.0,0.0,707.4285714285714
37,2020-05-08,633.0,0.0,0.0,622.5714285714286
38,2020-05-09,611.0,1183.0,0.0,720.4285714285714
39,2020-05-10,627.0,0.0,0.0,576.1428571428571
40,2020-05-11,646.0,528.0,0.0,652.1428571428571
41,2020-05-12,671.0,1118.0,0.0,723.7142857142857
42,2020-05-13,749.0,0.0,0.0,619.7142857142857
43,2020-05-14,696.0,1323.0,0.0,593.1428571428571
44,2020-05-15,708.0,0.0,0.0,593.1428571428571
45,2020-05-16,677.0,1428.0,0.0,628.1428571428571
46,2020-05-17,625.0,704.0,0.0,728.7142857142857
