,date,beds,cases,vacc,cases_7day
0,2020-04-01,41.0,25.0,0.0,25.0
1,2020-04-02,53.0,16.0,0.0,20.5
2,2020-04-03,42.0,18.0,0.0,19.666666666666668
3,2020-04-04,39.0,19.0,0.0,19.5
4,2020-04-05,32.0,19.0,0.0,19.4
5,2020-04-06,34.0,20.0,0.0,19.5
6,2020-04-07,38.0,12.0,0.0,18.428571428571427
7,2020-04-08,41.0,20.0,0.0,17.714285714285715
8,2020-04-09,33.0,13.0,0.0,17.285714285714285
9,2020-04-10,31.0,0.0,0.0,14.714285714285714
10,2020-04-11,44.0,12.0,0.0,13.714285714285714
11,2020-04-12,36.0,17.0,0.0,13.428571428571429
12,2020-04-13,43.0,4.0,0.0,11.142857142857142
13,2020-04-14,48.0,6.0,0.0,10.285714285714286
14,2020-04-15,41.0,11.0,0.0,9.0
15,2020-04-16,30.0,7.0,0.0,8.142857142857142
16,2020-04-17,35.0,0.0,0.0,8.142857142857142
17,2020-04-18,34.0,4.0,0.0,7.0
18,2020-04-19,44.0,7.0,0.0,5.571428571428571
19,2020-04-20,34.0,4.0,0.0,5.571428571428571
20,2020-04-21,45.0,2.0,0.0,5.0
21,2020-04-22,32.0,3.0,0.0,3.857142857142857
22,2020-04-23,35.0,2.0,0.0,3.142857142857143
23,2020-04-24,30.0,0.0,0.0,3.142857142857143
24,2020-04-25,26.0,1.0,0.0,2.7142857142857144
25,2020-04-26,36.0,4.0,0.0,2.2857142857142856
26,2020-04-27,42.0,2.0,0.0,2.0
27,2020-04-28,46.0,0.0,0.0,1.7142857142857142
28,2020-04-29,34.0,0.0,0.0,1.2857142857142858
29,2020-04-30,22.0,2.0,0.0,1.2857142857142858
30,2020-05-01,17.0,0.0,0.0,1.2857142857142858
31,2020-05-02,18.0,2.0,0.0,1.4285714285714286
32,2020-05-03,18.0,2.0,0.0,1.1428571428571428
33,2020-05-04,21.0,0.0,0.0,0.8571428571428571
34,2020-05-05,30.0,-1.0,0.0,0.7142857142857143
35,2020-05-06,27.0,0.0,0.0,0.7142857142857143
36,2020-05-07,27.0,3.0,0.0,0.8571428571428571
37,2020-05-08,27.0,-1.0,0.0,0.7142857142857143
38,2020-05-09,14.0,0.0,0.0,0.42857142857142855
39,2020-05-10,16.0,0.0,0.0,0.14285714285714285
40,2020-05-11,21.0,1.0,0.0,0.2857142857142857
41,2020-05-12,19.0,0.0,0.0,0.42857142857142855
42,2020-05-13,24.0,3.0,0.0,0.8571428571428571
43,2020-05-14,31.0,4.0,0.0,1.0
44,2020-05-15,30.0,0.0,0.0,1.1428571428571428
45,2020-05-16,14.0,2.0,0.0,1.4285714285714286
46,2020-05-17,12.0,2.0,0.0,1.7142857142857142
47,2020-05-18,22.0,0.0,0.0,1.5714285714285714
48,2020-05-19,27.0,8.0,0.0,2.7142857142857144
49,2020-05-20,18.0,0.0,0.0,2.2857142857142856
50,2020-05-21,24.0,1.0,0.0,1.8571428571428572
51,2020-05-22,28.0,0.0,0.0,1.8571428571428572
52,2020-05-23,20.0,0.0,0.0,1.5714285714285714
53,2020-05-24,14.0,0.0,0.0,1.2857142857142858
54,2020-05-25,17.0,0.0,0.0,1.2857142857142858
55,2020-05-26,22.0,0.0,0.0,0.14285714285714285
56,2020-05-27,21.0,6.0,0.0,1.0
57,2020-05-28,16.0,8.0,0.0,2.0
58,2020-05-29,14.0,12.0,0.0,3.7142857142857144
59,2020-05-30,12.0,0.0,0.0,3.7142857142857144
60,2020-05-31,13.0,10.0,0.0,5.142857142857143
61,2020-06-01,21.0,8.0,0.0,6.285714285714286
62,2020-06-02,33.0,2.0,0.0,6.571428571428571
63,2020-06-03,18.0,14.0,0.0,7.714285714285714
64,2020-06-04,15.0,0.0,0.0,6.571428571428571
65,2020-06-05,12.0,1.0,0.0,5.0
66,2020-06-06,12.0,0.0,0.0,5.0
67,2020-06-07,15.0,8.0,0.0,4.714285714285714
68,2020-06-08,23.0,0.0,0.0,3.5714285714285716
69,2020-06-09,26.0,6.0,0.0,4.142857142857143
70,2020-06-10,30.0,7.0,0.0,3.142857142857143
71,2020-06-11,21.0,12.0,0.0,4.857142857142857
72,2020-06-12,65.0,15.0,0.0,6.857142857142857
73,2020-06-13,13.0,0.0,0.0,6.857142857142857
74,2020-06-14,11.0,21.0,0.0,8.714285714285714
75,2020-06-15,26.0,3.0,0.0,9.142857142857142
76,2020-06-16,17.0,18.0,0.0,10.857142857142858
77,2020-06-17,19.0,0.0,0.0,9.857142857142858
78,2020-06-18,24.0,36.0,0.0,13.285714285714286
79,2020-06-19,23.0,32.0,0.0,15.714285714285714
80,2020-06-20,14.0,18.0,0.0,18.285714285714285
81,2020-06-21,19.0,1.0,0.0,15.428571428571429
82,2020-06-22,28.0,17.0,0.0,17.428571428571427
83,2020-06-23,23.0,32.0,0.0,19.428571428571427
84,2020-06-24,22.0,37.0,0.0,24.714285714285715
85,2020-06-25,21.0,26.0,0.0,23.285714285714285
86,2020-06-26,26.0,23.0,0.0,22.0
87,2020-06-27,29.0,0.0,0.0,19.428571428571427
88,2020-06-28,22.0,67.0,0.0,28.857142857142858
89,2020-06-29,28.0,48.0,0.0,33.285714285714285
90,2020-06-30,28.0,51.0,0.0,36.0
91,2020-07-01,22.0,65.0,0.0,40.0
92,2020-07-02,23.0,40.0,0.0,42.0
93,2020-07-03,24.0,5.0,0.0,39.42857142857143
94,2020-07-04,32.0,39.0,0.0,45.0
95,2020-07-05,34.0,82.0,0.0,47.142857142857146
96,2020-07-06,40.0,0.0,0.0,40.285714285714285
97,2020-07-07,50.0,122.0,0.0,50.42857142857143
98,2020-07-08,54.0,95.0,0.0,54.714285714285715
99,2020-07-09,48.0,103.0,0.0,63.714285714285715
100,2020-07-10,46.0,24.0,0.0,66.42857142857143
101,2020-07-11,48.0,84.0,0.0,72.85714285714286
102,2020-07-12,53.0,164.0,0.0,84.57142857142857
103,2020-07-13,15.0,2.0,0.0,84.85714285714286
104,2020-07-14,30.0,109.0,0.0,83.0
105,2020-07-15,102.0,266.0,0.0,107.42857142857143
106,2020-07-16,86.0,124.0,0.0,110.42857142857143
107,2020-07-17,71.0,24.0,0.0,110.42857142857143
108,2020-07-18,70.0,105.0,0.0,113.42857142857143
109,2020-07-19,72.0,62.0,0.0,98.85714285714286
110,2020-07-20,76.0,88.0,0.0,111.14285714285714
111,2020-07-21,95.0,91.0,0.0,108.57142857142857
112,2020-07-22,84.0,197.0,0.0,98.71428571428571
113,2020-07-23,68.0,128.0,0.0,99.28571428571429
114,2020-07-24,101.0,210.0,0.0,125.85714285714286
115,2020-07-25,89.0,95.0,0.0,124.42857142857143
116,2020-07-26,90.0,39.0,0.0,121.14285714285714
117,2020-07-27,86.0,0.0,0.0,108.57142857142857
118,2020-07-28,88.0,286.0,0.0,136.42857142857142
119,2020-07-29,60.0,113.0,0.0,124.42857142857143
120,2020-07-30,88.0,174.0,0.0,131.0
121,2020-07-31,93.0,11.0,0.0,102.57142857142857
122,2020-08-01,79.0,116.0,0.0,105.57142857142857
123,2020-08-02,86.0,112.0,0.0,116.0
124,2020-08-03,103.0,121.0,0.0,133.28571428571428
125,2020-08-04,84.0,115.0,0.0,108.85714285714286
126,2020-08-05,62.0,164.0,0.0,116.14285714285714
127,2020-08-06,60.0,151.0,0.0,112.85714285714286
128,2020-08-07,86.0,144.0,0.0,131.85714285714286
129,2020-08-08,76.0,64.0,0.0,124.42857142857143
130,2020-08-09,77.0,65.0,0.0,117.71428571428571
131,2020-08-10,82.0,0.0,0.0,100.42857142857143
132,2020-08-11,79.0,272.0,0.0,122.85714285714286
133,2020-08-12,74.0,114.0,0.0,115.71428571428571
134,2020-08-13,65.0,136.0,0.0,113.57142857142857
135,2020-08-14,78.0,2.0,0.0,93.28571428571429
136,2020-08-15,73.0,118.0,0.0,101.0
137,2020-08-16,81.0,120.0,0.0,108.85714285714286
138,2020-08-17,86.0,68.0,0.0,118.57142857142857
139,2020-08-18,75.0,0.0,0.0,79.71428571428571
140,2020-08-19,76.0,109.0,0.0,79.0
141,2020-08-20,66.0,258.0,0.0,96.42857142857143
142,2020-08-21,68.0,2.0,0.0,96.42857142857143
143,2020-08-22,73.0,160.0,0.0,102.42857142857143
144,2020-08-23,72.0,114.0,0.0,101.57142857142857
145,2020-08-24,79.0,133.0,0.0,110.85714285714286
146,2020-08-25,86.0,162.0,0.0,134.0
147,2020-08-26,97.0,0.0,0.0,118.42857142857143
148,2020-08-27,94.0,144.0,0.0,102.14285714285714
149,2020-08-28,95.0,134.0,0.0,121.0
150,2020-08-29,96.0,188.0,0.0,125.0
151,2020-08-30,99.0,89.0,0.0,121.42857142857143
152,2020-08-31,121.0,153.0,0.0,124.28571428571429
153,2020-09-01,133.0,196.0,0.0,129.14285714285714
154,2020-09-02,127.0,178.0,0.0,154.57142857142858
155,2020-09-03,125.0,133.0,0.0,153.0
156,2020-09-04,131.0,19.0,0.0,136.57142857142858
157,2020-09-05,129.0,145.0,0.0,130.42857142857142
158,2020-09-06,132.0,100.0,0.0,132.0
159,2020-09-07,143.0,115.0,0.0,126.57142857142857
160,2020-09-08,150.0,2.0,0.0,98.85714285714286
161,2020-09-09,137.0,278.0,0.0,113.14285714285714
162,2020-09-10,132.0,4.0,0.0,94.71428571428571
163,2020-09-11,112.0,262.0,0.0,129.42857142857142
164,2020-09-12,112.0,0.0,0.0,108.71428571428571
165,2020-09-13,111.0,96.0,0.0,108.14285714285714
166,2020-09-14,108.0,86.0,0.0,104.0
167,2020-09-15,106.0,137.0,0.0,123.28571428571429
168,2020-09-16,107.0,187.0,0.0,110.28571428571429
169,2020-09-17,104.0,441.0,0.0,172.71428571428572
170,2020-09-18,103.0,292.0,0.0,177.0
171,2020-09-19,109.0,136.0,0.0,196.42857142857142
172,2020-09-20,111.0,127.0,0.0,200.85714285714286
173,2020-09-21,119.0,269.0,0.0,227.0
174,2020-09-22,131.0,204.0,0.0,236.57142857142858
175,2020-09-23,127.0,320.0,0.0,255.57142857142858
176,2020-09-24,139.0,328.0,0.0,239.42857142857142
177,2020-09-25,170.0,357.0,0.0,248.71428571428572
178,2020-09-26,173.0,2.0,0.0,229.57142857142858
179,2020-09-27,194.0,200.0,0.0,240.0
180,2020-09-28,207.0,306.0,0.0,245.28571428571428
181,2020-09-29,217.0,463.0,0.0,282.2857142857143
182,2020-09-30,234.0,517.0,0.0,310.42857142857144
183,2020-10-01,226.0,431.0,0.0,325.14285714285717
184,2020-10-02,221.0,459.0,0.0,339.7142857142857
185,2020-10-03,207.0,278.0,0.0,379.14285714285717
186,2020-10-04,230.0,74.0,0.0,361.14285714285717
187,2020-10-05,255.0,663.0,0.0,412.14285714285717
188,2020-10-06,224.0,425.0,0.0,406.7142857142857
189,2020-10-07,241.0,340.0,0.0,381.42857142857144
190,2020-10-08,262.0,614.0,0.0,407.57142857142856
191,2020-10-09,260.0,1237.0,0.0,518.7142857142857
192,2020-10-10,263.0,203.0,0.0,508.0
193,2020-10-11,275.0,585.0,0.0,581.0
194,2020-10-12,302.0,423.0,0.0,546.7142857142857
195,2020-10-13,314.0,842.0,0.0,606.2857142857143
196,2020-10-14,322.0,753.0,0.0,665.2857142857143
197,2020-10-15,340.0,877.0,0.0,702.8571428571429
198,2020-10-16,344.0,-2.0,0.0,525.8571428571429
199,2020-10-17,356.0,638.0,0.0,588.0
200,2020-10-18,354.0,588.0,0.0,588.4285714285714
201,2020-10-19,358.0,569.0,0.0,609.2857142857143
202,2020-10-20,353.0,703.0,0.0,589.4285714285714
203,2020-10-21,365.0,619.0,0.0,570.2857142857143
204,2020-10-22,379.0,1608.0,0.0,674.7142857142857
205,2020-10-23,376.0,183.0,0.0,701.1428571428571
206,2020-10-24,352.0,639.0,0.0,701.2857142857143
207,2020-10-25,341.0,738.0,0.0,722.7142857142857
208,2020-10-26,381.0,621.0,0.0,730.1428571428571
209,2020-10-27,390.0,845.0,0.0,750.4285714285714
210,2020-10-28,391.0,620.0,0.0,750.5714285714286
211,2020-10-29,388.0,887.0,0.0,647.5714285714286
212,2020-10-30,414.0,1063.0,0.0,773.2857142857143
213,2020-10-31,409.0,885.0,0.0,808.4285714285714
214,2020-11-01,404.0,694.0,0.0,802.1428571428571
215,2020-11-02,425.0,757.0,0.0,821.5714285714286
216,2020-11-03,432.0,907.0,0.0,830.4285714285714
217,2020-11-04,450.0,796.0,0.0,855.5714285714286
218,2020-11-05,491.0,1013.0,0.0,873.5714285714286
219,2020-11-06,481.0,979.0,0.0,861.5714285714286
220,2020-11-07,483.0,1001.0,0.0,878.1428571428571
221,2020-11-08,495.0,731.0,0.0,883.4285714285714
222,2020-11-09,478.0,374.0,0.0,828.7142857142857
223,2020-11-10,477.0,1098.0,0.0,856.0
224,2020-11-11,471.0,919.0,0.0,873.5714285714286
225,2020-11-12,460.0,961.0,0.0,866.1428571428571
226,2020-11-13,467.0,1213.0,0.0,899.5714285714286
227,2020-11-14,494.0,1642.0,0.0,991.1428571428571
228,2020-11-15,499.0,1272.0,0.0,1068.4285714285713
229,2020-11-16,521.0,869.0,0.0,1139.142857142857
230,2020-11-17,498.0,1371.0,0.0,1178.142857142857
231,2020-11-18,486.0,1184.0,0.0,1216.0
232,2020-11-19,469.0,1236.0,0.0,1255.2857142857142
233,2020-11-20,462.0,1475.0,0.0,1292.7142857142858
234,2020-11-21,451.0,1249.0,0.0,1236.5714285714287
235,2020-11-22,453.0,1138.0,0.0,1217.4285714285713
236,2020-11-23,452.0,701.0,0.0,1193.4285714285713
237,2020-11-24,477.0,1123.0,0.0,1158.0
238,2020-11-25,495.0,1061.0,0.0,1140.4285714285713
239,2020-11-26,479.0,1117.0,0.0,1123.4285714285713
240,2020-11-27,478.0,114.0,0.0,929.0
241,2020-11-28,469.0,1049.0,0.0,900.4285714285714
242,2020-11-29,450.0,956.0,0.0,874.4285714285714
243,2020-11-30,456.0,397.0,0.0,831.0
244,2020-12-01,450.0,1007.0,0.0,814.4285714285714
245,2020-12-02,431.0,1135.0,0.0,825.0
246,2020-12-03,398.0,782.0,0.0,777.1428571428571
247,2020-12-04,413.0,1314.0,0.0,948.5714285714286
248,2020-12-05,385.0,633.0,0.0,889.1428571428571
249,2020-12-06,392.0,806.0,0.0,867.7142857142857
250,2020-12-07,389.0,716.0,0.0,913.2857142857143
251,2020-12-08,391.0,755.0,0.0,877.2857142857143
252,2020-12-09,389.0,787.0,0.0,827.5714285714286
253,2020-12-10,390.0,759.0,0.0,824.2857142857143
254,2020-12-11,377.0,978.0,0.0,776.2857142857143
255,2020-12-12,359.0,774.0,0.0,796.4285714285714
256,2020-12-13,351.0,659.0,0.0,775.4285714285714
257,2020-12-14,353.0,0.0,0.0,673.1428571428571
258,2020-12-15,321.0,737.0,0.0,670.5714285714286
259,2020-12-16,326.0,604.0,444.0,644.4285714285714
260,2020-12-17,281.0,839.0,1131.0,655.8571428571429
261,2020-12-18,277.0,509.0,1131.0,588.8571428571429
262,2020-12-19,277.0,627.0,3015.0,567.8571428571429
263,2020-12-20,271.0,551.0,5258.0,552.4285714285714
264,2020-12-21,260.0,154.0,5866.0,574.4285714285714
265,2020-12-22,263.0,623.0,5866.0,558.1428571428571
266,2020-12-23,250.0,575.0,7604.0,554.0
267,2020-12-24,220.0,407.0,8885.0,492.2857142857143
268,2020-12-25,199.0,0.0,12046.0,419.57142857142856
269,2020-12-26,210.0,504.0,12956.0,402.0
270,2020-12-27,223.0,347.0,13127.0,372.85714285714283
271,2020-12-28,228.0,219.0,13262.0,382.14285714285717
272,2020-12-29,228.0,427.0,13397.0,354.14285714285717
