,date,beds,cases,vacc,cases_7day
0,2020-04-01,140.0,212.0,0.0,212.0
1,2020-04-02,136.0,239.0,0.0,225.5
2,2020-04-03,139.0,222.0,0.0,224.33333333333334
3,2020-04-04,208.0,203.0,0.0,219.0
4,2020-04-05,237.0,114.0,0.0,198.0
5,2020-04-06,298.0,86.0,0.0,179.33333333333334
6,2020-04-07,276.0,399.0,0.0,210.71428571428572
7,2020-04-08,316.0,264.0,0.0,218.14285714285714
8,2020-04-09,271.0,285.0,0.0,224.71428571428572
9,2020-04-10,340.0,327.0,0.0,239.71428571428572
10,2020-04-11,287.0,317.0,0.0,256.0
11,2020-04-12,275.0,172.0,0.0,264.2857142857143
12,2020-04-13,326.0,112.0,0.0,268.0
13,2020-04-14,327.0,282.0,0.0,251.28571428571428
14,2020-04-15,338.0,284.0,0.0,254.14285714285714
15,2020-04-16,319.0,377.0,0.0,267.2857142857143
16,2020-04-17,302.0,541.0,0.0,297.85714285714283
17,2020-04-18,289.0,258.0,0.0,289.42857142857144
18,2020-04-19,328.0,139.0,0.0,284.7142857142857
19,2020-04-20,536.0,121.0,0.0,286.0
20,2020-04-21,636.0,438.0,0.0,308.2857142857143
21,2020-04-22,631.0,463.0,0.0,333.85714285714283
22,2020-04-23,595.0,437.0,0.0,342.42857142857144
23,2020-04-24,704.0,507.0,0.0,337.57142857142856
24,2020-04-25,769.0,576.0,0.0,383.0
25,2020-04-26,741.0,255.0,0.0,399.57142857142856
26,2020-04-27,764.0,120.0,0.0,399.42857142857144
27,2020-04-28,776.0,559.0,0.0,416.7142857142857
28,2020-04-29,771.0,432.0,0.0,412.2857142857143
29,2020-04-30,793.0,436.0,0.0,412.14285714285717
30,2020-05-01,676.0,461.0,0.0,405.57142857142856
31,2020-05-02,682.0,450.0,0.0,387.57142857142856
32,2020-05-03,710.0,182.0,0.0,377.14285714285717
33,2020-05-04,747.0,172.0,0.0,384.57142857142856
34,2020-05-05,660.0,688.0,0.0,403.0
35,2020-05-06,623.0,551.0,0.0,420.0
36,2020-05-07,646.0,712.0,0.0,459.42857142857144
37,2020-05-08,668.0,621.0,0.0,482.2857142857143
38,2020-05-09,614.0,543.0,0.0,495.57142857142856
39,2020-05-10,592.0,193.0,0.0,497.14285714285717
40,2020-05-11,667.0,117.0,0.0,489.2857142857143
41,2020-05-12,676.0,765.0,0.0,500.2857142857143
42,2020-05-13,652.0,679.0,0.0,518.5714285714286
43,2020-05-14,657.0,711.0,0.0,518.4285714285714
44,2020-05-15,662.0,758.0,0.0,538.0
45,2020-05-16,658.0,704.0,0.0,561.0
46,2020-05-17,636.0,285.0,0.0,574.1428571428571
47,2020-05-18,726.0,193.0,0.0,585.0
48,2020-05-19,721.0,1062.0,0.0,627.4285714285714
49,2020-05-20,714.0,965.0,0.0,668.2857142857143
50,2020-05-21,761.0,836.0,0.0,686.1428571428571
51,2020-05-22,772.0,861.0,0.0,700.8571428571429
52,2020-05-23,738.0,746.0,0.0,706.8571428571429
53,2020-05-24,794.0,340.0,0.0,714.7142857142857
54,2020-05-25,808.0,258.0,0.0,724.0
55,2020-05-26,819.0,369.0,0.0,625.0
56,2020-05-27,811.0,1365.0,0.0,682.1428571428571
57,2020-05-28,810.0,994.0,0.0,704.7142857142857
58,2020-05-29,899.0,1015.0,0.0,726.7142857142857
59,2020-05-30,928.0,1112.0,0.0,779.0
60,2020-05-31,916.0,443.0,0.0,793.7142857142857
61,2020-06-01,861.0,332.0,0.0,804.2857142857143
62,2020-06-02,837.0,1504.0,0.0,966.4285714285714
63,2020-06-03,829.0,1265.0,0.0,952.1428571428571
64,2020-06-04,852.0,1437.0,0.0,1015.4285714285714
65,2020-06-05,869.0,1346.0,0.0,1062.7142857142858
66,2020-06-06,886.0,1320.0,0.0,1092.4285714285713
67,2020-06-07,861.0,482.0,0.0,1098.0
68,2020-06-08,951.0,435.0,0.0,1112.7142857142858
69,2020-06-09,959.0,1654.0,0.0,1134.142857142857
70,2020-06-10,1265.0,1546.0,0.0,1174.2857142857142
71,2020-06-11,939.0,1447.0,0.0,1175.7142857142858
72,2020-06-12,957.0,1431.0,0.0,1187.857142857143
73,2020-06-13,935.0,1435.0,0.0,1204.2857142857142
74,2020-06-14,964.0,686.0,0.0,1233.4285714285713
75,2020-06-15,964.0,545.0,0.0,1249.142857142857
76,2020-06-16,973.0,1690.0,0.0,1254.2857142857142
77,2020-06-17,1200.0,1583.0,0.0,1259.5714285714287
78,2020-06-18,1201.0,1709.0,0.0,1297.0
79,2020-06-19,1201.0,1768.0,0.0,1345.142857142857
80,2020-06-20,1193.0,1616.0,0.0,1371.0
81,2020-06-21,1217.0,758.0,0.0,1381.2857142857142
82,2020-06-22,1252.0,698.0,0.0,1403.142857142857
83,2020-06-23,1267.0,2029.0,0.0,1451.5714285714287
84,2020-06-24,1145.0,2088.0,0.0,1523.7142857142858
85,2020-06-25,1185.0,1903.0,0.0,1551.4285714285713
86,2020-06-26,1165.0,1955.0,0.0,1578.142857142857
87,2020-06-27,1140.0,1970.0,0.0,1628.7142857142858
88,2020-06-28,1138.0,933.0,0.0,1653.7142857142858
89,2020-06-29,1047.0,1038.0,0.0,1702.2857142857142
90,2020-06-30,1029.0,2522.0,0.0,1772.7142857142858
91,2020-07-01,1036.0,2306.0,0.0,1803.857142857143
92,2020-07-02,1080.0,2070.0,0.0,1827.7142857142858
93,2020-07-03,1093.0,2033.0,0.0,1838.857142857143
94,2020-07-04,1084.0,1354.0,0.0,1750.857142857143
95,2020-07-05,1096.0,589.0,0.0,1701.7142857142858
96,2020-07-06,1325.0,763.0,0.0,1662.4285714285713
97,2020-07-07,1325.0,2543.0,0.0,1665.4285714285713
98,2020-07-08,1386.0,2812.0,0.0,1737.7142857142858
99,2020-07-09,1432.0,2557.0,0.0,1807.2857142857142
100,2020-07-10,1423.0,2178.0,0.0,1828.0
101,2020-07-11,1358.0,2150.0,0.0,1941.7142857142858
102,2020-07-12,1380.0,994.0,0.0,1999.5714285714287
103,2020-07-13,1543.0,863.0,0.0,2013.857142857143
104,2020-07-14,1546.0,2496.0,0.0,2007.142857142857
105,2020-07-15,1871.0,2499.0,0.0,1962.4285714285713
106,2020-07-16,1850.0,2266.0,0.0,1920.857142857143
107,2020-07-17,1733.0,2120.0,0.0,1912.5714285714287
108,2020-07-18,1635.0,1958.0,0.0,1885.142857142857
109,2020-07-19,1680.0,964.0,0.0,1880.857142857143
110,2020-07-20,1727.0,818.0,0.0,1874.4285714285713
111,2020-07-21,1913.0,2367.0,0.0,1856.0
112,2020-07-22,1814.0,2333.0,0.0,1832.2857142857142
113,2020-07-23,1731.0,2070.0,0.0,1804.2857142857142
114,2020-07-24,1669.0,1875.0,0.0,1769.2857142857142
115,2020-07-25,1356.0,2002.0,0.0,1775.5714285714287
116,2020-07-26,1295.0,893.0,0.0,1765.4285714285713
117,2020-07-27,1387.0,722.0,0.0,1751.7142857142858
118,2020-07-28,1480.0,2181.0,0.0,1725.142857142857
119,2020-07-29,1730.0,2070.0,0.0,1687.5714285714287
120,2020-07-30,1468.0,1909.0,0.0,1664.5714285714287
121,2020-07-31,1303.0,1848.0,0.0,1660.7142857142858
122,2020-08-01,1350.0,1757.0,0.0,1625.7142857142858
123,2020-08-02,1444.0,785.0,0.0,1610.2857142857142
124,2020-08-03,1377.0,729.0,0.0,1611.2857142857142
125,2020-08-04,1524.0,1996.0,0.0,1584.857142857143
126,2020-08-05,1425.0,1590.0,0.0,1516.2857142857142
127,2020-08-06,1325.0,1769.0,0.0,1496.2857142857142
128,2020-08-07,1371.0,1545.0,0.0,1453.0
129,2020-08-08,1310.0,1429.0,0.0,1406.142857142857
130,2020-08-09,1344.0,732.0,0.0,1398.5714285714287
131,2020-08-10,1271.0,598.0,0.0,1379.857142857143
132,2020-08-11,1352.0,1798.0,0.0,1351.5714285714287
133,2020-08-12,1300.0,1576.0,0.0,1349.5714285714287
134,2020-08-13,1245.0,1584.0,0.0,1323.142857142857
135,2020-08-14,1173.0,1561.0,0.0,1325.4285714285713
136,2020-08-15,1172.0,1590.0,0.0,1348.4285714285713
137,2020-08-16,1244.0,787.0,0.0,1356.2857142857142
138,2020-08-17,1403.0,644.0,0.0,1362.857142857143
139,2020-08-18,1448.0,2104.0,0.0,1406.5714285714287
140,2020-08-19,1354.0,2049.0,0.0,1474.142857142857
141,2020-08-20,1421.0,1805.0,0.0,1505.7142857142858
142,2020-08-21,1410.0,1804.0,0.0,1540.4285714285713
143,2020-08-22,1333.0,1851.0,0.0,1577.7142857142858
144,2020-08-23,1517.0,891.0,0.0,1592.5714285714287
145,2020-08-24,1439.0,796.0,0.0,1614.2857142857142
146,2020-08-25,1486.0,2321.0,0.0,1645.2857142857142
147,2020-08-26,1451.0,2098.0,0.0,1652.2857142857142
148,2020-08-27,1393.0,1833.0,0.0,1656.2857142857142
149,2020-08-28,1051.0,1755.0,0.0,1649.2857142857142
150,2020-08-29,1098.0,1624.0,0.0,1616.857142857143
151,2020-08-30,1131.0,873.0,0.0,1614.2857142857142
152,2020-08-31,1165.0,655.0,0.0,1594.142857142857
153,2020-09-01,582.0,1909.0,0.0,1535.2857142857142
154,2020-09-02,1043.0,1724.0,0.0,1481.857142857143
155,2020-09-03,1103.0,1816.0,0.0,1479.4285714285713
156,2020-09-04,1083.0,1615.0,0.0,1459.4285714285713
