,date,beds,cases,vacc,cases_7day
0,2020-04-01,18.0,21.0,0.0,21.0
1,2020-04-02,17.0,12.0,0.0,16.5
2,2020-04-03,25.0,14.0,0.0,15.666666666666666
3,2020-04-04,19.0,13.0,0.0,15.0
4,2020-04-05,19.0,21.0,0.0,16.2
5,2020-04-06,26.0,18.0,0.0,16.5
6,2020-04-07,24.0,12.0,0.0,15.857142857142858
7,2020-04-08,28.0,14.0,0.0,14.857142857142858
8,2020-04-09,23.0,18.0,0.0,15.714285714285714
9,2020-04-10,19.0,9.0,0.0,15.0
10,2020-04-11,23.0,15.0,0.0,15.285714285714286
11,2020-04-12,13.0,15.0,0.0,14.428571428571429
12,2020-04-13,19.0,23.0,0.0,15.142857142857142
13,2020-04-14,19.0,10.0,0.0,14.857142857142858
14,2020-04-15,23.0,24.0,0.0,16.285714285714285
15,2020-04-16,24.0,28.0,0.0,17.714285714285715
16,2020-04-17,36.0,46.0,0.0,23.0
17,2020-04-18,25.0,89.0,0.0,33.57142857142857
18,2020-04-19,23.0,57.0,0.0,39.57142857142857
19,2020-04-20,24.0,42.0,0.0,42.285714285714285
20,2020-04-21,27.0,17.0,0.0,43.285714285714285
21,2020-04-22,18.0,35.0,0.0,44.857142857142854
22,2020-04-23,24.0,30.0,0.0,45.142857142857146
23,2020-04-24,27.0,39.0,0.0,44.142857142857146
24,2020-04-25,23.0,55.0,0.0,39.285714285714285
25,2020-04-26,25.0,64.0,0.0,40.285714285714285
26,2020-04-27,36.0,75.0,0.0,45.0
27,2020-04-28,31.0,49.0,0.0,49.57142857142857
28,2020-04-29,37.0,42.0,0.0,50.57142857142857
29,2020-04-30,72.0,34.0,0.0,51.142857142857146
30,2020-05-01,60.0,40.0,0.0,51.285714285714285
31,2020-05-02,63.0,46.0,0.0,50.0
32,2020-05-03,64.0,38.0,0.0,46.285714285714285
33,2020-05-04,61.0,34.0,0.0,40.42857142857143
34,2020-05-05,79.0,41.0,0.0,39.285714285714285
35,2020-05-06,88.0,57.0,0.0,41.42857142857143
36,2020-05-07,79.0,48.0,0.0,43.42857142857143
37,2020-05-08,76.0,54.0,0.0,45.42857142857143
38,2020-05-09,71.0,39.0,0.0,44.42857142857143
39,2020-05-10,67.0,27.0,0.0,42.857142857142854
40,2020-05-11,80.0,27.0,0.0,41.857142857142854
41,2020-05-12,73.0,53.0,0.0,43.57142857142857
42,2020-05-13,72.0,76.0,0.0,46.285714285714285
43,2020-05-14,89.0,65.0,0.0,48.714285714285715
44,2020-05-15,75.0,49.0,0.0,48.0
45,2020-05-16,62.0,87.0,0.0,54.857142857142854
46,2020-05-17,64.0,52.0,0.0,58.42857142857143
47,2020-05-18,69.0,31.0,0.0,59.0
48,2020-05-19,78.0,63.0,0.0,60.42857142857143
49,2020-05-20,70.0,101.0,0.0,64.0
50,2020-05-21,70.0,134.0,0.0,73.85714285714286
51,2020-05-22,61.0,88.0,0.0,79.42857142857143
52,2020-05-23,66.0,48.0,0.0,73.85714285714286
53,2020-05-24,62.0,53.0,0.0,74.0
54,2020-05-25,78.0,39.0,0.0,75.14285714285714
55,2020-05-26,76.0,-35.0,0.0,61.142857142857146
56,2020-05-27,71.0,17.0,0.0,49.142857142857146
57,2020-05-28,91.0,42.0,0.0,36.0
58,2020-05-29,79.0,39.0,0.0,29.0
