,date,beds,cases,vacc,cases_7day
0,2020-04-01,55.0,48.0,0.0,48.0
1,2020-04-02,56.0,64.0,0.0,56.0
2,2020-04-03,51.0,61.0,0.0,57.666666666666664
3,2020-04-04,55.0,81.0,0.0,63.5
4,2020-04-05,55.0,48.0,0.0,60.4
5,2020-04-06,53.0,46.0,0.0,58.0
6,2020-04-07,52.0,32.0,0.0,54.285714285714285
7,2020-04-08,54.0,41.0,0.0,53.285714285714285
8,2020-04-09,63.0,31.0,0.0,48.57142857142857
9,2020-04-10,50.0,66.0,0.0,49.285714285714285
10,2020-04-11,55.0,44.0,0.0,44.0
11,2020-04-12,49.0,56.0,0.0,45.142857142857146
12,2020-04-13,66.0,35.0,0.0,43.57142857142857
13,2020-04-14,109.0,71.0,0.0,49.142857142857146
14,2020-04-15,112.0,48.0,0.0,50.142857142857146
15,2020-04-16,106.0,72.0,0.0,56.0
16,2020-04-17,130.0,76.0,0.0,57.42857142857143
17,2020-04-18,110.0,55.0,0.0,59.0
18,2020-04-19,104.0,50.0,0.0,58.142857142857146
19,2020-04-20,110.0,55.0,0.0,61.0
20,2020-04-21,100.0,44.0,0.0,57.142857142857146
21,2020-04-22,105.0,97.0,0.0,64.14285714285714
22,2020-04-23,138.0,82.0,0.0,65.57142857142857
23,2020-04-24,119.0,50.0,0.0,61.857142857142854
24,2020-04-25,129.0,67.0,0.0,63.57142857142857
25,2020-04-26,128.0,77.0,0.0,67.42857142857143
26,2020-04-27,146.0,74.0,0.0,70.14285714285714
27,2020-04-28,144.0,72.0,0.0,74.14285714285714
28,2020-04-29,130.0,44.0,0.0,66.57142857142857
29,2020-04-30,113.0,92.0,0.0,68.0
30,2020-05-01,129.0,164.0,0.0,84.28571428571429
31,2020-05-02,137.0,119.0,0.0,91.71428571428571
32,2020-05-03,140.0,89.0,0.0,93.42857142857143
33,2020-05-04,142.0,70.0,0.0,92.85714285714286
34,2020-05-05,146.0,48.0,0.0,89.42857142857143
35,2020-05-06,92.0,104.0,0.0,98.0
