,date,beds,cases,vacc,cases_7day
0,2020-04-01,43.0,48.0,0.0,48.0
1,2020-04-02,60.0,40.0,0.0,44.0
2,2020-04-03,56.0,92.0,0.0,60.0
3,2020-04-04,54.0,48.0,0.0,57.0
4,2020-04-05,66.0,81.0,0.0,61.8
5,2020-04-06,70.0,62.0,0.0,61.833333333333336
6,2020-04-07,72.0,108.0,0.0,68.42857142857143
7,2020-04-08,81.0,71.0,0.0,71.71428571428571
8,2020-04-09,87.0,124.0,0.0,83.71428571428571
9,2020-04-10,81.0,102.0,0.0,85.14285714285714
10,2020-04-11,79.0,83.0,0.0,90.14285714285714
11,2020-04-12,90.0,71.0,0.0,88.71428571428571
12,2020-04-13,151.0,100.0,0.0,94.14285714285714
13,2020-04-14,181.0,62.0,0.0,87.57142857142857
14,2020-04-15,182.0,77.0,0.0,88.42857142857143
15,2020-04-16,164.0,113.0,0.0,86.85714285714286
16,2020-04-17,169.0,114.0,0.0,88.57142857142857
17,2020-04-18,117.0,87.0,0.0,89.14285714285714
18,2020-04-19,124.0,47.0,0.0,85.71428571428571
19,2020-04-20,130.0,126.0,0.0,89.42857142857143
20,2020-04-21,134.0,101.0,0.0,95.0
21,2020-04-22,127.0,138.0,0.0,103.71428571428571
22,2020-04-23,123.0,169.0,0.0,111.71428571428571
23,2020-04-24,166.0,142.0,0.0,115.71428571428571
24,2020-04-25,129.0,139.0,0.0,123.14285714285714
25,2020-04-26,106.0,66.0,0.0,125.85714285714286
26,2020-04-27,152.0,97.0,0.0,121.71428571428571
27,2020-04-28,160.0,151.0,0.0,128.85714285714286
28,2020-04-29,153.0,239.0,0.0,143.28571428571428
29,2020-04-30,159.0,198.0,0.0,147.42857142857142
30,2020-05-01,150.0,102.0,0.0,141.71428571428572
31,2020-05-02,143.0,219.0,0.0,153.14285714285714
32,2020-05-03,146.0,118.0,0.0,160.57142857142858
33,2020-05-04,157.0,181.0,0.0,172.57142857142858
34,2020-05-05,167.0,107.0,0.0,166.28571428571428
35,2020-05-06,172.0,153.0,0.0,154.0
36,2020-05-07,177.0,202.0,0.0,154.57142857142858
37,2020-05-08,175.0,180.0,0.0,165.71428571428572
38,2020-05-09,188.0,105.0,0.0,149.42857142857142
39,2020-05-10,183.0,85.0,0.0,144.71428571428572
40,2020-05-11,312.0,206.0,0.0,148.28571428571428
41,2020-05-12,262.0,143.0,0.0,153.42857142857142
42,2020-05-13,286.0,152.0,0.0,153.28571428571428
43,2020-05-14,285.0,139.0,0.0,144.28571428571428
44,2020-05-15,312.0,159.0,0.0,141.28571428571428
45,2020-05-16,211.0,185.0,0.0,152.71428571428572
46,2020-05-17,204.0,91.0,0.0,153.57142857142858
47,2020-05-18,214.0,158.0,0.0,146.71428571428572
48,2020-05-19,201.0,96.0,0.0,140.0
49,2020-05-20,214.0,125.0,0.0,136.14285714285714
50,2020-05-21,213.0,155.0,0.0,138.42857142857142
51,2020-05-22,205.0,153.0,0.0,137.57142857142858
52,2020-05-23,204.0,170.0,0.0,135.42857142857142
53,2020-05-24,208.0,148.0,0.0,143.57142857142858
54,2020-05-25,195.0,83.0,0.0,132.85714285714286
55,2020-05-26,256.0,104.0,0.0,134.0
56,2020-05-27,247.0,122.0,0.0,133.57142857142858
57,2020-05-28,235.0,112.0,0.0,127.42857142857143
58,2020-05-29,230.0,129.0,0.0,124.0
59,2020-05-30,214.0,131.0,0.0,118.42857142857143
60,2020-05-31,157.0,65.0,0.0,106.57142857142857
61,2020-06-01,163.0,111.0,0.0,110.57142857142857
62,2020-06-02,205.0,224.0,0.0,127.71428571428571
63,2020-06-03,184.0,116.0,0.0,126.85714285714286
64,2020-06-04,244.0,213.0,0.0,141.28571428571428
65,2020-06-05,254.0,319.0,0.0,168.42857142857142
66,2020-06-06,251.0,128.0,0.0,168.0
67,2020-06-07,250.0,140.0,0.0,178.71428571428572
68,2020-06-08,249.0,122.0,0.0,180.28571428571428
69,2020-06-09,252.0,43.0,0.0,154.42857142857142
70,2020-06-10,234.0,145.0,0.0,158.57142857142858
71,2020-06-11,242.0,117.0,0.0,144.85714285714286
72,2020-06-12,247.0,159.0,0.0,122.0
73,2020-06-13,209.0,95.0,0.0,117.28571428571429
74,2020-06-14,191.0,102.0,0.0,111.85714285714286
75,2020-06-15,359.0,122.0,0.0,111.85714285714286
76,2020-06-16,303.0,88.0,0.0,118.28571428571429
77,2020-06-17,344.0,132.0,0.0,116.42857142857143
78,2020-06-18,334.0,88.0,0.0,112.28571428571429
79,2020-06-19,290.0,107.0,0.0,104.85714285714286
80,2020-06-20,136.0,170.0,0.0,115.57142857142857
81,2020-06-21,131.0,135.0,0.0,120.28571428571429
82,2020-06-22,158.0,129.0,0.0,121.28571428571429
83,2020-06-23,146.0,144.0,0.0,129.28571428571428
84,2020-06-24,162.0,152.0,0.0,132.14285714285714
85,2020-06-25,160.0,202.0,0.0,148.42857142857142
86,2020-06-26,167.0,216.0,0.0,164.0
87,2020-06-27,120.0,211.0,0.0,169.85714285714286
88,2020-06-28,116.0,190.0,0.0,177.71428571428572
89,2020-06-29,203.0,173.0,0.0,184.0
90,2020-06-30,151.0,165.0,0.0,187.0
91,2020-07-01,159.0,129.0,0.0,183.71428571428572
92,2020-07-02,148.0,244.0,0.0,189.71428571428572
93,2020-07-03,145.0,256.0,0.0,195.42857142857142
94,2020-07-04,107.0,287.0,0.0,206.28571428571428
95,2020-07-05,119.0,193.0,0.0,206.71428571428572
96,2020-07-06,438.0,251.0,0.0,217.85714285714286
97,2020-07-07,435.0,220.0,0.0,225.71428571428572
98,2020-07-08,454.0,290.0,0.0,248.71428571428572
99,2020-07-09,468.0,234.0,0.0,247.28571428571428
100,2020-07-10,470.0,298.0,0.0,253.28571428571428
101,2020-07-11,154.0,224.0,0.0,244.28571428571428
102,2020-07-12,175.0,255.0,0.0,253.14285714285714
103,2020-07-13,265.0,263.0,0.0,254.85714285714286
104,2020-07-14,315.0,223.0,0.0,255.28571428571428
105,2020-07-15,591.0,327.0,0.0,260.57142857142856
106,2020-07-16,578.0,297.0,0.0,269.57142857142856
107,2020-07-17,617.0,318.0,0.0,272.42857142857144
108,2020-07-18,542.0,280.0,0.0,280.42857142857144
109,2020-07-19,486.0,235.0,0.0,277.57142857142856
110,2020-07-20,503.0,244.0,0.0,274.85714285714283
111,2020-07-21,491.0,302.0,0.0,286.14285714285717
112,2020-07-22,484.0,311.0,0.0,283.85714285714283
113,2020-07-23,493.0,335.0,0.0,289.2857142857143
114,2020-07-24,483.0,312.0,0.0,288.42857142857144
115,2020-07-25,454.0,313.0,0.0,293.14285714285717
116,2020-07-26,456.0,254.0,0.0,295.85714285714283
117,2020-07-27,463.0,460.0,0.0,326.7142857142857
118,2020-07-28,446.0,289.0,0.0,324.85714285714283
119,2020-07-29,484.0,345.0,0.0,329.7142857142857
120,2020-07-30,184.0,252.0,0.0,317.85714285714283
121,2020-07-31,171.0,212.0,0.0,303.57142857142856
122,2020-08-01,143.0,196.0,0.0,286.85714285714283
123,2020-08-02,146.0,220.0,0.0,282.0
124,2020-08-03,72.0,114.0,0.0,232.57142857142858
125,2020-08-04,104.0,210.0,0.0,221.28571428571428
126,2020-08-05,124.0,226.0,0.0,204.28571428571428
127,2020-08-06,141.0,207.0,0.0,197.85714285714286
128,2020-08-07,170.0,192.0,0.0,195.0
129,2020-08-08,162.0,150.0,0.0,188.42857142857142
130,2020-08-09,151.0,200.0,0.0,185.57142857142858
131,2020-08-10,156.0,129.0,0.0,187.71428571428572
132,2020-08-11,148.0,199.0,0.0,186.14285714285714
133,2020-08-12,143.0,173.0,0.0,178.57142857142858
134,2020-08-13,121.0,171.0,0.0,173.42857142857142
135,2020-08-14,123.0,173.0,0.0,170.71428571428572
136,2020-08-15,115.0,142.0,0.0,169.57142857142858
137,2020-08-16,131.0,106.0,0.0,156.14285714285714
138,2020-08-17,114.0,92.0,0.0,150.85714285714286
139,2020-08-18,113.0,79.0,0.0,133.71428571428572
140,2020-08-19,135.0,170.0,0.0,133.28571428571428
141,2020-08-20,113.0,202.0,0.0,137.71428571428572
142,2020-08-21,103.0,144.0,0.0,133.57142857142858
143,2020-08-22,100.0,207.0,0.0,142.85714285714286
144,2020-08-23,99.0,94.0,0.0,141.14285714285714
145,2020-08-24,99.0,73.0,0.0,138.42857142857142
146,2020-08-25,112.0,66.0,0.0,136.57142857142858
147,2020-08-26,111.0,197.0,0.0,140.42857142857142
148,2020-08-27,110.0,188.0,0.0,138.42857142857142
149,2020-08-28,91.0,122.0,0.0,135.28571428571428
150,2020-08-29,108.0,136.0,0.0,125.14285714285714
151,2020-08-30,86.0,105.0,0.0,126.71428571428571
152,2020-08-31,91.0,69.0,0.0,126.14285714285714
153,2020-09-01,92.0,108.0,0.0,132.14285714285714
154,2020-09-02,98.0,152.0,0.0,125.71428571428571
155,2020-09-03,97.0,200.0,0.0,127.42857142857143
156,2020-09-04,104.0,90.0,0.0,122.85714285714286
157,2020-09-05,105.0,146.0,0.0,124.28571428571429
158,2020-09-06,98.0,59.0,0.0,117.71428571428571
159,2020-09-07,95.0,37.0,0.0,113.14285714285714
160,2020-09-08,114.0,37.0,0.0,103.0
161,2020-09-09,103.0,87.0,0.0,93.71428571428571
162,2020-09-10,97.0,161.0,0.0,88.14285714285714
163,2020-09-11,92.0,134.0,0.0,94.42857142857143
164,2020-09-12,91.0,98.0,0.0,87.57142857142857
165,2020-09-13,83.0,100.0,0.0,93.42857142857143
166,2020-09-14,95.0,81.0,0.0,99.71428571428571
167,2020-09-15,89.0,81.0,0.0,106.0
168,2020-09-16,90.0,118.0,0.0,110.42857142857143
169,2020-09-17,101.0,158.0,0.0,110.0
170,2020-09-18,102.0,151.0,0.0,112.42857142857143
171,2020-09-19,86.0,162.0,0.0,121.57142857142857
172,2020-09-20,104.0,67.0,0.0,116.85714285714286
173,2020-09-21,122.0,104.0,0.0,120.14285714285714
174,2020-09-22,111.0,107.0,0.0,123.85714285714286
175,2020-09-23,109.0,197.0,0.0,135.14285714285714
176,2020-09-24,120.0,237.0,0.0,146.42857142857142
177,2020-09-25,106.0,263.0,0.0,162.42857142857142
178,2020-09-26,122.0,205.0,0.0,168.57142857142858
179,2020-09-27,120.0,152.0,0.0,180.71428571428572
180,2020-09-28,114.0,141.0,0.0,186.0
181,2020-09-29,130.0,172.0,0.0,195.28571428571428
182,2020-09-30,116.0,278.0,0.0,206.85714285714286
183,2020-10-01,130.0,226.0,0.0,205.28571428571428
184,2020-10-02,149.0,339.0,0.0,216.14285714285714
185,2020-10-03,148.0,296.0,0.0,229.14285714285714
186,2020-10-04,146.0,181.0,0.0,233.28571428571428
187,2020-10-05,142.0,155.0,0.0,235.28571428571428
188,2020-10-06,189.0,315.0,0.0,255.71428571428572
189,2020-10-07,160.0,425.0,0.0,276.7142857142857
190,2020-10-08,176.0,384.0,0.0,299.2857142857143
191,2020-10-09,181.0,485.0,0.0,320.14285714285717
192,2020-10-10,184.0,481.0,0.0,346.57142857142856
193,2020-10-11,171.0,261.0,0.0,358.0
194,2020-10-12,198.0,379.0,0.0,390.0
195,2020-10-13,165.0,351.0,0.0,395.14285714285717
196,2020-10-14,149.0,577.0,0.0,416.85714285714283
197,2020-10-15,206.0,668.0,0.0,457.42857142857144
198,2020-10-16,215.0,812.0,0.0,504.14285714285717
199,2020-10-17,225.0,573.0,0.0,517.2857142857143
200,2020-10-18,242.0,445.0,0.0,543.5714285714286
201,2020-10-19,250.0,514.0,0.0,562.8571428571429
202,2020-10-20,270.0,594.0,0.0,597.5714285714286
203,2020-10-21,259.0,819.0,0.0,632.1428571428571
204,2020-10-22,324.0,662.0,0.0,631.2857142857143
205,2020-10-23,305.0,791.0,0.0,628.2857142857143
206,2020-10-24,407.0,872.0,0.0,671.0
207,2020-10-25,395.0,823.0,0.0,725.0
208,2020-10-26,361.0,723.0,0.0,754.8571428571429
209,2020-10-27,383.0,583.0,0.0,753.2857142857143
210,2020-10-28,323.0,657.0,0.0,730.1428571428571
211,2020-10-29,442.0,1078.0,0.0,789.5714285714286
212,2020-10-30,467.0,1005.0,0.0,820.1428571428571
213,2020-10-31,380.0,581.0,0.0,778.5714285714286
214,2020-11-01,467.0,742.0,0.0,767.0
215,2020-11-02,490.0,872.0,0.0,788.2857142857143
216,2020-11-03,426.0,1136.0,0.0,867.2857142857143
217,2020-11-04,543.0,1011.0,0.0,917.8571428571429
218,2020-11-05,536.0,859.0,0.0,886.5714285714286
219,2020-11-06,606.0,1284.0,0.0,926.4285714285714
220,2020-11-07,610.0,1277.0,0.0,1025.857142857143
221,2020-11-08,627.0,1210.0,0.0,1092.7142857142858
222,2020-11-09,647.0,1408.0,0.0,1169.2857142857142
223,2020-11-10,655.0,1258.0,0.0,1186.7142857142858
224,2020-11-11,682.0,1487.0,0.0,1254.7142857142858
225,2020-11-12,674.0,1742.0,0.0,1380.857142857143
226,2020-11-13,608.0,1230.0,0.0,1373.142857142857
227,2020-11-14,705.0,1165.0,0.0,1357.142857142857
228,2020-11-15,710.0,1030.0,0.0,1331.4285714285713
229,2020-11-16,705.0,1253.0,0.0,1309.2857142857142
230,2020-11-17,746.0,2105.0,0.0,1430.2857142857142
231,2020-11-18,779.0,2892.0,0.0,1631.0
232,2020-11-19,800.0,3665.0,0.0,1905.7142857142858
233,2020-11-20,812.0,2982.0,0.0,2156.0
234,2020-11-21,806.0,2342.0,0.0,2324.1428571428573
