,date,beds,cases,vacc,cases_7day
0,2020-04-01,187.0,348.0,0.0,348.0
1,2020-04-02,576.0,355.0,0.0,351.5
2,2020-04-03,485.0,410.0,0.0,371.0
3,2020-04-04,441.0,427.0,0.0,385.0
4,2020-04-05,440.0,304.0,0.0,368.8
5,2020-04-06,437.0,407.0,0.0,375.1666666666667
6,2020-04-07,467.0,332.0,0.0,369.0
7,2020-04-08,532.0,366.0,0.0,371.57142857142856
8,2020-04-09,670.0,364.0,0.0,372.85714285714283
9,2020-04-10,691.0,366.0,0.0,366.57142857142856
10,2020-04-11,681.0,372.0,0.0,358.7142857142857
11,2020-04-12,638.0,268.0,0.0,353.57142857142856
12,2020-04-13,646.0,457.0,0.0,360.7142857142857
13,2020-04-14,642.0,305.0,0.0,356.85714285714283
14,2020-04-15,634.0,511.0,0.0,377.57142857142856
15,2020-04-16,572.0,623.0,0.0,414.57142857142856
16,2020-04-17,616.0,693.0,0.0,461.2857142857143
17,2020-04-18,605.0,1115.0,0.0,567.4285714285714
18,2020-04-19,570.0,1380.0,0.0,726.2857142857143
19,2020-04-20,547.0,1317.0,0.0,849.1428571428571
20,2020-04-21,582.0,806.0,0.0,920.7142857142857
21,2020-04-22,711.0,392.0,0.0,903.7142857142857
22,2020-04-23,741.0,577.0,0.0,897.1428571428571
23,2020-04-24,789.0,475.0,0.0,866.0
24,2020-04-25,923.0,418.0,0.0,766.4285714285714
25,2020-04-26,900.0,376.0,0.0,623.0
26,2020-04-27,718.0,362.0,0.0,486.57142857142856
27,2020-04-28,756.0,444.0,0.0,434.85714285714283
28,2020-04-29,773.0,534.0,0.0,455.14285714285717
29,2020-04-30,543.0,724.0,0.0,476.14285714285717
30,2020-05-01,564.0,716.0,0.0,510.57142857142856
31,2020-05-02,532.0,592.0,0.0,535.4285714285714
32,2020-05-03,522.0,579.0,0.0,564.4285714285714
33,2020-05-04,465.0,560.0,0.0,592.7142857142857
34,2020-05-05,522.0,495.0,0.0,600.0
35,2020-05-06,559.0,607.0,0.0,610.4285714285714
36,2020-05-07,560.0,555.0,0.0,586.2857142857143
37,2020-05-08,509.0,885.0,0.0,610.4285714285714
38,2020-05-09,454.0,681.0,0.0,623.1428571428571
39,2020-05-10,490.0,384.0,0.0,595.2857142857143
40,2020-05-11,777.0,696.0,0.0,614.7142857142857
41,2020-05-12,1779.0,473.0,0.0,611.5714285714286
42,2020-05-13,1739.0,471.0,0.0,592.1428571428571
43,2020-05-14,1644.0,636.0,0.0,603.7142857142857
44,2020-05-15,1620.0,597.0,0.0,562.5714285714286
45,2020-05-16,1638.0,520.0,0.0,539.5714285714286
46,2020-05-17,629.0,449.0,0.0,548.8571428571429
47,2020-05-18,944.0,349.0,0.0,499.2857142857143
48,2020-05-19,1318.0,680.0,0.0,528.8571428571429
49,2020-05-20,1250.0,484.0,0.0,530.7142857142857
50,2020-05-21,1275.0,731.0,0.0,544.2857142857143
51,2020-05-22,1258.0,627.0,0.0,548.5714285714286
52,2020-05-23,954.0,614.0,0.0,562.0
53,2020-05-24,638.0,503.0,0.0,569.7142857142857
54,2020-05-25,744.0,566.0,0.0,600.7142857142857
55,2020-05-26,1012.0,529.0,0.0,579.1428571428571
56,2020-05-27,968.0,433.0,0.0,571.8571428571429
57,2020-05-28,1034.0,476.0,0.0,535.4285714285714
58,2020-05-29,973.0,651.0,0.0,538.8571428571429
59,2020-05-30,897.0,468.0,0.0,518.0
60,2020-05-31,560.0,479.0,0.0,514.5714285714286
61,2020-06-01,624.0,471.0,0.0,501.0
62,2020-06-02,662.0,429.0,0.0,486.7142857142857
63,2020-06-03,1368.0,379.0,0.0,479.0
64,2020-06-04,1293.0,490.0,0.0,481.0
