,date,beds,cases,vacc,cases_7day
0,2020-04-01,265.0,91.0,0.0,91.0
1,2020-04-02,486.0,107.0,0.0,99.0
2,2020-04-03,417.0,110.0,0.0,102.66666666666667
3,2020-04-04,383.0,90.0,0.0,99.5
4,2020-04-05,361.0,50.0,0.0,89.6
5,2020-04-06,415.0,58.0,0.0,84.33333333333333
6,2020-04-07,454.0,85.0,0.0,84.42857142857143
7,2020-04-08,437.0,97.0,0.0,85.28571428571429
8,2020-04-09,427.0,113.0,0.0,86.14285714285714
9,2020-04-10,361.0,96.0,0.0,84.14285714285714
10,2020-04-11,301.0,128.0,0.0,89.57142857142857
11,2020-04-12,322.0,70.0,0.0,92.42857142857143
12,2020-04-13,439.0,45.0,0.0,90.57142857142857
13,2020-04-14,431.0,108.0,0.0,93.85714285714286
14,2020-04-15,383.0,67.0,0.0,89.57142857142857
15,2020-04-16,359.0,90.0,0.0,86.28571428571429
16,2020-04-17,332.0,70.0,0.0,82.57142857142857
17,2020-04-18,293.0,93.0,0.0,77.57142857142857
18,2020-04-19,310.0,89.0,0.0,80.28571428571429
19,2020-04-20,367.0,62.0,0.0,82.71428571428571
20,2020-04-21,481.0,157.0,0.0,89.71428571428571
21,2020-04-22,387.0,81.0,0.0,91.71428571428571
22,2020-04-23,288.0,87.0,0.0,91.28571428571429
23,2020-04-24,421.0,89.0,0.0,94.0
24,2020-04-25,314.0,102.0,0.0,95.28571428571429
25,2020-04-26,270.0,62.0,0.0,91.42857142857143
26,2020-04-27,318.0,57.0,0.0,90.71428571428571
27,2020-04-28,378.0,189.0,0.0,95.28571428571429
28,2020-04-29,374.0,148.0,0.0,104.85714285714286
29,2020-04-30,340.0,98.0,0.0,106.42857142857143
30,2020-05-01,338.0,110.0,0.0,109.42857142857143
31,2020-05-02,270.0,116.0,0.0,111.42857142857143
32,2020-05-03,273.0,41.0,0.0,108.42857142857143
33,2020-05-04,346.0,35.0,0.0,105.28571428571429
34,2020-05-05,396.0,123.0,0.0,95.85714285714286
35,2020-05-06,327.0,94.0,0.0,88.14285714285714
36,2020-05-07,337.0,72.0,0.0,84.42857142857143
37,2020-05-08,273.0,153.0,0.0,90.57142857142857
38,2020-05-09,259.0,112.0,0.0,90.0
39,2020-05-10,246.0,55.0,0.0,92.0
40,2020-05-11,272.0,36.0,0.0,92.14285714285714
41,2020-05-12,318.0,124.0,0.0,92.28571428571429
42,2020-05-13,313.0,293.0,0.0,120.71428571428571
43,2020-05-14,307.0,111.0,0.0,126.28571428571429
44,2020-05-15,292.0,98.0,0.0,118.42857142857143
45,2020-05-16,264.0,106.0,0.0,117.57142857142857
46,2020-05-17,265.0,60.0,0.0,118.28571428571429
47,2020-05-18,305.0,31.0,0.0,117.57142857142857
48,2020-05-19,329.0,105.0,0.0,114.85714285714286
49,2020-05-20,319.0,110.0,0.0,88.71428571428571
50,2020-05-21,307.0,86.0,0.0,85.14285714285714
51,2020-05-22,292.0,97.0,0.0,85.0
52,2020-05-23,242.0,96.0,0.0,83.57142857142857
53,2020-05-24,253.0,41.0,0.0,80.85714285714286
54,2020-05-25,235.0,43.0,0.0,82.57142857142857
55,2020-05-26,303.0,69.0,0.0,77.42857142857143
56,2020-05-27,329.0,111.0,0.0,77.57142857142857
57,2020-05-28,277.0,112.0,0.0,81.28571428571429
58,2020-05-29,248.0,133.0,0.0,86.42857142857143
59,2020-05-30,234.0,118.0,0.0,89.57142857142857
60,2020-05-31,206.0,92.0,0.0,96.85714285714286
61,2020-06-01,231.0,66.0,0.0,100.14285714285714
62,2020-06-02,249.0,192.0,0.0,117.71428571428571
63,2020-06-03,275.0,159.0,0.0,124.57142857142857
64,2020-06-04,265.0,190.0,0.0,135.71428571428572
65,2020-06-05,544.0,177.0,0.0,142.0
66,2020-06-06,222.0,237.0,0.0,159.0
67,2020-06-07,240.0,143.0,0.0,166.28571428571428
68,2020-06-08,259.0,155.0,0.0,179.0
69,2020-06-09,279.0,290.0,0.0,193.0
70,2020-06-10,292.0,282.0,0.0,210.57142857142858
71,2020-06-11,288.0,420.0,0.0,243.42857142857142
72,2020-06-12,361.0,355.0,0.0,268.85714285714283
73,2020-06-13,288.0,386.0,0.0,290.14285714285717
74,2020-06-14,266.0,288.0,0.0,310.85714285714283
75,2020-06-15,616.0,272.0,0.0,327.57142857142856
76,2020-06-16,312.0,535.0,0.0,362.57142857142856
77,2020-06-17,359.0,553.0,0.0,401.2857142857143
78,2020-06-18,412.0,530.0,0.0,417.0
79,2020-06-19,384.0,535.0,0.0,442.7142857142857
80,2020-06-20,351.0,509.0,0.0,460.2857142857143
81,2020-06-21,402.0,373.0,0.0,472.42857142857144
82,2020-06-22,439.0,271.0,0.0,472.2857142857143
83,2020-06-23,471.0,610.0,0.0,483.0
84,2020-06-24,512.0,574.0,0.0,486.0
85,2020-06-25,509.0,592.0,0.0,494.85714285714283
86,2020-06-26,464.0,661.0,0.0,512.8571428571429
87,2020-06-27,455.0,585.0,0.0,523.7142857142857
88,2020-06-28,463.0,382.0,0.0,525.0
89,2020-06-29,553.0,429.0,0.0,547.5714285714286
90,2020-06-30,586.0,836.0,0.0,579.8571428571429
91,2020-07-01,560.0,833.0,0.0,616.8571428571429
92,2020-07-02,877.0,857.0,0.0,654.7142857142857
93,2020-07-03,528.0,778.0,0.0,671.4285714285714
94,2020-07-04,470.0,592.0,0.0,672.4285714285714
95,2020-07-05,531.0,437.0,0.0,680.2857142857143
96,2020-07-06,641.0,495.0,0.0,689.7142857142857
97,2020-07-07,677.0,1171.0,0.0,737.5714285714286
98,2020-07-08,691.0,1040.0,0.0,767.1428571428571
99,2020-07-09,747.0,1016.0,0.0,789.8571428571429
100,2020-07-10,676.0,958.0,0.0,815.5714285714286
101,2020-07-11,684.0,901.0,0.0,859.7142857142857
102,2020-07-12,702.0,512.0,0.0,870.4285714285714
103,2020-07-13,712.0,462.0,0.0,865.7142857142857
104,2020-07-14,996.0,1105.0,0.0,856.2857142857143
105,2020-07-15,1143.0,1037.0,0.0,855.8571428571429
106,2020-07-16,671.0,1006.0,0.0,854.4285714285714
107,2020-07-17,678.0,828.0,0.0,835.8571428571429
108,2020-07-18,739.0,917.0,0.0,838.1428571428571
109,2020-07-19,648.0,487.0,0.0,834.5714285714286
110,2020-07-20,695.0,368.0,0.0,821.1428571428571
111,2020-07-21,729.0,1091.0,0.0,819.1428571428571
112,2020-07-22,700.0,817.0,0.0,787.7142857142857
113,2020-07-23,706.0,892.0,0.0,771.4285714285714
114,2020-07-24,712.0,694.0,0.0,752.2857142857143
115,2020-07-25,733.0,714.0,0.0,723.2857142857143
116,2020-07-26,691.0,385.0,0.0,708.7142857142857
117,2020-07-27,700.0,362.0,0.0,707.8571428571429
118,2020-07-28,688.0,847.0,0.0,673.0
119,2020-07-29,703.0,721.0,0.0,659.2857142857143
120,2020-07-30,728.0,672.0,0.0,627.8571428571429
121,2020-07-31,713.0,634.0,0.0,619.2857142857143
122,2020-08-01,724.0,641.0,0.0,608.8571428571429
123,2020-08-02,662.0,401.0,0.0,611.1428571428571
124,2020-08-03,655.0,377.0,0.0,613.2857142857143
125,2020-08-04,706.0,884.0,0.0,618.5714285714286
126,2020-08-05,695.0,696.0,0.0,615.0
127,2020-08-06,644.0,716.0,0.0,621.2857142857143
128,2020-08-07,660.0,679.0,0.0,627.7142857142857
129,2020-08-08,577.0,634.0,0.0,626.7142857142857
130,2020-08-09,506.0,426.0,0.0,630.2857142857143
131,2020-08-10,657.0,343.0,0.0,625.4285714285714
132,2020-08-11,626.0,859.0,0.0,621.8571428571429
133,2020-08-12,652.0,876.0,0.0,647.5714285714286
