,date,beds,cases,vacc,cases_7day
0,2020-04-01,1188.0,993.0,0.0,993.0
1,2020-04-02,1245.0,1132.0,0.0,1062.5
2,2020-04-03,1477.0,1387.0,0.0,1170.6666666666667
3,2020-04-04,1549.0,1704.0,0.0,1304.0
4,2020-04-05,1588.0,1437.0,0.0,1330.6
5,2020-04-06,1736.0,1492.0,0.0,1357.5
6,2020-04-07,1839.0,1559.0,0.0,1386.2857142857142
7,2020-04-08,1754.0,1807.0,0.0,1502.5714285714287
8,2020-04-09,1737.0,2033.0,0.0,1631.2857142857142
9,2020-04-10,1770.0,1817.0,0.0,1692.7142857142858
10,2020-04-11,1673.0,1763.0,0.0,1701.142857142857
11,2020-04-12,1802.0,1180.0,0.0,1664.4285714285713
12,2020-04-13,1956.0,1311.0,0.0,1638.5714285714287
13,2020-04-14,2216.0,1096.0,0.0,1572.4285714285713
14,2020-04-15,2277.0,1233.0,0.0,1490.4285714285713
15,2020-04-16,2311.0,1326.0,0.0,1389.4285714285713
16,2020-04-17,2342.0,1824.0,0.0,1390.4285714285713
17,2020-04-18,2317.0,1791.0,0.0,1394.4285714285713
18,2020-04-19,2447.0,1311.0,0.0,1413.142857142857
19,2020-04-20,3375.0,943.0,0.0,1360.5714285714287
20,2020-04-21,3453.0,1246.0,0.0,1382.0
21,2020-04-22,3359.0,1296.0,0.0,1391.0
22,2020-04-23,3192.0,1824.0,0.0,1462.142857142857
23,2020-04-24,3191.0,1815.0,0.0,1460.857142857143
24,2020-04-25,3057.0,1433.0,0.0,1409.7142857142858
25,2020-04-26,3084.0,1328.0,0.0,1412.142857142857
26,2020-04-27,3219.0,952.0,0.0,1413.4285714285713
27,2020-04-28,3146.0,1398.0,0.0,1435.142857142857
28,2020-04-29,3097.0,1147.0,0.0,1413.857142857143
29,2020-04-30,3029.0,1597.0,0.0,1381.4285714285713
30,2020-05-01,3023.0,1463.0,0.0,1331.142857142857
31,2020-05-02,3045.0,1403.0,0.0,1326.857142857143
32,2020-05-03,2900.0,1073.0,0.0,1290.4285714285713
33,2020-05-04,2919.0,939.0,0.0,1288.5714285714287
34,2020-05-05,2985.0,871.0,0.0,1213.2857142857142
35,2020-05-06,2864.0,961.0,0.0,1186.7142857142858
36,2020-05-07,2747.0,1131.0,0.0,1120.142857142857
37,2020-05-08,3017.0,1478.0,0.0,1122.2857142857142
38,2020-05-09,8376.0,1164.0,0.0,1088.142857142857
39,2020-05-10,2625.0,1457.0,0.0,1143.0
40,2020-05-11,2592.0,574.0,0.0,1090.857142857143
41,2020-05-12,2848.0,806.0,0.0,1081.5714285714287
42,2020-05-13,2378.0,759.0,0.0,1052.7142857142858
43,2020-05-14,2285.0,983.0,0.0,1031.5714285714287
44,2020-05-15,2301.0,1047.0,0.0,970.0
45,2020-05-16,2191.0,1048.0,0.0,953.4285714285714
46,2020-05-17,2152.0,672.0,0.0,841.2857142857143
47,2020-05-18,2157.0,826.0,0.0,877.2857142857143
48,2020-05-19,2114.0,580.0,0.0,845.0
49,2020-05-20,2024.0,813.0,0.0,852.7142857142857
50,2020-05-21,1888.0,936.0,0.0,846.0
51,2020-05-22,1803.0,943.0,0.0,831.1428571428571
52,2020-05-23,1770.0,777.0,0.0,792.4285714285714
53,2020-05-24,1737.0,701.0,0.0,796.5714285714286
54,2020-05-25,1732.0,530.0,0.0,754.2857142857143
55,2020-05-26,1648.0,456.0,0.0,736.5714285714286
56,2020-05-27,1813.0,783.0,0.0,732.2857142857143
57,2020-05-28,1680.0,653.0,0.0,691.8571428571429
58,2020-05-29,1598.0,726.0,0.0,660.8571428571429
59,2020-05-30,1480.0,724.0,0.0,653.2857142857143
60,2020-05-31,1481.0,529.0,0.0,628.7142857142857
61,2020-06-01,1606.0,404.0,0.0,610.7142857142857
62,2020-06-02,1526.0,606.0,0.0,632.1428571428571
63,2020-06-03,1398.0,538.0,0.0,597.1428571428571
64,2020-06-04,1339.0,555.0,0.0,583.1428571428571
65,2020-06-05,1395.0,473.0,0.0,547.0
66,2020-06-06,1224.0,775.0,0.0,554.2857142857143
67,2020-06-07,1209.0,436.0,0.0,541.0
68,2020-06-08,1256.0,369.0,0.0,536.0
69,2020-06-09,1216.0,504.0,0.0,521.4285714285714
70,2020-06-10,1195.0,440.0,0.0,507.42857142857144
71,2020-06-11,1266.0,538.0,0.0,505.0
72,2020-06-12,1170.0,685.0,0.0,535.2857142857143
73,2020-06-13,1099.0,446.0,0.0,488.2857142857143
74,2020-06-14,975.0,349.0,0.0,475.85714285714283
75,2020-06-15,1670.0,354.0,0.0,473.7142857142857
76,2020-06-16,1273.0,353.0,0.0,452.14285714285717
77,2020-06-17,1257.0,367.0,0.0,441.7142857142857
78,2020-06-18,1170.0,449.0,0.0,429.0
79,2020-06-19,1149.0,551.0,0.0,409.85714285714283
80,2020-06-20,927.0,491.0,0.0,416.2857142857143
81,2020-06-21,887.0,470.0,0.0,433.57142857142856
82,2020-06-22,936.0,459.0,0.0,448.57142857142856
83,2020-06-23,939.0,526.0,0.0,473.2857142857143
84,2020-06-24,875.0,496.0,0.0,491.7142857142857
85,2020-06-25,858.0,593.0,0.0,512.2857142857143
86,2020-06-26,805.0,618.0,0.0,521.8571428571429
87,2020-06-27,691.0,629.0,0.0,541.5714285714286
88,2020-06-28,728.0,496.0,0.0,545.2857142857143
89,2020-06-29,820.0,556.0,0.0,559.1428571428571
90,2020-06-30,842.0,588.0,0.0,568.0
91,2020-07-01,851.0,658.0,0.0,591.1428571428571
92,2020-07-02,806.0,849.0,0.0,627.7142857142857
93,2020-07-03,739.0,792.0,0.0,652.5714285714286
94,2020-07-04,714.0,635.0,0.0,653.4285714285714
95,2020-07-05,730.0,537.0,0.0,659.2857142857143
96,2020-07-06,957.0,512.0,0.0,653.0
97,2020-07-07,880.0,905.0,0.0,698.2857142857143
98,2020-07-08,846.0,907.0,0.0,733.8571428571429
99,2020-07-09,810.0,735.0,0.0,717.5714285714286
