,date,beds,cases,vacc,cases_7day
0,2020-04-01,31.0,9.0,0.0,9.0
1,2020-04-02,37.0,86.0,0.0,47.5
2,2020-04-03,41.0,26.0,0.0,40.333333333333336
3,2020-04-04,39.0,16.0,0.0,34.25
4,2020-04-05,32.0,4.0,0.0,28.2
5,2020-04-06,42.0,27.0,0.0,28.0
6,2020-04-07,38.0,43.0,0.0,30.142857142857142
7,2020-04-08,39.0,76.0,0.0,39.714285714285715
8,2020-04-09,41.0,51.0,0.0,34.714285714285715
9,2020-04-10,297.0,10.0,0.0,32.42857142857143
10,2020-04-11,295.0,21.0,0.0,33.142857142857146
11,2020-04-12,289.0,0.0,0.0,32.57142857142857
12,2020-04-13,295.0,21.0,0.0,31.714285714285715
13,2020-04-14,300.0,22.0,0.0,28.714285714285715
14,2020-04-15,53.0,38.0,0.0,23.285714285714285
15,2020-04-16,58.0,54.0,0.0,23.714285714285715
16,2020-04-17,64.0,33.0,0.0,27.0
17,2020-04-18,66.0,9.0,0.0,25.285714285714285
18,2020-04-19,60.0,1.0,0.0,25.428571428571427
19,2020-04-20,61.0,20.0,0.0,25.285714285714285
20,2020-04-21,78.0,14.0,0.0,24.142857142857142
21,2020-04-22,73.0,18.0,0.0,21.285714285714285
22,2020-04-23,167.0,34.0,0.0,18.428571428571427
23,2020-04-24,230.0,30.0,0.0,18.0
24,2020-04-25,232.0,7.0,0.0,17.714285714285715
25,2020-04-26,210.0,0.0,0.0,17.571428571428573
26,2020-04-27,188.0,24.0,0.0,18.142857142857142
27,2020-04-28,183.0,12.0,0.0,17.857142857142858
28,2020-04-29,180.0,18.0,0.0,17.857142857142858
29,2020-04-30,164.0,19.0,0.0,15.714285714285714
30,2020-05-01,150.0,11.0,0.0,13.0
31,2020-05-02,146.0,3.0,0.0,12.428571428571429
32,2020-05-03,113.0,0.0,0.0,12.428571428571429
33,2020-05-04,112.0,12.0,0.0,10.714285714285714
34,2020-05-05,140.0,16.0,0.0,11.285714285714286
35,2020-05-06,143.0,26.0,0.0,12.428571428571429
36,2020-05-07,150.0,13.0,0.0,11.571428571428571
37,2020-05-08,164.0,24.0,0.0,13.428571428571429
38,2020-05-09,167.0,1.0,0.0,13.142857142857142
39,2020-05-10,126.0,2.0,0.0,13.428571428571429
40,2020-05-11,142.0,20.0,0.0,14.571428571428571
41,2020-05-12,209.0,12.0,0.0,14.0
42,2020-05-13,370.0,8.0,0.0,11.428571428571429
43,2020-05-14,372.0,97.0,0.0,23.428571428571427
44,2020-05-15,371.0,10.0,0.0,21.428571428571427
45,2020-05-16,338.0,2.0,0.0,21.571428571428573
46,2020-05-17,275.0,3.0,0.0,21.714285714285715
47,2020-05-18,114.0,8.0,0.0,20.0
48,2020-05-19,147.0,21.0,0.0,21.285714285714285
49,2020-05-20,111.0,45.0,0.0,26.571428571428573
50,2020-05-21,109.0,13.0,0.0,14.571428571428571
51,2020-05-22,113.0,21.0,0.0,16.142857142857142
52,2020-05-23,144.0,14.0,0.0,17.857142857142858
53,2020-05-24,109.0,1.0,0.0,17.571428571428573
54,2020-05-25,114.0,10.0,0.0,17.857142857142858
55,2020-05-26,111.0,9.0,0.0,16.142857142857142
56,2020-05-27,122.0,23.0,0.0,13.0
57,2020-05-28,146.0,14.0,0.0,13.142857142857142
58,2020-05-29,133.0,19.0,0.0,12.857142857142858
59,2020-05-30,152.0,1.0,0.0,11.0
60,2020-05-31,112.0,1.0,0.0,11.0
61,2020-06-01,130.0,34.0,0.0,14.428571428571429
62,2020-06-02,157.0,9.0,0.0,14.428571428571429
63,2020-06-03,209.0,37.0,0.0,16.428571428571427
64,2020-06-04,488.0,23.0,0.0,17.714285714285715
65,2020-06-05,475.0,19.0,0.0,17.714285714285715
66,2020-06-06,468.0,9.0,0.0,18.857142857142858
67,2020-06-07,436.0,4.0,0.0,19.285714285714285
68,2020-06-08,400.0,4.0,0.0,15.0
69,2020-06-09,106.0,49.0,0.0,20.714285714285715
70,2020-06-10,106.0,26.0,0.0,19.142857142857142
71,2020-06-11,101.0,28.0,0.0,19.857142857142858
72,2020-06-12,109.0,12.0,0.0,18.857142857142858
73,2020-06-13,133.0,12.0,0.0,19.285714285714285
74,2020-06-14,119.0,9.0,0.0,20.0
75,2020-06-15,482.0,3.0,0.0,19.857142857142858
76,2020-06-16,100.0,9.0,0.0,14.142857142857142
77,2020-06-17,86.0,49.0,0.0,17.428571428571427
78,2020-06-18,80.0,11.0,0.0,15.0
79,2020-06-19,82.0,16.0,0.0,15.571428571428571
80,2020-06-20,78.0,0.0,0.0,13.857142857142858
81,2020-06-21,64.0,0.0,0.0,12.571428571428571
82,2020-06-22,74.0,32.0,0.0,16.714285714285715
83,2020-06-23,85.0,7.0,0.0,16.428571428571427
84,2020-06-24,89.0,59.0,0.0,17.857142857142858
85,2020-06-25,91.0,18.0,0.0,18.857142857142858
86,2020-06-26,93.0,29.0,0.0,20.714285714285715
87,2020-06-27,100.0,49.0,0.0,27.714285714285715
88,2020-06-28,103.0,24.0,0.0,31.142857142857142
89,2020-06-29,114.0,35.0,0.0,31.571428571428573
90,2020-06-30,96.0,43.0,0.0,36.714285714285715
91,2020-07-01,124.0,50.0,0.0,35.42857142857143
92,2020-07-02,103.0,191.0,0.0,60.142857142857146
93,2020-07-03,111.0,59.0,0.0,64.42857142857143
94,2020-07-04,99.0,80.0,0.0,68.85714285714286
95,2020-07-05,112.0,29.0,0.0,69.57142857142857
96,2020-07-06,110.0,66.0,0.0,74.0
97,2020-07-07,125.0,136.0,0.0,87.28571428571429
98,2020-07-08,133.0,0.0,0.0,80.14285714285714
99,2020-07-09,152.0,93.0,0.0,66.14285714285714
100,2020-07-10,304.0,158.0,0.0,80.28571428571429
101,2020-07-11,183.0,323.0,0.0,115.0
102,2020-07-12,187.0,149.0,0.0,132.14285714285714
103,2020-07-13,171.0,85.0,0.0,134.85714285714286
104,2020-07-14,228.0,191.0,0.0,142.71428571428572
105,2020-07-15,6.0,205.0,0.0,172.0
106,2020-07-16,288.0,363.0,0.0,210.57142857142858
107,2020-07-17,450.0,239.0,0.0,222.14285714285714
108,2020-07-18,469.0,0.0,0.0,176.0
109,2020-07-19,467.0,265.0,0.0,192.57142857142858
110,2020-07-20,487.0,88.0,0.0,193.0
111,2020-07-21,527.0,241.0,0.0,200.14285714285714
112,2020-07-22,419.0,270.0,0.0,209.42857142857142
113,2020-07-23,448.0,275.0,0.0,196.85714285714286
114,2020-07-24,453.0,251.0,0.0,198.57142857142858
115,2020-07-25,571.0,176.0,0.0,223.71428571428572
116,2020-07-26,536.0,195.0,0.0,213.71428571428572
117,2020-07-27,514.0,111.0,0.0,217.0
118,2020-07-28,607.0,257.0,0.0,219.28571428571428
119,2020-07-29,496.0,97.0,0.0,194.57142857142858
120,2020-07-30,501.0,588.0,0.0,239.28571428571428
121,2020-07-31,492.0,591.0,0.0,287.85714285714283
122,2020-08-01,561.0,0.0,0.0,262.7142857142857
123,2020-08-02,559.0,308.0,0.0,278.85714285714283
124,2020-08-03,528.0,261.0,0.0,300.2857142857143
125,2020-08-04,508.0,155.0,0.0,285.7142857142857
126,2020-08-05,497.0,448.0,0.0,335.85714285714283
127,2020-08-06,446.0,409.0,0.0,310.2857142857143
128,2020-08-07,432.0,399.0,0.0,282.85714285714283
129,2020-08-08,395.0,390.0,0.0,338.57142857142856
130,2020-08-09,407.0,329.0,0.0,341.57142857142856
131,2020-08-10,337.0,519.0,0.0,378.42857142857144
132,2020-08-11,425.0,158.0,0.0,378.85714285714283
133,2020-08-12,447.0,434.0,0.0,376.85714285714283
134,2020-08-13,465.0,327.0,0.0,365.14285714285717
135,2020-08-14,431.0,176.0,0.0,333.2857142857143
136,2020-08-15,398.0,451.0,0.0,342.0
137,2020-08-16,381.0,610.0,0.0,382.14285714285717
138,2020-08-17,407.0,100.0,0.0,322.2857142857143
139,2020-08-18,409.0,128.0,0.0,318.0
140,2020-08-19,384.0,429.0,0.0,317.2857142857143
141,2020-08-20,412.0,303.0,0.0,313.85714285714283
142,2020-08-21,413.0,193.0,0.0,316.2857142857143
143,2020-08-22,409.0,452.0,0.0,316.42857142857144
144,2020-08-23,390.0,62.0,0.0,238.14285714285714
145,2020-08-24,380.0,19.0,0.0,226.57142857142858
146,2020-08-25,405.0,443.0,0.0,271.57142857142856
147,2020-08-26,410.0,291.0,0.0,251.85714285714286
148,2020-08-27,419.0,250.0,0.0,244.28571428571428
149,2020-08-28,424.0,186.0,0.0,243.28571428571428
150,2020-08-29,373.0,336.0,0.0,226.71428571428572
151,2020-08-30,375.0,0.0,0.0,217.85714285714286
152,2020-08-31,398.0,357.0,0.0,266.14285714285717
153,2020-09-01,409.0,133.0,0.0,221.85714285714286
154,2020-09-02,385.0,51.0,0.0,187.57142857142858
155,2020-09-03,371.0,155.0,0.0,174.0
156,2020-09-04,405.0,487.0,0.0,217.0
157,2020-09-05,389.0,105.0,0.0,184.0
158,2020-09-06,393.0,1.0,0.0,184.14285714285714
159,2020-09-07,387.0,0.0,0.0,133.14285714285714
160,2020-09-08,397.0,472.0,0.0,181.57142857142858
161,2020-09-09,419.0,145.0,0.0,195.0
162,2020-09-10,435.0,280.0,0.0,212.85714285714286
163,2020-09-11,415.0,179.0,0.0,168.85714285714286
164,2020-09-12,429.0,213.0,0.0,184.28571428571428
165,2020-09-13,405.0,252.0,0.0,220.14285714285714
166,2020-09-14,429.0,76.0,0.0,231.0
167,2020-09-15,423.0,397.0,0.0,220.28571428571428
168,2020-09-16,449.0,518.0,0.0,273.57142857142856
169,2020-09-17,462.0,736.0,0.0,338.7142857142857
170,2020-09-18,456.0,311.0,0.0,357.57142857142856
171,2020-09-19,426.0,348.0,0.0,376.85714285714283
172,2020-09-20,401.0,39.0,0.0,346.42857142857144
173,2020-09-21,406.0,0.0,0.0,335.57142857142856
174,2020-09-22,383.0,766.0,0.0,388.2857142857143
175,2020-09-23,392.0,691.0,0.0,413.0
176,2020-09-24,382.0,302.0,0.0,351.0
177,2020-09-25,393.0,530.0,0.0,382.2857142857143
178,2020-09-26,358.0,1059.0,0.0,483.85714285714283
179,2020-09-27,359.0,0.0,0.0,478.2857142857143
180,2020-09-28,358.0,198.0,0.0,506.57142857142856
181,2020-09-29,371.0,232.0,0.0,430.2857142857143
182,2020-09-30,342.0,332.0,0.0,379.0
183,2020-10-01,336.0,309.0,0.0,380.0
184,2020-10-02,363.0,0.0,0.0,304.2857142857143
185,2020-10-03,366.0,352.0,0.0,203.28571428571428
186,2020-10-04,344.0,230.0,0.0,236.14285714285714
187,2020-10-05,344.0,24.0,0.0,211.28571428571428
188,2020-10-06,344.0,369.0,0.0,230.85714285714286
189,2020-10-07,639.0,330.0,0.0,230.57142857142858
190,2020-10-08,643.0,230.0,0.0,219.28571428571428
191,2020-10-09,374.0,207.0,0.0,248.85714285714286
192,2020-10-10,366.0,249.0,0.0,234.14285714285714
193,2020-10-11,355.0,141.0,0.0,221.42857142857142
194,2020-10-12,350.0,533.0,0.0,294.14285714285717
195,2020-10-13,336.0,339.0,0.0,289.85714285714283
196,2020-10-14,384.0,222.0,0.0,274.42857142857144
197,2020-10-15,399.0,140.0,0.0,261.57142857142856
198,2020-10-16,381.0,418.0,0.0,291.7142857142857
199,2020-10-17,353.0,405.0,0.0,314.0
200,2020-10-18,333.0,432.0,0.0,355.57142857142856
201,2020-10-19,404.0,130.0,0.0,298.0
202,2020-10-20,462.0,162.0,0.0,272.7142857142857
203,2020-10-21,465.0,1179.0,0.0,409.42857142857144
204,2020-10-22,486.0,191.0,0.0,416.7142857142857
205,2020-10-23,466.0,692.0,0.0,455.85714285714283
206,2020-10-24,470.0,455.0,0.0,463.0
207,2020-10-25,442.0,242.0,0.0,435.85714285714283
208,2020-10-26,448.0,58.0,0.0,425.57142857142856
209,2020-10-27,468.0,743.0,0.0,508.57142857142856
210,2020-10-28,518.0,619.0,0.0,428.57142857142856
211,2020-10-29,520.0,285.0,0.0,442.0
212,2020-10-30,550.0,414.0,0.0,402.2857142857143
213,2020-10-31,499.0,945.0,0.0,472.2857142857143
214,2020-11-01,496.0,372.0,0.0,490.85714285714283
215,2020-11-02,535.0,68.0,0.0,492.2857142857143
216,2020-11-03,505.0,319.0,0.0,431.7142857142857
217,2020-11-04,559.0,811.0,0.0,459.14285714285717
218,2020-11-05,516.0,614.0,0.0,506.14285714285717
219,2020-11-06,544.0,520.0,0.0,521.2857142857143
220,2020-11-07,542.0,489.0,0.0,456.14285714285717
221,2020-11-08,527.0,284.0,0.0,443.57142857142856
222,2020-11-09,571.0,264.0,0.0,471.57142857142856
223,2020-11-10,585.0,1450.0,0.0,633.1428571428571
224,2020-11-11,594.0,669.0,0.0,612.8571428571429
225,2020-11-12,611.0,687.0,0.0,623.2857142857143
226,2020-11-13,604.0,766.0,0.0,658.4285714285714
227,2020-11-14,570.0,562.0,0.0,668.8571428571429
228,2020-11-15,543.0,569.0,0.0,709.5714285714286
229,2020-11-16,581.0,357.0,0.0,722.8571428571429
230,2020-11-17,613.0,513.0,0.0,589.0
231,2020-11-18,609.0,930.0,0.0,626.2857142857143
232,2020-11-19,607.0,1083.0,0.0,682.8571428571429
233,2020-11-20,678.0,1181.0,0.0,742.1428571428571
234,2020-11-21,678.0,808.0,0.0,777.2857142857143
235,2020-11-22,665.0,357.0,0.0,747.0
236,2020-11-23,691.0,212.0,0.0,726.2857142857143
237,2020-11-24,712.0,482.0,0.0,721.8571428571429
238,2020-11-25,676.0,1491.0,0.0,802.0
239,2020-11-26,653.0,908.0,0.0,777.0
240,2020-11-27,630.0,168.0,0.0,632.2857142857143
241,2020-11-28,623.0,805.0,0.0,631.8571428571429
242,2020-11-29,659.0,806.0,0.0,696.0
243,2020-11-30,701.0,391.0,0.0,721.5714285714286
244,2020-12-01,733.0,408.0,0.0,711.0
245,2020-12-02,727.0,507.0,0.0,570.4285714285714
246,2020-12-03,722.0,882.0,0.0,566.7142857142857
247,2020-12-04,737.0,1193.0,0.0,713.1428571428571
248,2020-12-05,695.0,928.0,0.0,730.7142857142857
249,2020-12-06,695.0,754.0,0.0,723.2857142857143
250,2020-12-07,678.0,674.0,0.0,763.7142857142857
251,2020-12-08,690.0,470.0,0.0,772.5714285714286
252,2020-12-09,705.0,1669.0,0.0,938.5714285714286
253,2020-12-10,717.0,765.0,0.0,921.8571428571429
254,2020-12-11,687.0,754.0,0.0,859.1428571428571
255,2020-12-12,684.0,525.0,0.0,801.5714285714286
256,2020-12-13,660.0,420.0,0.0,753.8571428571429
257,2020-12-14,679.0,260.0,0.0,694.7142857142857
258,2020-12-15,655.0,1053.0,0.0,778.0
259,2020-12-16,655.0,1467.0,0.0,749.1428571428571
260,2020-12-17,669.0,1159.0,2129.0,805.4285714285714
261,2020-12-18,630.0,1126.0,2129.0,858.5714285714286
262,2020-12-19,593.0,416.0,5791.0,843.0
263,2020-12-20,570.0,1029.0,9502.0,930.0
264,2020-12-21,569.0,582.0,11247.0,976.0
265,2020-12-22,588.0,313.0,11249.0,870.2857142857143
266,2020-12-23,589.0,595.0,14312.0,745.7142857142857
267,2020-12-24,558.0,1042.0,17042.0,729.0
268,2020-12-25,487.0,863.0,20192.0,691.4285714285714
269,2020-12-26,462.0,365.0,22578.0,684.1428571428571
270,2020-12-27,457.0,1875.0,22578.0,805.0
271,2020-12-28,480.0,98.0,24281.0,735.8571428571429
272,2020-12-29,504.0,419.0,29214.0,751.0
273,2020-12-30,472.0,750.0,29214.0,773.1428571428571
274,2020-12-31,460.0,805.0,35300.0,739.2857142857143
275,2021-01-01,444.0,253.0,42617.0,652.1428571428571
276,2021-01-02,403.0,616.0,42795.0,688.0
277,2021-01-03,433.0,405.0,42795.0,478.0
278,2021-01-04,435.0,277.0,44633.0,503.57142857142856
279,2021-01-05,463.0,295.0,51071.0,485.85714285714283
280,2021-01-06,442.0,1733.0,51071.0,626.2857142857143
281,2021-01-07,452.0,551.0,51428.0,590.0
282,2021-01-08,458.0,441.0,51428.0,616.8571428571429
283,2021-01-09,438.0,360.0,60028.0,580.2857142857143
284,2021-01-10,421.0,997.0,73418.0,664.8571428571429
285,2021-01-11,412.0,215.0,74559.0,656.0
286,2021-01-12,410.0,194.0,84432.0,641.5714285714286
287,2021-01-13,422.0,1125.0,84432.0,554.7142857142857
288,2021-01-14,433.0,566.0,94880.0,556.8571428571429
289,2021-01-15,410.0,810.0,113572.0,609.5714285714286
290,2021-01-16,403.0,544.0,113572.0,635.8571428571429
291,2021-01-17,387.0,435.0,123093.0,555.5714285714286
292,2021-01-18,380.0,146.0,123093.0,545.7142857142857
293,2021-01-19,385.0,217.0,129530.0,549.0
294,2021-01-20,357.0,513.0,136630.0,461.57142857142856
295,2021-01-21,374.0,791.0,147795.0,493.7142857142857
296,2021-01-22,372.0,978.0,161528.0,517.7142857142857
297,2021-01-23,337.0,558.0,173242.0,519.7142857142857
298,2021-01-24,320.0,472.0,184173.0,525.0
299,2021-01-25,323.0,175.0,187617.0,529.1428571428571
300,2021-01-26,329.0,291.0,188681.0,539.7142857142857
301,2021-01-27,322.0,475.0,199762.0,534.2857142857143
302,2021-01-28,303.0,419.0,212179.0,481.14285714285717
303,2021-01-29,298.0,206.0,224303.0,370.85714285714283
304,2021-01-30,295.0,602.0,236060.0,377.14285714285717
305,2021-01-31,298.0,277.0,249394.0,349.2857142857143
306,2021-02-01,300.0,133.0,253439.0,343.2857142857143
307,2021-02-02,310.0,321.0,253439.0,347.57142857142856
308,2021-02-03,335.0,77.0,266671.0,290.7142857142857
309,2021-02-04,298.0,302.0,278321.0,274.0
310,2021-02-05,301.0,468.0,288024.0,311.42857142857144
311,2021-02-06,283.0,300.0,299694.0,268.2857142857143
312,2021-02-07,278.0,229.0,299694.0,261.42857142857144
313,2021-02-08,320.0,102.0,299694.0,257.0
314,2021-02-09,275.0,147.0,314047.0,232.14285714285714
315,2021-02-10,282.0,289.0,324368.0,262.42857142857144
316,2021-02-11,301.0,392.0,336959.0,275.2857142857143
317,2021-02-12,268.0,284.0,336959.0,249.0
318,2021-02-13,229.0,217.0,370837.0,237.14285714285714
319,2021-02-14,243.0,366.0,382721.0,256.7142857142857
320,2021-02-15,236.0,116.0,382721.0,258.7142857142857
321,2021-02-16,241.0,78.0,387180.0,248.85714285714286
322,2021-02-17,269.0,138.0,392136.0,227.28571428571428
323,2021-02-18,263.0,221.0,408058.0,202.85714285714286
324,2021-02-19,240.0,252.0,448755.0,198.28571428571428
325,2021-02-20,224.0,167.0,463527.0,191.14285714285714
326,2021-02-21,229.0,226.0,476475.0,171.14285714285714
327,2021-02-22,261.0,54.0,476647.0,162.28571428571428
328,2021-02-23,252.0,101.0,480439.0,165.57142857142858
329,2021-02-24,262.0,250.0,495114.0,181.57142857142858
330,2021-02-25,204.0,192.0,510041.0,177.42857142857142
331,2021-02-26,191.0,267.0,536377.0,179.57142857142858
332,2021-02-27,191.0,289.0,538085.0,197.0
333,2021-02-28,165.0,145.0,549615.0,185.42857142857142
334,2021-03-01,178.0,47.0,554664.0,184.42857142857142
335,2021-03-02,183.0,105.0,554694.0,185.0
336,2021-03-03,190.0,213.0,568025.0,179.71428571428572
337,2021-03-04,191.0,264.0,595224.0,190.0
338,2021-03-05,156.0,349.0,596130.0,201.71428571428572
339,2021-03-06,160.0,179.0,611567.0,186.0
340,2021-03-07,146.0,132.0,628400.0,184.14285714285714
341,2021-03-08,171.0,74.0,633344.0,188.0
342,2021-03-09,184.0,60.0,635352.0,181.57142857142858
343,2021-03-10,184.0,365.0,674636.0,203.28571428571428
344,2021-03-11,169.0,160.0,675568.0,188.42857142857142
345,2021-03-12,158.0,240.0,698082.0,172.85714285714286
346,2021-03-13,177.0,203.0,748875.0,176.28571428571428
347,2021-03-14,166.0,224.0,748875.0,189.42857142857142
348,2021-03-15,157.0,74.0,748982.0,189.42857142857142
349,2021-03-16,171.0,68.0,764943.0,190.57142857142858
350,2021-03-17,159.0,345.0,788188.0,187.71428571428572
351,2021-03-18,164.0,220.0,814157.0,196.28571428571428
352,2021-03-19,156.0,328.0,839948.0,208.85714285714286
