,date,beds,cases,vacc,cases_7day
0,2020-04-01,105.0,69.0,0.0,69.0
1,2020-04-02,122.0,103.0,0.0,86.0
2,2020-04-03,152.0,65.0,0.0,79.0
3,2020-04-04,162.0,98.0,0.0,83.75
4,2020-04-05,174.0,135.0,0.0,94.0
5,2020-04-06,229.0,185.0,0.0,109.16666666666667
6,2020-04-07,228.0,216.0,0.0,124.42857142857143
7,2020-04-08,214.0,259.0,0.0,151.57142857142858
8,2020-04-09,226.0,274.0,0.0,176.0
9,2020-04-10,251.0,286.0,0.0,207.57142857142858
10,2020-04-11,294.0,392.0,0.0,249.57142857142858
11,2020-04-12,276.0,280.0,0.0,270.2857142857143
12,2020-04-13,380.0,289.0,0.0,285.14285714285717
13,2020-04-14,405.0,184.0,0.0,280.57142857142856
14,2020-04-15,374.0,268.0,0.0,281.85714285714283
15,2020-04-16,368.0,317.0,0.0,288.0
16,2020-04-17,378.0,384.0,0.0,302.0
17,2020-04-18,377.0,284.0,0.0,286.57142857142856
18,2020-04-19,398.0,285.0,0.0,287.2857142857143
19,2020-04-20,409.0,340.0,0.0,294.57142857142856
20,2020-04-21,438.0,377.0,0.0,322.14285714285717
21,2020-04-22,437.0,382.0,0.0,338.42857142857144
22,2020-04-23,378.0,389.0,0.0,348.7142857142857
23,2020-04-24,462.0,423.0,0.0,354.2857142857143
24,2020-04-25,427.0,410.0,0.0,372.2857142857143
25,2020-04-26,456.0,297.0,0.0,374.0
26,2020-04-27,483.0,285.0,0.0,366.14285714285717
27,2020-04-28,424.0,203.0,0.0,341.2857142857143
28,2020-04-29,149.0,348.0,0.0,336.42857142857144
29,2020-04-30,222.0,357.0,0.0,331.85714285714283
30,2020-05-01,288.0,345.0,0.0,320.7142857142857
31,2020-05-02,405.0,295.0,0.0,304.2857142857143
32,2020-05-03,245.0,191.0,0.0,289.14285714285717
33,2020-05-04,415.0,177.0,0.0,273.7142857142857
34,2020-05-05,404.0,276.0,0.0,284.14285714285717
35,2020-05-06,352.0,302.0,0.0,277.57142857142856
36,2020-05-07,354.0,323.0,0.0,272.7142857142857
37,2020-05-08,309.0,270.0,0.0,262.0
38,2020-05-09,324.0,229.0,0.0,252.57142857142858
39,2020-05-10,347.0,285.0,0.0,266.0
