,date,beds,cases,vacc,cases_7day
0,2020-04-01,103.0,161.0,0.0,161.0
1,2020-04-02,123.0,219.0,0.0,190.0
2,2020-04-03,99.0,255.0,0.0,211.66666666666666
3,2020-04-04,116.0,150.0,0.0,196.25
4,2020-04-05,130.0,222.0,0.0,201.4
5,2020-04-06,185.0,139.0,0.0,191.0
6,2020-04-07,188.0,185.0,0.0,190.14285714285714
7,2020-04-08,185.0,198.0,0.0,195.42857142857142
8,2020-04-09,191.0,139.0,0.0,184.0
9,2020-04-10,316.0,251.0,0.0,183.42857142857142
10,2020-04-11,382.0,266.0,0.0,200.0
11,2020-04-12,387.0,142.0,0.0,188.57142857142858
12,2020-04-13,433.0,116.0,0.0,185.28571428571428
13,2020-04-14,428.0,123.0,0.0,176.42857142857142
14,2020-04-15,413.0,129.0,0.0,166.57142857142858
15,2020-04-16,450.0,95.0,0.0,160.28571428571428
16,2020-04-17,460.0,267.0,0.0,162.57142857142858
17,2020-04-18,443.0,159.0,0.0,147.28571428571428
18,2020-04-19,422.0,161.0,0.0,150.0
19,2020-04-20,444.0,138.0,0.0,153.14285714285714
20,2020-04-21,496.0,66.0,0.0,145.0
21,2020-04-22,495.0,181.0,0.0,152.42857142857142
22,2020-04-23,491.0,143.0,0.0,159.28571428571428
23,2020-04-24,489.0,147.0,0.0,142.14285714285714
24,2020-04-25,446.0,174.0,0.0,144.28571428571428
25,2020-04-26,445.0,256.0,0.0,157.85714285714286
26,2020-04-27,486.0,151.0,0.0,159.71428571428572
27,2020-04-28,489.0,151.0,0.0,171.85714285714286
28,2020-04-29,473.0,110.0,0.0,161.71428571428572
29,2020-04-30,456.0,117.0,0.0,158.0
30,2020-05-01,430.0,203.0,0.0,166.0
31,2020-05-02,409.0,160.0,0.0,164.0
32,2020-05-03,406.0,199.0,0.0,155.85714285714286
33,2020-05-04,517.0,141.0,0.0,154.42857142857142
34,2020-05-05,528.0,121.0,0.0,150.14285714285714
35,2020-05-06,512.0,92.0,0.0,147.57142857142858
36,2020-05-07,523.0,94.0,0.0,144.28571428571428
37,2020-05-08,543.0,204.0,0.0,144.42857142857142
38,2020-05-09,486.0,233.0,0.0,154.85714285714286
39,2020-05-10,479.0,175.0,0.0,151.42857142857142
40,2020-05-11,498.0,107.0,0.0,146.57142857142858
41,2020-05-12,496.0,139.0,0.0,149.14285714285714
42,2020-05-13,504.0,147.0,0.0,157.0
43,2020-05-14,468.0,132.0,0.0,162.42857142857142
44,2020-05-15,468.0,200.0,0.0,161.85714285714286
45,2020-05-16,448.0,245.0,0.0,163.57142857142858
46,2020-05-17,439.0,308.0,0.0,182.57142857142858
47,2020-05-18,470.0,159.0,0.0,190.0
48,2020-05-19,476.0,159.0,0.0,192.85714285714286
49,2020-05-20,478.0,135.0,0.0,191.14285714285714
50,2020-05-21,449.0,156.0,0.0,194.57142857142858
51,2020-05-22,461.0,230.0,0.0,198.85714285714286
52,2020-05-23,457.0,279.0,0.0,203.71428571428572
53,2020-05-24,452.0,272.0,0.0,198.57142857142858
54,2020-05-25,412.0,207.0,0.0,205.42857142857142
55,2020-05-26,475.0,100.0,0.0,197.0
56,2020-05-27,420.0,336.0,0.0,225.71428571428572
57,2020-05-28,418.0,219.0,0.0,234.71428571428572
58,2020-05-29,414.0,183.0,0.0,228.0
59,2020-05-30,426.0,324.0,0.0,234.42857142857142
60,2020-05-31,448.0,411.0,0.0,254.28571428571428
61,2020-06-01,473.0,361.0,0.0,276.2857142857143
62,2020-06-02,462.0,266.0,0.0,300.0
63,2020-06-03,482.0,266.0,0.0,290.0
64,2020-06-04,489.0,242.0,0.0,293.2857142857143
65,2020-06-05,535.0,434.0,0.0,329.14285714285717
66,2020-06-06,520.0,496.0,0.0,353.7142857142857
67,2020-06-07,515.0,521.0,0.0,369.42857142857144
68,2020-06-08,542.0,381.0,0.0,372.2857142857143
69,2020-06-09,590.0,541.0,0.0,411.57142857142856
70,2020-06-10,488.0,456.0,0.0,438.7142857142857
71,2020-06-11,537.0,496.0,0.0,475.0
72,2020-06-12,525.0,689.0,0.0,511.42857142857144
73,2020-06-13,512.0,873.0,0.0,565.2857142857143
74,2020-06-14,535.0,838.0,0.0,610.5714285714286
75,2020-06-15,558.0,766.0,0.0,665.5714285714286
76,2020-06-16,594.0,615.0,0.0,676.1428571428571
77,2020-06-17,637.0,577.0,0.0,693.4285714285714
78,2020-06-18,640.0,594.0,0.0,707.4285714285714
79,2020-06-19,663.0,996.0,0.0,751.2857142857143
80,2020-06-20,683.0,1081.0,0.0,781.0
81,2020-06-21,751.0,1173.0,0.0,828.8571428571429
82,2020-06-22,777.0,908.0,0.0,849.1428571428571
83,2020-06-23,832.0,1013.0,0.0,906.0
84,2020-06-24,914.0,914.0,0.0,954.1428571428571
85,2020-06-25,897.0,1304.0,0.0,1055.5714285714287
86,2020-06-26,900.0,1146.0,0.0,1077.0
87,2020-06-27,957.0,1291.0,0.0,1107.0
88,2020-06-28,1012.0,1608.0,0.0,1169.142857142857
89,2020-06-29,1100.0,1446.0,0.0,1246.0
90,2020-06-30,1050.0,1333.0,0.0,1291.7142857142858
91,2020-07-01,1180.0,1990.0,0.0,1445.4285714285713
92,2020-07-02,1167.0,1636.0,0.0,1492.857142857143
93,2020-07-03,1210.0,2270.0,0.0,1653.4285714285713
94,2020-07-04,1267.0,1539.0,0.0,1688.857142857143
95,2020-07-05,1332.0,1839.0,0.0,1721.857142857143
96,2020-07-06,1335.0,1465.0,0.0,1724.5714285714287
97,2020-07-07,1405.0,1503.0,0.0,1748.857142857143
98,2020-07-08,1479.0,933.0,0.0,1597.857142857143
99,2020-07-09,1454.0,1543.0,0.0,1584.5714285714287
100,2020-07-10,1412.0,1968.0,0.0,1541.4285714285713
101,2020-07-11,1424.0,1876.0,0.0,1589.5714285714287
102,2020-07-12,1440.0,2255.0,0.0,1649.0
103,2020-07-13,1504.0,1908.0,0.0,1712.2857142857142
104,2020-07-14,1565.0,1510.0,0.0,1713.2857142857142
105,2020-07-15,1652.0,2207.0,0.0,1895.2857142857142
106,2020-07-16,1641.0,1857.0,0.0,1940.142857142857
107,2020-07-17,1673.0,1998.0,0.0,1944.4285714285713
108,2020-07-18,1572.0,2066.0,0.0,1971.5714285714287
109,2020-07-19,1498.0,1553.0,0.0,1871.2857142857142
110,2020-07-20,1549.0,2358.0,0.0,1935.5714285714287
111,2020-07-21,1616.0,1456.0,0.0,1927.857142857143
112,2020-07-22,1676.0,1975.0,0.0,1894.7142857142858
113,2020-07-23,1578.0,1762.0,0.0,1881.142857142857
114,2020-07-24,1592.0,1715.0,0.0,1840.7142857142858
115,2020-07-25,1850.0,1935.0,0.0,1822.0
116,2020-07-26,1689.0,1600.0,0.0,1828.7142857142858
117,2020-07-27,1534.0,1203.0,0.0,1663.7142857142858
118,2020-07-28,1553.0,1221.0,0.0,1630.142857142857
119,2020-07-29,1519.0,1640.0,0.0,1582.2857142857142
120,2020-07-30,1481.0,1736.0,0.0,1578.5714285714287
