,date,beds,cases,vacc,cases_7day
0,2020-04-01,6.0,21.0,0.0,21.0
1,2020-04-02,6.0,36.0,0.0,28.5
2,2020-04-03,6.0,22.0,0.0,26.333333333333332
3,2020-04-04,10.0,25.0,0.0,26.0
4,2020-04-05,6.0,28.0,0.0,26.4
5,2020-04-06,7.0,48.0,0.0,30.0
6,2020-04-07,4.0,32.0,0.0,30.285714285714285
7,2020-04-08,4.0,73.0,0.0,37.714285714285715
8,2020-04-09,8.0,54.0,0.0,40.285714285714285
9,2020-04-10,7.0,89.0,0.0,49.857142857142854
10,2020-04-11,4.0,90.0,0.0,59.142857142857146
11,2020-04-12,1.0,104.0,0.0,70.0
12,2020-04-13,1.0,138.0,0.0,82.85714285714286
13,2020-04-14,3.0,300.0,0.0,121.14285714285714
14,2020-04-15,1.0,0.0,0.0,110.71428571428571
15,2020-04-16,2.0,143.0,0.0,123.42857142857143
16,2020-04-17,3.0,100.0,0.0,125.0
17,2020-04-18,2.0,131.0,0.0,130.85714285714286
18,2020-04-19,5.0,93.0,0.0,129.28571428571428
19,2020-04-20,8.0,50.0,0.0,116.71428571428571
20,2020-04-21,8.0,69.0,0.0,83.71428571428571
21,2020-04-22,8.0,104.0,0.0,98.57142857142857
22,2020-04-23,43.0,98.0,0.0,92.14285714285714
23,2020-04-24,60.0,84.0,0.0,89.85714285714286
24,2020-04-25,55.0,107.0,0.0,86.42857142857143
25,2020-04-26,54.0,65.0,0.0,82.42857142857143
26,2020-04-27,43.0,33.0,0.0,80.0
27,2020-04-28,46.0,68.0,0.0,79.85714285714286
28,2020-04-29,45.0,60.0,0.0,73.57142857142857
29,2020-04-30,91.0,76.0,0.0,70.42857142857143
30,2020-05-01,90.0,76.0,0.0,69.28571428571429
31,2020-05-02,86.0,63.0,0.0,63.0
32,2020-05-03,77.0,43.0,0.0,59.857142857142854
33,2020-05-04,45.0,37.0,0.0,60.42857142857143
34,2020-05-05,73.0,53.0,0.0,58.285714285714285
35,2020-05-06,78.0,58.0,0.0,58.0
36,2020-05-07,88.0,126.0,0.0,65.14285714285714
37,2020-05-08,95.0,239.0,0.0,88.42857142857143
38,2020-05-09,60.0,249.0,0.0,115.0
39,2020-05-10,51.0,124.0,0.0,126.57142857142857
40,2020-05-11,90.0,97.0,0.0,135.14285714285714
41,2020-05-12,93.0,49.0,0.0,134.57142857142858
42,2020-05-13,87.0,69.0,0.0,136.14285714285714
43,2020-05-14,93.0,60.0,0.0,126.71428571428571
44,2020-05-15,81.0,95.0,0.0,106.14285714285714
45,2020-05-16,51.0,72.0,0.0,80.85714285714286
46,2020-05-17,84.0,28.0,0.0,67.14285714285714
47,2020-05-18,81.0,40.0,0.0,59.0
48,2020-05-19,54.0,58.0,0.0,60.285714285714285
49,2020-05-20,86.0,92.0,0.0,63.57142857142857
50,2020-05-21,66.0,73.0,0.0,65.42857142857143
51,2020-05-22,66.0,106.0,0.0,67.0
52,2020-05-23,94.0,112.0,0.0,72.71428571428571
