date,state,inpatient_beds_used,inpatient_beds_used_covid,tot_cases,new_case,Administered,Administered_lag
2020-03-28,new_england,1315.0,266.0,6658,1381,0,
2020-03-29,new_england,2026.0,381.0,7998,1340,0,
2020-03-30,new_england,3135.0,543.0,9604,1606,0,
2020-03-31,new_england,4052.0,772.0,11200,1596,0,
2020-04-01,new_england,5025.0,948.0,12932,1732,0,
2020-04-02,new_england,6019.0,1324.0,14662,1730,0,
2020-04-03,new_england,6083.0,1381.0,17400,2738,0,
2020-04-04,new_england,5663.0,1372.0,19361,1961,0,
2020-04-05,new_england,5336.0,1411.0,20771,1410,0,
2020-04-06,new_england,5962.0,1658.0,23628,2857,0,
2020-04-07,new_england,6017.0,1689.0,26167,2539,0,
2020-04-08,new_england,6835.0,1785.0,28878,2711,0,
2020-04-09,new_england,6808.0,1977.0,32601,3723,0,
2020-04-10,new_england,7036.0,2073.0,35274,2673,0,
2020-04-11,new_england,6948.0,2139.0,40225,4951,0,0.0
2020-04-12,new_england,7073.0,2131.0,42678,2453,0,0.0
2020-04-13,new_england,8215.0,2517.0,45823,3145,0,0.0
2020-04-14,new_england,9061.0,2757.0,48023,2200,0,0.0
2020-04-15,new_england,9260.0,2756.0,50905,2882,0,0.0
2020-04-16,new_england,10125.0,2913.0,54719,3814,0,0.0
2020-04-17,new_england,10180.0,2833.0,58367,3648,0,0.0
2020-04-18,new_england,10282.0,2748.0,61446,3079,0,0.0
2020-04-19,new_england,10065.0,2717.0,63929,2483,0,0.0
2020-04-20,new_england,10536.0,2942.0,67754,3825,0,0.0
2020-04-21,new_england,14191.0,4372.0,70292,2538,0,0.0
2020-04-22,new_england,15243.0,4435.0,74649,4357,0,0.0
2020-04-23,new_england,15670.0,4429.0,78863,4214,0,0.0
2020-04-24,new_england,23961.0,7253.0,85134,6271,0,0.0
2020-04-25,new_england,23729.0,7121.0,88682,3548,0,0.0
2020-04-26,new_england,23788.0,7165.0,91372,2690,0,0.0
2020-04-27,new_england,23688.0,7121.0,94003,2631,0,0.0
2020-04-28,new_england,23263.0,7094.0,96454,2451,0,0.0
2020-04-29,new_england,22597.0,6606.0,99304,2850,0,0.0
2020-04-30,new_england,22532.0,6512.0,102656,3352,0,0.0
2020-05-01,new_england,22826.0,6489.0,106349,3693,0,0.0
2020-05-02,new_england,23168.0,6629.0,109270,2921,0,0.0
2020-05-03,new_england,22907.0,6447.0,111463,2193,0,0.0
2020-05-04,new_england,23074.0,6548.0,113397,1934,0,0.0
2020-05-05,new_england,23613.0,6541.0,115586,2189,0,0.0
2020-05-06,new_england,23635.0,6309.0,118123,2537,0,0.0
2020-05-07,new_england,23831.0,6115.0,121158,3035,0,0.0
2020-05-08,new_england,23791.0,6092.0,123772,2614,0,0.0
2020-05-09,new_england,23569.0,5962.0,126110,2338,0,0.0
2020-05-10,new_england,23151.0,5783.0,128105,1995,0,0.0
2020-05-11,new_england,23190.0,5774.0,129268,1163,0,0.0
2020-05-12,new_england,24189.0,5873.0,131013,1745,0,0.0
2020-05-13,new_england,24233.0,5634.0,132983,1970,0,0.0
2020-05-14,new_england,24395.0,5313.0,135645,2662,0,0.0
2020-05-15,new_england,24854.0,5273.0,137861,2216,0,0.0
2020-05-16,new_england,23012.0,4887.0,140355,2494,0,0.0
2020-05-17,new_england,23788.0,4938.0,142463,2108,0,0.0
2020-05-18,new_england,23656.0,4901.0,144408,1945,0,0.0
2020-05-19,new_england,22597.0,4556.0,145883,1475,0,0.0
2020-05-20,new_england,23745.0,4605.0,147931,2048,0,0.0
2020-05-21,new_england,22256.0,4213.0,149560,1629,0,0.0
2020-05-22,new_england,23614.0,4356.0,151053,1493,0,0.0
2020-05-23,new_england,23299.0,4148.0,152541,1488,0,0.0
2020-05-24,new_england,22897.0,4151.0,154229,1688,0,0.0
2020-05-25,new_england,22300.0,4081.0,155403,1174,0,0.0
2020-05-26,new_england,22733.0,4146.0,156368,965,0,0.0
2020-05-27,new_england,23414.0,4201.0,157170,802,0,0.0
2020-05-28,new_england,23543.0,4067.0,158386,1216,0,0.0
2020-05-29,new_england,23837.0,3579.0,159495,1109,0,0.0
2020-05-30,new_england,23811.0,3412.0,160815,1320,0,0.0
2020-05-31,new_england,23679.0,3316.0,161901,1086,0,0.0
2020-06-01,new_england,23264.0,3080.0,162906,1005,0,0.0
2020-06-02,new_england,24688.0,2977.0,163592,686,0,0.0
2020-06-03,new_england,25263.0,2969.0,164274,682,0,0.0
