date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,32.0,141,0,
2020-03-29,737513,48.0,129,0,129.0
2020-03-30,737514,99.0,249,0,189.0
2020-03-31,737515,191.0,211,0,196.33333333333334
2020-04-01,737516,246.0,196,0,196.25
2020-04-02,737517,237.0,223,0,201.6
2020-04-03,737518,277.0,208,0,202.66666666666666
2020-04-04,737519,330.0,145,0,194.42857142857142
2020-04-05,737520,281.0,157,0,198.42857142857142
2020-04-06,737521,310.0,299,0,205.57142857142858
2020-04-07,737522,405.0,236,0,209.14285714285714
2020-04-08,737523,505.0,203,0,210.14285714285714
2020-04-09,737524,475.0,208,0,208.0
2020-04-10,737525,439.0,179,0,203.85714285714286
2020-04-11,737526,432.0,119,0,200.14285714285714
2020-04-12,737527,426.0,112,0,193.71428571428572
2020-04-13,737528,537.0,260,0,188.14285714285714
2020-04-14,737529,662.0,176,0,179.57142857142858
2020-04-15,737530,499.0,165,0,174.14285714285714
2020-04-16,737531,466.0,211,0,174.57142857142858
2020-04-17,737532,449.0,206,0,178.42857142857142
2020-04-18,737533,391.0,193,0,189.0
2020-04-19,737534,421.0,126,0,191.0
2020-04-20,737535,543.0,291,0,195.42857142857142
2020-04-21,737536,429.0,256,0,206.85714285714286
2020-04-22,737537,429.0,244,0,218.14285714285714
2020-04-23,737538,367.0,203,0,217.0
2020-04-24,737539,343.0,210,0,217.57142857142858
2020-04-25,737540,358.0,215,0,220.71428571428572
2020-04-26,737541,360.0,172,0,227.28571428571428
2020-04-27,737542,402.0,331,0,233.0
2020-04-28,737543,387.0,310,0,240.71428571428572
2020-04-29,737544,452.0,262,0,243.28571428571428
2020-04-30,737545,416.0,296,0,256.57142857142856
2020-05-01,737546,434.0,348,0,276.2857142857143
2020-05-02,737547,444.0,133,0,264.57142857142856
2020-05-03,737548,374.0,169,0,264.14285714285717
2020-05-04,737549,389.0,327,0,263.57142857142856
2020-05-05,737550,410.0,312,0,263.85714285714283
2020-05-06,737551,402.0,312,0,271.0
2020-05-07,737552,414.0,283,0,269.14285714285717
2020-05-08,737553,390.0,288,0,260.57142857142856
2020-05-09,737554,366.0,167,0,265.42857142857144
2020-05-10,737555,373.0,232,0,274.42857142857144
2020-05-11,737556,399.0,418,0,287.42857142857144
2020-05-12,737557,406.0,390,0,298.57142857142856
2020-05-13,737558,405.0,424,0,314.57142857142856
2020-05-14,737559,392.0,416,0,333.57142857142856
2020-05-15,737560,382.0,429,0,353.7142857142857
2020-05-16,737561,375.0,293,0,371.7142857142857
2020-05-17,737562,376.0,253,0,374.7142857142857
2020-05-18,737563,392.0,510,0,387.85714285714283
2020-05-19,737564,376.0,514,0,405.57142857142856
2020-05-20,737565,377.0,537,0,421.7142857142857
2020-05-21,737566,409.0,515,0,435.85714285714283
