date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,51.0,23,0,
2020-03-29,737513,60.0,34,0,34.0
2020-03-30,737514,112.0,61,0,47.5
2020-03-31,737515,153.0,56,0,50.333333333333336
2020-04-01,737516,182.0,54,0,51.25
2020-04-02,737517,179.0,65,0,54.0
2020-04-03,737518,183.0,59,0,54.833333333333336
2020-04-04,737519,182.0,5,0,47.714285714285715
2020-04-05,737520,198.0,110,0,58.57142857142857
2020-04-06,737521,164.0,62,0,58.714285714285715
2020-04-07,737522,196.0,78,0,61.857142857142854
2020-04-08,737523,211.0,78,0,65.28571428571429
2020-04-09,737524,224.0,56,0,64.0
2020-04-10,737525,216.0,75,0,66.28571428571429
2020-04-11,737526,135.0,32,0,70.14285714285714
2020-04-12,737527,123.0,73,0,64.85714285714286
2020-04-13,737528,120.0,103,0,70.71428571428571
2020-04-14,737529,131.0,88,0,72.14285714285714
2020-04-15,737530,165.0,85,0,73.14285714285714
2020-04-16,737531,152.0,52,0,72.57142857142857
2020-04-17,737532,174.0,67,0,71.42857142857143
2020-04-18,737533,175.0,75,0,77.57142857142857
2020-04-19,737534,172.0,4,0,67.71428571428571
2020-04-20,737535,133.0,183,0,79.14285714285714
2020-04-21,737536,140.0,298,0,109.14285714285714
2020-04-22,737537,156.0,19,0,99.71428571428571
2020-04-23,737538,260.0,184,0,118.57142857142857
2020-04-24,737539,196.0,345,0,158.28571428571428
2020-04-25,737540,180.0,99,0,161.71428571428572
2020-04-26,737541,159.0,32,0,165.71428571428572
2020-04-27,737542,161.0,114,0,155.85714285714286
2020-04-28,737543,185.0,66,0,122.71428571428571
2020-04-29,737544,151.0,71,0,130.14285714285714
2020-04-30,737545,158.0,63,0,112.85714285714286
2020-05-01,737546,136.0,55,0,71.42857142857143
2020-05-02,737547,137.0,62,0,66.14285714285714
2020-05-03,737548,158.0,59,0,70.0
2020-05-04,737549,170.0,38,0,59.142857142857146
2020-05-05,737550,172.0,27,0,53.57142857142857
2020-05-06,737551,147.0,115,0,59.857142857142854
2020-05-07,737552,327.0,54,0,58.57142857142857
2020-05-08,737553,157.0,82,0,62.42857142857143
2020-05-09,737554,159.0,237,0,87.42857142857143
2020-05-10,737555,151.0,0,0,79.0
2020-05-11,737556,139.0,59,0,82.0
2020-05-12,737557,160.0,121,0,95.42857142857143
2020-05-13,737558,157.0,72,0,89.28571428571429
2020-05-14,737559,172.0,112,0,97.57142857142857
2020-05-15,737560,180.0,115,0,102.28571428571429
2020-05-16,737561,174.0,115,0,84.85714285714286
2020-05-17,737562,153.0,181,0,110.71428571428571
2020-05-18,737563,194.0,54,0,110.0
2020-05-19,737564,206.0,110,0,108.42857142857143
2020-05-20,737565,170.0,80,0,109.57142857142857
2020-05-21,737566,189.0,455,0,158.57142857142858
2020-05-22,737567,201.0,154,0,164.14285714285714
2020-05-23,737568,168.0,163,0,171.0
2020-05-24,737569,180.0,147,0,166.14285714285714
2020-05-25,737570,198.0,107,0,173.71428571428572
2020-05-26,737571,223.0,151,0,179.57142857142858
2020-05-27,737572,187.0,97,0,182.0
2020-05-28,737573,230.0,261,0,154.28571428571428
2020-05-29,737574,220.0,239,0,166.42857142857142
2020-05-30,737575,203.0,236,0,176.85714285714286
2020-05-31,737576,201.0,240,0,190.14285714285714
2020-06-01,737577,230.0,190,0,202.0
2020-06-02,737578,215.0,375,0,234.0
2020-06-03,737579,254.0,249,0,255.71428571428572
2020-06-04,737580,273.0,358,0,269.57142857142856
2020-06-05,737581,259.0,226,0,267.7142857142857
2020-06-06,737582,206.0,450,0,298.2857142857143
2020-06-07,737583,242.0,325,0,310.42857142857144
2020-06-08,737584,247.0,314,0,328.14285714285717
2020-06-09,737585,275.0,340,0,323.14285714285717
2020-06-10,737586,312.0,288,0,328.7142857142857
2020-06-11,737587,316.0,448,0,341.57142857142856
2020-06-12,737588,314.0,731,0,413.7142857142857
2020-06-13,737589,338.0,548,0,427.7142857142857
2020-06-14,737590,339.0,406,0,439.2857142857143
2020-06-15,737591,345.0,416,0,453.85714285714283
2020-06-16,737592,356.0,274,0,444.42857142857144
2020-06-17,737593,361.0,415,0,462.57142857142856
2020-06-18,737594,364.0,322,0,444.57142857142856
2020-06-19,737595,392.0,703,0,440.57142857142856
2020-06-20,737596,317.0,511,0,435.2857142857143
2020-06-21,737597,322.0,419,0,437.14285714285717
2020-06-22,737598,328.0,522,0,452.2857142857143
2020-06-23,737599,370.0,595,0,498.14285714285717
2020-06-24,737600,398.0,697,0,538.4285714285714
2020-06-25,737601,372.0,687,0,590.5714285714286
2020-06-26,737602,396.0,678,0,587.0
2020-06-27,737603,356.0,570,0,595.4285714285714
2020-06-28,737604,391.0,508,0,608.1428571428571
2020-06-29,737605,424.0,439,0,596.2857142857143
2020-06-30,737606,414.0,520,0,585.5714285714286
2020-07-01,737607,434.0,420,0,546.0
2020-07-02,737608,477.0,878,0,573.2857142857143
2020-07-03,737609,550.0,547,0,554.5714285714286
2020-07-04,737610,551.0,587,0,557.0
2020-07-05,737611,504.0,605,0,570.8571428571429
2020-07-06,737612,588.0,439,0,570.8571428571429
2020-07-07,737613,514.0,259,0,533.5714285714286
2020-07-08,737614,513.0,734,0,578.4285714285714
2020-07-09,737615,565.0,806,0,568.1428571428571
2020-07-10,737616,570.0,751,0,597.2857142857143
2020-07-11,737617,568.0,1061,0,665.0
2020-07-12,737618,571.0,503,0,650.4285714285714
2020-07-13,737619,705.0,572,0,669.4285714285714
2020-07-14,737620,1179.0,794,0,745.8571428571429
2020-07-15,737621,1426.0,564,0,721.5714285714286
2020-07-16,737622,1493.0,817,0,723.1428571428571
2020-07-17,737623,1497.0,648,0,708.4285714285714
2020-07-18,737624,1504.0,771,0,667.0
2020-07-19,737625,1430.0,695,0,694.4285714285714
2020-07-20,737626,1449.0,699,0,712.5714285714286
2020-07-21,737627,1416.0,738,0,704.5714285714286
2020-07-22,737628,1482.0,581,0,707.0
2020-07-23,737629,1482.0,1013,0,735.0
2020-07-24,737630,1526.0,990,0,783.8571428571429
2020-07-25,737631,1800.0,732,0,778.2857142857143
2020-07-26,737632,1730.0,642,0,770.7142857142857
2020-07-27,737633,1548.0,824,0,788.5714285714286
2020-07-28,737634,1552.0,734,0,788.0
2020-07-29,737635,1562.0,787,0,817.4285714285714
2020-07-30,737636,1668.0,791,0,785.7142857142857
