date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,0.0,108,0,
2020-03-29,737513,75.0,146,0,146.0
2020-03-30,737514,122.0,238,0,192.0
2020-03-31,737515,186.0,132,0,172.0
2020-04-01,737516,244.0,124,0,160.0
2020-04-02,737517,306.0,185,0,165.0
2020-04-03,737518,294.0,171,0,166.0
2020-04-04,737519,339.0,250,0,178.0
2020-04-05,737520,349.0,250,0,192.85714285714286
2020-04-06,737521,367.0,187,0,185.57142857142858
2020-04-07,737522,364.0,119,0,183.71428571428572
2020-04-08,737523,363.0,151,0,187.57142857142858
2020-04-09,737524,373.0,292,0,202.85714285714286
2020-04-10,737525,360.0,94,0,191.85714285714286
2020-04-11,737526,373.0,281,0,196.28571428571428
2020-04-12,737527,369.0,146,0,181.42857142857142
2020-04-13,737528,513.0,163,0,178.0
2020-04-14,737529,528.0,104,0,175.85714285714286
2020-04-15,737530,506.0,156,0,176.57142857142858
2020-04-16,737531,517.0,272,0,173.71428571428572
2020-04-17,737532,493.0,273,0,199.28571428571428
2020-04-18,737533,531.0,212,0,189.42857142857142
2020-04-19,737534,555.0,210,0,198.57142857142858
2020-04-20,737535,582.0,135,0,194.57142857142858
2020-04-21,737536,629.0,187,0,206.42857142857142
2020-04-22,737537,604.0,208,0,213.85714285714286
2020-04-23,737538,668.0,310,0,219.28571428571428
2020-04-24,737539,665.0,276,0,219.71428571428572
2020-04-25,737540,656.0,235,0,223.0
2020-04-26,737541,654.0,246,0,228.14285714285714
2020-04-27,737542,694.0,190,0,236.0
2020-04-28,737543,712.0,232,0,242.42857142857142
2020-04-29,737544,787.0,254,0,249.0
2020-04-30,737545,722.0,446,0,268.42857142857144
2020-05-01,737546,756.0,314,0,273.85714285714283
2020-05-02,737547,774.0,402,0,297.7142857142857
2020-05-03,737548,857.0,276,0,302.0
2020-05-04,737549,697.0,279,0,314.7142857142857
2020-05-05,737550,819.0,386,0,336.7142857142857
2020-05-06,737551,851.0,402,0,357.85714285714283
2020-05-07,737552,868.0,238,0,328.14285714285717
2020-05-08,737553,756.0,581,0,366.2857142857143
2020-05-09,737554,739.0,434,0,370.85714285714283
2020-05-10,737555,753.0,159,0,354.14285714285717
2020-05-11,737556,863.0,261,0,351.57142857142856
2020-05-12,737557,1124.0,356,0,347.2857142857143
2020-05-13,737558,1017.0,440,0,352.7142857142857
2020-05-14,737559,1012.0,498,0,389.85714285714283
