date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,157.0,966,0,
2020-03-29,737513,167.0,993,0,993.0
2020-03-30,737514,488.0,946,0,969.5
2020-03-31,737515,1023.0,824,0,921.0
2020-04-01,737516,1692.0,1369,0,1033.0
2020-04-02,737517,1891.0,1251,0,1076.6
2020-04-03,737518,5411.0,1501,0,1147.3333333333333
2020-04-04,737519,5468.0,1372,0,1179.4285714285713
2020-04-05,737520,5406.0,1512,0,1253.5714285714287
2020-04-06,737521,5245.0,1123,0,1278.857142857143
2020-04-07,737522,5348.0,1143,0,1324.4285714285713
2020-04-08,737523,5482.0,1354,0,1322.2857142857142
2020-04-09,737524,5257.0,1417,0,1346.0
2020-04-10,737525,4864.0,1464,0,1340.7142857142858
2020-04-11,737526,4736.0,1396,0,1344.142857142857
2020-04-12,737527,4902.0,1463,0,1337.142857142857
2020-04-13,737528,4819.0,1050,0,1326.7142857142858
2020-04-14,737529,4923.0,977,0,1303.0
2020-04-15,737530,4848.0,1511,0,1325.4285714285713
2020-04-16,737531,4881.0,1486,0,1335.2857142857142
2020-04-17,737532,4823.0,1662,0,1363.5714285714287
2020-04-18,737533,4902.0,1664,0,1401.857142857143
2020-04-19,737534,4863.0,1586,0,1419.4285714285713
2020-04-20,737535,4832.0,1200,0,1440.857142857143
2020-04-21,737536,4882.0,1069,0,1454.0
2020-04-22,737537,4956.0,1899,0,1509.4285714285713
2020-04-23,737538,4580.0,1666,0,1535.142857142857
2020-04-24,737539,4617.0,1750,0,1547.7142857142858
2020-04-25,737540,4642.0,1836,0,1572.2857142857142
2020-04-26,737541,4707.0,2008,0,1632.5714285714287
2020-04-27,737542,4818.0,1603,0,1690.142857142857
2020-04-28,737543,4890.0,1256,0,1716.857142857143
2020-04-29,737544,4476.0,2236,0,1765.0
2020-04-30,737545,4086.0,2098,0,1826.7142857142858
2020-05-01,737546,4188.0,2026,0,1866.142857142857
2020-05-02,737547,4236.0,1919,0,1878.0
2020-05-03,737548,4000.0,2223,0,1908.7142857142858
2020-05-04,737549,4364.0,1385,0,1877.5714285714287
2020-05-05,737550,4545.0,1146,0,1861.857142857143
2020-05-06,737551,4458.0,2420,0,1888.142857142857
2020-05-07,737552,4630.0,2603,0,1960.2857142857142
2020-05-08,737553,4686.0,2331,0,2003.857142857143
2020-05-09,737554,4730.0,2148,0,2036.5714285714287
2020-05-10,737555,4775.0,2255,0,2041.142857142857
2020-05-11,737556,4763.0,1575,0,2068.285714285714
2020-05-12,737557,4787.0,1329,0,2094.4285714285716
2020-05-13,737558,4890.0,2432,0,2096.1428571428573
2020-05-14,737559,4777.0,2454,0,2074.8571428571427
2020-05-15,737560,4587.0,2290,0,2069.0
2020-05-16,737561,4504.0,2653,0,2141.1428571428573
2020-05-17,737562,4545.0,2505,0,2176.8571428571427
2020-05-18,737563,4521.0,1712,0,2196.4285714285716
2020-05-19,737564,4779.0,1329,0,2196.4285714285716
2020-05-20,737565,4872.0,2778,0,2245.8571428571427
2020-05-21,737566,4819.0,2418,0,2240.714285714286
2020-05-22,737567,4543.0,2710,0,2300.714285714286
2020-05-23,737568,4463.0,2436,0,2269.714285714286
2020-05-24,737569,4474.0,2526,0,2272.714285714286
2020-05-25,737570,4523.0,1746,0,2277.5714285714284
2020-05-26,737571,4702.0,1400,0,2287.714285714286
2020-05-27,737572,4738.0,2238,0,2210.5714285714284
2020-05-28,737573,4580.0,3605,0,2380.1428571428573
2020-05-29,737574,4448.0,3531,0,2497.4285714285716
2020-05-30,737575,4441.0,3181,0,2603.8571428571427
2020-05-31,737576,4417.0,3798,0,2785.5714285714284
2020-06-01,737577,4447.0,2230,0,2854.714285714286
2020-06-02,737578,4495.0,1594,0,2882.4285714285716
2020-06-03,737579,4543.0,3663,0,3086.0
2020-06-04,737580,4553.0,3906,0,3129.0
2020-06-05,737581,4599.0,3415,0,3112.4285714285716
2020-06-06,737582,4587.0,3597,0,3171.8571428571427
2020-06-07,737583,4643.0,3709,0,3159.1428571428573
2020-06-08,737584,4623.0,2695,0,3225.5714285714284
2020-06-09,737585,4729.0,2022,0,3286.714285714286
2020-06-10,737586,4659.0,4201,0,3363.5714285714284
2020-06-11,737587,4656.0,4010,0,3378.4285714285716
2020-06-12,737588,4529.0,4256,0,3498.5714285714284
2020-06-13,737589,4430.0,4074,0,3566.714285714286
2020-06-14,737590,4525.0,4483,0,3677.285714285714
2020-06-15,737591,4709.0,3647,0,3813.285714285714
2020-06-16,737592,4625.0,3003,0,3953.4285714285716
2020-06-17,737593,4591.0,6428,0,4271.571428571428
2020-06-18,737594,4609.0,6471,0,4623.142857142857
