date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,17.0,329,0,
2020-03-29,737513,62.0,243,0,243.0
2020-03-30,737514,84.0,334,0,288.5
2020-03-31,737515,70.0,329,0,302.0
2020-04-01,737516,116.0,385,0,322.75
2020-04-02,737517,97.0,403,0,338.8
2020-04-03,737518,107.0,450,0,357.3333333333333
2020-04-04,737519,97.0,390,0,362.0
2020-04-05,737520,104.0,388,0,382.7142857142857
2020-04-06,737521,112.0,225,0,367.14285714285717
2020-04-07,737522,117.0,269,0,358.57142857142856
2020-04-08,737523,140.0,264,0,341.2857142857143
2020-04-09,737524,121.0,552,0,362.57142857142856
2020-04-10,737525,118.0,368,0,350.85714285714283
2020-04-11,737526,117.0,438,0,357.7142857142857
2020-04-12,737527,125.0,437,0,364.7142857142857
2020-04-13,737528,147.0,383,0,387.2857142857143
2020-04-14,737529,521.0,293,0,390.7142857142857
2020-04-15,737530,483.0,316,0,398.14285714285717
2020-04-16,737531,540.0,421,0,379.42857142857144
2020-04-17,737532,480.0,352,0,377.14285714285717
2020-04-18,737533,388.0,422,0,374.85714285714283
2020-04-19,737534,399.0,271,0,351.14285714285717
2020-04-20,737535,428.0,316,0,341.57142857142856
2020-04-21,737536,569.0,301,0,342.7142857142857
2020-04-22,737537,582.0,466,0,364.14285714285717
2020-04-23,737538,622.0,404,0,361.7142857142857
2020-04-24,737539,636.0,971,0,450.14285714285717
2020-04-25,737540,583.0,710,0,491.2857142857143
2020-04-26,737541,564.0,491,0,522.7142857142857
2020-04-27,737542,578.0,436,0,539.8571428571429
2020-04-28,737543,608.0,495,0,567.5714285714286
2020-04-29,737544,569.0,436,0,563.2857142857143
2020-04-30,737545,575.0,847,0,626.5714285714286
2020-05-01,737546,567.0,460,0,553.5714285714286
2020-05-02,737547,568.0,465,0,518.5714285714286
2020-05-03,737548,570.0,410,0,507.0
2020-05-04,737549,586.0,247,0,480.0
2020-05-05,737550,500.0,368,0,461.85714285714283
2020-05-06,737551,502.0,398,0,456.42857142857144
2020-05-07,737552,498.0,451,0,399.85714285714283
2020-05-08,737553,488.0,461,0,400.0
2020-05-09,737554,472.0,551,0,412.2857142857143
2020-05-10,737555,459.0,359,0,405.0
2020-05-11,737556,496.0,220,0,401.14285714285717
2020-05-12,737557,789.0,252,0,384.57142857142856
2020-05-13,737558,786.0,299,0,370.42857142857144
2020-05-14,737559,764.0,439,0,368.7142857142857
2020-05-15,737560,770.0,416,0,362.2857142857143
2020-05-16,737561,729.0,433,0,345.42857142857144
2020-05-17,737562,387.0,332,0,341.57142857142856
2020-05-18,737563,426.0,221,0,341.7142857142857
