date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,111.0,233,0,
2020-03-29,737513,143.0,469,0,469.0
2020-03-30,737514,218.0,578,0,523.5
2020-03-31,737515,314.0,557,0,534.6666666666666
2020-04-01,737516,388.0,429,0,508.25
2020-04-02,737517,431.0,267,0,460.0
2020-04-03,737518,433.0,1091,0,565.1666666666666
2020-04-04,737519,395.0,361,0,536.0
2020-04-05,737520,422.0,399,0,526.0
2020-04-06,737521,494.0,1231,0,619.2857142857143
2020-04-07,737522,465.0,875,0,664.7142857142857
2020-04-08,737523,457.0,1000,0,746.2857142857143
2020-04-09,737524,476.0,1003,0,851.4285714285714
2020-04-10,737525,493.0,347,0,745.1428571428571
2020-04-11,737526,484.0,1379,0,890.5714285714286
2020-04-12,737527,500.0,525,0,908.5714285714286
2020-04-13,737528,559.0,1346,0,925.0
2020-04-14,737529,595.0,608,0,886.8571428571429
2020-04-15,737530,587.0,766,0,853.4285714285714
2020-04-16,737531,566.0,1129,0,871.4285714285714
2020-04-17,737532,527.0,925,0,954.0
2020-04-18,737533,516.0,741,0,862.8571428571429
2020-04-19,737534,495.0,412,0,846.7142857142857
2020-04-20,737535,759.0,1853,0,919.1428571428571
2020-04-21,737536,2230.0,545,0,910.1428571428571
2020-04-22,737537,2275.0,2109,0,1102.0
2020-04-23,737538,2264.0,631,0,1030.857142857143
2020-04-24,737539,2243.0,821,0,1016.0
2020-04-25,737540,2153.0,661,0,1004.5714285714286
2020-04-26,737541,2111.0,687,0,1043.857142857143
2020-04-27,737542,2062.0,728,0,883.1428571428571
2020-04-28,737543,2076.0,315,0,850.2857142857143
2020-04-29,737544,2006.0,455,0,614.0
2020-04-30,737545,1940.0,933,0,657.1428571428571
2020-05-01,737546,1895.0,1064,0,691.8571428571429
2020-05-02,737547,1946.0,523,0,672.1428571428571
2020-05-03,737548,1922.0,25,0,577.5714285714286
2020-05-04,737549,1930.0,661,0,568.0
2020-05-05,737550,1947.0,648,0,615.5714285714286
2020-05-06,737551,1834.0,374,0,604.0
2020-05-07,737552,1761.0,789,0,583.4285714285714
2020-05-08,737553,1722.0,627,0,521.0
2020-05-09,737554,1734.0,573,0,528.1428571428571
2020-05-10,737555,1605.0,570,0,606.0
2020-05-11,737556,1576.0,211,0,541.7142857142857
2020-05-12,737557,1622.0,568,0,530.2857142857143
2020-05-13,737558,1595.0,522,0,551.4285714285714
2020-05-14,737559,1475.0,609,0,525.7142857142857
2020-05-15,737560,1435.0,621,0,524.8571428571429
2020-05-16,737561,1386.0,618,0,531.2857142857143
2020-05-17,737562,1330.0,716,0,552.1428571428571
2020-05-18,737563,1375.0,697,0,621.5714285714286
2020-05-19,737564,1334.0,314,0,585.2857142857143
2020-05-20,737565,1204.0,587,0,594.5714285714286
2020-05-21,737566,1172.0,191,0,534.8571428571429
2020-05-22,737567,1120.0,432,0,507.85714285714283
2020-05-23,737568,1102.0,382,0,474.14285714285717
2020-05-24,737569,1109.0,446,0,435.57142857142856
2020-05-25,737570,1112.0,405,0,393.85714285714283
2020-05-26,737571,1127.0,430,0,410.42857142857144
2020-05-27,737572,1225.0,-15,0,324.42857142857144
2020-05-28,737573,1138.0,271,0,335.85714285714283
2020-05-29,737574,792.0,203,0,303.14285714285717
2020-05-30,737575,738.0,260,0,285.7142857142857
2020-05-31,737576,682.0,179,0,247.57142857142858
2020-06-01,737577,676.0,539,0,266.7142857142857
2020-06-02,737578,630.0,239,0,239.42857142857142
2020-06-03,737579,592.0,112,0,257.57142857142856
2020-06-04,737580,581.0,148,0,240.0
2020-06-05,737581,553.0,221,0,242.57142857142858
2020-06-06,737582,555.0,358,0,256.57142857142856
2020-06-07,737583,550.0,150,0,252.42857142857142
2020-06-08,737584,488.0,124,0,193.14285714285714
2020-06-09,737585,453.0,87,0,171.42857142857142
2020-06-10,737586,478.0,168,0,179.42857142857142
2020-06-11,737587,433.0,114,0,174.57142857142858
2020-06-12,737588,430.0,228,0,175.57142857142858
2020-06-13,737589,373.0,305,0,168.0
2020-06-14,737590,386.0,94,0,160.0
2020-06-15,737591,411.0,147,0,163.28571428571428
2020-06-16,737592,398.0,114,0,167.14285714285714
2020-06-17,737593,379.0,80,0,154.57142857142858
2020-06-18,737594,381.0,11,0,139.85714285714286
2020-06-19,737595,346.0,117,0,124.0
2020-06-20,737596,318.0,158,0,103.0
2020-06-21,737597,330.0,40,0,95.28571428571429
2020-06-22,737598,321.0,27,0,78.14285714285714
2020-06-23,737599,328.0,117,0,78.57142857142857
2020-06-24,737600,335.0,14,0,69.14285714285714
2020-06-25,737601,293.0,81,0,79.14285714285714
2020-06-26,737602,295.0,65,0,71.71428571428571
2020-06-27,737603,273.0,147,0,70.14285714285714
2020-06-28,737604,253.0,97,0,78.28571428571429
2020-06-29,737605,274.0,59,0,82.85714285714286
2020-06-30,737606,291.0,152,0,87.85714285714286
2020-07-01,737607,240.0,58,0,94.14285714285714
2020-07-02,737608,231.0,74,0,93.14285714285714
2020-07-03,737609,236.0,71,0,94.0
2020-07-04,737610,205.0,0,0,73.0
2020-07-05,737611,218.0,0,0,59.142857142857146
2020-07-06,737612,235.0,259,0,87.71428571428571
2020-07-07,737613,242.0,57,0,74.14285714285714
2020-07-08,737614,269.0,75,0,76.57142857142857
2020-07-09,737615,237.0,101,0,80.42857142857143
2020-07-10,737616,194.0,78,0,81.42857142857143
2020-07-11,737617,201.0,0,0,81.42857142857143
2020-07-12,737618,204.0,0,0,81.42857142857143
2020-07-13,737619,222.0,223,0,76.28571428571429
2020-07-14,737620,223.0,20,0,71.0
2020-07-15,737621,215.0,106,0,75.42857142857143
2020-07-16,737622,215.0,114,0,77.28571428571429
2020-07-17,737623,186.0,143,0,86.57142857142857
2020-07-18,737624,177.0,0,0,86.57142857142857
2020-07-19,737625,179.0,0,0,86.57142857142857
2020-07-20,737626,192.0,162,0,77.85714285714286
2020-07-21,737627,188.0,41,0,80.85714285714286
2020-07-22,737628,182.0,127,0,83.85714285714286
2020-07-23,737629,163.0,9,0,68.85714285714286
2020-07-24,737630,179.0,544,0,126.14285714285714
2020-07-25,737631,170.0,0,0,126.14285714285714
2020-07-26,737632,171.0,0,0,126.14285714285714
2020-07-27,737633,143.0,207,0,132.57142857142858
2020-07-28,737634,131.0,94,0,140.14285714285714
2020-07-29,737635,142.0,463,0,188.14285714285714
2020-07-30,737636,172.0,130,0,205.42857142857142
2020-07-31,737637,173.0,140,0,147.71428571428572
2020-08-01,737638,169.0,0,0,147.71428571428572
2020-08-02,737639,177.0,0,0,147.71428571428572
2020-08-03,737640,168.0,252,0,154.14285714285714
2020-08-04,737641,179.0,48,0,147.57142857142858
2020-08-05,737642,161.0,115,0,97.85714285714286
2020-08-06,737643,178.0,20,0,82.14285714285714
2020-08-07,737644,183.0,75,0,72.85714285714286
2020-08-08,737645,180.0,0,0,72.85714285714286
2020-08-09,737646,178.0,0,0,72.85714285714286
2020-08-10,737647,177.0,247,0,72.14285714285714
2020-08-11,737648,188.0,117,0,82.0
2020-08-12,737649,137.0,22,0,68.71428571428571
2020-08-13,737650,142.0,76,0,76.71428571428571
2020-08-14,737651,134.0,115,0,82.42857142857143
2020-08-15,737652,136.0,0,0,82.42857142857143
2020-08-16,737653,136.0,0,0,82.42857142857143
2020-08-17,737654,126.0,370,0,100.0
2020-08-18,737655,129.0,-12,0,81.57142857142857
2020-08-19,737656,171.0,59,0,86.85714285714286
2020-08-20,737657,169.0,118,0,92.85714285714286
2020-08-21,737658,180.0,87,0,88.85714285714286
2020-08-22,737659,164.0,0,0,88.85714285714286
2020-08-23,737660,139.0,0,0,88.85714285714286
2020-08-24,737661,177.0,492,0,106.28571428571429
2020-08-25,737662,178.0,29,0,112.14285714285714
2020-08-26,737663,167.0,180,0,129.42857142857142
2020-08-27,737664,170.0,130,0,131.14285714285714
2020-08-28,737665,177.0,145,0,139.42857142857142
2020-08-29,737666,174.0,0,0,139.42857142857142
2020-08-30,737667,206.0,0,0,139.42857142857142
2020-08-31,737668,154.0,384,0,124.0
2020-09-01,737669,158.0,127,0,138.0
2020-09-02,737670,171.0,102,0,126.85714285714286
2020-09-03,737671,189.0,101,0,122.71428571428571
2020-09-04,737672,195.0,156,0,124.28571428571429
2020-09-05,737673,199.0,0,0,124.28571428571429
2020-09-06,737674,152.0,0,0,124.28571428571429
2020-09-07,737675,145.0,0,0,69.42857142857143
2020-09-08,737676,167.0,417,0,110.85714285714286
2020-09-09,737677,142.0,89,0,109.0
2020-09-10,737678,158.0,222,0,126.28571428571429
2020-09-11,737679,151.0,233,0,137.28571428571428
2020-09-12,737680,152.0,0,0,137.28571428571428
2020-09-13,737681,148.0,0,0,137.28571428571428
2020-09-14,737682,164.0,569,0,218.57142857142858
2020-09-15,737683,166.0,136,0,178.42857142857142
2020-09-16,737684,181.0,135,0,185.0
2020-09-17,737685,195.0,220,0,184.71428571428572
2020-09-18,737686,168.0,141,0,171.57142857142858
2020-09-19,737687,163.0,0,0,171.57142857142858
2020-09-20,737688,141.0,0,0,171.57142857142858
2020-09-21,737689,181.0,497,0,161.28571428571428
2020-09-22,737690,208.0,136,0,161.28571428571428
2020-09-23,737691,189.0,155,0,164.14285714285714
2020-09-24,737692,185.0,157,0,155.14285714285714
2020-09-25,737693,189.0,115,0,151.42857142857142
2020-09-26,737694,201.0,0,0,151.42857142857142
2020-09-27,737695,183.0,0,0,151.42857142857142
2020-09-28,737696,203.0,560,0,160.42857142857142
2020-09-29,737697,240.0,182,0,167.0
2020-09-30,737698,205.0,221,0,176.42857142857142
2020-10-01,737699,206.0,192,0,181.42857142857142
2020-10-02,737700,215.0,555,0,244.28571428571428
2020-10-03,737701,274.0,0,0,244.28571428571428
2020-10-04,737702,221.0,0,0,244.28571428571428
2020-10-05,737703,246.0,823,0,281.85714285714283
2020-10-06,737704,259.0,121,0,273.14285714285717
2020-10-07,737705,263.0,123,0,259.14285714285717
2020-10-08,737706,292.0,384,0,286.57142857142856
2020-10-09,737707,274.0,290,0,248.71428571428572
2020-10-10,737708,270.0,0,0,248.71428571428572
2020-10-11,737709,277.0,0,0,248.71428571428572
2020-10-12,737710,311.0,1339,0,322.42857142857144
2020-10-13,737711,323.0,320,0,350.85714285714283
2020-10-14,737712,376.0,164,0,356.7142857142857
2020-10-15,737713,342.0,167,0,325.7142857142857
2020-10-16,737714,351.0,802,0,398.85714285714283
2020-10-17,737715,327.0,0,0,398.85714285714283
2020-10-18,737716,340.0,0,0,398.85714285714283
2020-10-19,737717,326.0,1191,0,377.7142857142857
2020-10-20,737718,376.0,434,0,394.0
2020-10-21,737719,369.0,416,0,430.0
2020-10-22,737720,373.0,502,0,477.85714285714283
2020-10-23,737721,380.0,679,0,460.2857142857143
2020-10-24,737722,369.0,0,0,460.2857142857143
2020-10-25,737723,397.0,0,0,460.2857142857143
2020-10-26,737724,405.0,2047,0,582.5714285714286
2020-10-27,737725,454.0,538,0,597.4285714285714
2020-10-28,737726,462.0,490,0,608.0
2020-10-29,737727,556.0,1319,0,724.7142857142857
2020-10-30,737728,492.0,761,0,736.4285714285714
2020-10-31,737729,495.0,0,0,736.4285714285714
2020-11-01,737730,470.0,0,0,736.4285714285714
2020-11-02,737731,544.0,2651,0,822.7142857142857
2020-11-03,737732,569.0,985,0,886.5714285714286
2020-11-04,737733,545.0,530,0,892.2857142857143
2020-11-05,737734,543.0,1687,0,944.8571428571429
2020-11-06,737735,554.0,1065,0,988.2857142857143
2020-11-07,737736,655.0,0,0,988.2857142857143
2020-11-08,737737,651.0,0,0,988.2857142857143
2020-11-09,737738,686.0,3338,0,1086.4285714285713
2020-11-10,737739,728.0,1524,0,1163.4285714285713
2020-11-11,737740,799.0,1754,0,1338.2857142857142
2020-11-12,737741,846.0,1158,0,1262.7142857142858
2020-11-13,737742,849.0,2746,0,1502.857142857143
2020-11-14,737743,913.0,0,0,1502.857142857143
2020-11-15,737744,934.0,0,0,1502.857142857143
2020-11-16,737745,998.0,4639,0,1688.7142857142858
2020-11-17,737746,1012.0,1702,0,1714.142857142857
2020-11-18,737747,1004.0,2042,0,1755.2857142857142
2020-11-19,737748,1016.0,2353,0,1926.0
2020-11-20,737749,1022.0,2088,0,1832.0
2020-11-21,737750,1007.0,0,0,1832.0
2020-11-22,737751,1042.0,0,0,1832.0
2020-11-23,737752,1099.0,5271,0,1922.2857142857142
2020-11-24,737753,1177.0,540,0,1756.2857142857142
2020-11-25,737754,1215.0,1872,0,1732.0
2020-11-26,737755,1206.0,0,0,1395.857142857143
2020-11-27,737756,1248.0,3429,0,1587.4285714285713
2020-11-28,737757,1266.0,0,0,1587.4285714285713
2020-11-29,737758,1286.0,0,0,1587.4285714285713
2020-11-30,737759,1348.0,4714,0,1507.857142857143
2020-12-01,737760,1404.0,1459,0,1639.142857142857
2020-12-02,737761,1364.0,2672,0,1753.4285714285713
2020-12-03,737762,1333.0,4751,0,2432.1428571428573
2020-12-04,737763,1337.0,1538,0,2162.0
2020-12-05,737764,1348.0,0,0,2162.0
2020-12-06,737765,1370.0,0,0,2162.0
2020-12-07,737766,1390.0,8129,0,2649.8571428571427
2020-12-08,737767,1458.0,2414,0,2786.285714285714
2020-12-09,737768,1405.0,2290,0,2731.714285714286
2020-12-10,737769,1383.0,2431,0,2400.285714285714
2020-12-11,737770,1399.0,3782,0,2720.8571428571427
2020-12-12,737771,1397.0,0,0,2720.8571428571427
2020-12-13,737772,1448.0,0,0,2720.8571428571427
2020-12-14,737773,1434.0,7231,0,2592.5714285714284
2020-12-15,737774,1425.0,1470,343,2457.714285714286
2020-12-16,737775,1452.0,2319,1191,2461.8571428571427
2020-12-17,737776,1393.0,2321,2790,2446.1428571428573
2020-12-18,737777,1378.0,2680,5223,2288.714285714286
2020-12-19,737778,1336.0,0,7233,2288.714285714286
2020-12-20,737779,1323.0,0,7233,2288.714285714286
2020-12-21,737780,1320.0,4595,9230,1912.142857142857
2020-12-22,737781,1335.0,1583,13037,1928.2857142857142
2020-12-23,737782,1420.0,1745,19154,1846.2857142857142
2020-12-24,737783,1353.0,2038,20679,1805.857142857143
2020-12-25,737784,1311.0,0,28943,1423.0
2020-12-26,737785,1351.0,0,32310,1423.0
2020-12-27,737786,1394.0,0,32391,1423.0
2020-12-28,737787,1384.0,8457,38296,1974.7142857142858
2020-12-29,737788,1368.0,767,50159,1858.142857142857
2020-12-30,737789,1334.0,1696,60127,1851.142857142857
2020-12-31,737790,1271.0,2045,68040,1852.142857142857
2021-01-01,737791,1241.0,0,68070,1852.142857142857
2021-01-02,737792,1259.0,4412,75245,2482.4285714285716
2021-01-03,737793,1338.0,0,77242,2482.4285714285716
2021-01-04,737794,1325.0,4516,80399,1919.4285714285713
2021-01-05,737795,1343.0,2332,88584,2143.0
2021-01-06,737796,1308.0,2486,102031,2255.8571428571427
2021-01-07,737797,1294.0,3304,109216,2435.714285714286
2021-01-08,737798,1296.0,3236,124739,2898.0
2021-01-09,737799,1285.0,0,126366,2267.714285714286
2021-01-10,737800,1284.0,0,138250,2267.714285714286
2021-01-11,737801,1329.0,7364,147724,2674.5714285714284
2021-01-12,737802,1298.0,3689,152946,2868.4285714285716
2021-01-13,737803,1274.0,3529,162969,3017.4285714285716
2021-01-14,737804,1254.0,968,180085,2683.714285714286
2021-01-15,737805,1264.0,1878,187291,2489.714285714286
2021-01-16,737806,1270.0,0,207725,2489.714285714286
2021-01-17,737807,1289.0,0,208938,2489.714285714286
2021-01-18,737808,1271.0,6703,222687,2395.285714285714
2021-01-19,737809,1277.0,2094,231079,2167.4285714285716
2021-01-20,737810,1272.0,1915,243140,1936.857142857143
2021-01-21,737811,1218.0,1662,264707,2036.0
2021-01-22,737812,1241.0,2019,287440,2056.1428571428573
2021-01-23,737813,1231.0,0,306796,2056.1428571428573
2021-01-24,737814,1214.0,0,321737,2056.1428571428573
2021-01-25,737815,1213.0,5817,331264,1929.5714285714287
2021-01-26,737816,1188.0,1267,342643,1811.4285714285713
2021-01-27,737817,1145.0,2440,360991,1886.4285714285713
2021-01-28,737818,1131.0,1426,381160,1852.7142857142858
2021-01-29,737819,1105.0,1258,403370,1744.0
2021-01-30,737820,1061.0,0,421191,1744.0
2021-01-31,737821,1030.0,0,436842,1744.0
2021-02-01,737822,1038.0,3931,449253,1474.5714285714287
2021-02-02,737823,988.0,2568,456090,1660.4285714285713
2021-02-03,737824,986.0,482,465008,1380.7142857142858
2021-02-04,737825,950.0,937,481826,1310.857142857143
2021-02-05,737826,979.0,1431,502347,1335.5714285714287
2021-02-06,737827,930.0,0,519400,1335.5714285714287
2021-02-07,737828,934.0,0,533941,1335.5714285714287
2021-02-08,737829,929.0,4367,542414,1397.857142857143
2021-02-09,737830,877.0,869,554322,1155.142857142857
2021-02-10,737831,838.0,888,574750,1213.142857142857
2021-02-11,737832,793.0,1003,600249,1222.5714285714287
2021-02-12,737833,755.0,838,626678,1137.857142857143
2021-02-13,737834,730.0,0,654766,1137.857142857143
2021-02-14,737835,723.0,0,674704,1137.857142857143
2021-02-15,737836,700.0,2905,691374,929.0
2021-02-16,737837,706.0,580,711142,887.7142857142857
2021-02-17,737838,676.0,534,738191,837.1428571428571
2021-02-18,737839,642.0,547,767183,772.0
2021-02-19,737840,606.0,1198,822615,823.4285714285714
2021-02-20,737841,596.0,0,847820,823.4285714285714
2021-02-21,737842,598.0,0,860534,823.4285714285714
2021-02-22,737843,597.0,2233,882777,727.4285714285714
2021-02-23,737844,576.0,1357,892882,838.4285714285714
2021-02-24,737845,588.0,1493,912033,975.4285714285714
2021-02-25,737846,550.0,975,925946,1036.5714285714287
2021-02-26,737847,533.0,787,954153,977.8571428571429
2021-02-27,737848,537.0,0,980211,977.8571428571429
2021-02-28,737849,504.0,0,1004467,977.8571428571429
2021-03-01,737850,500.0,2680,1031305,1041.7142857142858
2021-03-02,737851,528.0,502,1040154,919.5714285714286
2021-03-03,737852,514.0,494,1061375,776.8571428571429
2021-03-04,737853,527.0,878,1087313,763.0
2021-03-05,737854,482.0,830,1121517,769.1428571428571
2021-03-06,737855,485.0,0,1157114,769.1428571428571
2021-03-07,737856,475.0,0,1195617,769.1428571428571
2021-03-08,737857,484.0,2066,1228865,681.4285714285714
2021-03-09,737858,454.0,749,1245687,716.7142857142857
2021-03-10,737859,475.0,512,1272581,719.2857142857143
2021-03-11,737860,448.0,735,1304302,698.8571428571429
2021-03-12,737861,464.0,1185,1345350,749.5714285714286
2021-03-13,737862,481.0,0,1411525,749.5714285714286
2021-03-14,737863,483.0,0,1411532,749.5714285714286
2021-03-15,737864,460.0,2525,1442439,815.1428571428571
2021-03-16,737865,469.0,853,1460334,830.0
2021-03-17,737866,446.0,373,1483587,810.1428571428571
2021-03-18,737867,472.0,1156,1514945,870.2857142857143
2021-03-19,737868,480.0,1207,1551481,873.4285714285714
2021-03-20,737869,461.0,0,1586484,873.4285714285714
2021-03-21,737870,453.0,0,1623090,873.4285714285714
2021-03-22,737871,470.0,2976,1658338,937.8571428571429
2021-03-23,737872,476.0,898,1676905,944.2857142857143
2021-03-24,737873,501.0,1457,1701298,1099.142857142857
2021-03-25,737874,517.0,1488,1737160,1146.5714285714287
2021-03-26,737875,547.0,1700,1774045,1217.0
2021-03-27,737876,539.0,0,1813854,1217.0
2021-03-28,737877,563.0,0,1854289,1217.0
2021-03-29,737878,593.0,3229,1891603,1253.142857142857
2021-03-30,737879,596.0,1617,1924605,1355.857142857143
2021-03-31,737880,559.0,832,1954259,1266.5714285714287
2021-04-01,737881,559.0,1580,1992899,1279.7142857142858
2021-04-02,737882,555.0,1488,2035542,1249.4285714285713
2021-04-03,737883,569.0,0,2092230,1249.4285714285713
2021-04-04,737884,534.0,0,2138503,1249.4285714285713
2021-04-05,737885,567.0,2699,2178710,1173.7142857142858
2021-04-06,737886,595.0,1074,2186180,1096.142857142857
2021-04-07,737887,597.0,1038,2227005,1125.5714285714287
2021-04-08,737888,600.0,1012,2279517,1044.4285714285713
2021-04-09,737889,595.0,1807,2340942,1090.0
2021-04-10,737890,591.0,0,2391842,1090.0
2021-04-11,737891,590.0,0,2451693,1090.0
2021-04-12,737892,619.0,2985,2498626,1130.857142857143
2021-04-13,737893,596.0,1118,2531669,1137.142857142857
2021-04-14,737894,571.0,1609,2572005,1218.7142857142858
2021-04-15,737895,547.0,702,2612551,1174.4285714285713
2021-04-16,737896,563.0,1062,2671509,1068.0
2021-04-17,737897,590.0,779,2720972,1179.2857142857142
2021-04-18,737898,575.0,780,2770457,1290.7142857142858
2021-04-19,737899,588.0,780,2808703,975.7142857142857
2021-04-20,737900,573.0,738,2834601,921.4285714285714
2021-04-21,737901,590.0,856,2870146,813.8571428571429
2021-04-22,737902,537.0,737,2913574,818.8571428571429
2021-04-23,737903,521.0,1034,2957181,814.8571428571429
2021-04-24,737904,503.0,722,3006976,806.7142857142857
2021-04-25,737905,502.0,722,3056088,798.4285714285714
