date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,82.0,38,0,
2020-03-29,737513,105.0,59,0,59.0
2020-03-30,737514,104.0,94,0,76.5
2020-03-31,737515,114.0,0,0,51.0
2020-04-01,737516,149.0,91,0,61.0
2020-04-02,737517,185.0,67,0,62.2
2020-04-03,737518,181.0,104,0,69.16666666666667
2020-04-04,737519,159.0,145,0,80.0
2020-04-05,737520,184.0,96,0,85.28571428571429
2020-04-06,737521,204.0,99,0,86.0
2020-04-07,737522,210.0,114,0,102.28571428571429
2020-04-08,737523,231.0,229,0,122.0
2020-04-09,737524,235.0,83,0,124.28571428571429
2020-04-10,737525,229.0,137,0,129.0
2020-04-11,737526,223.0,118,0,125.14285714285714
2020-04-12,737527,218.0,97,0,125.28571428571429
2020-04-13,737528,240.0,80,0,122.57142857142857
2020-04-14,737529,339.0,103,0,121.0
2020-04-15,737530,357.0,139,0,108.14285714285714
2020-04-16,737531,368.0,153,0,118.14285714285714
2020-04-17,737532,373.0,126,0,116.57142857142857
2020-04-18,737533,385.0,190,0,126.85714285714286
2020-04-19,737534,405.0,127,0,131.14285714285714
2020-04-20,737535,457.0,134,0,138.85714285714286
2020-04-21,737536,477.0,171,0,148.57142857142858
2020-04-22,737537,495.0,108,0,144.14285714285714
2020-04-23,737538,468.0,155,0,144.42857142857142
2020-04-24,737539,465.0,167,0,150.28571428571428
2020-04-25,737540,447.0,171,0,147.57142857142858
2020-04-26,737541,462.0,142,0,149.71428571428572
2020-04-27,737542,413.0,51,0,137.85714285714286
2020-04-28,737543,439.0,102,0,128.0
2020-04-29,737544,498.0,112,0,128.57142857142858
2020-04-30,737545,499.0,217,0,137.42857142857142
2020-05-01,737546,530.0,335,0,161.42857142857142
2020-05-02,737547,517.0,139,0,156.85714285714286
2020-05-03,737548,521.0,219,0,167.85714285714286
2020-05-04,737549,526.0,154,0,182.57142857142858
2020-05-05,737550,525.0,152,0,189.71428571428572
2020-05-06,737551,523.0,139,0,193.57142857142858
2020-05-07,737552,487.0,193,0,190.14285714285714
2020-05-08,737553,487.0,245,0,177.28571428571428
2020-05-09,737554,475.0,203,0,186.42857142857142
2020-05-10,737555,492.0,170,0,179.42857142857142
2020-05-11,737556,522.0,117,0,174.14285714285714
2020-05-12,737557,522.0,96,0,166.14285714285714
2020-05-13,737558,494.0,99,0,160.42857142857142
2020-05-14,737559,484.0,152,0,154.57142857142858
2020-05-15,737560,490.0,135,0,138.85714285714286
2020-05-16,737561,312.0,171,0,134.28571428571428
2020-05-17,737562,463.0,81,0,121.57142857142857
2020-05-18,737563,486.0,147,0,125.85714285714286
2020-05-19,737564,461.0,164,0,135.57142857142858
2020-05-20,737565,464.0,117,0,138.14285714285714
2020-05-21,737566,424.0,237,0,150.28571428571428
2020-05-22,737567,444.0,105,0,146.0
2020-05-23,737568,398.0,73,0,132.0
2020-05-24,737569,432.0,144,0,141.0
2020-05-25,737570,443.0,115,0,136.42857142857142
2020-05-26,737571,430.0,109,0,128.57142857142858
2020-05-27,737572,686.0,72,0,122.14285714285714
2020-05-28,737573,448.0,86,0,100.57142857142857
2020-05-29,737574,418.0,46,0,92.14285714285714
2020-05-30,737575,387.0,179,0,107.28571428571429
2020-05-31,737576,404.0,84,0,98.71428571428571
2020-06-01,737577,364.0,56,0,90.28571428571429
2020-06-02,737578,379.0,29,0,78.85714285714286
2020-06-03,737579,361.0,130,0,87.14285714285714
2020-06-04,737580,367.0,104,0,89.71428571428571
2020-06-05,737581,351.0,79,0,94.42857142857143
2020-06-06,737582,365.0,70,0,78.85714285714286
2020-06-07,737583,323.0,63,0,75.85714285714286
2020-06-08,737584,326.0,57,0,76.0
2020-06-09,737585,314.0,85,0,84.0
2020-06-10,737586,293.0,63,0,74.42857142857143
2020-06-11,737587,363.0,52,0,67.0
2020-06-12,737588,339.0,65,0,65.0
2020-06-13,737589,274.0,55,0,62.857142857142854
2020-06-14,737590,326.0,58,0,62.142857142857146
2020-06-15,737591,342.0,32,0,58.57142857142857
2020-06-16,737592,256.0,19,0,49.142857142857146
2020-06-17,737593,246.0,29,0,44.285714285714285
2020-06-18,737594,237.0,56,0,44.857142857142854
2020-06-19,737595,246.0,49,0,42.57142857142857
2020-06-20,737596,224.0,32,0,39.285714285714285
2020-06-21,737597,224.0,36,0,36.142857142857146
2020-06-22,737598,216.0,38,0,37.0
2020-06-23,737599,229.0,36,0,39.42857142857143
2020-06-24,737600,208.0,34,0,40.142857142857146
2020-06-25,737601,194.0,31,0,36.57142857142857
2020-06-26,737602,191.0,26,0,33.285714285714285
2020-06-27,737603,159.0,31,0,33.142857142857146
2020-06-28,737604,176.0,32,0,32.57142857142857
2020-06-29,737605,169.0,44,0,33.42857142857143
2020-06-30,737606,186.0,35,0,33.285714285714285
2020-07-01,737607,164.0,38,0,33.857142857142854
2020-07-02,737608,155.0,25,0,33.0
2020-07-03,737609,143.0,45,0,35.714285714285715
2020-07-04,737610,135.0,12,0,33.0
2020-07-05,737611,138.0,35,0,33.42857142857143
2020-07-06,737612,140.0,33,0,31.857142857142858
2020-07-07,737613,135.0,54,0,34.57142857142857
2020-07-08,737614,140.0,73,0,39.57142857142857
2020-07-09,737615,141.0,37,0,41.285714285714285
2020-07-10,737616,142.0,64,0,44.0
2020-07-11,737617,144.0,58,0,50.57142857142857
2020-07-12,737618,136.0,46,0,52.142857142857146
2020-07-13,737619,129.0,59,0,55.857142857142854
2020-07-14,737620,134.0,40,0,53.857142857142854
2020-07-15,737621,175.0,80,0,54.857142857142854
2020-07-16,737622,161.0,50,0,56.714285714285715
2020-07-17,737623,137.0,39,0,53.142857142857146
2020-07-18,737624,140.0,79,0,56.142857142857146
2020-07-19,737625,132.0,67,0,59.142857142857146
2020-07-20,737626,117.0,78,0,61.857142857142854
2020-07-21,737627,139.0,88,0,68.71428571428571
2020-07-22,737628,282.0,102,0,71.85714285714286
2020-07-23,737629,261.0,42,0,70.71428571428571
2020-07-24,737630,275.0,78,0,76.28571428571429
2020-07-25,737631,263.0,68,0,74.71428571428571
2020-07-26,737632,266.0,63,0,74.14285714285714
2020-07-27,737633,260.0,78,0,74.14285714285714
2020-07-28,737634,253.0,87,0,74.0
2020-07-29,737635,157.0,54,0,67.14285714285714
2020-07-30,737636,170.0,58,0,69.42857142857143
2020-07-31,737637,184.0,69,0,68.14285714285714
2020-08-01,737638,188.0,79,0,69.71428571428571
2020-08-02,737639,151.0,69,0,70.57142857142857
2020-08-03,737640,151.0,39,0,65.0
2020-08-04,737641,164.0,85,0,64.71428571428571
2020-08-05,737642,155.0,45,0,63.42857142857143
2020-08-06,737643,147.0,75,0,65.85714285714286
2020-08-07,737644,139.0,71,0,66.14285714285714
2020-08-08,737645,131.0,64,0,64.0
2020-08-09,737646,131.0,100,0,68.42857142857143
2020-08-10,737647,254.0,54,0,70.57142857142857
2020-08-11,737648,144.0,89,0,71.14285714285714
2020-08-12,737649,152.0,63,0,73.71428571428571
2020-08-13,737650,149.0,65,0,72.28571428571429
2020-08-14,737651,128.0,94,0,75.57142857142857
