date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,0.0,47,0,
2020-03-29,737513,0.0,46,0,46.0
2020-03-30,737514,33.0,36,0,41.0
2020-03-31,737515,51.0,70,0,50.666666666666664
2020-04-01,737516,56.0,37,0,47.25
2020-04-02,737517,59.0,32,0,44.2
2020-04-03,737518,117.0,172,0,65.5
2020-04-04,737519,88.0,60,0,64.71428571428571
2020-04-05,737520,83.0,71,0,68.28571428571429
2020-04-06,737521,89.0,94,0,76.57142857142857
2020-04-07,737522,96.0,226,0,98.85714285714286
2020-04-08,737523,108.0,115,0,110.0
2020-04-09,737524,129.0,99,0,119.57142857142857
2020-04-10,737525,134.0,154,0,117.0
2020-04-11,737526,120.0,138,0,128.14285714285714
2020-04-12,737527,124.0,108,0,133.42857142857142
2020-04-13,737528,136.0,146,0,140.85714285714286
2020-04-14,737529,254.0,195,0,136.42857142857142
2020-04-15,737530,243.0,62,0,128.85714285714286
2020-04-16,737531,256.0,113,0,130.85714285714286
2020-04-17,737532,269.0,286,0,149.71428571428572
2020-04-18,737533,280.0,118,0,146.85714285714286
2020-04-19,737534,285.0,202,0,160.28571428571428
2020-04-20,737535,316.0,188,0,166.28571428571428
2020-04-21,737536,314.0,278,0,178.14285714285714
2020-04-22,737537,336.0,128,0,187.57142857142858
2020-04-23,737538,319.0,143,0,191.85714285714286
2020-04-24,737539,339.0,136,0,170.42857142857142
2020-04-25,737540,356.0,456,0,218.71428571428572
2020-04-26,737541,350.0,130,0,208.42857142857142
2020-04-27,737542,352.0,403,0,239.14285714285714
2020-04-28,737543,344.0,108,0,214.85714285714286
2020-04-29,737544,317.0,38,0,202.0
2020-04-30,737545,311.0,196,0,209.57142857142858
2020-05-01,737546,331.0,131,0,208.85714285714286
2020-05-02,737547,316.0,151,0,165.28571428571428
2020-05-03,737548,309.0,302,0,189.85714285714286
2020-05-04,737549,340.0,216,0,163.14285714285714
2020-05-05,737550,331.0,165,0,171.28571428571428
2020-05-06,737551,327.0,191,0,193.14285714285714
2020-05-07,737552,351.0,174,0,190.0
2020-05-08,737553,325.0,166,0,195.0
2020-05-09,737554,312.0,123,0,191.0
2020-05-10,737555,297.0,487,0,217.42857142857142
2020-05-11,737556,302.0,116,0,203.14285714285714
2020-05-12,737557,331.0,66,0,189.0
2020-05-13,737558,295.0,62,0,170.57142857142858
2020-05-14,737559,291.0,119,0,162.71428571428572
2020-05-15,737560,274.0,447,0,202.85714285714286
2020-05-16,737561,267.0,139,0,205.14285714285714
2020-05-17,737562,271.0,189,0,162.57142857142858
2020-05-18,737563,267.0,110,0,161.71428571428572
2020-05-19,737564,264.0,76,0,163.14285714285714
2020-05-20,737565,254.0,100,0,168.57142857142858
2020-05-21,737566,247.0,132,0,170.42857142857142
2020-05-22,737567,237.0,111,0,122.42857142857143
2020-05-23,737568,244.0,135,0,121.85714285714286
2020-05-24,737569,235.0,157,0,117.28571428571429
2020-05-25,737570,236.0,94,0,115.0
2020-05-26,737571,233.0,35,0,109.14285714285714
2020-05-27,737572,227.0,76,0,105.71428571428571
2020-05-28,737573,210.0,81,0,98.42857142857143
2020-05-29,737574,222.0,157,0,105.0
2020-05-30,737575,199.0,70,0,95.71428571428571
2020-05-31,737576,191.0,127,0,91.42857142857143
2020-06-01,737577,190.0,58,0,86.28571428571429
2020-06-02,737578,175.0,36,0,86.42857142857143
2020-06-03,737579,164.0,43,0,81.71428571428571
2020-06-04,737580,164.0,58,0,78.42857142857143
2020-06-05,737581,165.0,76,0,66.85714285714286
2020-06-06,737582,158.0,81,0,68.42857142857143
2020-06-07,737583,167.0,46,0,56.857142857142854
2020-06-08,737584,170.0,53,0,56.142857142857146
2020-06-09,737585,165.0,36,0,56.142857142857146
2020-06-10,737586,164.0,69,0,59.857142857142854
2020-06-11,737587,159.0,56,0,59.57142857142857
2020-06-12,737588,137.0,60,0,57.285714285714285
2020-06-13,737589,140.0,42,0,51.714285714285715
2020-06-14,737590,139.0,76,0,56.0
2020-06-15,737591,140.0,60,0,57.0
2020-06-16,737592,130.0,47,0,58.57142857142857
2020-06-17,737593,134.0,63,0,57.714285714285715
2020-06-18,737594,132.0,40,0,55.42857142857143
2020-06-19,737595,127.0,49,0,53.857142857142854
2020-06-20,737596,121.0,89,0,60.57142857142857
2020-06-21,737597,126.0,45,0,56.142857142857146
2020-06-22,737598,130.0,47,0,54.285714285714285
2020-06-23,737599,122.0,44,0,53.857142857142854
2020-06-24,737600,130.0,98,0,58.857142857142854
2020-06-25,737601,121.0,84,0,65.14285714285714
2020-06-26,737602,117.0,111,0,74.0
2020-06-27,737603,104.0,134,0,80.42857142857143
2020-06-28,737604,98.0,156,0,96.28571428571429
2020-06-29,737605,101.0,80,0,101.0
2020-06-30,737606,103.0,40,0,100.42857142857143
2020-07-01,737607,99.0,186,0,113.0
2020-07-02,737608,96.0,158,0,123.57142857142857
2020-07-03,737609,97.0,74,0,118.28571428571429
2020-07-04,737610,96.0,207,0,128.71428571428572
2020-07-05,737611,93.0,111,0,122.28571428571429
2020-07-06,737612,106.0,119,0,127.85714285714286
2020-07-07,737613,107.0,54,0,129.85714285714286
2020-07-08,737614,118.0,74,0,113.85714285714286
2020-07-09,737615,105.0,143,0,111.71428571428571
2020-07-10,737616,105.0,114,0,117.42857142857143
2020-07-11,737617,88.0,217,0,118.85714285714286
2020-07-12,737618,86.0,179,0,128.57142857142858
2020-07-13,737619,88.0,125,0,129.42857142857142
2020-07-14,737620,84.0,94,0,135.14285714285714
2020-07-15,737621,149.0,79,0,135.85714285714286
2020-07-16,737622,150.0,126,0,133.42857142857142
2020-07-17,737623,144.0,79,0,128.42857142857142
2020-07-18,737624,292.0,85,0,109.57142857142857
2020-07-19,737625,131.0,115,0,100.42857142857143
2020-07-20,737626,152.0,144,0,103.14285714285714
2020-07-21,737627,144.0,59,0,98.14285714285714
2020-07-22,737628,159.0,149,0,108.14285714285714
2020-07-23,737629,154.0,76,0,101.0
2020-07-24,737630,145.0,113,0,105.85714285714286
2020-07-25,737631,188.0,117,0,110.42857142857143
2020-07-26,737632,159.0,112,0,110.0
2020-07-27,737633,168.0,71,0,99.57142857142857
2020-07-28,737634,172.0,142,0,111.42857142857143
2020-07-29,737635,154.0,90,0,103.0
2020-07-30,737636,143.0,96,0,105.85714285714286
2020-07-31,737637,143.0,90,0,102.57142857142857
2020-08-01,737638,184.0,94,0,99.28571428571429
2020-08-02,737639,174.0,110,0,99.0
2020-08-03,737640,72.0,77,0,99.85714285714286
2020-08-04,737641,85.0,63,0,88.57142857142857
2020-08-05,737642,85.0,70,0,85.71428571428571
