date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,624.0,707,0,
2020-03-29,737513,899.0,876,0,876.0
2020-03-30,737514,1002.0,851,0,863.5
2020-03-31,737515,1251.0,903,0,876.6666666666666
2020-04-01,737516,1478.0,1031,0,915.25
2020-04-02,737517,1635.0,1268,0,985.8
2020-04-03,737518,1593.0,1280,0,1034.8333333333333
2020-04-04,737519,1623.0,1149,0,1051.142857142857
2020-04-05,737520,1936.0,765,0,1035.2857142857142
2020-04-06,737521,2049.0,1159,0,1079.2857142857142
2020-04-07,737522,2199.0,1005,0,1093.857142857143
2020-04-08,737523,2150.0,1046,0,1096.0
2020-04-09,737524,2091.0,1033,0,1062.4285714285713
2020-04-10,737525,2168.0,1089,0,1035.142857142857
2020-04-11,737526,2234.0,1063,0,1022.8571428571429
2020-04-12,737527,2174.0,809,0,1029.142857142857
2020-04-13,737528,2651.0,922,0,995.2857142857143
2020-04-14,737529,2622.0,592,0,936.2857142857143
2020-04-15,737530,2622.0,900,0,915.4285714285714
2020-04-16,737531,3508.0,1198,0,939.0
2020-04-17,737532,3505.0,1080,0,937.7142857142857
2020-04-18,737533,3125.0,741,0,891.7142857142857
2020-04-19,737534,3271.0,711,0,877.7142857142857
2020-04-20,737535,3369.0,745,0,852.4285714285714
2020-04-21,737536,3645.0,859,0,890.5714285714286
2020-04-22,737537,2773.0,697,0,861.5714285714286
2020-04-23,737538,2846.0,1212,0,863.5714285714286
2020-04-24,737539,2782.0,734,0,814.1428571428571
2020-04-25,737540,2685.0,794,0,821.7142857142857
2020-04-26,737541,2781.0,519,0,794.2857142857143
2020-04-27,737542,2749.0,747,0,794.5714285714286
2020-04-28,737543,2948.0,343,0,720.8571428571429
2020-04-29,737544,3748.0,514,0,694.7142857142857
2020-04-30,737545,3814.0,976,0,661.0
2020-05-01,737546,3737.0,703,0,656.5714285714286
2020-05-02,737547,3616.0,631,0,633.2857142857143
2020-05-03,737548,3670.0,766,0,668.5714285714286
2020-05-04,737549,4068.0,574,0,643.8571428571429
2020-05-05,737550,4159.0,584,0,678.2857142857143
2020-05-06,737551,4058.0,627,0,694.4285714285714
2020-05-07,737552,4144.0,343,0,604.0
2020-05-08,737553,3774.0,771,0,613.7142857142857
2020-05-09,737554,3908.0,680,0,620.7142857142857
2020-05-10,737555,3884.0,383,0,566.0
2020-05-11,737556,3688.0,606,0,570.5714285714286
2020-05-12,737557,3738.0,799,0,601.2857142857143
2020-05-13,737558,3410.0,790,0,624.5714285714286
2020-05-14,737559,2762.0,784,0,687.5714285714286
2020-05-15,737560,3216.0,479,0,645.8571428571429
2020-05-16,737561,3219.0,1136,0,711.0
2020-05-17,737562,3178.0,653,0,749.5714285714286
2020-05-18,737563,3316.0,612,0,750.4285714285714
2020-05-19,737564,3338.0,474,0,704.0
2020-05-20,737565,3424.0,1187,0,760.7142857142857
2020-05-21,737566,3289.0,724,0,752.1428571428571
2020-05-22,737567,3454.0,733,0,788.4285714285714
2020-05-23,737568,3332.0,544,0,703.8571428571429
2020-05-24,737569,3175.0,979,0,750.4285714285714
2020-05-25,737570,3147.0,501,0,734.5714285714286
2020-05-26,737571,3465.0,474,0,734.5714285714286
2020-05-27,737572,3320.0,611,0,652.2857142857143
2020-05-28,737573,3301.0,1220,0,723.1428571428571
2020-05-29,737574,3626.0,751,0,725.7142857142857
2020-05-30,737575,3504.0,870,0,772.2857142857143
2020-05-31,737576,3525.0,699,0,732.2857142857143
2020-06-01,737577,3605.0,602,0,746.7142857142857
2020-06-02,737578,3490.0,1209,0,851.7142857142857
2020-06-03,737579,3497.0,1264,0,945.0
2020-06-04,737580,3445.0,1015,0,915.7142857142857
2020-06-05,737581,3422.0,1242,0,985.8571428571429
2020-06-06,737582,3592.0,1392,0,1060.4285714285713
2020-06-07,737583,3645.0,1029,0,1107.5714285714287
2020-06-08,737584,3652.0,1153,0,1186.2857142857142
2020-06-09,737585,3938.0,1244,0,1191.2857142857142
2020-06-10,737586,3803.0,1666,0,1248.7142857142858
2020-06-11,737587,3633.0,1633,0,1337.0
2020-06-12,737588,3614.0,2468,0,1512.142857142857
2020-06-13,737589,3642.0,2131,0,1617.7142857142858
2020-06-14,737590,3656.0,1756,0,1721.5714285714287
2020-06-15,737591,3626.0,2692,0,1941.4285714285713
2020-06-16,737592,3919.0,2429,0,2110.714285714286
2020-06-17,737593,3947.0,2691,0,2257.1428571428573
2020-06-18,737594,4067.0,3309,0,2496.5714285714284
2020-06-19,737595,4097.0,3993,0,2714.4285714285716
2020-06-20,737596,4228.0,4609,0,3068.4285714285716
2020-06-21,737597,4328.0,2746,0,3209.8571428571427
2020-06-22,737598,4599.0,3795,0,3367.4285714285716
2020-06-23,737599,5004.0,5454,0,3799.5714285714284
2020-06-24,737600,5213.0,4982,0,4126.857142857143
2020-06-25,737601,5356.0,8798,0,4911.0
2020-06-26,737602,5554.0,9513,0,5699.571428571428
2020-06-27,737603,5811.0,8330,0,6231.142857142857
2020-06-28,737604,6029.0,5354,0,6603.714285714285
2020-06-29,737605,6445.0,6014,0,6920.714285714285
2020-06-30,737606,7008.0,6527,0,7074.0
2020-07-01,737607,7424.0,9423,0,7708.428571428572
2020-07-02,737608,7702.0,9298,0,7779.857142857143
2020-07-03,737609,7647.0,11299,0,8035.0
2020-07-04,737610,7980.0,9828,0,8249.0
2020-07-05,737611,8373.0,6218,0,8372.42857142857
2020-07-06,737612,8967.0,7276,0,8552.714285714286
2020-07-07,737613,9791.0,9925,0,9038.142857142857
2020-07-08,737614,9984.0,8861,0,8957.857142857143
2020-07-09,737615,10353.0,11237,0,9234.857142857143
2020-07-10,737616,10444.0,10224,0,9081.285714285714
2020-07-11,737617,10477.0,15126,0,9838.142857142857
2020-07-12,737618,10740.0,12162,0,10687.285714285714
2020-07-13,737619,11296.0,9160,0,10956.42857142857
2020-07-14,737620,11332.0,9969,0,10962.714285714286
2020-07-15,737621,11748.0,13726,0,11657.714285714286
2020-07-16,737622,11586.0,11166,0,11647.57142857143
2020-07-17,737623,11711.0,10140,0,11635.57142857143
2020-07-18,737624,11540.0,12352,0,11239.285714285714
2020-07-19,737625,12280.0,10361,0,10982.0
2020-07-20,737626,11952.0,9227,0,10991.57142857143
2020-07-21,737627,12108.0,9642,0,10944.857142857143
2020-07-22,737628,12282.0,10058,0,10420.857142857143
2020-07-23,737629,11909.0,12267,0,10578.142857142857
2020-07-24,737630,11597.0,11980,0,10841.0
2020-07-25,737631,11784.0,9217,0,10393.142857142857
2020-07-26,737632,11392.0,8775,0,10166.57142857143
2020-07-27,737633,11346.0,9105,0,10149.142857142857
2020-07-28,737634,11182.0,9289,0,10098.714285714286
2020-07-29,737635,10493.0,9796,0,10061.285714285714
2020-07-30,737636,10358.0,8862,0,9574.857142857143
2020-07-31,737637,9940.0,9451,0,9213.57142857143
2020-08-01,737638,10359.0,7028,0,8900.857142857143
2020-08-02,737639,10329.0,4795,0,8332.285714285714
2020-08-03,737640,9953.0,5335,0,7793.714285714285
2020-08-04,737641,9883.0,5406,0,7239.0
2020-08-05,737642,9571.0,7548,0,6917.857142857143
2020-08-06,737643,9298.0,7513,0,6725.142857142857
2020-08-07,737644,9165.0,8303,0,6561.142857142857
2020-08-08,737645,8770.0,6103,0,6429.0
2020-08-09,737646,8649.0,4133,0,6334.428571428572
2020-08-10,737647,8630.0,5743,0,6392.714285714285
2020-08-11,737648,8638.0,8043,0,6769.428571428572
2020-08-12,737649,8455.0,6197,0,6576.428571428572
2020-08-13,737650,8205.0,6078,0,6371.428571428572
2020-08-14,737651,7829.0,6243,0,6077.142857142857
2020-08-15,737652,7530.0,3790,0,5746.714285714285
2020-08-16,737653,7450.0,2669,0,5537.571428571428
2020-08-17,737654,7548.0,3848,0,5266.857142857143
2020-08-18,737655,7309.0,4102,0,4703.857142857143
2020-08-19,737656,7099.0,4520,0,4464.285714285715
2020-08-20,737657,6887.0,4612,0,4254.857142857143
2020-08-21,737658,6512.0,4289,0,3975.714285714286
2020-08-22,737659,6167.0,2988,0,3861.1428571428573
2020-08-23,737660,6139.0,2046,0,3772.1428571428573
2020-08-24,737661,6186.0,2725,0,3611.714285714286
2020-08-25,737662,6222.0,3253,0,3490.4285714285716
2020-08-26,737663,6074.0,3163,0,3296.5714285714284
2020-08-27,737664,5841.0,3584,0,3149.714285714286
2020-08-28,737665,5450.0,3109,0,2981.1428571428573
2020-08-29,737666,5271.0,2601,0,2925.8571428571427
2020-08-30,737667,5139.0,1679,0,2873.4285714285716
2020-08-31,737668,5195.0,7371,0,3537.1428571428573
2020-09-01,737669,5090.0,2495,0,3428.8571428571427
2020-09-02,737670,4974.0,3573,0,3487.4285714285716
2020-09-03,737671,4892.0,3197,0,3432.1428571428573
2020-09-04,737672,4772.0,3653,0,3509.8571428571427
2020-09-05,737673,4565.0,2460,0,3489.714285714286
2020-09-06,737674,4477.0,1862,0,3515.8571428571427
2020-09-07,737675,4461.0,1798,0,2719.714285714286
2020-09-08,737676,4431.0,2316,0,2694.1428571428573
2020-09-09,737677,4579.0,2531,0,2545.285714285714
2020-09-10,737678,4320.0,3639,0,2608.4285714285716
2020-09-11,737679,4119.0,3150,0,2536.5714285714284
2020-09-12,737680,3955.0,2368,0,2523.4285714285716
2020-09-13,737681,3822.0,1771,0,2510.4285714285716
2020-09-14,737682,3836.0,2643,0,2631.1428571428573
2020-09-15,737683,3921.0,2297,0,2628.4285714285716
2020-09-16,737684,3634.0,3258,0,2732.285714285714
2020-09-17,737685,3025.0,3180,0,2666.714285714286
2020-09-18,737686,3058.0,3543,0,2722.8571428571427
2020-09-19,737687,2900.0,2492,0,2740.5714285714284
2020-09-20,737688,2866.0,1646,0,2722.714285714286
2020-09-21,737689,2848.0,2381,0,2685.285714285714
2020-09-22,737690,2891.0,2580,0,2725.714285714286
2020-09-23,737691,2798.0,2588,0,2630.0
2020-09-24,737692,2696.0,2800,0,2575.714285714286
2020-09-25,737693,2640.0,2765,0,2464.5714285714284
2020-09-26,737694,2558.0,1831,0,2370.1428571428573
2020-09-27,737695,2585.0,808,0,2250.4285714285716
2020-09-28,737696,2621.0,3183,0,2365.0
2020-09-29,737697,2711.0,2047,0,2288.8571428571427
2020-09-30,737698,2633.0,2795,0,2318.4285714285716
2020-10-01,737699,2628.0,2651,0,2297.1428571428573
2020-10-02,737700,2625.0,2758,0,2296.1428571428573
2020-10-03,737701,2538.0,1854,0,2299.4285714285716
2020-10-04,737702,2535.0,1376,0,2380.5714285714284
2020-10-05,737703,2632.0,2266,0,2249.5714285714284
2020-10-06,737704,2716.0,2487,0,2312.4285714285716
2020-10-07,737705,2688.0,3254,0,2378.0
2020-10-08,737706,2668.0,2857,0,2407.4285714285716
2020-10-09,737707,2629.0,1772,0,2266.5714285714284
2020-10-10,737708,2653.0,3618,0,2518.5714285714284
2020-10-11,737709,2511.0,1552,0,2543.714285714286
