date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,54.0,225,0,
2020-03-29,737513,73.0,243,0,243.0
2020-03-30,737514,128.0,389,0,316.0
2020-03-31,737515,483.0,1012,0,548.0
2020-04-01,737516,718.0,570,0,553.5
2020-04-02,737517,712.0,637,0,570.2
2020-04-03,737518,687.0,488,0,556.5
2020-04-04,737519,732.0,422,0,537.2857142857143
2020-04-05,737520,738.0,296,0,544.8571428571429
2020-04-06,737521,924.0,739,0,594.8571428571429
2020-04-07,737522,857.0,1562,0,673.4285714285714
2020-04-08,737523,907.0,1130,0,753.4285714285714
2020-04-09,737524,953.0,613,0,750.0
2020-04-10,737525,1165.0,934,0,813.7142857142857
2020-04-11,737526,1175.0,419,0,813.2857142857143
2020-04-12,737527,1091.0,157,0,793.4285714285714
2020-04-13,737528,1071.0,1086,0,843.0
2020-04-14,737529,1325.0,844,0,740.4285714285714
2020-04-15,737530,2875.0,686,0,677.0
2020-04-16,737531,2814.0,989,0,730.7142857142857
2020-04-17,737532,2732.0,908,0,727.0
2020-04-18,737533,2662.0,352,0,717.4285714285714
2020-04-19,737534,2714.0,505,0,767.1428571428571
2020-04-20,737535,2764.0,843,0,732.4285714285714
2020-04-21,737536,2814.0,612,0,699.2857142857143
2020-04-22,737537,2837.0,897,0,729.4285714285714
2020-04-23,737538,2847.0,931,0,721.1428571428571
2020-04-24,737539,2784.0,681,0,688.7142857142857
2020-04-25,737540,2741.0,686,0,736.4285714285714
2020-04-26,737541,2823.0,271,0,703.0
2020-04-27,737542,2838.0,774,0,693.1428571428571
2020-04-28,737543,2880.0,582,0,688.8571428571429
2020-04-29,737544,2863.0,854,0,682.7142857142857
2020-04-30,737545,2861.0,537,0,626.4285714285714
2020-05-01,737546,2776.0,935,0,662.7142857142857
2020-05-02,737547,2814.0,381,0,619.1428571428571
2020-05-03,737548,2788.0,284,0,621.0
2020-05-04,737549,2928.0,753,0,618.0
2020-05-05,737550,2868.0,602,0,620.8571428571429
2020-05-06,737551,2853.0,802,0,613.4285714285714
2020-05-07,737552,2712.0,821,0,654.0
2020-05-08,737553,2347.0,544,0,598.1428571428571
2020-05-09,737554,1916.0,307,0,587.5714285714286
2020-05-10,737555,2367.0,876,0,672.1428571428571
2020-05-11,737556,1946.0,459,0,630.1428571428571
2020-05-12,737557,1862.0,768,0,653.8571428571429
2020-05-13,737558,1820.0,558,0,619.0
2020-05-14,737559,1852.0,326,0,548.2857142857143
2020-05-15,737560,1770.0,613,0,558.1428571428571
2020-05-16,737561,1703.0,562,0,594.5714285714286
2020-05-17,737562,1689.0,623,0,558.4285714285714
2020-05-18,737563,1813.0,662,0,587.4285714285714
2020-05-19,737564,1776.0,772,0,588.0
2020-05-20,737565,1760.0,780,0,619.7142857142857
2020-05-21,737566,1711.0,687,0,671.2857142857143
2020-05-22,737567,1645.0,1031,0,731.0
2020-05-23,737568,1550.0,979,0,790.5714285714286
2020-05-24,737569,1541.0,724,0,805.0
2020-05-25,737570,1567.0,532,0,786.4285714285714
2020-05-26,737571,1541.0,350,0,726.1428571428571
2020-05-27,737572,1631.0,709,0,716.0
2020-05-28,737573,3273.0,838,0,737.5714285714286
2020-05-29,737574,1523.0,626,0,679.7142857142857
2020-05-30,737575,1484.0,738,0,645.2857142857143
2020-05-31,737576,1463.0,729,0,646.0
2020-06-01,737577,1426.0,889,0,697.0
2020-06-02,737578,1399.0,578,0,729.5714285714286
2020-06-03,737579,1456.0,723,0,731.5714285714286
2020-06-04,737580,1378.0,942,0,746.4285714285714
2020-06-05,737581,1331.0,799,0,771.1428571428571
2020-06-06,737582,1363.0,583,0,749.0
2020-06-07,737583,1409.0,524,0,719.7142857142857
2020-06-08,737584,1454.0,648,0,685.2857142857143
2020-06-09,737585,1435.0,808,0,718.1428571428571
2020-06-10,737586,1308.0,804,0,729.7142857142857
2020-06-11,737587,1339.0,1101,0,752.4285714285714
2020-06-12,737588,1394.0,963,0,775.8571428571429
