date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,28.0,28,0,
2020-03-29,737513,37.0,31,0,31.0
2020-03-30,737514,31.0,22,0,26.5
2020-03-31,737515,29.0,31,0,28.0
2020-04-01,737516,30.0,28,0,28.0
2020-04-02,737517,34.0,39,0,30.2
2020-04-03,737518,29.0,23,0,29.0
2020-04-04,737519,29.0,15,0,27.0
2020-04-05,737520,27.0,18,0,25.142857142857142
2020-04-06,737521,24.0,22,0,25.142857142857142
2020-04-07,737522,30.0,21,0,23.714285714285715
2020-04-08,737523,23.0,9,0,21.0
2020-04-09,737524,24.0,11,0,17.0
2020-04-10,737525,25.0,20,0,16.571428571428573
2020-04-11,737526,22.0,14,0,16.428571428571427
2020-04-12,737527,21.0,4,0,14.428571428571429
2020-04-13,737528,21.0,6,0,12.142857142857142
2020-04-14,737529,29.0,11,0,10.714285714285714
2020-04-15,737530,24.0,11,0,11.0
2020-04-16,737531,22.0,9,0,10.714285714285714
2020-04-17,737532,23.0,20,0,10.714285714285714
2020-04-18,737533,28.0,8,0,9.857142857142858
2020-04-19,737534,21.0,4,0,9.857142857142858
2020-04-20,737535,19.0,2,0,9.285714285714286
2020-04-21,737536,33.0,6,0,8.571428571428571
2020-04-22,737537,24.0,5,0,7.714285714285714
2020-04-23,737538,38.0,3,0,6.857142857142857
2020-04-24,737539,27.0,2,0,4.285714285714286
2020-04-25,737540,34.0,2,0,3.4285714285714284
2020-04-26,737541,19.0,1,0,3.0
2020-04-27,737542,19.0,1,0,2.857142857142857
2020-04-28,737543,16.0,4,0,2.5714285714285716
2020-04-29,737544,25.0,4,0,2.4285714285714284
2020-04-30,737545,28.0,1,0,2.142857142857143
2020-05-01,737546,20.0,0,0,1.8571428571428572
2020-05-02,737547,17.0,3,0,2.0
2020-05-03,737548,29.0,1,0,2.0
2020-05-04,737549,18.0,3,0,2.2857142857142856
2020-05-05,737550,43.0,1,0,1.8571428571428572
2020-05-06,737551,27.0,2,0,1.5714285714285714
2020-05-07,737552,23.0,0,0,1.4285714285714286
2020-05-08,737553,23.0,2,0,1.7142857142857142
2020-05-09,737554,24.0,1,0,1.4285714285714286
2020-05-10,737555,16.0,2,0,1.5714285714285714
2020-05-11,737556,22.0,1,0,1.2857142857142858
2020-05-12,737557,48.0,3,0,1.5714285714285714
2020-05-13,737558,10.0,0,0,1.2857142857142858
2020-05-14,737559,17.0,0,0,1.2857142857142858
2020-05-15,737560,17.0,2,0,1.2857142857142858
2020-05-16,737561,14.0,1,0,1.2857142857142858
2020-05-17,737562,7.0,0,0,1.0
2020-05-18,737563,11.0,1,0,1.0
2020-05-19,737564,21.0,1,0,0.7142857142857143
2020-05-20,737565,19.0,4,0,1.2857142857142858
2020-05-21,737566,16.0,0,0,1.2857142857142858
2020-05-22,737567,20.0,1,0,1.1428571428571428
2020-05-23,737568,13.0,0,0,1.0
2020-05-24,737569,15.0,0,0,1.0
2020-05-25,737570,13.0,0,0,0.8571428571428571
2020-05-26,737571,7.0,0,0,0.7142857142857143
2020-05-27,737572,2.0,2,0,0.42857142857142855
2020-05-28,737573,2.0,3,0,0.8571428571428571
2020-05-29,737574,7.0,3,0,1.1428571428571428
2020-05-30,737575,4.0,0,0,1.1428571428571428
2020-05-31,737576,2.0,0,0,1.1428571428571428
2020-06-01,737577,3.0,1,0,1.2857142857142858
2020-06-02,737578,6.0,1,0,1.4285714285714286
2020-06-03,737579,7.0,1,0,1.2857142857142858
2020-06-04,737580,6.0,6,0,1.7142857142857142
2020-06-05,737581,18.0,8,0,2.4285714285714284
2020-06-06,737582,4.0,1,0,2.5714285714285716
2020-06-07,737583,3.0,1,0,2.7142857142857144
2020-06-08,737584,19.0,6,0,3.4285714285714284
2020-06-09,737585,6.0,4,0,3.857142857142857
2020-06-10,737586,0.0,6,0,4.571428571428571
2020-06-11,737587,7.0,15,0,5.857142857142857
2020-06-12,737588,91.0,17,0,7.142857142857143
2020-06-13,737589,5.0,5,0,7.714285714285714
2020-06-14,737590,8.0,8,0,8.714285714285714
2020-06-15,737591,9.0,3,0,8.285714285714286
2020-06-16,737592,16.0,5,0,8.428571428571429
2020-06-17,737593,20.0,18,0,10.142857142857142
2020-06-18,737594,13.0,26,0,11.714285714285714
2020-06-19,737595,16.0,12,0,11.0
2020-06-20,737596,19.0,10,0,11.714285714285714
2020-06-21,737597,22.0,4,0,11.142857142857142
2020-06-22,737598,21.0,3,0,11.142857142857142
2020-06-23,737599,20.0,13,0,12.285714285714286
2020-06-24,737600,21.0,15,0,11.857142857142858
2020-06-25,737601,17.0,16,0,10.428571428571429
2020-06-26,737602,20.0,6,0,9.571428571428571
2020-06-27,737603,18.0,26,0,11.857142857142858
2020-06-28,737604,20.0,2,0,11.571428571428571
2020-06-29,737605,16.0,18,0,13.714285714285714
2020-06-30,737606,18.0,7,0,12.857142857142858
2020-07-01,737607,23.0,20,0,13.571428571428571
2020-07-02,737608,11.0,28,0,15.285714285714286
2020-07-03,737609,21.0,24,0,17.857142857142858
2020-07-04,737610,15.0,25,0,17.714285714285715
2020-07-05,737611,17.0,7,0,18.428571428571427
2020-07-06,737612,30.0,41,0,21.714285714285715
2020-07-07,737613,19.0,22,0,23.857142857142858
2020-07-08,737614,19.0,34,0,25.857142857142858
2020-07-09,737615,20.0,27,0,25.714285714285715
2020-07-10,737616,18.0,41,0,28.142857142857142
2020-07-11,737617,26.0,20,0,27.428571428571427
2020-07-12,737618,24.0,20,0,29.285714285714285
2020-07-13,737619,12.0,22,0,26.571428571428573
2020-07-14,737620,25.0,28,0,27.428571428571427
2020-07-15,737621,46.0,19,0,25.285714285714285
2020-07-16,737622,53.0,23,0,24.714285714285715
2020-07-17,737623,44.0,19,0,21.571428571428573
2020-07-18,737624,52.0,28,0,22.714285714285715
2020-07-19,737625,50.0,12,0,21.571428571428573
2020-07-20,737626,55.0,24,0,21.857142857142858
2020-07-21,737627,55.0,17,0,20.285714285714285
2020-07-22,737628,59.0,54,0,25.285714285714285
2020-07-23,737629,65.0,58,0,30.285714285714285
2020-07-24,737630,51.0,70,0,37.57142857142857
2020-07-25,737631,39.0,64,0,42.714285714285715
2020-07-26,737632,48.0,28,0,45.0
2020-07-27,737633,62.0,47,0,48.285714285714285
2020-07-28,737634,69.0,110,0,61.57142857142857
2020-07-29,737635,78.0,123,0,71.42857142857143
2020-07-30,737636,79.0,122,0,80.57142857142857
