date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,5.0,63,0,
2020-03-29,737513,4.0,38,0,38.0
2020-03-30,737514,56.0,88,0,63.0
2020-03-31,737515,61.0,73,0,66.33333333333333
2020-04-01,737516,62.0,52,0,62.75
2020-04-02,737517,80.0,65,0,63.2
2020-04-03,737518,87.0,85,0,66.83333333333333
2020-04-04,737519,40.0,87,0,69.71428571428571
2020-04-05,737520,38.0,82,0,76.0
2020-04-06,737521,40.0,78,0,74.57142857142857
2020-04-07,737522,57.0,102,0,78.71428571428571
2020-04-08,737523,99.0,97,0,85.14285714285714
2020-04-09,737524,86.0,125,0,93.71428571428571
2020-04-10,737525,117.0,118,0,98.42857142857143
2020-04-11,737526,83.0,122,0,103.42857142857143
2020-04-12,737527,81.0,77,0,102.71428571428571
2020-04-13,737528,85.0,123,0,109.14285714285714
2020-04-14,737529,113.0,189,0,121.57142857142857
2020-04-15,737530,120.0,96,0,121.42857142857143
2020-04-16,737531,152.0,146,0,124.42857142857143
2020-04-17,737532,182.0,191,0,134.85714285714286
2020-04-18,737533,202.0,181,0,143.28571428571428
2020-04-19,737534,170.0,389,0,187.85714285714286
2020-04-20,737535,167.0,257,0,207.0
2020-04-21,737536,205.0,482,0,248.85714285714286
2020-04-22,737537,209.0,107,0,250.42857142857142
2020-04-23,737538,302.0,176,0,254.71428571428572
2020-04-24,737539,281.0,521,0,301.85714285714283
2020-04-25,737540,252.0,647,0,368.42857142857144
2020-04-26,737541,263.0,383,0,367.57142857142856
2020-04-27,737542,249.0,393,0,387.0
2020-04-28,737543,350.0,508,0,390.7142857142857
2020-04-29,737544,382.0,467,0,442.14285714285717
2020-04-30,737545,397.0,302,0,460.14285714285717
2020-05-01,737546,384.0,739,0,491.2857142857143
2020-05-02,737547,373.0,757,0,507.0
2020-05-03,737548,387.0,528,0,527.7142857142857
2020-05-04,737549,402.0,534,0,547.8571428571429
2020-05-05,737550,411.0,408,0,533.5714285714286
2020-05-06,737551,406.0,293,0,508.7142857142857
2020-05-07,737552,379.0,655,0,559.1428571428571
2020-05-08,737553,375.0,398,0,510.42857142857144
2020-05-09,737554,391.0,214,0,432.85714285714283
2020-05-10,737555,367.0,288,0,398.57142857142856
2020-05-11,737556,369.0,414,0,381.42857142857144
2020-05-12,737557,386.0,539,0,400.14285714285717
2020-05-13,737558,401.0,377,0,412.14285714285717
2020-05-14,737559,375.0,386,0,373.7142857142857
2020-05-15,737560,379.0,374,0,370.2857142857143
2020-05-16,737561,362.0,279,0,379.57142857142856
2020-05-17,737562,380.0,323,0,384.57142857142856
2020-05-18,737563,366.0,431,0,387.0
2020-05-19,737564,384.0,267,0,348.14285714285717
2020-05-20,737565,376.0,246,0,329.42857142857144
2020-05-21,737566,363.0,575,0,356.42857142857144
2020-05-22,737567,339.0,334,0,350.7142857142857
2020-05-23,737568,366.0,394,0,367.14285714285717
2020-05-24,737569,359.0,352,0,371.2857142857143
2020-05-25,737570,372.0,327,0,356.42857142857144
2020-05-26,737571,402.0,126,0,336.2857142857143
2020-05-27,737572,392.0,654,0,394.57142857142856
2020-05-28,737573,381.0,228,0,345.0
2020-05-29,737574,372.0,371,0,350.2857142857143
2020-05-30,737575,346.0,288,0,335.14285714285717
2020-05-31,737576,333.0,308,0,328.85714285714283
2020-06-01,737577,358.0,146,0,303.0
2020-06-02,737578,377.0,317,0,330.2857142857143
2020-06-03,737579,377.0,93,0,250.14285714285714
2020-06-04,737580,338.0,696,0,317.0
2020-06-05,737581,341.0,342,0,312.85714285714283
2020-06-06,737582,311.0,332,0,319.14285714285717
2020-06-07,737583,291.0,110,0,290.85714285714283
2020-06-08,737584,321.0,400,0,327.14285714285717
2020-06-09,737585,356.0,249,0,317.42857142857144
2020-06-10,737586,348.0,366,0,356.42857142857144
2020-06-11,737587,323.0,370,0,309.85714285714283
2020-06-12,737588,208.0,375,0,314.57142857142856
2020-06-13,737589,219.0,369,0,319.85714285714283
2020-06-14,737590,210.0,209,0,334.0
2020-06-15,737591,242.0,151,0,298.42857142857144
2020-06-16,737592,251.0,102,0,277.42857142857144
2020-06-17,737593,249.0,282,0,265.42857142857144
2020-06-18,737594,267.0,393,0,268.7142857142857
2020-06-19,737595,191.0,421,0,275.2857142857143
2020-06-20,737596,162.0,221,0,254.14285714285714
