date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,37.0,31,0,
2020-03-29,737513,35.0,49,0,49.0
2020-03-30,737514,42.0,105,0,77.0
2020-03-31,737515,45.0,110,0,88.0
2020-04-01,737516,49.0,144,0,102.0
2020-04-02,737517,49.0,222,0,126.0
2020-04-03,737518,45.0,122,0,125.33333333333333
2020-04-04,737519,53.0,64,0,116.57142857142857
2020-04-05,737520,51.0,24,0,113.0
2020-04-06,737521,62.0,69,0,107.85714285714286
2020-04-07,737522,67.0,40,0,97.85714285714286
2020-04-08,737523,62.0,22,0,80.42857142857143
2020-04-09,737524,70.0,121,0,66.0
2020-04-10,737525,67.0,43,0,54.714285714285715
2020-04-11,737526,61.0,11,0,47.142857142857146
2020-04-12,737527,63.0,51,0,51.0
2020-04-13,737528,62.0,28,0,45.142857142857146
2020-04-14,737529,64.0,0,0,39.42857142857143
2020-04-15,737530,71.0,101,0,50.714285714285715
2020-04-16,737531,70.0,22,0,36.57142857142857
2020-04-17,737532,59.0,46,0,37.0
2020-04-18,737533,54.0,13,0,37.285714285714285
2020-04-19,737534,52.0,4,0,30.571428571428573
2020-04-20,737535,55.0,64,0,35.714285714285715
2020-04-21,737536,70.0,30,0,40.0
2020-04-22,737537,55.0,36,0,30.714285714285715
2020-04-23,737538,55.0,34,0,32.42857142857143
2020-04-24,737539,38.0,34,0,30.714285714285715
2020-04-25,737540,42.0,17,0,31.285714285714285
2020-04-26,737541,45.0,10,0,32.142857142857146
2020-04-27,737542,42.0,20,0,25.857142857142858
2020-04-28,737543,45.0,35,0,26.571428571428573
2020-04-29,737544,39.0,32,0,26.0
2020-04-30,737545,37.0,31,0,25.571428571428573
2020-05-01,737546,29.0,20,0,23.571428571428573
2020-05-02,737547,24.0,26,0,24.857142857142858
2020-05-03,737548,28.0,0,0,23.428571428571427
2020-05-04,737549,28.0,45,0,27.0
2020-05-05,737550,28.0,21,0,25.0
2020-05-06,737551,22.0,31,0,24.857142857142858
2020-05-07,737552,21.0,20,0,23.285714285714285
2020-05-08,737553,17.0,27,0,24.285714285714285
2020-05-09,737554,20.0,25,0,24.142857142857142
2020-05-10,737555,25.0,0,0,24.142857142857142
2020-05-11,737556,39.0,30,0,22.0
2020-05-12,737557,34.0,33,0,23.714285714285715
2020-05-13,737558,21.0,31,0,23.714285714285715
2020-05-14,737559,20.0,27,0,24.714285714285715
2020-05-15,737560,27.0,38,0,26.285714285714285
2020-05-16,737561,20.0,30,0,27.0
2020-05-17,737562,27.0,0,0,27.0
2020-05-18,737563,30.0,36,0,27.857142857142858
2020-05-19,737564,28.0,21,0,26.142857142857142
2020-05-20,737565,28.0,30,0,26.0
2020-05-21,737566,27.0,28,0,26.142857142857142
2020-05-22,737567,19.0,61,0,29.428571428571427
2020-05-23,737568,19.0,31,0,29.571428571428573
2020-05-24,737569,23.0,0,0,29.571428571428573
2020-05-25,737570,15.0,58,0,32.714285714285715
2020-05-26,737571,19.0,15,0,31.857142857142858
2020-05-27,737572,25.0,32,0,32.142857142857146
2020-05-28,737573,31.0,38,0,33.57142857142857
2020-05-29,737574,32.0,34,0,29.714285714285715
2020-05-30,737575,32.0,36,0,30.428571428571427
2020-05-31,737576,31.0,0,0,30.428571428571427
2020-06-01,737577,26.0,67,0,31.714285714285715
2020-06-02,737578,34.0,27,0,33.42857142857143
2020-06-03,737579,30.0,57,0,37.0
2020-06-04,737580,28.0,64,0,40.714285714285715
2020-06-05,737581,29.0,57,0,44.0
2020-06-06,737582,21.0,28,0,42.857142857142854
2020-06-07,737583,30.0,0,0,42.857142857142854
2020-06-08,737584,23.0,50,0,40.42857142857143
2020-06-09,737585,21.0,31,0,41.0
2020-06-10,737586,21.0,40,0,38.57142857142857
2020-06-11,737587,30.0,42,0,35.42857142857143
2020-06-12,737588,22.0,51,0,34.57142857142857
2020-06-13,737589,25.0,46,0,37.142857142857146
2020-06-14,737590,23.0,0,0,37.142857142857146
