date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,12.0,465,0,
2020-03-29,737513,16.0,1105,0,1105.0
2020-03-30,737514,28.0,461,0,783.0
2020-03-31,737515,53.0,937,0,834.3333333333334
2020-04-01,737516,429.0,986,0,872.25
2020-04-02,737517,504.0,715,0,840.8
2020-04-03,737518,534.0,1209,0,902.1666666666666
2020-04-04,737519,595.0,1453,0,980.8571428571429
2020-04-05,737520,600.0,899,0,951.4285714285714
2020-04-06,737521,592.0,1006,0,1029.2857142857142
2020-04-07,737522,603.0,1287,0,1079.2857142857142
2020-04-08,737523,781.0,1529,0,1156.857142857143
2020-04-09,737524,666.0,1344,0,1246.7142857142858
2020-04-10,737525,728.0,1465,0,1283.2857142857142
2020-04-11,737526,744.0,1293,0,1260.4285714285713
2020-04-12,737527,768.0,1672,0,1370.857142857143
2020-04-13,737528,1293.0,1173,0,1394.7142857142858
2020-04-14,737529,1307.0,1222,0,1385.4285714285713
2020-04-15,737530,1407.0,1346,0,1359.2857142857142
2020-04-16,737531,1778.0,1140,0,1330.142857142857
2020-04-17,737532,1820.0,1842,0,1384.0
2020-04-18,737533,1818.0,1585,0,1425.7142857142858
2020-04-19,737534,1885.0,1197,0,1357.857142857143
2020-04-20,737535,2192.0,1151,0,1354.7142857142858
2020-04-21,737536,2184.0,1551,0,1401.7142857142858
2020-04-22,737537,2358.0,2049,0,1502.142857142857
2020-04-23,737538,2717.0,1826,0,1600.142857142857
2020-04-24,737539,2787.0,2724,0,1726.142857142857
2020-04-25,737540,2694.0,2119,0,1802.4285714285713
2020-04-26,737541,2699.0,2126,0,1935.142857142857
2020-04-27,737542,2716.0,1980,0,2053.5714285714284
2020-04-28,737543,2538.0,2219,0,2149.0
2020-04-29,737544,3409.0,2253,0,2178.1428571428573
2020-04-30,737545,3573.0,2563,0,2283.4285714285716
2020-05-01,737546,3325.0,3137,0,2342.4285714285716
2020-05-02,737547,3253.0,2450,0,2389.714285714286
2020-05-03,737548,3115.0,2944,0,2506.5714285714284
2020-05-04,737549,3313.0,2391,0,2565.285714285714
2020-05-05,737550,3293.0,2122,0,2551.4285714285716
2020-05-06,737551,3752.0,2270,0,2553.8571428571427
2020-05-07,737552,3423.0,2641,0,2565.0
2020-05-08,737553,3585.0,2887,0,2529.285714285714
2020-05-09,737554,3233.0,2325,0,2511.4285714285716
2020-05-10,737555,3249.0,1656,0,2327.4285714285716
2020-05-11,737556,3367.0,1266,0,2166.714285714286
2020-05-12,737557,3601.0,4014,0,2437.0
2020-05-13,737558,3603.0,1677,0,2352.285714285714
2020-05-14,737559,3540.0,3239,0,2437.714285714286
2020-05-15,737560,3290.0,2432,0,2372.714285714286
2020-05-16,737561,3239.0,2088,0,2338.8571428571427
2020-05-17,737562,3047.0,1734,0,2350.0
2020-05-18,737563,3053.0,2294,0,2496.8571428571427
2020-05-19,737564,2996.0,1545,0,2144.1428571428573
2020-05-20,737565,3112.0,2388,0,2245.714285714286
2020-05-21,737566,2969.0,2268,0,2107.0
2020-05-22,737567,2988.0,2758,0,2153.5714285714284
2020-05-23,737568,3554.0,2352,0,2191.285714285714
2020-05-24,737569,3329.0,2508,0,2301.8571428571427
2020-05-25,737570,3403.0,1713,0,2218.8571428571427
2020-05-26,737571,3328.0,1178,0,2166.4285714285716
2020-05-27,737572,3271.0,1111,0,1984.0
2020-05-28,737573,3372.0,1527,0,1878.142857142857
2020-05-29,737574,3220.0,1622,0,1715.857142857143
2020-05-30,737575,3135.0,1462,0,1588.7142857142858
2020-05-31,737576,2923.0,1343,0,1422.2857142857142
2020-06-01,737577,3012.0,974,0,1316.7142857142858
2020-06-02,737578,3160.0,1614,0,1379.0
2020-06-03,737579,3061.0,982,0,1360.5714285714287
2020-06-04,737580,2914.0,929,0,1275.142857142857
2020-06-05,737581,2676.0,1156,0,1208.5714285714287
2020-06-06,737582,2539.0,975,0,1139.0
2020-06-07,737583,2490.0,867,0,1071.0
2020-06-08,737584,2555.0,1382,0,1129.2857142857142
