date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,186.0,251,0,
2020-03-29,737513,213.0,282,0,282.0
2020-03-30,737514,273.0,272,0,277.0
2020-03-31,737515,403.0,373,0,309.0
2020-04-01,737516,693.0,406,0,333.25
2020-04-02,737517,699.0,474,0,361.4
2020-04-03,737518,805.0,418,0,370.8333333333333
2020-04-04,737519,923.0,496,0,388.7142857142857
2020-04-05,737520,891.0,458,0,413.85714285714283
2020-04-06,737521,890.0,533,0,451.14285714285717
2020-04-07,737522,1009.0,563,0,478.2857142857143
2020-04-08,737523,1112.0,436,0,482.57142857142856
2020-04-09,737524,1031.0,408,0,473.14285714285717
2020-04-10,737525,931.0,556,0,492.85714285714283
2020-04-11,737526,830.0,528,0,497.42857142857144
2020-04-12,737527,799.0,493,0,502.42857142857144
2020-04-13,737528,1194.0,308,0,470.2857142857143
2020-04-14,737529,1262.0,291,0,431.42857142857144
2020-04-15,737530,1216.0,428,0,430.2857142857143
2020-04-16,737531,1153.0,587,0,455.85714285714283
2020-04-17,737532,1066.0,612,0,463.85714285714283
2020-04-18,737533,949.0,487,0,458.0
2020-04-19,737534,931.0,569,0,468.85714285714283
2020-04-20,737535,985.0,476,0,492.85714285714283
2020-04-21,737536,973.0,411,0,510.0
2020-04-22,737537,884.0,341,0,497.57142857142856
2020-04-23,737538,915.0,601,0,499.57142857142856
2020-04-24,737539,923.0,641,0,503.7142857142857
2020-04-25,737540,918.0,715,0,536.2857142857143
2020-04-26,737541,840.0,617,0,543.1428571428571
2020-04-27,737542,862.0,949,0,610.7142857142857
2020-04-28,737543,786.0,627,0,641.5714285714286
2020-04-29,737544,1406.0,594,0,677.7142857142857
2020-04-30,737545,1421.0,653,0,685.1428571428571
2020-05-01,737546,1405.0,795,0,707.1428571428571
2020-05-02,737547,1286.0,665,0,700.0
2020-05-03,737548,1264.0,638,0,703.0
2020-05-04,737549,1434.0,574,0,649.4285714285714
2020-05-05,737550,1477.0,526,0,635.0
2020-05-06,737551,1444.0,837,0,669.7142857142857
2020-05-07,737552,1332.0,633,0,666.8571428571429
2020-05-08,737553,1199.0,643,0,645.1428571428571
2020-05-09,737554,1225.0,586,0,633.8571428571429
2020-05-10,737555,1191.0,394,0,599.0
2020-05-11,737556,1286.0,501,0,588.5714285714286
2020-05-12,737557,1324.0,500,0,584.8571428571429
2020-05-13,737558,1342.0,346,0,514.7142857142857
2020-05-14,737559,1298.0,580,0,507.14285714285717
2020-05-15,737560,1238.0,602,0,501.2857142857143
2020-05-16,737561,1129.0,625,0,506.85714285714283
2020-05-17,737562,1159.0,498,0,521.7142857142857
2020-05-18,737563,1170.0,477,0,518.2857142857143
2020-05-19,737564,1190.0,450,0,511.14285714285717
2020-05-20,737565,1135.0,569,0,543.0
2020-05-21,737566,1103.0,662,0,554.7142857142857
2020-05-22,737567,1086.0,473,0,536.2857142857143
2020-05-23,737568,1034.0,492,0,517.2857142857143
2020-05-24,737569,1000.0,475,0,514.0
