date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,9.0,59,0,
2020-03-29,737513,9.0,58,0,58.0
2020-03-30,737514,22.0,49,0,53.5
2020-03-31,737515,28.0,60,0,55.666666666666664
2020-04-01,737516,47.0,54,0,55.25
2020-04-02,737517,53.0,70,0,58.2
2020-04-03,737518,56.0,68,0,59.833333333333336
2020-04-04,737519,44.0,78,0,62.42857142857143
2020-04-05,737520,170.0,115,0,70.57142857142857
2020-04-06,737521,161.0,32,0,68.14285714285714
2020-04-07,737522,185.0,55,0,67.42857142857143
2020-04-08,737523,202.0,176,0,84.85714285714286
2020-04-09,737524,173.0,30,0,79.14285714285714
2020-04-10,737525,168.0,135,0,88.71428571428571
2020-04-11,737526,160.0,38,0,83.0
2020-04-12,737527,164.0,98,0,80.57142857142857
2020-04-13,737528,175.0,-1,0,75.85714285714286
2020-04-14,737529,218.0,101,0,82.42857142857143
2020-04-15,737530,208.0,17,0,59.714285714285715
2020-04-16,737531,208.0,94,0,68.85714285714286
2020-04-17,737532,183.0,172,0,74.14285714285714
2020-04-18,737533,195.0,51,0,76.0
2020-04-19,737534,173.0,38,0,67.42857142857143
2020-04-20,737535,194.0,137,0,87.14285714285714
2020-04-21,737536,208.0,39,0,78.28571428571429
2020-04-22,737537,221.0,186,0,102.42857142857143
2020-04-23,737538,218.0,271,0,127.71428571428571
2020-04-24,737539,176.0,295,0,145.28571428571428
2020-04-25,737540,181.0,279,0,177.85714285714286
2020-04-26,737541,178.0,118,0,189.28571428571428
2020-04-27,737542,203.0,154,0,191.71428571428572
2020-04-28,737543,213.0,163,0,209.42857142857142
2020-04-29,737544,205.0,247,0,218.14285714285714
2020-04-30,737545,210.0,500,0,250.85714285714286
2020-05-01,737546,232.0,211,0,238.85714285714286
2020-05-02,737547,210.0,297,0,241.42857142857142
2020-05-03,737548,230.0,284,0,265.14285714285717
2020-05-04,737549,228.0,215,0,273.85714285714283
2020-05-05,737550,323.0,213,0,281.0
2020-05-06,737551,290.0,276,0,285.14285714285717
2020-05-07,737552,261.0,410,0,272.2857142857143
2020-05-08,737553,243.0,357,0,293.14285714285717
2020-05-09,737554,222.0,250,0,286.42857142857144
2020-05-10,737555,215.0,233,0,279.14285714285717
2020-05-11,737556,245.0,132,0,267.2857142857143
2020-05-12,737557,298.0,0,0,236.85714285714286
2020-05-13,737558,219.0,352,0,247.71428571428572
2020-05-14,737559,195.0,0,0,189.14285714285714
2020-05-15,737560,221.0,418,0,197.85714285714286
2020-05-16,737561,219.0,0,0,162.14285714285714
2020-05-17,737562,194.0,0,0,128.85714285714286
2020-05-18,737563,208.0,454,0,174.85714285714286
2020-05-19,737564,227.0,0,0,174.85714285714286
2020-05-20,737565,253.0,199,0,153.0
2020-05-21,737566,207.0,0,0,153.0
2020-05-22,737567,210.0,419,0,153.14285714285714
2020-05-23,737568,131.0,0,0,153.14285714285714
2020-05-24,737569,125.0,0,0,153.14285714285714
2020-05-25,737570,169.0,260,0,125.42857142857143
2020-05-26,737571,199.0,0,0,125.42857142857143
2020-05-27,737572,197.0,119,0,114.0
2020-05-28,737573,176.0,0,0,114.0
2020-05-29,737574,218.0,382,0,108.71428571428571
2020-05-30,737575,180.0,0,0,108.71428571428571
2020-05-31,737576,164.0,0,0,108.71428571428571
2020-06-01,737577,165.0,292,0,113.28571428571429
2020-06-02,737578,210.0,0,0,113.28571428571429
2020-06-03,737579,169.0,159,0,119.0
2020-06-04,737580,160.0,0,0,119.0
2020-06-05,737581,192.0,223,0,96.28571428571429
2020-06-06,737582,178.0,0,0,96.28571428571429
2020-06-07,737583,150.0,0,0,96.28571428571429
2020-06-08,737584,202.0,257,0,91.28571428571429
2020-06-09,737585,153.0,0,0,91.28571428571429
2020-06-10,737586,180.0,162,0,91.71428571428571
2020-06-11,737587,171.0,0,0,91.71428571428571
2020-06-12,737588,164.0,235,0,93.42857142857143
2020-06-13,737589,158.0,0,0,93.42857142857143
2020-06-14,737590,154.0,0,0,93.42857142857143
2020-06-15,737591,186.0,372,0,109.85714285714286
2020-06-16,737592,186.0,0,0,109.85714285714286
2020-06-17,737593,165.0,262,0,124.14285714285714
2020-06-18,737594,196.0,0,0,124.14285714285714
2020-06-19,737595,198.0,378,0,144.57142857142858
2020-06-20,737596,160.0,0,0,144.57142857142858
2020-06-21,737597,168.0,0,0,144.57142857142858
2020-06-22,737598,217.0,406,0,149.42857142857142
2020-06-23,737599,198.0,0,0,149.42857142857142
2020-06-24,737600,241.0,505,0,184.14285714285714
2020-06-25,737601,234.0,0,0,184.14285714285714
2020-06-26,737602,197.0,568,0,211.28571428571428
2020-06-27,737603,196.0,0,0,211.28571428571428
2020-06-28,737604,169.0,0,0,211.28571428571428
2020-06-29,737605,192.0,905,0,282.57142857142856
2020-06-30,737606,211.0,0,0,282.57142857142856
2020-07-01,737607,217.0,547,0,288.57142857142856
2020-07-02,737608,230.0,0,0,288.57142857142856
2020-07-03,737609,214.0,929,0,340.14285714285717
2020-07-04,737610,223.0,0,0,340.14285714285717
2020-07-05,737611,203.0,0,0,340.14285714285717
2020-07-06,737612,224.0,982,0,351.14285714285717
2020-07-07,737613,231.0,0,0,351.14285714285717
2020-07-08,737614,236.0,717,0,375.42857142857144
2020-07-09,737615,201.0,0,0,375.42857142857144
2020-07-10,737616,217.0,993,0,384.57142857142856
2020-07-11,737617,219.0,0,0,384.57142857142856
2020-07-12,737618,217.0,0,0,384.57142857142856
2020-07-13,737619,232.0,1447,0,451.0
2020-07-14,737620,293.0,0,0,451.0
2020-07-15,737621,396.0,875,0,473.57142857142856
2020-07-16,737622,375.0,0,0,473.57142857142856
2020-07-17,737623,378.0,1032,0,479.14285714285717
2020-07-18,737624,365.0,0,0,479.14285714285717
2020-07-19,737625,373.0,0,0,479.14285714285717
2020-07-20,737626,395.0,1369,0,468.0
2020-07-21,737627,372.0,0,0,468.0
2020-07-22,737628,363.0,770,0,453.0
2020-07-23,737629,341.0,0,0,453.0
2020-07-24,737630,358.0,1005,0,449.14285714285717
2020-07-25,737631,481.0,0,0,449.14285714285717
2020-07-26,737632,444.0,0,0,449.14285714285717
2020-07-27,737633,364.0,1063,0,405.42857142857144
2020-07-28,737634,400.0,0,0,405.42857142857144
2020-07-29,737635,400.0,698,0,395.14285714285717
2020-07-30,737636,386.0,0,0,395.14285714285717
2020-07-31,737637,388.0,942,0,386.14285714285717
2020-08-01,737638,515.0,0,0,386.14285714285717
2020-08-02,737639,489.0,0,0,386.14285714285717
2020-08-03,737640,392.0,1064,0,386.2857142857143
2020-08-04,737641,379.0,0,0,386.2857142857143
2020-08-05,737642,371.0,841,0,406.7142857142857
2020-08-06,737643,358.0,0,0,406.7142857142857
2020-08-07,737644,329.0,921,0,403.7142857142857
2020-08-08,737645,346.0,0,0,403.7142857142857
2020-08-09,737646,324.0,0,0,403.7142857142857
2020-08-10,737647,305.0,1092,0,407.7142857142857
2020-08-11,737648,362.0,0,0,407.7142857142857
2020-08-12,737649,323.0,817,0,404.2857142857143
2020-08-13,737650,316.0,0,0,404.2857142857143
2020-08-14,737651,322.0,1338,0,463.85714285714283
2020-08-15,737652,316.0,0,0,463.85714285714283
2020-08-16,737653,328.0,0,0,463.85714285714283
2020-08-17,737654,360.0,1282,0,491.0
2020-08-18,737655,303.0,0,0,491.0
2020-08-19,737656,320.0,723,0,477.57142857142856
2020-08-20,737657,306.0,0,0,477.57142857142856
2020-08-21,737658,301.0,966,0,424.42857142857144
2020-08-22,737659,295.0,0,0,424.42857142857144
2020-08-23,737660,291.0,0,0,424.42857142857144
2020-08-24,737661,301.0,1545,0,462.0
2020-08-25,737662,302.0,0,0,462.0
2020-08-26,737663,310.0,1536,0,578.1428571428571
2020-08-27,737664,333.0,0,0,578.1428571428571
2020-08-28,737665,328.0,1111,0,598.8571428571429
2020-08-29,737666,319.0,0,0,598.8571428571429
2020-08-30,737667,316.0,0,0,598.8571428571429
2020-08-31,737668,324.0,1564,0,601.5714285714286
2020-09-01,737669,338.0,0,0,601.5714285714286
2020-09-02,737670,348.0,1328,0,571.8571428571429
2020-09-03,737671,316.0,0,0,571.8571428571429
2020-09-04,737672,313.0,1280,0,596.0
2020-09-05,737673,293.0,0,0,596.0
2020-09-06,737674,300.0,0,0,596.0
2020-09-07,737675,312.0,1694,0,614.5714285714286
2020-09-08,737676,325.0,0,0,614.5714285714286
2020-09-09,737677,333.0,496,0,495.7142857142857
2020-09-10,737678,318.0,0,0,495.7142857142857
2020-09-11,737679,307.0,976,0,452.2857142857143
2020-09-12,737680,311.0,0,0,452.2857142857143
2020-09-13,737681,320.0,0,0,452.2857142857143
2020-09-14,737682,285.0,1513,0,426.42857142857144
2020-09-15,737683,315.0,0,0,426.42857142857144
2020-09-16,737684,317.0,971,0,494.2857142857143
2020-09-17,737685,326.0,0,0,494.2857142857143
2020-09-18,737686,312.0,1415,0,557.0
2020-09-19,737687,326.0,0,0,557.0
2020-09-20,737688,312.0,0,0,557.0
2020-09-21,737689,327.0,1674,0,580.0
2020-09-22,737690,354.0,0,0,580.0
2020-09-23,737691,355.0,1267,0,622.2857142857143
2020-09-24,737692,364.0,0,0,622.2857142857143
2020-09-25,737693,377.0,1366,0,615.2857142857143
2020-09-26,737694,397.0,0,0,615.2857142857143
2020-09-27,737695,398.0,0,0,615.2857142857143
2020-09-28,737696,382.0,2037,0,667.1428571428571
2020-09-29,737697,378.0,0,0,667.1428571428571
2020-09-30,737698,388.0,1120,0,646.1428571428571
2020-10-01,737699,393.0,0,0,646.1428571428571
2020-10-02,737700,422.0,1362,0,645.5714285714286
2020-10-03,737701,407.0,0,0,645.5714285714286
2020-10-04,737702,402.0,0,0,645.5714285714286
2020-10-05,737703,435.0,1597,0,582.7142857142857
2020-10-06,737704,448.0,0,0,582.7142857142857
2020-10-07,737705,474.0,1244,0,600.4285714285714
2020-10-08,737706,476.0,0,0,600.4285714285714
2020-10-09,737707,493.0,1855,0,670.8571428571429
2020-10-10,737708,495.0,0,0,670.8571428571429
2020-10-11,737709,461.0,0,0,670.8571428571429
2020-10-12,737710,464.0,2055,0,736.2857142857143
2020-10-13,737711,494.0,0,0,736.2857142857143
2020-10-14,737712,480.0,1293,0,743.2857142857143
2020-10-15,737713,465.0,0,0,743.2857142857143
2020-10-16,737714,474.0,1700,0,721.1428571428571
2020-10-17,737715,496.0,0,0,721.1428571428571
2020-10-18,737716,464.0,0,0,721.1428571428571
2020-10-19,737717,442.0,2113,0,729.4285714285714
2020-10-20,737718,464.0,0,0,729.4285714285714
2020-10-21,737719,474.0,1488,0,757.2857142857143
2020-10-22,737720,498.0,0,0,757.2857142857143
2020-10-23,737721,515.0,1774,0,767.8571428571429
2020-10-24,737722,520.0,0,0,767.8571428571429
2020-10-25,737723,509.0,0,0,767.8571428571429
2020-10-26,737724,495.0,2446,0,815.4285714285714
2020-10-27,737725,504.0,0,0,815.4285714285714
2020-10-28,737726,548.0,3369,0,1084.142857142857
2020-10-29,737727,544.0,0,0,1084.142857142857
2020-10-30,737728,555.0,3136,0,1278.7142857142858
2020-10-31,737729,565.0,0,0,1278.7142857142858
2020-11-01,737730,573.0,0,0,1278.7142857142858
2020-11-02,737731,576.0,4096,0,1514.4285714285713
2020-11-03,737732,633.0,0,0,1514.4285714285713
2020-11-04,737733,714.0,2938,0,1452.857142857143
