date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,94.0,68,0,
2020-03-29,737513,90.0,28,0,28.0
2020-03-30,737514,147.0,102,0,65.0
2020-03-31,737515,154.0,130,0,86.66666666666667
2020-04-01,737516,166.0,113,0,93.25
2020-04-02,737517,282.0,148,0,104.2
2020-04-03,737518,316.0,99,0,103.33333333333333
2020-04-04,737519,323.0,103,0,103.28571428571429
2020-04-05,737520,322.0,70,0,109.28571428571429
2020-04-06,737521,367.0,124,0,112.42857142857143
2020-04-07,737522,342.0,175,0,118.85714285714286
2020-04-08,737523,372.0,135,0,122.0
2020-04-09,737524,380.0,68,0,110.57142857142857
2020-04-10,737525,397.0,82,0,108.14285714285714
2020-04-11,737526,368.0,94,0,106.85714285714286
2020-04-12,737527,368.0,75,0,107.57142857142857
2020-04-13,737528,716.0,124,0,107.57142857142857
2020-04-14,737529,704.0,124,0,100.28571428571429
2020-04-15,737530,418.0,104,0,95.85714285714286
2020-04-16,737531,391.0,97,0,100.0
2020-04-17,737532,383.0,114,0,104.57142857142857
2020-04-18,737533,315.0,126,0,109.14285714285714
2020-04-19,737534,316.0,137,0,118.0
2020-04-20,737535,412.0,100,0,114.57142857142857
2020-04-21,737536,402.0,213,0,127.28571428571429
2020-04-22,737537,416.0,157,0,134.85714285714286
2020-04-23,737538,412.0,179,0,146.57142857142858
2020-04-24,737539,478.0,211,0,160.42857142857142
2020-04-25,737540,482.0,202,0,171.28571428571428
2020-04-26,737541,489.0,132,0,170.57142857142858
2020-04-27,737542,488.0,127,0,174.42857142857142
2020-04-28,737543,519.0,254,0,180.28571428571428
2020-04-29,737544,534.0,208,0,187.57142857142858
2020-04-30,737545,509.0,311,0,206.42857142857142
2020-05-01,737546,489.0,232,0,209.42857142857142
2020-05-02,737547,479.0,135,0,199.85714285714286
2020-05-03,737548,504.0,124,0,198.71428571428572
2020-05-04,737549,534.0,274,0,219.71428571428572
2020-05-05,737550,557.0,233,0,216.71428571428572
2020-05-06,737551,454.0,180,0,212.71428571428572
2020-05-07,737552,468.0,186,0,194.85714285714286
2020-05-08,737553,500.0,182,0,187.71428571428572
2020-05-09,737554,414.0,124,0,186.14285714285714
2020-05-10,737555,383.0,108,0,183.85714285714286
2020-05-11,737556,375.0,196,0,172.71428571428572
2020-05-12,737557,575.0,274,0,178.57142857142858
2020-05-13,737558,491.0,202,0,181.71428571428572
2020-05-14,737559,522.0,277,0,194.71428571428572
2020-05-15,737560,500.0,242,0,203.28571428571428
2020-05-16,737561,511.0,104,0,200.42857142857142
2020-05-17,737562,546.0,112,0,201.0
2020-05-18,737563,489.0,191,0,200.28571428571428
2020-05-19,737564,505.0,199,0,189.57142857142858
2020-05-20,737565,471.0,164,0,184.14285714285714
2020-05-21,737566,491.0,182,0,170.57142857142858
2020-05-22,737567,476.0,158,0,158.57142857142858
2020-05-23,737568,450.0,132,0,162.57142857142858
2020-05-24,737569,416.0,18,0,149.14285714285714
2020-05-25,737570,475.0,173,0,146.57142857142858
2020-05-26,737571,499.0,155,0,140.28571428571428
2020-05-27,737572,476.0,171,0,141.28571428571428
2020-05-28,737573,505.0,291,0,156.85714285714286
2020-05-29,737574,448.0,163,0,157.57142857142858
2020-05-30,737575,444.0,104,0,153.57142857142858
2020-05-31,737576,373.0,136,0,170.42857142857142
2020-06-01,737577,355.0,227,0,178.14285714285714
2020-06-02,737578,391.0,245,0,191.0
2020-06-03,737579,390.0,188,0,193.42857142857142
2020-06-04,737580,424.0,264,0,189.57142857142858
2020-06-05,737581,479.0,281,0,206.42857142857142
2020-06-06,737582,428.0,76,0,202.42857142857142
2020-06-07,737583,444.0,120,0,200.14285714285714
2020-06-08,737584,622.0,260,0,204.85714285714286
2020-06-09,737585,618.0,202,0,198.71428571428572
2020-06-10,737586,520.0,70,0,181.85714285714286
2020-06-11,737587,471.0,291,0,185.71428571428572
2020-06-12,737588,455.0,281,0,185.71428571428572
2020-06-13,737589,402.0,94,0,188.28571428571428
2020-06-14,737590,464.0,185,0,197.57142857142858
2020-06-15,737591,512.0,237,0,194.28571428571428
2020-06-16,737592,504.0,210,0,195.42857142857142
2020-06-17,737593,470.0,254,0,221.71428571428572
2020-06-18,737594,501.0,251,0,216.0
2020-06-19,737595,541.0,259,0,212.85714285714286
2020-06-20,737596,506.0,126,0,217.42857142857142
2020-06-21,737597,515.0,110,0,206.71428571428572
2020-06-22,737598,530.0,244,0,207.71428571428572
2020-06-23,737599,623.0,258,0,214.57142857142858
2020-06-24,737600,560.0,322,0,224.28571428571428
2020-06-25,737601,567.0,287,0,229.42857142857142
2020-06-26,737602,548.0,363,0,244.28571428571428
2020-06-27,737603,535.0,103,0,241.0
2020-06-28,737604,558.0,181,0,251.14285714285714
2020-06-29,737605,582.0,349,0,266.14285714285717
2020-06-30,737606,579.0,267,0,267.42857142857144
2020-07-01,737607,610.0,360,0,272.85714285714283
2020-07-02,737608,589.0,449,0,296.0
2020-07-03,737609,569.0,334,0,291.85714285714283
2020-07-04,737610,550.0,228,0,309.7142857142857
2020-07-05,737611,540.0,251,0,319.7142857142857
2020-07-06,737612,621.0,403,0,327.42857142857144
2020-07-07,737613,539.0,529,0,364.85714285714283
2020-07-08,737614,560.0,428,0,374.57142857142856
2020-07-09,737615,528.0,616,0,398.42857142857144
2020-07-10,737616,550.0,669,0,446.2857142857143
2020-07-11,737617,492.0,551,0,492.42857142857144
2020-07-12,737618,560.0,288,0,497.7142857142857
2020-07-13,737619,488.0,546,0,518.1428571428571
2020-07-14,737620,554.0,544,0,520.2857142857143
2020-07-15,737621,222.0,687,0,557.2857142857143
2020-07-16,737622,508.0,690,0,567.8571428571429
2020-07-17,737623,552.0,620,0,560.8571428571429
2020-07-18,737624,523.0,958,0,619.0
2020-07-19,737625,532.0,335,0,625.7142857142857
2020-07-20,737626,458.0,534,0,624.0
2020-07-21,737627,1196.0,810,0,662.0
2020-07-22,737628,587.0,721,0,666.8571428571429
2020-07-23,737629,624.0,903,0,697.2857142857143
2020-07-24,737630,608.0,823,0,726.2857142857143
2020-07-25,737631,811.0,425,0,650.1428571428571
2020-07-26,737632,676.0,303,0,645.5714285714286
2020-07-27,737633,627.0,615,0,657.1428571428571
2020-07-28,737634,654.0,545,0,619.2857142857143
2020-07-29,737635,679.0,700,0,616.2857142857143
2020-07-30,737636,685.0,859,0,610.0
2020-07-31,737637,695.0,664,0,587.2857142857143
2020-08-01,737638,863.0,398,0,583.4285714285714
2020-08-02,737639,925.0,398,0,597.0
2020-08-03,737640,737.0,760,0,617.7142857142857
2020-08-04,737641,719.0,661,0,634.2857142857143
2020-08-05,737642,737.0,724,0,637.7142857142857
2020-08-06,737643,761.0,719,0,617.7142857142857
2020-08-07,737644,694.0,820,0,640.0
2020-08-08,737645,682.0,330,0,630.2857142857143
2020-08-09,737646,723.0,170,0,597.7142857142857
2020-08-10,737647,684.0,1016,0,634.2857142857143
2020-08-11,737648,719.0,814,0,656.1428571428571
2020-08-12,737649,685.0,872,0,677.2857142857143
2020-08-13,737650,678.0,851,0,696.1428571428571
2020-08-14,737651,641.0,647,0,671.4285714285714
2020-08-15,737652,622.0,432,0,686.0
2020-08-16,737653,585.0,415,0,721.0
2020-08-17,737654,640.0,727,0,679.7142857142857
2020-08-18,737655,660.0,692,0,662.2857142857143
2020-08-19,737656,661.0,885,0,664.1428571428571
2020-08-20,737657,613.0,717,0,645.0
2020-08-21,737658,653.0,809,0,668.1428571428571
2020-08-22,737659,606.0,515,0,680.0
2020-08-23,737660,589.0,329,0,667.7142857142857
2020-08-24,737661,628.0,716,0,666.1428571428571
2020-08-25,737662,647.0,783,0,679.1428571428571
2020-08-26,737663,604.0,845,0,673.4285714285714
2020-08-27,737664,596.0,866,0,694.7142857142857
2020-08-28,737665,591.0,853,0,701.0
2020-08-29,737666,608.0,531,0,703.2857142857143
2020-08-30,737667,590.0,246,0,691.4285714285714
2020-08-31,737668,586.0,903,0,718.1428571428571
2020-09-01,737669,619.0,848,0,727.4285714285714
2020-09-02,737670,602.0,934,0,740.1428571428571
2020-09-03,737671,604.0,843,0,736.8571428571429
2020-09-04,737672,571.0,755,0,722.8571428571429
2020-09-05,737673,584.0,515,0,720.5714285714286
2020-09-06,737674,544.0,292,0,727.1428571428571
2020-09-07,737675,554.0,322,0,644.1428571428571
2020-09-08,737676,596.0,642,0,614.7142857142857
2020-09-09,737677,572.0,839,0,601.1428571428571
2020-09-10,737678,586.0,913,0,611.1428571428571
2020-09-11,737679,632.0,833,0,622.2857142857143
2020-09-12,737680,564.0,580,0,631.5714285714286
2020-09-13,737681,541.0,368,0,642.4285714285714
2020-09-14,737682,558.0,708,0,697.5714285714286
2020-09-15,737683,600.0,767,0,715.4285714285714
2020-09-16,737684,554.0,594,0,680.4285714285714
