date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,312.0,569,0,
2020-03-29,737513,340.0,225,0,225.0
2020-03-30,737514,503.0,485,0,355.0
2020-03-31,737515,776.0,1212,0,640.6666666666666
2020-04-01,737516,848.0,1187,0,777.25
2020-04-02,737517,940.0,2726,0,1167.0
2020-04-03,737518,1695.0,1147,0,1163.6666666666667
2020-04-04,737519,1656.0,2199,0,1311.5714285714287
2020-04-05,737520,1668.0,514,0,1352.857142857143
2020-04-06,737521,2896.0,1857,0,1548.857142857143
2020-04-07,737522,2808.0,1417,0,1578.142857142857
2020-04-08,737523,2945.0,746,0,1515.142857142857
2020-04-09,737524,2845.0,1253,0,1304.7142857142858
2020-04-10,737525,2723.0,970,0,1279.4285714285713
2020-04-11,737526,2612.0,761,0,1074.0
2020-04-12,737527,2513.0,581,0,1083.5714285714287
2020-04-13,737528,2555.0,421,0,878.4285714285714
2020-04-14,737529,2488.0,502,0,747.7142857142857
2020-04-15,737530,2435.0,433,0,703.0
2020-04-16,737531,2249.0,581,0,607.0
2020-04-17,737532,2236.0,586,0,552.1428571428571
2020-04-18,737533,2132.0,462,0,509.42857142857144
2020-04-19,737534,2070.0,348,0,476.14285714285717
2020-04-20,737535,2119.0,595,0,501.0
2020-04-21,737536,2067.0,331,0,476.57142857142856
2020-04-22,737537,1205.0,463,0,480.85714285714283
2020-04-23,737538,1845.0,481,0,466.57142857142856
2020-04-24,737539,1782.0,342,0,431.7142857142857
2020-04-25,737540,1771.0,372,0,418.85714285714283
2020-04-26,737541,1731.0,320,0,414.85714285714283
2020-04-27,737542,1731.0,279,0,369.7142857142857
2020-04-28,737543,1693.0,218,0,353.57142857142856
2020-04-29,737544,1653.0,374,0,340.85714285714283
2020-04-30,737545,1596.0,341,0,320.85714285714283
2020-05-01,737546,1570.0,667,0,367.2857142857143
2020-05-02,737547,1489.0,429,0,375.42857142857144
2020-05-03,737548,1467.0,243,0,364.42857142857144
2020-05-04,737549,1493.0,363,0,376.42857142857144
2020-05-05,737550,1429.0,323,0,391.42857142857144
2020-05-06,737551,725.0,330,0,385.14285714285717
2020-05-07,737552,1332.0,326,0,383.0
2020-05-08,737553,1269.0,203,0,316.7142857142857
2020-05-09,737554,1230.0,562,0,335.7142857142857
2020-05-10,737555,1216.0,183,0,327.14285714285717
