date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,68.0,1017,0,
2020-03-29,737513,97.0,698,0,698.0
2020-03-30,737514,153.0,797,0,747.5
2020-03-31,737515,235.0,868,0,787.6666666666666
2020-04-01,737516,298.0,1118,0,870.25
2020-04-02,737517,619.0,1228,0,941.8
2020-04-03,737518,630.0,1436,0,1024.1666666666667
2020-04-04,737519,643.0,1334,0,1068.4285714285713
2020-04-05,737520,654.0,764,0,1077.857142857143
2020-04-06,737521,763.0,1337,0,1155.0
2020-04-07,737522,796.0,1365,0,1226.0
2020-04-08,737523,916.0,1365,0,1261.2857142857142
2020-04-09,737524,1063.0,2374,0,1425.0
2020-04-10,737525,1135.0,1904,0,1491.857142857143
2020-04-11,737526,1163.0,3073,0,1740.2857142857142
2020-04-12,737527,1162.0,1557,0,1853.5714285714287
2020-04-13,737528,1373.0,1392,0,1861.4285714285713
2020-04-14,737529,1497.0,1296,0,1851.5714285714287
2020-04-15,737530,1529.0,1755,0,1907.2857142857142
2020-04-16,737531,1715.0,2263,0,1891.4285714285713
2020-04-17,737532,1670.0,2221,0,1936.7142857142858
2020-04-18,737533,1630.0,1970,0,1779.142857142857
2020-04-19,737534,1612.0,1705,0,1800.2857142857142
2020-04-20,737535,1536.0,1566,0,1825.142857142857
2020-04-21,737536,1499.0,1556,0,1862.2857142857142
2020-04-22,737537,1507.0,1745,0,1860.857142857143
2020-04-23,737538,1526.0,3079,0,1977.4285714285713
2020-04-24,737539,4329.0,4946,0,2366.714285714286
2020-04-25,737540,4298.0,2379,0,2425.1428571428573
2020-04-26,737541,4366.0,1590,0,2408.714285714286
2020-04-27,737542,4320.0,1524,0,2402.714285714286
2020-04-28,737543,4354.0,1840,0,2443.285714285714
2020-04-29,737544,4231.0,1963,0,2474.4285714285716
2020-04-30,737545,4144.0,1940,0,2311.714285714286
2020-05-01,737546,4091.0,2106,0,1906.0
2020-05-02,737547,4053.0,1952,0,1845.0
2020-05-03,737548,4051.0,1824,0,1878.4285714285713
2020-05-04,737549,3979.0,1000,0,1803.5714285714287
2020-05-05,737550,3956.0,1184,0,1709.857142857143
2020-05-06,737551,3960.0,1754,0,1680.0
2020-05-07,737552,3771.0,1696,0,1645.142857142857
2020-05-08,737553,3834.0,1612,0,1574.5714285714287
2020-05-09,737554,3685.0,1410,0,1497.142857142857
2020-05-10,737555,3625.0,1050,0,1386.5714285714287
2020-05-11,737556,3632.0,669,0,1339.2857142857142
2020-05-12,737557,3634.0,870,0,1294.4285714285713
2020-05-13,737558,3424.0,1165,0,1210.2857142857142
2020-05-14,737559,3287.0,1685,0,1208.7142857142858
2020-05-15,737560,3255.0,1239,0,1155.4285714285713
2020-05-16,737561,3206.0,1512,0,1170.0
2020-05-17,737562,3051.0,1077,0,1173.857142857143
2020-05-18,737563,3000.0,1042,0,1227.142857142857
2020-05-19,737564,2968.0,873,0,1227.5714285714287
2020-05-20,737565,2889.0,1045,0,1210.4285714285713
2020-05-21,737566,2802.0,1114,0,1128.857142857143
2020-05-22,737567,2737.0,815,0,1068.2857142857142
2020-05-23,737568,2645.0,763,0,961.2857142857143
2020-05-24,737569,2579.0,1013,0,952.1428571428571
2020-05-25,737570,2510.0,596,0,888.4285714285714
