date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,184.0,218,0,
2020-03-29,737513,195.0,247,0,247.0
2020-03-30,737514,283.0,421,0,334.0
2020-03-31,737515,300.0,0,0,222.66666666666666
2020-04-01,737516,386.0,325,0,248.25
2020-04-02,737517,409.0,346,0,267.8
2020-04-03,737518,357.0,427,0,294.3333333333333
2020-04-04,737519,392.0,367,0,304.7142857142857
2020-04-05,737520,397.0,920,0,400.85714285714283
2020-04-06,737521,406.0,326,0,387.2857142857143
2020-04-07,737522,429.0,1158,0,552.7142857142857
2020-04-08,737523,455.0,656,0,600.0
2020-04-09,737524,463.0,783,0,662.4285714285714
2020-04-10,737525,464.0,0,0,601.4285714285714
2020-04-11,737526,473.0,726,0,652.7142857142857
2020-04-12,737527,525.0,1242,0,698.7142857142857
2020-04-13,737528,522.0,536,0,728.7142857142857
2020-04-14,737529,539.0,560,0,643.2857142857143
2020-04-15,737530,593.0,752,0,657.0
2020-04-16,737531,571.0,788,0,657.7142857142857
2020-04-17,737532,518.0,0,0,657.7142857142857
2020-04-18,737533,578.0,736,0,659.1428571428571
2020-04-19,737534,575.0,1376,0,678.2857142857143
2020-04-20,737535,1787.0,509,0,674.4285714285714
2020-04-21,737536,1744.0,582,0,677.5714285714286
2020-04-22,737537,498.0,962,0,707.5714285714286
2020-04-23,737538,1786.0,879,0,720.5714285714286
2020-04-24,737539,429.0,0,0,720.5714285714286
2020-04-25,737540,1910.0,1150,0,779.7142857142857
2020-04-26,737541,1933.0,1721,0,829.0
2020-04-27,737542,1948.0,626,0,845.7142857142857
2020-04-28,737543,2157.0,736,0,867.7142857142857
2020-04-29,737544,2165.0,893,0,857.8571428571429
2020-04-30,737545,2006.0,1730,0,979.4285714285714
2020-05-01,737546,2075.0,0,0,979.4285714285714
2020-05-02,737547,2057.0,1001,0,958.1428571428571
2020-05-03,737548,2053.0,1935,0,988.7142857142857
2020-05-04,737549,2129.0,709,0,1000.5714285714286
