date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,25.0,43,0,
2020-03-29,737513,23.0,42,0,42.0
2020-03-30,737514,27.0,50,0,46.0
2020-03-31,737515,47.0,0,0,30.666666666666668
2020-04-01,737516,75.0,41,0,33.25
2020-04-02,737517,70.0,32,0,33.0
2020-04-03,737518,83.0,56,0,36.833333333333336
2020-04-04,737519,90.0,24,0,35.0
2020-04-05,737520,83.0,14,0,31.0
2020-04-06,737521,96.0,29,0,28.0
2020-04-07,737522,96.0,20,0,30.857142857142858
2020-04-08,737523,91.0,18,0,27.571428571428573
2020-04-09,737524,93.0,23,0,26.285714285714285
2020-04-10,737525,85.0,23,0,21.571428571428573
2020-04-11,737526,88.0,33,0,22.857142857142858
2020-04-12,737527,95.0,17,0,23.285714285714285
2020-04-13,737528,92.0,65,0,28.428571428571427
2020-04-14,737529,97.0,36,0,30.714285714285715
2020-04-15,737530,105.0,36,0,33.285714285714285
2020-04-16,737531,115.0,26,0,33.714285714285715
2020-04-17,737532,84.0,31,0,34.857142857142854
2020-04-18,737533,84.0,20,0,33.0
2020-04-19,737534,77.0,20,0,33.42857142857143
2020-04-20,737535,95.0,8,0,25.285714285714285
2020-04-21,737536,72.0,13,0,22.0
2020-04-22,737537,77.0,19,0,19.571428571428573
2020-04-23,737538,87.0,30,0,20.142857142857142
2020-04-24,737539,77.0,28,0,19.714285714285715
2020-04-25,737540,89.0,25,0,20.428571428571427
2020-04-26,737541,83.0,33,0,22.285714285714285
2020-04-27,737542,85.0,17,0,23.571428571428573
2020-04-28,737543,70.0,16,0,24.0
2020-04-29,737544,70.0,39,0,26.857142857142858
2020-04-30,737545,72.0,28,0,26.571428571428573
2020-05-01,737546,67.0,0,0,22.571428571428573
2020-05-02,737547,70.0,29,0,23.142857142857142
2020-05-03,737548,73.0,53,0,26.0
2020-05-04,737549,66.0,21,0,26.571428571428573
2020-05-05,737550,67.0,28,0,28.285714285714285
2020-05-06,737551,59.0,0,0,22.714285714285715
2020-05-07,737552,74.0,120,0,35.857142857142854
2020-05-08,737553,76.0,0,0,35.857142857142854
2020-05-09,737554,64.0,60,0,40.285714285714285
2020-05-10,737555,57.0,23,0,36.0
2020-05-11,737556,61.0,5,0,33.714285714285715
2020-05-12,737557,75.0,53,0,37.285714285714285
2020-05-13,737558,65.0,0,0,37.285714285714285
2020-05-14,737559,61.0,88,0,32.714285714285715
2020-05-15,737560,71.0,45,0,39.142857142857146
2020-05-16,737561,84.0,39,0,36.142857142857146
2020-05-17,737562,61.0,26,0,36.57142857142857
2020-05-18,737563,73.0,28,0,39.857142857142854
2020-05-19,737564,79.0,78,0,43.42857142857143
2020-05-20,737565,79.0,58,0,51.714285714285715
