date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,153.0,1106,0,
2020-03-29,737513,212.0,958,0,958.0
2020-03-30,737514,424.0,1682,0,1320.0
2020-03-31,737515,527.0,1398,0,1346.0
2020-04-01,737516,1606.0,1690,0,1432.0
2020-04-02,737517,2268.0,1218,0,1389.2
2020-04-03,737518,2449.0,1296,0,1373.6666666666667
2020-04-04,737519,2710.0,1084,0,1332.2857142857142
2020-04-05,737520,2818.0,924,0,1327.4285714285713
2020-04-06,737521,2960.0,1458,0,1295.4285714285713
2020-04-07,737522,3046.0,1316,0,1283.7142857142858
2020-04-08,737523,3015.0,1221,0,1216.7142857142858
2020-04-09,737524,3007.0,1112,0,1201.5714285714287
2020-04-10,737525,2890.0,1157,0,1181.7142857142858
2020-04-11,737526,2811.0,903,0,1155.857142857143
2020-04-12,737527,2805.0,733,0,1128.5714285714287
2020-04-13,737528,3009.0,1165,0,1086.7142857142858
2020-04-14,737529,4375.0,1056,0,1049.5714285714287
2020-04-15,737530,4154.0,1055,0,1025.857142857143
2020-04-16,737531,3973.0,1135,0,1029.142857142857
2020-04-17,737532,3868.0,1019,0,1009.4285714285714
2020-04-18,737533,3816.0,833,0,999.4285714285714
2020-04-19,737534,3847.0,616,0,982.7142857142857
2020-04-20,737535,3936.0,1133,0,978.1428571428571
2020-04-21,737536,3878.0,1402,0,1027.5714285714287
2020-04-22,737537,3421.0,1479,0,1088.142857142857
2020-04-23,737538,3320.0,1284,0,1109.4285714285713
2020-04-24,737539,3300.0,1380,0,1161.0
2020-04-25,737540,3130.0,693,0,1141.0
2020-04-26,737541,3068.0,657,0,1146.857142857143
2020-04-27,737542,3030.0,1261,0,1165.142857142857
2020-04-28,737543,3068.0,1218,0,1138.857142857143
2020-04-29,737544,2993.0,1458,0,1135.857142857143
2020-04-30,737545,2844.0,1576,0,1177.5714285714287
2020-05-01,737546,2677.0,1171,0,1147.7142857142858
2020-05-02,737547,2397.0,686,0,1146.7142857142858
2020-05-03,737548,2397.0,501,0,1124.4285714285713
2020-05-04,737549,2398.0,1470,0,1154.2857142857142
2020-05-05,737550,2264.0,1444,0,1186.5714285714287
2020-05-06,737551,2228.0,1482,0,1190.0
2020-05-07,737552,2105.0,1256,0,1144.2857142857142
2020-05-08,737553,2031.0,2848,0,1383.857142857143
2020-05-09,737554,1922.0,1181,0,1454.5714285714287
2020-05-10,737555,1768.0,487,0,1452.5714285714287
2020-05-11,737556,1819.0,2620,0,1616.857142857143
2020-05-12,737557,1880.0,2679,0,1793.2857142857142
2020-05-13,737558,1784.0,1588,0,1808.4285714285713
2020-05-14,737559,1735.0,3332,0,2105.0
2020-05-15,737560,1465.0,3612,0,2214.1428571428573
2020-05-16,737561,1387.0,702,0,2145.714285714286
2020-05-17,737562,1230.0,452,0,2140.714285714286
2020-05-18,737563,1331.0,2545,0,2130.0
2020-05-19,737564,1375.0,2690,0,2131.5714285714284
2020-05-20,737565,1311.0,1245,0,2082.5714285714284
2020-05-21,737566,1250.0,1245,0,1784.4285714285713
2020-05-22,737567,1179.0,1926,0,1543.5714285714287
2020-05-23,737568,1076.0,490,0,1513.2857142857142
2020-05-24,737569,1118.0,348,0,1498.4285714285713
2020-05-25,737570,1096.0,331,0,1182.142857142857
2020-05-26,737571,1167.0,1145,0,961.4285714285714
2020-05-27,737572,1146.0,1183,0,952.5714285714286
2020-05-28,737573,1096.0,1052,0,925.0
2020-05-29,737574,1032.0,1054,0,800.4285714285714
2020-05-30,737575,1011.0,519,0,804.5714285714286
2020-05-31,737576,1068.0,402,0,812.2857142857143
2020-06-01,737577,1065.0,881,0,890.8571428571429
2020-06-02,737578,1050.0,1063,0,879.1428571428571
2020-06-03,737579,999.0,888,0,837.0
2020-06-04,737580,964.0,860,0,809.5714285714286
2020-06-05,737581,914.0,780,0,770.4285714285714
2020-06-06,737582,820.0,421,0,756.4285714285714
2020-06-07,737583,793.0,308,0,743.0
2020-06-08,737584,780.0,931,0,750.1428571428571
2020-06-09,737585,793.0,824,0,716.0
2020-06-10,737586,776.0,819,0,706.1428571428571
2020-06-11,737587,1092.0,736,0,688.4285714285714
2020-06-12,737588,1060.0,807,0,692.2857142857143
2020-06-13,737589,973.0,445,0,695.7142857142857
2020-06-14,737590,997.0,301,0,694.7142857142857
2020-06-15,737591,1032.0,859,0,684.4285714285714
2020-06-16,737592,668.0,830,0,685.2857142857143
2020-06-17,737593,679.0,975,0,707.5714285714286
2020-06-18,737594,657.0,804,0,717.2857142857143
2020-06-19,737595,606.0,848,0,723.1428571428571
2020-06-20,737596,602.0,480,0,728.1428571428571
2020-06-21,737597,621.0,445,0,748.7142857142857
2020-06-22,737598,647.0,1188,0,795.7142857142857
2020-06-23,737599,668.0,1399,0,877.0
2020-06-24,737600,716.0,1400,0,937.7142857142857
2020-06-25,737601,695.0,1488,0,1035.4285714285713
2020-06-26,737602,635.0,1379,0,1111.2857142857142
2020-06-27,737603,624.0,745,0,1149.142857142857
2020-06-28,737604,599.0,602,0,1171.5714285714287
