date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,4.0,42,0,
2020-03-29,737513,5.0,135,0,135.0
2020-03-30,737514,13.0,0,0,67.5
2020-03-31,737515,23.0,113,0,82.66666666666667
2020-04-01,737516,167.0,53,0,75.25
2020-04-02,737517,157.0,47,0,69.6
2020-04-03,737518,176.0,0,0,58.0
2020-04-04,737519,151.0,76,0,60.57142857142857
2020-04-05,737520,131.0,121,0,58.57142857142857
2020-04-06,737521,156.0,83,0,70.42857142857143
2020-04-07,737522,173.0,85,0,66.42857142857143
2020-04-08,737523,127.0,88,0,71.42857142857143
2020-04-09,737524,134.0,94,0,78.14285714285714
2020-04-10,737525,224.0,0,0,78.14285714285714
2020-04-11,737526,202.0,178,0,92.71428571428571
2020-04-12,737527,184.0,107,0,90.71428571428571
2020-04-13,737528,260.0,74,0,89.42857142857143
2020-04-14,737529,229.0,114,0,93.57142857142857
2020-04-15,737530,231.0,53,0,88.57142857142857
2020-04-16,737531,239.0,151,0,96.71428571428571
2020-04-17,737532,290.0,161,0,119.71428571428571
2020-04-18,737533,290.0,39,0,99.85714285714286
2020-04-19,737534,300.0,257,0,121.28571428571429
2020-04-20,737535,341.0,97,0,124.57142857142857
2020-04-21,737536,341.0,154,0,130.28571428571428
2020-04-22,737537,329.0,0,0,122.71428571428571
2020-04-23,737538,336.0,464,0,167.42857142857142
2020-04-24,737539,382.0,0,0,144.42857142857142
2020-04-25,737540,354.0,261,0,176.14285714285714
2020-04-26,737541,406.0,156,0,161.71428571428572
2020-04-27,737542,423.0,579,0,230.57142857142858
2020-04-28,737543,440.0,464,0,274.85714285714283
2020-04-29,737544,491.0,491,0,345.0
2020-04-30,737545,514.0,0,0,278.7142857142857
2020-05-01,737546,488.0,594,0,363.57142857142856
2020-05-02,737547,539.0,498,0,397.42857142857144
2020-05-03,737548,448.0,1010,0,519.4285714285714
2020-05-04,737549,392.0,-4,0,436.14285714285717
2020-05-05,737550,671.0,617,0,458.0
2020-05-06,737551,652.0,728,0,491.85714285714283
2020-05-07,737552,660.0,1509,0,707.4285714285714
2020-05-08,737553,633.0,0,0,622.5714285714286
2020-05-09,737554,611.0,1183,0,720.4285714285714
2020-05-10,737555,627.0,0,0,576.1428571428571
2020-05-11,737556,646.0,528,0,652.1428571428571
2020-05-12,737557,671.0,1118,0,723.7142857142857
2020-05-13,737558,749.0,0,0,619.7142857142857
2020-05-14,737559,696.0,1323,0,593.1428571428571
2020-05-15,737560,708.0,0,0,593.1428571428571
2020-05-16,737561,677.0,1428,0,628.1428571428571
2020-05-17,737562,625.0,704,0,728.7142857142857
2020-05-18,737563,755.0,657,0,747.1428571428571
2020-05-19,737564,792.0,641,0,679.0
2020-05-20,737565,802.0,0,0,679.0
2020-05-21,737566,747.0,1335,0,680.7142857142857
2020-05-22,737567,697.0,840,0,800.7142857142857
2020-05-23,737568,742.0,0,0,596.7142857142857
2020-05-24,737569,710.0,728,0,600.1428571428571
2020-05-25,737570,752.0,1387,0,704.4285714285714
2020-05-26,737571,866.0,504,0,684.8571428571429
