date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,52,183,0,
2020-03-29,737513,66,134,0,134.0
2020-03-30,737514,80,345,0,239.5
2020-03-31,737515,66,285,0,254.66666666666666
2020-04-01,737516,99,261,0,256.25
2020-04-02,737517,106,269,0,258.8
2020-04-03,737518,123,226,0,253.33333333333334
2020-04-04,737519,109,130,0,235.71428571428572
2020-04-05,737520,189,103,0,231.28571428571428
2020-04-06,737521,706,293,0,223.85714285714286
2020-04-07,737522,750,218,0,214.28571428571428
2020-04-08,737523,797,226,0,209.28571428571428
2020-04-09,737524,738,199,0,199.28571428571428
2020-04-10,737525,515,216,0,197.85714285714286
2020-04-11,737526,504,91,0,192.28571428571428
2020-04-12,737527,497,93,0,190.85714285714286
2020-04-13,737528,784,240,0,183.28571428571428
2020-04-14,737529,816,198,0,180.42857142857142
2020-04-15,737530,845,206,0,177.57142857142858
2020-04-16,737531,796,200,0,177.71428571428572
2020-04-17,737532,826,163,0,170.14285714285714
2020-04-18,737533,573,149,0,178.42857142857142
2020-04-19,737534,578,133,0,184.14285714285714
2020-04-20,737535,852,253,0,186.0
2020-04-21,737536,940,221,0,189.28571428571428
2020-04-22,737537,970,228,0,192.42857142857142
2020-04-23,737538,819,225,0,196.0
2020-04-24,737539,973,205,0,202.0
2020-04-25,737540,645,118,0,197.57142857142858
2020-04-26,737541,660,72,0,188.85714285714286
2020-04-27,737542,929,270,0,191.28571428571428
2020-04-28,737543,922,366,0,212.0
2020-04-29,737544,961,307,0,223.28571428571428
2020-04-30,737545,964,263,0,228.71428571428572
2020-05-01,737546,975,288,0,240.57142857142858
2020-05-02,737547,898,68,0,233.42857142857142
2020-05-03,737548,904,68,0,232.85714285714286
2020-05-04,737549,965,210,0,224.28571428571428
2020-05-05,737550,1009,270,0,210.57142857142858
2020-05-06,737551,924,183,0,192.85714285714286
2020-05-07,737552,899,140,0,175.28571428571428
2020-05-08,737553,821,131,0,152.85714285714286
2020-05-09,737554,810,113,0,159.28571428571428
2020-05-10,737555,781,65,0,158.85714285714286
2020-05-11,737556,820,179,0,154.42857142857142
2020-05-12,737557,842,172,0,140.42857142857142
2020-05-13,737558,815,247,0,149.57142857142858
2020-05-14,737559,833,186,0,156.14285714285714
2020-05-15,737560,816,184,0,163.71428571428572
2020-05-16,737561,760,90,0,160.42857142857142
2020-05-17,737562,745,103,0,165.85714285714286
2020-05-18,737563,818,208,0,170.0
2020-05-19,737564,762,178,0,170.85714285714286
2020-05-20,737565,762,216,0,166.42857142857142
2020-05-21,737566,754,258,0,176.71428571428572
2020-05-22,737567,704,207,0,180.0
2020-05-23,737568,673,86,0,179.42857142857142
2020-05-24,737569,667,64,0,173.85714285714286
2020-05-25,737570,669,75,0,154.85714285714286
2020-05-26,737571,702,257,0,166.14285714285714
2020-05-27,737572,757,262,0,172.71428571428572
2020-05-28,737573,724,201,0,164.57142857142858
2020-05-29,737574,681,210,0,165.0
2020-05-30,737575,595,298,0,195.28571428571428
2020-05-31,737576,568,176,0,211.28571428571428
2020-06-01,737577,624,267,0,238.71428571428572
2020-06-02,737578,687,217,0,233.0
2020-06-03,737579,698,218,0,226.71428571428572
2020-06-04,737580,648,236,0,231.71428571428572
2020-06-05,737581,631,230,0,234.57142857142858
2020-06-06,737582,559,89,0,204.71428571428572
2020-06-07,737583,567,54,0,187.28571428571428
2020-06-08,737584,611,304,0,192.57142857142858
2020-06-09,737585,614,267,0,199.71428571428572
2020-06-10,737586,663,297,0,211.0
2020-06-11,737587,629,516,0,251.0
2020-06-12,737588,638,308,0,262.14285714285717
2020-06-13,737589,559,155,0,271.57142857142856
2020-06-14,737590,568,105,0,278.85714285714283
2020-06-15,737591,620,430,0,296.85714285714283
2020-06-16,737592,656,458,0,324.14285714285717
2020-06-17,737593,601,424,0,342.2857142857143
2020-06-18,737594,610,558,0,348.2857142857143
2020-06-19,737595,598,422,0,364.57142857142856
2020-06-20,737596,599,208,0,372.14285714285717
2020-06-21,737597,554,174,0,382.0
2020-06-22,737598,603,618,0,408.85714285714283
2020-06-23,737599,651,577,0,425.85714285714283
2020-06-24,737600,690,618,0,453.57142857142856
2020-06-25,737601,657,583,0,457.14285714285717
2020-06-26,737602,627,576,0,479.14285714285717
2020-06-27,737603,617,360,0,500.85714285714283
2020-06-28,737604,628,253,0,512.1428571428571
2020-06-29,737605,733,882,0,549.8571428571429
2020-06-30,737606,760,863,0,590.7142857142857
2020-07-01,737607,759,943,0,637.1428571428571
2020-07-02,737608,824,948,0,689.2857142857143
2020-07-03,737609,775,632,0,697.2857142857143
2020-07-04,737610,722,322,0,691.8571428571429
2020-07-05,737611,734,338,0,704.0
2020-07-06,737612,1255,1173,0,745.5714285714286
2020-07-07,737613,1326,1238,0,799.1428571428571
2020-07-08,737614,1321,1346,0,856.7142857142857
2020-07-09,737615,1332,1205,0,893.4285714285714
2020-07-10,737616,1397,1120,0,963.1428571428571
2020-07-11,737617,828,647,0,1009.5714285714286
2020-07-12,737618,868,443,0,1024.5714285714287
2020-07-13,737619,890,1326,0,1046.4285714285713
2020-07-14,737620,697,1368,0,1065.0
2020-07-15,737621,977,1196,0,1043.5714285714287
2020-07-16,737622,977,1061,0,1023.0
2020-07-17,737623,1028,1026,0,1009.5714285714286
2020-07-18,737624,987,644,0,1009.1428571428571
2020-07-19,737625,982,497,0,1016.8571428571429
2020-07-20,737626,1039,1426,0,1031.142857142857
2020-07-21,737627,1075,1216,0,1009.4285714285714
2020-07-22,737628,1059,1166,0,1005.1428571428571
2020-07-23,737629,904,1209,0,1026.2857142857142
2020-07-24,737630,873,1114,0,1038.857142857143
2020-07-25,737631,974,530,0,1022.5714285714286
2020-07-26,737632,827,415,0,1010.8571428571429
2020-07-27,737633,819,1344,0,999.1428571428571
2020-07-28,737634,870,1151,0,989.8571428571429
2020-07-29,737635,821,1245,0,1001.1428571428571
2020-07-30,737636,894,1072,0,981.5714285714286
2020-07-31,737637,891,1014,0,967.2857142857143
2020-08-01,737638,1069,550,0,970.1428571428571
2020-08-02,737639,1060,547,0,989.0
2020-08-03,737640,967,1449,0,1004.0
2020-08-04,737641,932,1263,0,1020.0
2020-08-05,737642,924,1219,0,1016.2857142857143
2020-08-06,737643,896,1140,0,1026.0
2020-08-07,737644,923,1095,0,1037.5714285714287
2020-08-08,737645,850,679,0,1056.0
2020-08-09,737646,868,467,0,1044.5714285714287
2020-08-10,737647,883,1528,0,1055.857142857143
2020-08-11,737648,936,1356,0,1069.142857142857
2020-08-12,737649,871,1403,0,1095.4285714285713
2020-08-13,737650,923,1190,0,1102.5714285714287
2020-08-14,737651,878,1156,0,1111.2857142857142
2020-08-15,737652,908,671,0,1110.142857142857
2020-08-16,737653,915,556,0,1122.857142857143
2020-08-17,737654,921,1602,0,1133.4285714285713
2020-08-18,737655,941,1306,0,1126.2857142857142
2020-08-19,737656,959,1401,0,1126.0
2020-08-20,737657,957,1366,0,1151.142857142857
2020-08-21,737658,908,1216,0,1159.7142857142858
2020-08-22,737659,929,615,0,1151.7142857142858
2020-08-23,737660,883,540,0,1149.4285714285713
2020-08-24,737661,902,1712,0,1165.142857142857
2020-08-25,737662,1009,1514,0,1194.857142857143
2020-08-26,737663,978,1650,0,1230.4285714285713
2020-08-27,737664,1010,1469,0,1245.142857142857
2020-08-28,737665,932,1399,0,1271.2857142857142
2020-08-29,737666,943,738,0,1288.857142857143
2020-08-30,737667,935,604,0,1298.0
2020-08-31,737668,911,1903,0,1325.2857142857142
2020-09-01,737669,953,1666,0,1347.0
2020-09-02,737670,952,1786,0,1366.4285714285713
2020-09-03,737671,966,1627,0,1389.0
2020-09-04,737672,949,1505,0,1404.142857142857
2020-09-05,737673,918,742,0,1404.7142857142858
2020-09-06,737674,899,589,0,1402.5714285714287
2020-09-07,737675,933,721,0,1233.7142857142858
2020-09-08,737676,929,2354,0,1332.0
2020-09-09,737677,1040,2117,0,1379.2857142857142
2020-09-10,737678,969,1729,0,1393.857142857143
2020-09-11,737679,1008,1625,0,1411.0
2020-09-12,737680,1032,781,0,1416.5714285714287
2020-09-13,737681,990,663,0,1427.142857142857
2020-09-14,737682,962,2218,0,1641.0
2020-09-15,737683,1025,1933,0,1580.857142857143
2020-09-16,737684,1004,1739,0,1526.857142857143
2020-09-17,737685,1064,1776,0,1533.5714285714287
2020-09-18,737686,1033,1605,0,1530.7142857142858
2020-09-19,737687,981,851,0,1540.7142857142858
2020-09-20,737688,989,653,0,1539.2857142857142
2020-09-21,737689,1056,2287,0,1549.142857142857
2020-09-22,737690,1068,1852,0,1537.5714285714287
2020-09-23,737691,1101,1948,0,1567.4285714285713
2020-09-24,737692,1125,1958,0,1593.4285714285713
