date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,15.0,102,0,
2020-03-29,737513,18.0,102,0,102.0
2020-03-30,737514,110.0,163,0,132.5
2020-03-31,737515,131.0,151,0,138.66666666666666
2020-04-01,737516,205.0,154,0,142.5
2020-04-02,737517,242.0,154,0,144.8
2020-04-03,737518,232.0,157,0,146.83333333333334
2020-04-04,737519,263.0,143,0,146.28571428571428
2020-04-05,737520,285.0,127,0,149.85714285714286
2020-04-06,737521,290.0,204,0,155.71428571428572
2020-04-07,737522,282.0,136,0,153.57142857142858
2020-04-08,737523,322.0,178,0,157.0
2020-04-09,737524,325.0,185,0,161.42857142857142
2020-04-10,737525,303.0,180,0,164.71428571428572
2020-04-11,737526,291.0,146,0,165.14285714285714
2020-04-12,737527,303.0,140,0,167.0
2020-04-13,737528,312.0,217,0,168.85714285714286
2020-04-14,737529,352.0,219,0,180.71428571428572
2020-04-15,737530,366.0,238,0,189.28571428571428
2020-04-16,737531,401.0,192,0,190.28571428571428
2020-04-17,737532,415.0,216,0,195.42857142857142
2020-04-18,737533,378.0,172,0,199.14285714285714
2020-04-19,737534,381.0,181,0,205.0
2020-04-20,737535,460.0,314,0,218.85714285714286
2020-04-21,737536,490.0,261,0,224.85714285714286
2020-04-22,737537,477.0,279,0,230.71428571428572
2020-04-23,737538,578.0,235,0,236.85714285714286
2020-04-24,737539,609.0,277,0,245.57142857142858
2020-04-25,737540,581.0,193,0,248.57142857142858
2020-04-26,737541,616.0,172,0,247.28571428571428
2020-04-27,737542,612.0,318,0,247.85714285714286
2020-04-28,737543,662.0,282,0,250.85714285714286
2020-04-29,737544,601.0,301,0,254.0
2020-04-30,737545,562.0,247,0,255.71428571428572
2020-05-01,737546,613.0,283,0,256.57142857142856
2020-05-02,737547,541.0,194,0,256.7142857142857
2020-05-03,737548,552.0,148,0,253.28571428571428
2020-05-04,737549,601.0,309,0,252.0
2020-05-05,737550,561.0,294,0,253.71428571428572
2020-05-06,737551,550.0,379,0,264.85714285714283
2020-05-07,737552,542.0,273,0,268.57142857142856
2020-05-08,737553,549.0,274,0,267.2857142857143
2020-05-09,737554,536.0,167,0,263.42857142857144
2020-05-10,737555,537.0,198,0,270.57142857142856
2020-05-11,737556,581.0,362,0,278.14285714285717
2020-05-12,737557,633.0,308,0,280.14285714285717
2020-05-13,737558,618.0,276,0,265.42857142857144
2020-05-14,737559,622.0,269,0,264.85714285714283
2020-05-15,737560,617.0,339,0,274.14285714285717
2020-05-16,737561,554.0,223,0,282.14285714285717
2020-05-17,737562,548.0,174,0,278.7142857142857
2020-05-18,737563,564.0,372,0,280.14285714285717
2020-05-19,737564,580.0,304,0,279.57142857142856
2020-05-20,737565,573.0,339,0,288.57142857142856
2020-05-21,737566,555.0,357,0,301.14285714285717
2020-05-22,737567,568.0,321,0,298.57142857142856
2020-05-23,737568,618.0,239,0,300.85714285714283
2020-05-24,737569,596.0,255,0,312.42857142857144
2020-05-25,737570,609.0,299,0,302.0
2020-05-26,737571,611.0,402,0,316.0
2020-05-27,737572,628.0,383,0,322.2857142857143
2020-05-28,737573,604.0,446,0,335.0
2020-05-29,737574,628.0,349,0,339.0
2020-05-30,737575,606.0,228,0,337.42857142857144
2020-05-31,737576,596.0,223,0,332.85714285714283
2020-06-01,737577,606.0,376,0,343.85714285714283
2020-06-02,737578,626.0,322,0,332.42857142857144
2020-06-03,737579,648.0,334,0,325.42857142857144
2020-06-04,737580,671.0,255,0,298.14285714285717
2020-06-05,737581,737.0,378,0,302.2857142857143
2020-06-06,737582,706.0,249,0,305.2857142857143
2020-06-07,737583,721.0,224,0,305.42857142857144
2020-06-08,737584,733.0,428,0,312.85714285714283
2020-06-09,737585,726.0,448,0,330.85714285714283
2020-06-10,737586,630.0,494,0,353.7142857142857
2020-06-11,737587,603.0,460,0,383.0
2020-06-12,737588,614.0,502,0,400.7142857142857
2020-06-13,737589,616.0,357,0,416.14285714285717
2020-06-14,737590,600.0,313,0,428.85714285714283
2020-06-15,737591,800.0,555,0,447.0
2020-06-16,737592,769.0,560,0,463.0
2020-06-17,737593,744.0,521,0,466.85714285714283
2020-06-18,737594,756.0,569,0,482.42857142857144
2020-06-19,737595,780.0,557,0,490.2857142857143
2020-06-20,737596,635.0,435,0,501.42857142857144
2020-06-21,737597,631.0,366,0,509.0
2020-06-22,737598,634.0,772,0,540.0
2020-06-23,737599,654.0,817,0,576.7142857142857
2020-06-24,737600,722.0,864,0,625.7142857142857
2020-06-25,737601,712.0,815,0,660.8571428571429
2020-06-26,737602,852.0,824,0,699.0
2020-06-27,737603,805.0,502,0,708.5714285714286
2020-06-28,737604,831.0,396,0,712.8571428571429
2020-06-29,737605,840.0,889,0,729.5714285714286
2020-06-30,737606,883.0,807,0,728.1428571428571
2020-07-01,737607,768.0,864,0,728.1428571428571
2020-07-02,737608,756.0,714,0,713.7142857142857
2020-07-03,737609,683.0,711,0,697.5714285714286
2020-07-04,737610,699.0,436,0,688.1428571428571
2020-07-05,737611,679.0,523,0,706.2857142857143
2020-07-06,737612,931.0,1455,0,787.1428571428571
2020-07-07,737613,965.0,1125,0,832.5714285714286
2020-07-08,737614,970.0,1083,0,863.8571428571429
2020-07-09,737615,951.0,1180,0,930.4285714285714
2020-07-10,737616,1009.0,988,0,970.0
2020-07-11,737617,860.0,609,0,994.7142857142857
2020-07-12,737618,893.0,607,0,1006.7142857142857
2020-07-13,737619,918.0,1371,0,994.7142857142857
2020-07-14,737620,880.0,1257,0,1013.5714285714286
2020-07-15,737621,1047.0,1356,0,1052.5714285714287
2020-07-16,737622,1087.0,1427,0,1087.857142857143
2020-07-17,737623,1074.0,1216,0,1120.4285714285713
2020-07-18,737624,1057.0,864,0,1156.857142857143
2020-07-19,737625,1069.0,683,0,1167.7142857142858
2020-07-20,737626,1232.0,1476,0,1182.7142857142858
2020-07-21,737627,1244.0,1393,0,1202.142857142857
2020-07-22,737628,1227.0,1276,0,1190.7142857142858
2020-07-23,737629,1254.0,1137,0,1149.2857142857142
2020-07-24,737630,1439.0,1203,0,1147.4285714285713
2020-07-25,737631,1448.0,587,0,1107.857142857143
2020-07-26,737632,1446.0,583,0,1093.5714285714287
2020-07-27,737633,1436.0,1197,0,1053.7142857142858
2020-07-28,737634,1453.0,1173,0,1022.2857142857143
2020-07-29,737635,1489.0,1204,0,1012.0
2020-07-30,737636,1587.0,1265,0,1030.2857142857142
2020-07-31,737637,1517.0,981,0,998.5714285714286
2020-08-01,737638,1544.0,707,0,1015.7142857142857
2020-08-02,737639,1543.0,521,0,1006.8571428571429
2020-08-03,737640,1513.0,1037,0,984.0
2020-08-04,737641,1546.0,935,0,950.0
2020-08-05,737642,1578.0,680,0,875.1428571428571
2020-08-06,737643,1548.0,951,0,830.2857142857143
2020-08-07,737644,1514.0,695,0,789.4285714285714
2020-08-08,737645,1501.0,703,0,788.8571428571429
2020-08-09,737646,1477.0,440,0,777.2857142857143
2020-08-10,737647,1443.0,872,0,753.7142857142857
2020-08-11,737648,1448.0,771,0,730.2857142857143
2020-08-12,737649,1443.0,717,0,735.5714285714286
2020-08-13,737650,1409.0,892,0,727.1428571428571
2020-08-14,737651,1402.0,760,0,736.4285714285714
2020-08-15,737652,1384.0,340,0,684.5714285714286
2020-08-16,737653,1390.0,308,0,665.7142857142857
2020-08-17,737654,1369.0,1004,0,684.5714285714286
2020-08-18,737655,950.0,906,0,703.8571428571429
2020-08-19,737656,930.0,894,0,729.1428571428571
2020-08-20,737657,925.0,777,0,712.7142857142857
2020-08-21,737658,900.0,752,0,711.5714285714286
2020-08-22,737659,1210.0,408,0,721.2857142857143
2020-08-23,737660,1204.0,398,0,734.1428571428571
2020-08-24,737661,1204.0,881,0,716.5714285714286
2020-08-25,737662,1173.0,722,0,690.2857142857143
2020-08-26,737663,1142.0,824,0,680.2857142857143
2020-08-27,737664,756.0,646,0,661.5714285714286
2020-08-28,737665,760.0,716,0,656.4285714285714
2020-08-29,737666,766.0,359,0,649.4285714285714
2020-08-30,737667,717.0,353,0,643.0
2020-08-31,737668,726.0,745,0,623.5714285714286
2020-09-01,737669,797.0,684,0,618.1428571428571
2020-09-02,737670,774.0,723,0,603.7142857142857
2020-09-03,737671,746.0,560,0,591.4285714285714
2020-09-04,737672,737.0,513,0,562.4285714285714
2020-09-05,737673,691.0,398,0,568.0
2020-09-06,737674,651.0,292,0,559.2857142857143
2020-09-07,737675,657.0,367,0,505.2857142857143
2020-09-08,737676,643.0,593,0,492.2857142857143
2020-09-09,737677,642.0,566,0,469.85714285714283
2020-09-10,737678,980.0,569,0,471.14285714285717
2020-09-11,737679,968.0,451,0,462.2857142857143
2020-09-12,737680,960.0,291,0,447.0
2020-09-13,737681,1000.0,268,0,443.57142857142856
2020-09-14,737682,953.0,593,0,475.85714285714283
2020-09-15,737683,622.0,560,0,471.14285714285717
2020-09-16,737684,901.0,602,0,476.2857142857143
2020-09-17,737685,932.0,519,0,469.14285714285717
2020-09-18,737686,920.0,487,0,474.2857142857143
2020-09-19,737687,923.0,333,0,480.2857142857143
2020-09-20,737688,869.0,316,0,487.14285714285717
2020-09-21,737689,597.0,560,0,482.42857142857144
2020-09-22,737690,913.0,473,0,470.0
2020-09-23,737691,914.0,571,0,465.57142857142856
2020-09-24,737692,897.0,550,0,470.0
2020-09-25,737693,909.0,634,0,491.0
2020-09-26,737694,832.0,317,0,488.7142857142857
2020-09-27,737695,479.0,348,0,493.2857142857143
2020-09-28,737696,875.0,666,0,508.42857142857144
2020-09-29,737697,843.0,589,0,525.0
2020-09-30,737698,859.0,612,0,530.8571428571429
2020-10-01,737699,836.0,657,0,546.1428571428571
2020-10-02,737700,845.0,596,0,540.7142857142857
2020-10-03,737701,830.0,424,0,556.0
2020-10-04,737702,516.0,400,0,563.4285714285714
2020-10-05,737703,537.0,886,0,594.8571428571429
2020-10-06,737704,556.0,644,0,602.7142857142857
2020-10-07,737705,568.0,605,0,601.7142857142857
2020-10-08,737706,918.0,694,0,607.0
2020-10-09,737707,912.0,737,0,627.1428571428571
2020-10-10,737708,875.0,376,0,620.2857142857143
2020-10-11,737709,880.0,316,0,608.2857142857143
2020-10-12,737710,910.0,925,0,613.8571428571429
2020-10-13,737711,596.0,862,0,645.0
2020-10-14,737712,594.0,1034,0,706.2857142857143
2020-10-15,737713,571.0,981,0,747.2857142857143
