date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,14.0,167,0,
2020-03-29,737513,22.0,100,0,100.0
2020-03-30,737514,61.0,75,0,87.5
2020-03-31,737515,100.0,210,0,128.33333333333334
2020-04-01,737516,140.0,212,0,149.25
2020-04-02,737517,136.0,239,0,167.2
2020-04-03,737518,139.0,222,0,176.33333333333334
2020-04-04,737519,208.0,203,0,180.14285714285714
2020-04-05,737520,237.0,114,0,182.14285714285714
2020-04-06,737521,298.0,86,0,183.71428571428572
2020-04-07,737522,276.0,399,0,210.71428571428572
2020-04-08,737523,316.0,264,0,218.14285714285714
2020-04-09,737524,271.0,285,0,224.71428571428572
2020-04-10,737525,340.0,327,0,239.71428571428572
2020-04-11,737526,287.0,317,0,256.0
2020-04-12,737527,275.0,172,0,264.2857142857143
2020-04-13,737528,326.0,112,0,268.0
2020-04-14,737529,327.0,282,0,251.28571428571428
2020-04-15,737530,338.0,284,0,254.14285714285714
2020-04-16,737531,319.0,377,0,267.2857142857143
2020-04-17,737532,302.0,541,0,297.85714285714283
2020-04-18,737533,289.0,258,0,289.42857142857144
2020-04-19,737534,328.0,139,0,284.7142857142857
2020-04-20,737535,536.0,121,0,286.0
2020-04-21,737536,636.0,438,0,308.2857142857143
2020-04-22,737537,631.0,463,0,333.85714285714283
2020-04-23,737538,595.0,437,0,342.42857142857144
2020-04-24,737539,704.0,507,0,337.57142857142856
2020-04-25,737540,769.0,576,0,383.0
2020-04-26,737541,741.0,255,0,399.57142857142856
2020-04-27,737542,764.0,120,0,399.42857142857144
2020-04-28,737543,776.0,559,0,416.7142857142857
2020-04-29,737544,771.0,432,0,412.2857142857143
2020-04-30,737545,793.0,436,0,412.14285714285717
2020-05-01,737546,676.0,461,0,405.57142857142856
2020-05-02,737547,682.0,450,0,387.57142857142856
2020-05-03,737548,710.0,182,0,377.14285714285717
2020-05-04,737549,747.0,172,0,384.57142857142856
2020-05-05,737550,660.0,688,0,403.0
2020-05-06,737551,623.0,551,0,420.0
2020-05-07,737552,646.0,712,0,459.42857142857144
2020-05-08,737553,668.0,621,0,482.2857142857143
2020-05-09,737554,614.0,543,0,495.57142857142856
2020-05-10,737555,592.0,193,0,497.14285714285717
2020-05-11,737556,667.0,117,0,489.2857142857143
2020-05-12,737557,676.0,765,0,500.2857142857143
2020-05-13,737558,652.0,679,0,518.5714285714286
2020-05-14,737559,657.0,711,0,518.4285714285714
2020-05-15,737560,662.0,758,0,538.0
2020-05-16,737561,658.0,704,0,561.0
2020-05-17,737562,636.0,285,0,574.1428571428571
2020-05-18,737563,726.0,193,0,585.0
2020-05-19,737564,721.0,1062,0,627.4285714285714
2020-05-20,737565,714.0,965,0,668.2857142857143
2020-05-21,737566,761.0,836,0,686.1428571428571
2020-05-22,737567,772.0,861,0,700.8571428571429
2020-05-23,737568,738.0,746,0,706.8571428571429
2020-05-24,737569,794.0,340,0,714.7142857142857
2020-05-25,737570,808.0,258,0,724.0
2020-05-26,737571,819.0,369,0,625.0
2020-05-27,737572,811.0,1365,0,682.1428571428571
2020-05-28,737573,810.0,994,0,704.7142857142857
2020-05-29,737574,899.0,1015,0,726.7142857142857
2020-05-30,737575,928.0,1112,0,779.0
2020-05-31,737576,916.0,443,0,793.7142857142857
2020-06-01,737577,861.0,332,0,804.2857142857143
2020-06-02,737578,837.0,1504,0,966.4285714285714
2020-06-03,737579,829.0,1265,0,952.1428571428571
2020-06-04,737580,852.0,1437,0,1015.4285714285714
2020-06-05,737581,869.0,1346,0,1062.7142857142858
2020-06-06,737582,886.0,1320,0,1092.4285714285713
2020-06-07,737583,861.0,482,0,1098.0
2020-06-08,737584,951.0,435,0,1112.7142857142858
2020-06-09,737585,959.0,1654,0,1134.142857142857
2020-06-10,737586,1265.0,1546,0,1174.2857142857142
2020-06-11,737587,939.0,1447,0,1175.7142857142858
2020-06-12,737588,957.0,1431,0,1187.857142857143
2020-06-13,737589,935.0,1435,0,1204.2857142857142
2020-06-14,737590,964.0,686,0,1233.4285714285713
2020-06-15,737591,964.0,545,0,1249.142857142857
2020-06-16,737592,973.0,1690,0,1254.2857142857142
2020-06-17,737593,1200.0,1583,0,1259.5714285714287
2020-06-18,737594,1201.0,1709,0,1297.0
2020-06-19,737595,1201.0,1768,0,1345.142857142857
2020-06-20,737596,1193.0,1616,0,1371.0
2020-06-21,737597,1217.0,758,0,1381.2857142857142
2020-06-22,737598,1252.0,698,0,1403.142857142857
2020-06-23,737599,1267.0,2029,0,1451.5714285714287
2020-06-24,737600,1145.0,2088,0,1523.7142857142858
2020-06-25,737601,1185.0,1903,0,1551.4285714285713
2020-06-26,737602,1165.0,1955,0,1578.142857142857
2020-06-27,737603,1140.0,1970,0,1628.7142857142858
2020-06-28,737604,1138.0,933,0,1653.7142857142858
2020-06-29,737605,1047.0,1038,0,1702.2857142857142
2020-06-30,737606,1029.0,2522,0,1772.7142857142858
2020-07-01,737607,1036.0,2306,0,1803.857142857143
2020-07-02,737608,1080.0,2070,0,1827.7142857142858
2020-07-03,737609,1093.0,2033,0,1838.857142857143
2020-07-04,737610,1084.0,1354,0,1750.857142857143
2020-07-05,737611,1096.0,589,0,1701.7142857142858
2020-07-06,737612,1325.0,763,0,1662.4285714285713
2020-07-07,737613,1325.0,2543,0,1665.4285714285713
2020-07-08,737614,1386.0,2812,0,1737.7142857142858
2020-07-09,737615,1432.0,2557,0,1807.2857142857142
2020-07-10,737616,1423.0,2178,0,1828.0
2020-07-11,737617,1358.0,2150,0,1941.7142857142858
2020-07-12,737618,1380.0,994,0,1999.5714285714287
2020-07-13,737619,1543.0,863,0,2013.857142857143
2020-07-14,737620,1546.0,2496,0,2007.142857142857
2020-07-15,737621,1871.0,2499,0,1962.4285714285713
2020-07-16,737622,1850.0,2266,0,1920.857142857143
2020-07-17,737623,1733.0,2120,0,1912.5714285714287
2020-07-18,737624,1635.0,1958,0,1885.142857142857
2020-07-19,737625,1680.0,964,0,1880.857142857143
2020-07-20,737626,1727.0,818,0,1874.4285714285713
2020-07-21,737627,1913.0,2367,0,1856.0
2020-07-22,737628,1814.0,2333,0,1832.2857142857142
2020-07-23,737629,1731.0,2070,0,1804.2857142857142
