date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,12.0,25,0,
2020-03-29,737513,19.0,20,0,20.0
2020-03-30,737514,59.0,19,0,19.5
2020-03-31,737515,69.0,27,0,22.0
2020-04-01,737516,125.0,39,0,26.25
2020-04-02,737517,133.0,50,0,31.0
2020-04-03,737518,141.0,24,0,29.833333333333332
2020-04-04,737519,142.0,37,0,30.857142857142858
2020-04-05,737520,140.0,45,0,34.42857142857143
2020-04-06,737521,178.0,54,0,39.42857142857143
2020-04-07,737522,192.0,47,0,42.285714285714285
2020-04-08,737523,210.0,45,0,43.142857142857146
2020-04-09,737524,199.0,54,0,43.714285714285715
2020-04-10,737525,175.0,73,0,50.714285714285715
2020-04-11,737526,183.0,61,0,54.142857142857146
2020-04-12,737527,183.0,101,0,62.142857142857146
2020-04-13,737528,209.0,54,0,62.142857142857146
2020-04-14,737529,200.0,48,0,62.285714285714285
2020-04-15,737530,186.0,66,0,65.28571428571429
2020-04-16,737531,229.0,90,0,70.42857142857143
2020-04-17,737532,229.0,98,0,74.0
2020-04-18,737533,232.0,165,0,88.85714285714286
2020-04-19,737534,212.0,148,0,95.57142857142857
2020-04-20,737535,232.0,166,0,111.57142857142857
2020-04-21,737536,262.0,108,0,120.14285714285714
2020-04-22,737537,300.0,60,0,119.28571428571429
2020-04-23,737538,298.0,393,0,162.57142857142858
2020-04-24,737539,285.0,320,0,194.28571428571428
2020-04-25,737540,282.0,310,0,215.0
2020-04-26,737541,299.0,329,0,240.85714285714286
2020-04-27,737542,316.0,342,0,266.0
2020-04-28,737543,299.0,14,0,252.57142857142858
2020-04-29,737544,310.0,426,0,304.85714285714283
2020-04-30,737545,266.0,514,0,322.14285714285717
2020-05-01,737546,293.0,512,0,349.57142857142856
2020-05-02,737547,294.0,315,0,350.2857142857143
2020-05-03,737548,295.0,349,0,353.14285714285717
2020-05-04,737549,286.0,431,0,365.85714285714283
2020-05-05,737550,285.0,356,0,414.7142857142857
2020-05-06,737551,273.0,364,0,405.85714285714283
2020-05-07,737552,275.0,658,0,426.42857142857144
2020-05-08,737553,281.0,386,0,408.42857142857144
2020-05-09,737554,287.0,348,0,413.14285714285717
2020-05-10,737555,284.0,62,0,372.14285714285717
2020-05-11,737556,293.0,254,0,346.85714285714283
2020-05-12,737557,310.0,208,0,325.7142857142857
2020-05-13,737558,282.0,356,0,324.57142857142856
2020-05-14,737559,287.0,363,0,282.42857142857144
2020-05-15,737560,335.0,315,0,272.2857142857143
2020-05-16,737561,283.0,424,0,283.14285714285717
2020-05-17,737562,291.0,112,0,290.2857142857143
2020-05-18,737563,289.0,312,0,298.57142857142856
2020-05-19,737564,305.0,234,0,302.2857142857143
2020-05-20,737565,277.0,292,0,293.14285714285717
2020-05-21,737566,297.0,250,0,277.0
2020-05-22,737567,308.0,372,0,285.14285714285717
2020-05-23,737568,297.0,199,0,253.0
2020-05-24,737569,279.0,170,0,261.2857142857143
2020-05-25,737570,255.0,222,0,248.42857142857142
2020-05-26,737571,280.0,235,0,248.57142857142858
2020-05-27,737572,282.0,383,0,261.57142857142856
2020-05-28,737573,296.0,245,0,260.85714285714283
2020-05-29,737574,285.0,455,0,272.7142857142857
2020-05-30,737575,278.0,251,0,280.14285714285717
2020-05-31,737576,257.0,172,0,280.42857142857144
2020-06-01,737577,264.0,272,0,287.57142857142856
2020-06-02,737578,253.0,219,0,285.2857142857143
2020-06-03,737579,275.0,319,0,276.14285714285717
2020-06-04,737580,247.0,246,0,276.2857142857143
2020-06-05,737581,222.0,182,0,237.28571428571428
2020-06-06,737582,217.0,160,0,224.28571428571428
2020-06-07,737583,222.0,85,0,211.85714285714286
2020-06-08,737584,210.0,156,0,195.28571428571428
2020-06-09,737585,254.0,107,0,179.28571428571428
2020-06-10,737586,1053.0,181,0,159.57142857142858
2020-06-11,737587,1050.0,248,0,159.85714285714286
2020-06-12,737588,219.0,219,0,165.14285714285714
2020-06-13,737589,208.0,101,0,156.71428571428572
2020-06-14,737590,217.0,105,0,159.57142857142858
2020-06-15,737591,291.0,171,0,161.71428571428572
2020-06-16,737592,194.0,151,0,168.0
2020-06-17,737593,202.0,186,0,168.71428571428572
2020-06-18,737594,186.0,161,0,156.28571428571428
2020-06-19,737595,189.0,146,0,145.85714285714286
2020-06-20,737596,179.0,103,0,146.14285714285714
2020-06-21,737597,165.0,98,0,145.14285714285714
2020-06-22,737598,158.0,176,0,145.85714285714286
2020-06-23,737599,168.0,108,0,139.71428571428572
2020-06-24,737600,166.0,134,0,132.28571428571428
2020-06-25,737601,166.0,123,0,126.85714285714286
2020-06-26,737602,155.0,234,0,139.42857142857142
2020-06-27,737603,164.0,243,0,159.42857142857142
2020-06-28,737604,168.0,97,0,159.28571428571428
2020-06-29,737605,157.0,197,0,162.28571428571428
2020-06-30,737606,159.0,137,0,166.42857142857142
2020-07-01,737607,154.0,107,0,162.57142857142858
2020-07-02,737608,162.0,174,0,169.85714285714286
