date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,15.0,27,0,
2020-03-29,737513,15.0,44,0,44.0
2020-03-30,737514,31.0,56,0,50.0
2020-03-31,737515,34.0,53,0,51.0
2020-04-01,737516,55.0,48,0,50.25
2020-04-02,737517,56.0,64,0,53.0
2020-04-03,737518,51.0,61,0,54.333333333333336
2020-04-04,737519,55.0,81,0,58.142857142857146
2020-04-05,737520,55.0,48,0,58.714285714285715
2020-04-06,737521,53.0,46,0,57.285714285714285
2020-04-07,737522,52.0,32,0,54.285714285714285
2020-04-08,737523,54.0,41,0,53.285714285714285
2020-04-09,737524,63.0,31,0,48.57142857142857
2020-04-10,737525,50.0,66,0,49.285714285714285
2020-04-11,737526,55.0,44,0,44.0
2020-04-12,737527,49.0,56,0,45.142857142857146
2020-04-13,737528,66.0,35,0,43.57142857142857
2020-04-14,737529,109.0,71,0,49.142857142857146
2020-04-15,737530,112.0,48,0,50.142857142857146
2020-04-16,737531,106.0,72,0,56.0
2020-04-17,737532,130.0,76,0,57.42857142857143
2020-04-18,737533,110.0,55,0,59.0
2020-04-19,737534,104.0,50,0,58.142857142857146
2020-04-20,737535,110.0,55,0,61.0
2020-04-21,737536,100.0,44,0,57.142857142857146
2020-04-22,737537,105.0,97,0,64.14285714285714
2020-04-23,737538,138.0,82,0,65.57142857142857
2020-04-24,737539,119.0,50,0,61.857142857142854
2020-04-25,737540,129.0,67,0,63.57142857142857
2020-04-26,737541,128.0,77,0,67.42857142857143
2020-04-27,737542,146.0,74,0,70.14285714285714
2020-04-28,737543,144.0,72,0,74.14285714285714
2020-04-29,737544,130.0,44,0,66.57142857142857
2020-04-30,737545,113.0,92,0,68.0
2020-05-01,737546,129.0,164,0,84.28571428571429
2020-05-02,737547,137.0,119,0,91.71428571428571
2020-05-03,737548,140.0,89,0,93.42857142857143
2020-05-04,737549,142.0,70,0,92.85714285714286
2020-05-05,737550,146.0,48,0,89.42857142857143
2020-05-06,737551,92.0,104,0,98.0
2020-05-07,737552,143.0,103,0,99.57142857142857
2020-05-08,737553,138.0,104,0,91.0
2020-05-09,737554,137.0,64,0,83.14285714285714
2020-05-10,737555,131.0,60,0,79.0
2020-05-11,737556,186.0,89,0,81.71428571428571
2020-05-12,737557,159.0,79,0,86.14285714285714
2020-05-13,737558,184.0,60,0,79.85714285714286
2020-05-14,737559,140.0,83,0,77.0
2020-05-15,737560,178.0,82,0,73.85714285714286
2020-05-16,737561,162.0,92,0,77.85714285714286
2020-05-17,737562,157.0,40,0,75.0
2020-05-18,737563,138.0,56,0,70.28571428571429
2020-05-19,737564,126.0,69,0,68.85714285714286
2020-05-20,737565,126.0,147,0,81.28571428571429
2020-05-21,737566,116.0,67,0,79.0
2020-05-22,737567,109.0,79,0,78.57142857142857
2020-05-23,737568,86.0,75,0,76.14285714285714
2020-05-24,737569,83.0,60,0,79.0
2020-05-25,737570,86.0,48,0,77.85714285714286
2020-05-26,737571,95.0,34,0,72.85714285714286
2020-05-27,737572,112.0,55,0,59.714285714285715
2020-05-28,737573,108.0,100,0,64.42857142857143
2020-05-29,737574,103.0,106,0,68.28571428571429
2020-05-30,737575,91.0,53,0,65.14285714285714
2020-05-31,737576,91.0,106,0,71.71428571428571
2020-06-01,737577,94.0,34,0,69.71428571428571
2020-06-02,737578,72.0,64,0,74.0
2020-06-03,737579,101.0,46,0,72.71428571428571
2020-06-04,737580,100.0,81,0,70.0
2020-06-05,737581,105.0,77,0,65.85714285714286
2020-06-06,737582,103.0,66,0,67.71428571428571
2020-06-07,737583,93.0,24,0,56.0
2020-06-08,737584,94.0,36,0,56.285714285714285
2020-06-09,737585,102.0,53,0,54.714285714285715
2020-06-10,737586,96.0,46,0,54.714285714285715
2020-06-11,737587,84.0,31,0,47.57142857142857
2020-06-12,737588,71.0,42,0,42.57142857142857
2020-06-13,737589,70.0,48,0,40.0
2020-06-14,737590,72.0,19,0,39.285714285714285
2020-06-15,737591,82.0,27,0,38.0
2020-06-16,737592,75.0,19,0,33.142857142857146
2020-06-17,737593,67.0,72,0,36.857142857142854
2020-06-18,737594,69.0,14,0,34.42857142857143
2020-06-19,737595,72.0,0,0,28.428571428571427
2020-06-20,737596,61.0,68,0,31.285714285714285
2020-06-21,737597,51.0,26,0,32.285714285714285
2020-06-22,737598,58.0,14,0,30.428571428571427
2020-06-23,737599,64.0,13,0,29.571428571428573
2020-06-24,737600,65.0,27,0,23.142857142857142
2020-06-25,737601,54.0,40,0,26.857142857142858
2020-06-26,737602,46.0,0,0,26.857142857142858
2020-06-27,737603,46.0,33,0,21.857142857142858
2020-06-28,737604,37.0,76,0,29.0
2020-06-29,737605,39.0,13,0,28.857142857142858
2020-06-30,737606,55.0,22,0,30.142857142857142
2020-07-01,737607,58.0,20,0,29.142857142857142
2020-07-02,737608,68.0,20,0,26.285714285714285
2020-07-03,737609,60.0,0,0,26.285714285714285
2020-07-04,737610,57.0,35,0,26.571428571428573
2020-07-05,737611,65.0,40,0,21.428571428571427
2020-07-06,737612,63.0,17,0,22.0
2020-07-07,737613,73.0,18,0,21.428571428571427
2020-07-08,737614,53.0,20,0,21.428571428571427
2020-07-09,737615,59.0,21,0,21.571428571428573
2020-07-10,737616,47.0,18,0,24.142857142857142
2020-07-11,737617,59.0,33,0,23.857142857142858
2020-07-12,737618,51.0,30,0,22.428571428571427
2020-07-13,737619,63.0,14,0,22.0
2020-07-14,737620,63.0,23,0,22.714285714285715
2020-07-15,737621,60.0,22,0,23.0
2020-07-16,737622,63.0,26,0,23.714285714285715
2020-07-17,737623,59.0,26,0,24.857142857142858
2020-07-18,737624,45.0,23,0,23.428571428571427
2020-07-19,737625,52.0,15,0,21.285714285714285
2020-07-20,737626,57.0,46,0,25.857142857142858
2020-07-21,737627,53.0,13,0,24.428571428571427
2020-07-22,737628,71.0,33,0,26.0
2020-07-23,737629,59.0,23,0,25.571428571428573
2020-07-24,737630,62.0,57,0,30.0
2020-07-25,737631,91.0,40,0,32.42857142857143
2020-07-26,737632,53.0,21,0,33.285714285714285
2020-07-27,737633,59.0,5,0,27.428571428571427
2020-07-28,737634,55.0,59,0,34.0
