date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,230.0,2299,0,
2020-03-29,737513,255.0,2262,0,2262.0
2020-03-30,737514,739.0,3250,0,2756.0
2020-03-31,737515,884.0,2060,0,2524.0
2020-04-01,737516,1289.0,3559,0,2782.75
2020-04-02,737517,1318.0,3335,0,2893.2
2020-04-03,737518,1497.0,4305,0,3128.5
2020-04-04,737519,1356.0,4229,0,3285.714285714286
2020-04-05,737520,1353.0,3381,0,3445.5714285714284
2020-04-06,737521,1700.0,3585,0,3493.4285714285716
2020-04-07,737522,2085.0,3326,0,3674.285714285714
2020-04-08,737523,2081.0,3021,0,3597.4285714285716
2020-04-09,737524,2148.0,3590,0,3633.8571428571427
2020-04-10,737525,2210.0,3561,0,3527.5714285714284
2020-04-11,737526,2151.0,3563,0,3432.4285714285716
2020-04-12,737527,2414.0,3699,0,3477.8571428571427
2020-04-13,737528,2558.0,2734,0,3356.285714285714
2020-04-14,737529,2501.0,4240,0,3486.8571428571427
2020-04-15,737530,2559.0,2206,0,3370.4285714285716
2020-04-16,737531,2503.0,4287,0,3470.0
2020-04-17,737532,2415.0,3150,0,3411.285714285714
2020-04-18,737533,2333.0,2969,0,3326.4285714285716
2020-04-19,737534,2177.0,3865,0,3350.1428571428573
2020-04-20,737535,2207.0,3505,0,3460.285714285714
2020-04-21,737536,2185.0,3581,0,3366.1428571428573
2020-04-22,737537,2324.0,3478,0,3547.8571428571427
2020-04-23,737538,2354.0,4124,0,3524.5714285714284
2020-04-24,737539,2086.0,2207,0,3389.8571428571427
2020-04-25,737540,2050.0,3327,0,3441.0
2020-04-26,737541,2009.0,3515,0,3391.0
2020-04-27,737542,1839.0,2150,0,3197.4285714285716
2020-04-28,737543,1743.0,2669,0,3067.1428571428573
2020-04-29,737544,1720.0,2408,0,2914.285714285714
2020-04-30,737545,1722.0,2388,0,2666.285714285714
2020-05-01,737546,1651.0,2552,0,2715.5714285714284
2020-05-02,737547,1581.0,2531,0,2601.8571428571427
