date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,3.0,17,0,
2020-03-29,737513,8.0,29,0,29.0
2020-03-30,737514,25.0,44,0,36.5
2020-03-31,737515,24.0,34,0,35.666666666666664
2020-04-01,737516,43.0,48,0,38.75
2020-04-02,737517,60.0,40,0,39.0
2020-04-03,737518,56.0,92,0,47.833333333333336
2020-04-04,737519,54.0,48,0,47.857142857142854
2020-04-05,737520,66.0,81,0,55.285714285714285
2020-04-06,737521,70.0,62,0,57.857142857142854
2020-04-07,737522,72.0,108,0,68.42857142857143
2020-04-08,737523,81.0,71,0,71.71428571428571
2020-04-09,737524,87.0,124,0,83.71428571428571
2020-04-10,737525,81.0,102,0,85.14285714285714
2020-04-11,737526,79.0,83,0,90.14285714285714
2020-04-12,737527,90.0,71,0,88.71428571428571
2020-04-13,737528,151.0,100,0,94.14285714285714
2020-04-14,737529,181.0,62,0,87.57142857142857
2020-04-15,737530,182.0,77,0,88.42857142857143
2020-04-16,737531,164.0,113,0,86.85714285714286
2020-04-17,737532,169.0,114,0,88.57142857142857
2020-04-18,737533,117.0,87,0,89.14285714285714
2020-04-19,737534,124.0,47,0,85.71428571428571
2020-04-20,737535,130.0,126,0,89.42857142857143
2020-04-21,737536,134.0,101,0,95.0
2020-04-22,737537,127.0,138,0,103.71428571428571
2020-04-23,737538,123.0,169,0,111.71428571428571
2020-04-24,737539,166.0,142,0,115.71428571428571
2020-04-25,737540,129.0,139,0,123.14285714285714
2020-04-26,737541,106.0,66,0,125.85714285714286
2020-04-27,737542,152.0,97,0,121.71428571428571
2020-04-28,737543,160.0,151,0,128.85714285714286
2020-04-29,737544,153.0,239,0,143.28571428571428
2020-04-30,737545,159.0,198,0,147.42857142857142
2020-05-01,737546,150.0,102,0,141.71428571428572
2020-05-02,737547,143.0,219,0,153.14285714285714
2020-05-03,737548,146.0,118,0,160.57142857142858
2020-05-04,737549,157.0,181,0,172.57142857142858
2020-05-05,737550,167.0,107,0,166.28571428571428
2020-05-06,737551,172.0,153,0,154.0
2020-05-07,737552,177.0,202,0,154.57142857142858
2020-05-08,737553,175.0,180,0,165.71428571428572
2020-05-09,737554,188.0,105,0,149.42857142857142
2020-05-10,737555,183.0,85,0,144.71428571428572
2020-05-11,737556,312.0,206,0,148.28571428571428
2020-05-12,737557,262.0,143,0,153.42857142857142
2020-05-13,737558,286.0,152,0,153.28571428571428
2020-05-14,737559,285.0,139,0,144.28571428571428
2020-05-15,737560,312.0,159,0,141.28571428571428
2020-05-16,737561,211.0,185,0,152.71428571428572
2020-05-17,737562,204.0,91,0,153.57142857142858
2020-05-18,737563,214.0,158,0,146.71428571428572
2020-05-19,737564,201.0,96,0,140.0
2020-05-20,737565,214.0,125,0,136.14285714285714
2020-05-21,737566,213.0,155,0,138.42857142857142
2020-05-22,737567,205.0,153,0,137.57142857142858
2020-05-23,737568,204.0,170,0,135.42857142857142
2020-05-24,737569,208.0,148,0,143.57142857142858
2020-05-25,737570,195.0,83,0,132.85714285714286
2020-05-26,737571,256.0,104,0,134.0
2020-05-27,737572,247.0,122,0,133.57142857142858
2020-05-28,737573,235.0,112,0,127.42857142857143
2020-05-29,737574,230.0,129,0,124.0
2020-05-30,737575,214.0,131,0,118.42857142857143
2020-05-31,737576,157.0,65,0,106.57142857142857
2020-06-01,737577,163.0,111,0,110.57142857142857
2020-06-02,737578,205.0,224,0,127.71428571428571
2020-06-03,737579,184.0,116,0,126.85714285714286
2020-06-04,737580,244.0,213,0,141.28571428571428
2020-06-05,737581,254.0,319,0,168.42857142857142
2020-06-06,737582,251.0,128,0,168.0
2020-06-07,737583,250.0,140,0,178.71428571428572
2020-06-08,737584,249.0,122,0,180.28571428571428
2020-06-09,737585,252.0,43,0,154.42857142857142
2020-06-10,737586,234.0,145,0,158.57142857142858
2020-06-11,737587,242.0,117,0,144.85714285714286
2020-06-12,737588,247.0,159,0,122.0
2020-06-13,737589,209.0,95,0,117.28571428571429
2020-06-14,737590,191.0,102,0,111.85714285714286
2020-06-15,737591,359.0,122,0,111.85714285714286
2020-06-16,737592,303.0,88,0,118.28571428571429
2020-06-17,737593,344.0,132,0,116.42857142857143
2020-06-18,737594,334.0,88,0,112.28571428571429
2020-06-19,737595,290.0,107,0,104.85714285714286
2020-06-20,737596,136.0,170,0,115.57142857142857
2020-06-21,737597,131.0,135,0,120.28571428571429
2020-06-22,737598,158.0,129,0,121.28571428571429
