date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,4.0,117,0,
2020-03-29,737513,4.0,182,0,182.0
2020-03-30,737514,610.0,124,0,153.0
2020-03-31,737515,667.0,69,0,125.0
2020-04-01,737516,748.0,166,0,135.25
2020-04-02,737517,811.0,179,0,144.0
2020-04-03,737518,824.0,56,0,129.33333333333334
2020-04-04,737519,827.0,228,0,143.42857142857142
2020-04-05,737520,803.0,94,0,130.85714285714286
2020-04-06,737521,783.0,117,0,129.85714285714286
2020-04-07,737522,1080.0,134,0,139.14285714285714
2020-04-08,737523,1159.0,231,0,148.42857142857142
2020-04-09,737524,1030.0,138,0,142.57142857142858
2020-04-10,737525,911.0,128,0,152.85714285714286
2020-04-11,737526,901.0,116,0,136.85714285714286
2020-04-12,737527,937.0,136,0,142.85714285714286
2020-04-13,737528,813.0,135,0,145.42857142857142
2020-04-14,737529,714.0,117,0,143.0
2020-04-15,737530,843.0,123,0,127.57142857142857
2020-04-16,737531,829.0,110,0,123.57142857142857
2020-04-17,737532,795.0,203,0,134.28571428571428
2020-04-18,737533,727.0,102,0,132.28571428571428
2020-04-19,737534,640.0,102,0,127.42857142857143
2020-04-20,737535,632.0,102,0,122.71428571428571
2020-04-21,737536,675.0,107,0,121.28571428571429
2020-04-22,737537,624.0,144,0,124.28571428571429
2020-04-23,737538,593.0,127,0,126.71428571428571
2020-04-24,737539,614.0,190,0,124.85714285714286
2020-04-25,737540,604.0,141,0,130.42857142857142
2020-04-26,737541,564.0,63,0,124.85714285714286
2020-04-27,737542,636.0,88,0,122.85714285714286
2020-04-28,737543,643.0,122,0,125.0
2020-04-29,737544,640.0,86,0,116.71428571428571
2020-04-30,737545,602.0,109,0,114.14285714285714
2020-05-01,737546,598.0,220,0,118.42857142857143
2020-05-02,737547,545.0,84,0,110.28571428571429
2020-05-03,737548,524.0,115,0,117.71428571428571
2020-05-04,737549,552.0,74,0,115.71428571428571
2020-05-05,737550,622.0,103,0,113.0
2020-05-06,737551,552.0,60,0,109.28571428571429
2020-05-07,737552,512.0,103,0,108.42857142857143
2020-05-08,737553,525.0,118,0,93.85714285714286
2020-05-09,737554,507.0,144,0,102.42857142857143
2020-05-10,737555,528.0,81,0,97.57142857142857
2020-05-11,737556,553.0,54,0,94.71428571428571
2020-05-12,737557,584.0,159,0,102.71428571428571
2020-05-13,737558,561.0,83,0,106.0
2020-05-14,737559,513.0,94,0,104.71428571428571
2020-05-15,737560,498.0,130,0,106.42857142857143
2020-05-16,737561,487.0,33,0,90.57142857142857
2020-05-17,737562,476.0,210,0,109.0
2020-05-18,737563,482.0,49,0,108.28571428571429
2020-05-19,737564,439.0,125,0,103.42857142857143
2020-05-20,737565,478.0,136,0,111.0
2020-05-21,737566,479.0,89,0,110.28571428571429
2020-05-22,737567,459.0,130,0,110.28571428571429
2020-05-23,737568,435.0,295,0,147.71428571428572
2020-05-24,737569,445.0,90,0,130.57142857142858
2020-05-25,737570,452.0,102,0,138.14285714285714
2020-05-26,737571,478.0,110,0,136.0
2020-05-27,737572,422.0,115,0,133.0
2020-05-28,737573,405.0,112,0,136.28571428571428
2020-05-29,737574,414.0,125,0,135.57142857142858
2020-05-30,737575,394.0,145,0,114.14285714285714
2020-05-31,737576,427.0,115,0,117.71428571428571
2020-06-01,737577,429.0,78,0,114.28571428571429
2020-06-02,737578,417.0,142,0,118.85714285714286
2020-06-03,737579,402.0,121,0,119.71428571428571
2020-06-04,737580,384.0,139,0,123.57142857142857
2020-06-05,737581,416.0,195,0,133.57142857142858
2020-06-06,737582,390.0,175,0,137.85714285714286
2020-06-07,737583,370.0,189,0,148.42857142857142
2020-06-08,737584,416.0,156,0,159.57142857142858
2020-06-09,737585,424.0,225,0,171.42857142857142
2020-06-10,737586,400.0,134,0,173.28571428571428
2020-06-11,737587,433.0,253,0,189.57142857142858
2020-06-12,737588,496.0,261,0,199.0
2020-06-13,737589,466.0,286,0,214.85714285714286
2020-06-14,737590,463.0,209,0,217.71428571428572
2020-06-15,737591,500.0,124,0,213.14285714285714
2020-06-16,737592,515.0,361,0,232.57142857142858
2020-06-17,737593,411.0,202,0,242.28571428571428
2020-06-18,737594,391.0,234,0,239.57142857142858
2020-06-19,737595,385.0,421,0,262.42857142857144
2020-06-20,737596,416.0,645,0,313.7142857142857
2020-06-21,737597,510.0,274,0,323.0
2020-06-22,737598,475.0,330,0,352.42857142857144
2020-06-23,737599,539.0,464,0,367.14285714285717
2020-06-24,737600,557.0,364,0,390.2857142857143
2020-06-25,737601,583.0,493,0,427.2857142857143
2020-06-26,737602,515.0,387,0,422.42857142857144
2020-06-27,737603,535.0,1104,0,488.0
2020-06-28,737604,627.0,821,0,566.1428571428571
2020-06-29,737605,646.0,734,0,623.8571428571429
2020-06-30,737606,679.0,553,0,636.5714285714286
2020-07-01,737607,770.0,644,0,676.5714285714286
2020-07-02,737608,808.0,636,0,697.0
2020-07-03,737609,827.0,982,0,782.0
2020-07-04,737610,856.0,857,0,746.7142857142857
2020-07-05,737611,866.0,843,0,749.8571428571429
2020-07-06,737612,892.0,491,0,715.1428571428571
2020-07-07,737613,908.0,883,0,762.2857142857143
2020-07-08,737614,1040.0,567,0,751.2857142857143
2020-07-09,737615,1001.0,552,0,739.2857142857143
2020-07-10,737616,1002.0,1005,0,742.5714285714286
2020-07-11,737617,1028.0,718,0,722.7142857142857
2020-07-12,737618,1070.0,1032,0,749.7142857142857
2020-07-13,737619,1040.0,850,0,801.0
2020-07-14,737620,894.0,1088,0,830.2857142857143
2020-07-15,737621,1178.0,841,0,869.4285714285714
2020-07-16,737622,1117.0,1447,0,997.2857142857143
2020-07-17,737623,1118.0,1383,0,1051.2857142857142
2020-07-18,737624,1143.0,1186,0,1118.142857142857
2020-07-19,737625,1158.0,1288,0,1154.7142857142858
2020-07-20,737626,1176.0,948,0,1168.7142857142858
2020-07-21,737627,1180.0,816,0,1129.857142857143
2020-07-22,737628,1240.0,1136,0,1172.0
2020-07-23,737629,1280.0,1263,0,1145.7142857142858
2020-07-24,737630,1284.0,0,0,948.1428571428571
2020-07-25,737631,1296.0,1897,0,1049.7142857142858
2020-07-26,737632,1235.0,1030,0,1012.8571428571429
2020-07-27,737633,1293.0,988,0,1018.5714285714286
2020-07-28,737634,1196.0,1096,0,1058.5714285714287
2020-07-29,737635,1222.0,870,0,1020.5714285714286
2020-07-30,737636,1279.0,1149,0,1004.2857142857143
2020-07-31,737637,1234.0,1142,0,1167.4285714285713
2020-08-01,737638,1271.0,994,0,1038.4285714285713
2020-08-02,737639,1303.0,1131,0,1052.857142857143
2020-08-03,737640,943.0,985,0,1052.4285714285713
2020-08-04,737641,1205.0,1001,0,1038.857142857143
2020-08-05,737642,1217.0,645,0,1006.7142857142857
2020-08-06,737643,1164.0,851,0,964.1428571428571
2020-08-07,737644,1072.0,838,0,920.7142857142857
2020-08-08,737645,1091.0,887,0,905.4285714285714
2020-08-09,737646,1107.0,812,0,859.8571428571429
2020-08-10,737647,1021.0,742,0,825.1428571428571
2020-08-11,737648,1056.0,547,0,760.2857142857143
2020-08-12,737649,1047.0,525,0,743.1428571428571
2020-08-13,737650,1057.0,586,0,705.2857142857143
2020-08-14,737651,1045.0,1099,0,742.5714285714286
2020-08-15,737652,988.0,859,0,738.5714285714286
2020-08-16,737653,970.0,697,0,722.1428571428571
2020-08-17,737654,982.0,660,0,710.4285714285714
2020-08-18,737655,901.0,683,0,729.8571428571429
2020-08-19,737656,938.0,394,0,711.1428571428571
2020-08-20,737657,868.0,556,0,706.8571428571429
2020-08-21,737658,896.0,893,0,677.4285714285714
2020-08-22,737659,842.0,637,0,645.7142857142857
2020-08-23,737660,842.0,532,0,622.1428571428571
2020-08-24,737661,844.0,409,0,586.2857142857143
2020-08-25,737662,824.0,405,0,546.5714285714286
2020-08-26,737663,817.0,258,0,527.1428571428571
2020-08-27,737664,816.0,553,0,526.7142857142857
2020-08-28,737665,779.0,624,0,488.2857142857143
2020-08-29,737666,783.0,602,0,483.2857142857143
2020-08-30,737667,769.0,447,0,471.14285714285717
2020-08-31,737668,735.0,320,0,458.42857142857144
2020-09-01,737669,721.0,400,0,457.7142857142857
2020-09-02,737670,721.0,238,0,454.85714285714283
2020-09-03,737671,700.0,352,0,426.14285714285717
2020-09-04,737672,655.0,489,0,406.85714285714283
2020-09-05,737673,643.0,390,0,376.57142857142856
2020-09-06,737674,624.0,508,0,385.2857142857143
2020-09-07,737675,571.0,357,0,390.57142857142856
2020-09-08,737676,573.0,130,0,352.0
2020-09-09,737677,594.0,155,0,340.14285714285717
2020-09-10,737678,547.0,288,0,331.0
2020-09-11,737679,593.0,260,0,298.2857142857143
2020-09-12,737680,484.0,398,0,299.42857142857144
2020-09-13,737681,551.0,317,0,272.14285714285717
2020-09-14,737682,518.0,277,0,260.7142857142857
2020-09-15,737683,509.0,-35,0,237.14285714285714
2020-09-16,737684,543.0,434,0,277.0
2020-09-17,737685,527.0,344,0,285.0
2020-09-18,737686,516.0,498,0,319.0
2020-09-19,737687,504.0,323,0,308.2857142857143
2020-09-20,737688,509.0,3,0,263.42857142857144
2020-09-21,737689,460.0,629,0,313.7142857142857
2020-09-22,737690,493.0,261,0,356.0
2020-09-23,737691,484.0,482,0,362.85714285714283
2020-09-24,737692,530.0,390,0,369.42857142857144
2020-09-25,737693,507.0,483,0,367.2857142857143
2020-09-26,737694,490.0,602,0,407.14285714285717
2020-09-27,737695,513.0,378,0,460.7142857142857
2020-09-28,737696,510.0,462,0,436.85714285714283
2020-09-29,737697,482.0,402,0,457.0
2020-09-30,737698,491.0,386,0,443.2857142857143
2020-10-01,737699,492.0,430,0,449.0
2020-10-02,737700,468.0,771,0,490.14285714285717
2020-10-03,737701,466.0,526,0,479.2857142857143
2020-10-04,737702,472.0,392,0,481.2857142857143
2020-10-05,737703,501.0,325,0,461.7142857142857
2020-10-06,737704,498.0,476,0,472.2857142857143
2020-10-07,737705,511.0,432,0,478.85714285714283
2020-10-08,737706,497.0,480,0,486.0
2020-10-09,737707,520.0,768,0,485.57142857142856
2020-10-10,737708,543.0,806,0,525.5714285714286
2020-10-11,737709,527.0,380,0,523.8571428571429
2020-10-12,737710,518.0,568,0,558.5714285714286
2020-10-13,737711,523.0,487,0,560.1428571428571
2020-10-14,737712,501.0,479,0,566.8571428571429
2020-10-15,737713,482.0,655,0,591.8571428571429
2020-10-16,737714,565.0,721,0,585.1428571428571
2020-10-17,737715,515.0,969,0,608.4285714285714
2020-10-18,737716,507.0,607,0,640.8571428571429
2020-10-19,737717,552.0,583,0,643.0
2020-10-20,737718,595.0,652,0,666.5714285714286
2020-10-21,737719,518.0,472,0,665.5714285714286
2020-10-22,737720,495.0,789,0,684.7142857142857
2020-10-23,737721,538.0,813,0,697.8571428571429
2020-10-24,737722,532.0,1146,0,723.1428571428571
2020-10-25,737723,529.0,891,0,763.7142857142857
2020-10-26,737724,556.0,475,0,748.2857142857143
2020-10-27,737725,552.0,727,0,759.0
2020-10-28,737726,576.0,574,0,773.5714285714286
