date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,28.0,269,0,
2020-03-29,737513,53.0,247,0,247.0
2020-03-30,737514,91.0,280,0,263.5
2020-03-31,737515,84.0,266,0,264.3333333333333
2020-04-01,737516,187.0,348,0,285.25
2020-04-02,737517,576.0,355,0,299.2
2020-04-03,737518,485.0,410,0,317.6666666666667
2020-04-04,737519,441.0,427,0,333.2857142857143
2020-04-05,737520,440.0,304,0,341.42857142857144
2020-04-06,737521,437.0,407,0,359.57142857142856
2020-04-07,737522,467.0,332,0,369.0
2020-04-08,737523,532.0,366,0,371.57142857142856
2020-04-09,737524,670.0,364,0,372.85714285714283
2020-04-10,737525,691.0,366,0,366.57142857142856
2020-04-11,737526,681.0,372,0,358.7142857142857
2020-04-12,737527,638.0,268,0,353.57142857142856
2020-04-13,737528,646.0,457,0,360.7142857142857
2020-04-14,737529,642.0,305,0,356.85714285714283
2020-04-15,737530,634.0,511,0,377.57142857142856
2020-04-16,737531,572.0,623,0,414.57142857142856
2020-04-17,737532,616.0,693,0,461.2857142857143
2020-04-18,737533,605.0,1115,0,567.4285714285714
2020-04-19,737534,570.0,1380,0,726.2857142857143
2020-04-20,737535,547.0,1317,0,849.1428571428571
2020-04-21,737536,582.0,806,0,920.7142857142857
2020-04-22,737537,711.0,392,0,903.7142857142857
2020-04-23,737538,741.0,577,0,897.1428571428571
2020-04-24,737539,789.0,475,0,866.0
2020-04-25,737540,923.0,418,0,766.4285714285714
2020-04-26,737541,900.0,376,0,623.0
2020-04-27,737542,718.0,362,0,486.57142857142856
2020-04-28,737543,756.0,444,0,434.85714285714283
2020-04-29,737544,773.0,534,0,455.14285714285717
2020-04-30,737545,543.0,724,0,476.14285714285717
2020-05-01,737546,564.0,716,0,510.57142857142856
2020-05-02,737547,532.0,592,0,535.4285714285714
2020-05-03,737548,522.0,579,0,564.4285714285714
2020-05-04,737549,465.0,560,0,592.7142857142857
2020-05-05,737550,522.0,495,0,600.0
2020-05-06,737551,559.0,607,0,610.4285714285714
2020-05-07,737552,560.0,555,0,586.2857142857143
2020-05-08,737553,509.0,885,0,610.4285714285714
2020-05-09,737554,454.0,681,0,623.1428571428571
2020-05-10,737555,490.0,384,0,595.2857142857143
2020-05-11,737556,777.0,696,0,614.7142857142857
2020-05-12,737557,1779.0,473,0,611.5714285714286
2020-05-13,737558,1739.0,471,0,592.1428571428571
2020-05-14,737559,1644.0,636,0,603.7142857142857
2020-05-15,737560,1620.0,597,0,562.5714285714286
2020-05-16,737561,1638.0,520,0,539.5714285714286
2020-05-17,737562,629.0,449,0,548.8571428571429
2020-05-18,737563,944.0,349,0,499.2857142857143
2020-05-19,737564,1318.0,680,0,528.8571428571429
2020-05-20,737565,1250.0,484,0,530.7142857142857
2020-05-21,737566,1275.0,731,0,544.2857142857143
2020-05-22,737567,1258.0,627,0,548.5714285714286
2020-05-23,737568,954.0,614,0,562.0
2020-05-24,737569,638.0,503,0,569.7142857142857
2020-05-25,737570,744.0,566,0,600.7142857142857
2020-05-26,737571,1012.0,529,0,579.1428571428571
2020-05-27,737572,968.0,433,0,571.8571428571429
2020-05-28,737573,1034.0,476,0,535.4285714285714
2020-05-29,737574,973.0,651,0,538.8571428571429
2020-05-30,737575,897.0,468,0,518.0
2020-05-31,737576,560.0,479,0,514.5714285714286
2020-06-01,737577,624.0,471,0,501.0
2020-06-02,737578,662.0,429,0,486.7142857142857
2020-06-03,737579,1368.0,379,0,479.0
2020-06-04,737580,1293.0,490,0,481.0
2020-06-05,737581,1221.0,476,0,456.0
2020-06-06,737582,1230.0,353,0,439.57142857142856
