date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,483.0,92,0,
2020-03-29,737513,471.0,88,0,88.0
2020-03-30,737514,523.0,84,0,86.0
2020-03-31,737515,499.0,95,0,89.0
2020-04-01,737516,265.0,91,0,89.5
2020-04-02,737517,486.0,107,0,93.0
2020-04-03,737518,417.0,110,0,95.83333333333333
2020-04-04,737519,383.0,90,0,95.0
2020-04-05,737520,361.0,50,0,89.57142857142857
2020-04-06,737521,415.0,58,0,85.85714285714286
2020-04-07,737522,454.0,85,0,84.42857142857143
2020-04-08,737523,437.0,97,0,85.28571428571429
2020-04-09,737524,427.0,113,0,86.14285714285714
2020-04-10,737525,361.0,96,0,84.14285714285714
2020-04-11,737526,301.0,128,0,89.57142857142857
2020-04-12,737527,322.0,70,0,92.42857142857143
2020-04-13,737528,439.0,45,0,90.57142857142857
2020-04-14,737529,431.0,108,0,93.85714285714286
2020-04-15,737530,383.0,67,0,89.57142857142857
2020-04-16,737531,359.0,90,0,86.28571428571429
2020-04-17,737532,332.0,70,0,82.57142857142857
2020-04-18,737533,293.0,93,0,77.57142857142857
2020-04-19,737534,310.0,89,0,80.28571428571429
2020-04-20,737535,367.0,62,0,82.71428571428571
2020-04-21,737536,481.0,157,0,89.71428571428571
2020-04-22,737537,387.0,81,0,91.71428571428571
2020-04-23,737538,288.0,87,0,91.28571428571429
2020-04-24,737539,421.0,89,0,94.0
2020-04-25,737540,314.0,102,0,95.28571428571429
2020-04-26,737541,270.0,62,0,91.42857142857143
2020-04-27,737542,318.0,57,0,90.71428571428571
2020-04-28,737543,378.0,189,0,95.28571428571429
2020-04-29,737544,374.0,148,0,104.85714285714286
2020-04-30,737545,340.0,98,0,106.42857142857143
2020-05-01,737546,338.0,110,0,109.42857142857143
2020-05-02,737547,270.0,116,0,111.42857142857143
2020-05-03,737548,273.0,41,0,108.42857142857143
2020-05-04,737549,346.0,35,0,105.28571428571429
2020-05-05,737550,396.0,123,0,95.85714285714286
2020-05-06,737551,327.0,94,0,88.14285714285714
2020-05-07,737552,337.0,72,0,84.42857142857143
2020-05-08,737553,273.0,153,0,90.57142857142857
2020-05-09,737554,259.0,112,0,90.0
2020-05-10,737555,246.0,55,0,92.0
2020-05-11,737556,272.0,36,0,92.14285714285714
2020-05-12,737557,318.0,124,0,92.28571428571429
2020-05-13,737558,313.0,293,0,120.71428571428571
2020-05-14,737559,307.0,111,0,126.28571428571429
2020-05-15,737560,292.0,98,0,118.42857142857143
2020-05-16,737561,264.0,106,0,117.57142857142857
2020-05-17,737562,265.0,60,0,118.28571428571429
2020-05-18,737563,305.0,31,0,117.57142857142857
2020-05-19,737564,329.0,105,0,114.85714285714286
2020-05-20,737565,319.0,110,0,88.71428571428571
2020-05-21,737566,307.0,86,0,85.14285714285714
2020-05-22,737567,292.0,97,0,85.0
2020-05-23,737568,242.0,96,0,83.57142857142857
2020-05-24,737569,253.0,41,0,80.85714285714286
2020-05-25,737570,235.0,43,0,82.57142857142857
2020-05-26,737571,303.0,69,0,77.42857142857143
2020-05-27,737572,329.0,111,0,77.57142857142857
2020-05-28,737573,277.0,112,0,81.28571428571429
2020-05-29,737574,248.0,133,0,86.42857142857143
2020-05-30,737575,234.0,118,0,89.57142857142857
