date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,46.0,65,0,
2020-03-29,737513,56.0,69,0,69.0
2020-03-30,737514,84.0,58,0,63.5
2020-03-31,737515,89.0,84,0,70.33333333333333
2020-04-01,737516,95.0,46,0,64.25
2020-04-02,737517,71.0,90,0,69.4
2020-04-03,737518,74.0,73,0,70.0
2020-04-04,737519,76.0,100,0,74.28571428571429
2020-04-05,737520,91.0,69,0,74.28571428571429
2020-04-06,737521,94.0,64,0,75.14285714285714
2020-04-07,737522,89.0,49,0,70.14285714285714
2020-04-08,737523,148.0,58,0,71.85714285714286
2020-04-09,737524,137.0,82,0,70.71428571428571
2020-04-10,737525,153.0,50,0,67.42857142857143
2020-04-11,737526,141.0,76,0,64.0
2020-04-12,737527,137.0,80,0,65.57142857142857
2020-04-13,737528,89.0,57,0,64.57142857142857
2020-04-14,737529,87.0,49,0,64.57142857142857
2020-04-15,737530,139.0,30,0,60.57142857142857
2020-04-16,737531,156.0,73,0,59.285714285714285
2020-04-17,737532,164.0,49,0,59.142857142857146
2020-04-18,737533,201.0,59,0,56.714285714285715
2020-04-19,737534,187.0,66,0,54.714285714285715
2020-04-20,737535,225.0,46,0,53.142857142857146
2020-04-21,737536,234.0,46,0,52.714285714285715
2020-04-22,737537,224.0,57,0,56.57142857142857
2020-04-23,737538,206.0,68,0,55.857142857142854
2020-04-24,737539,206.0,50,0,56.0
2020-04-25,737540,215.0,76,0,58.42857142857143
2020-04-26,737541,330.0,58,0,57.285714285714285
2020-04-27,737542,346.0,43,0,56.857142857142854
2020-04-28,737543,301.0,31,0,54.714285714285715
2020-04-29,737544,290.0,61,0,55.285714285714285
2020-04-30,737545,193.0,64,0,54.714285714285715
2020-05-01,737546,299.0,69,0,57.42857142857143
2020-05-02,737547,258.0,56,0,54.57142857142857
2020-05-03,737548,192.0,45,0,52.714285714285715
2020-05-04,737549,177.0,79,0,57.857142857142854
2020-05-05,737550,197.0,80,0,64.85714285714286
2020-05-06,737551,183.0,77,0,67.14285714285714
2020-05-07,737552,145.0,73,0,68.42857142857143
2020-05-08,737553,148.0,79,0,69.85714285714286
2020-05-09,737554,136.0,92,0,75.0
2020-05-10,737555,156.0,68,0,78.28571428571429
2020-05-11,737556,115.0,58,0,75.28571428571429
2020-05-12,737557,192.0,72,0,74.14285714285714
2020-05-13,737558,192.0,58,0,71.42857142857143
2020-05-14,737559,194.0,63,0,70.0
2020-05-15,737560,170.0,62,0,67.57142857142857
2020-05-16,737561,176.0,71,0,64.57142857142857
2020-05-17,737562,123.0,11,0,56.42857142857143
2020-05-18,737563,114.0,64,0,57.285714285714285
2020-05-19,737564,151.0,39,0,52.57142857142857
2020-05-20,737565,159.0,75,0,55.0
2020-05-21,737566,144.0,16,0,48.285714285714285
2020-05-22,737567,135.0,47,0,46.142857142857146
2020-05-23,737568,104.0,24,0,39.42857142857143
2020-05-24,737569,126.0,39,0,43.42857142857143
2020-05-25,737570,115.0,22,0,37.42857142857143
2020-05-26,737571,133.0,18,0,34.42857142857143
2020-05-27,737572,131.0,71,0,33.857142857142854
2020-05-28,737573,137.0,48,0,38.42857142857143
2020-05-29,737574,131.0,45,0,38.142857142857146
2020-05-30,737575,126.0,54,0,42.42857142857143
2020-05-31,737576,96.0,58,0,45.142857142857146
2020-06-01,737577,88.0,59,0,50.42857142857143
2020-06-02,737578,96.0,33,0,52.57142857142857
2020-06-03,737579,98.0,64,0,51.57142857142857
2020-06-04,737580,105.0,75,0,55.42857142857143
2020-06-05,737581,132.0,96,0,62.714285714285715
2020-06-06,737582,123.0,92,0,68.14285714285714
2020-06-07,737583,120.0,146,0,80.71428571428571
2020-06-08,737584,146.0,114,0,88.57142857142857
2020-06-09,737585,129.0,66,0,93.28571428571429
2020-06-10,737586,149.0,72,0,94.42857142857143
2020-06-11,737587,147.0,177,0,109.0
2020-06-12,737588,128.0,140,0,115.28571428571429
2020-06-13,737589,132.0,158,0,124.71428571428571
2020-06-14,737590,127.0,101,0,118.28571428571429
2020-06-15,737591,128.0,184,0,128.28571428571428
2020-06-16,737592,139.0,278,0,158.57142857142858
2020-06-17,737593,134.0,120,0,165.42857142857142
2020-06-18,737594,126.0,148,0,161.28571428571428
2020-06-19,737595,149.0,206,0,170.71428571428572
2020-06-20,737596,128.0,178,0,173.57142857142858
2020-06-21,737597,128.0,187,0,185.85714285714286
2020-06-22,737598,134.0,146,0,180.42857142857142
2020-06-23,737599,173.0,191,0,168.0
2020-06-24,737600,167.0,170,0,175.14285714285714
2020-06-25,737601,186.0,124,0,171.71428571428572
2020-06-26,737602,131.0,250,0,178.0
2020-06-27,737603,113.0,276,0,192.0
2020-06-28,737604,100.0,247,0,200.57142857142858
2020-06-29,737605,121.0,144,0,200.28571428571428
