date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,172.0,561,0,
2020-03-29,737513,199.0,637,0,637.0
2020-03-30,737514,458.0,695,0,666.0
2020-03-31,737515,570.0,778,0,703.3333333333334
2020-04-01,737516,1188.0,993,0,775.75
2020-04-02,737517,1245.0,1132,0,847.0
2020-04-03,737518,1477.0,1387,0,937.0
2020-04-04,737519,1549.0,1704,0,1046.5714285714287
2020-04-05,737520,1588.0,1437,0,1160.857142857143
2020-04-06,737521,1736.0,1492,0,1274.7142857142858
2020-04-07,737522,1839.0,1559,0,1386.2857142857142
2020-04-08,737523,1754.0,1807,0,1502.5714285714287
2020-04-09,737524,1737.0,2033,0,1631.2857142857142
2020-04-10,737525,1770.0,1817,0,1692.7142857142858
2020-04-11,737526,1673.0,1763,0,1701.142857142857
2020-04-12,737527,1802.0,1180,0,1664.4285714285713
2020-04-13,737528,1956.0,1311,0,1638.5714285714287
2020-04-14,737529,2216.0,1096,0,1572.4285714285713
2020-04-15,737530,2277.0,1233,0,1490.4285714285713
2020-04-16,737531,2311.0,1326,0,1389.4285714285713
2020-04-17,737532,2342.0,1824,0,1390.4285714285713
2020-04-18,737533,2317.0,1791,0,1394.4285714285713
2020-04-19,737534,2447.0,1311,0,1413.142857142857
2020-04-20,737535,3375.0,943,0,1360.5714285714287
2020-04-21,737536,3453.0,1246,0,1382.0
2020-04-22,737537,3359.0,1296,0,1391.0
2020-04-23,737538,3192.0,1824,0,1462.142857142857
2020-04-24,737539,3191.0,1815,0,1460.857142857143
2020-04-25,737540,3057.0,1433,0,1409.7142857142858
2020-04-26,737541,3084.0,1328,0,1412.142857142857
2020-04-27,737542,3219.0,952,0,1413.4285714285713
2020-04-28,737543,3146.0,1398,0,1435.142857142857
2020-04-29,737544,3097.0,1147,0,1413.857142857143
2020-04-30,737545,3029.0,1597,0,1381.4285714285713
2020-05-01,737546,3023.0,1463,0,1331.142857142857
2020-05-02,737547,3045.0,1403,0,1326.857142857143
2020-05-03,737548,2900.0,1073,0,1290.4285714285713
2020-05-04,737549,2919.0,939,0,1288.5714285714287
2020-05-05,737550,2985.0,871,0,1213.2857142857142
2020-05-06,737551,2864.0,961,0,1186.7142857142858
2020-05-07,737552,2747.0,1131,0,1120.142857142857
2020-05-08,737553,3017.0,1478,0,1122.2857142857142
2020-05-09,737554,8376.0,1164,0,1088.142857142857
2020-05-10,737555,2625.0,1457,0,1143.0
2020-05-11,737556,2592.0,574,0,1090.857142857143
2020-05-12,737557,2848.0,806,0,1081.5714285714287
2020-05-13,737558,2378.0,759,0,1052.7142857142858
2020-05-14,737559,2285.0,983,0,1031.5714285714287
2020-05-15,737560,2301.0,1047,0,970.0
2020-05-16,737561,2191.0,1048,0,953.4285714285714
2020-05-17,737562,2152.0,672,0,841.2857142857143
2020-05-18,737563,2157.0,826,0,877.2857142857143
2020-05-19,737564,2114.0,580,0,845.0
2020-05-20,737565,2024.0,813,0,852.7142857142857
2020-05-21,737566,1888.0,936,0,846.0
2020-05-22,737567,1803.0,943,0,831.1428571428571
2020-05-23,737568,1770.0,777,0,792.4285714285714
2020-05-24,737569,1737.0,701,0,796.5714285714286
2020-05-25,737570,1732.0,530,0,754.2857142857143
2020-05-26,737571,1648.0,456,0,736.5714285714286
2020-05-27,737572,1813.0,783,0,732.2857142857143
2020-05-28,737573,1680.0,653,0,691.8571428571429
2020-05-29,737574,1598.0,726,0,660.8571428571429
2020-05-30,737575,1480.0,724,0,653.2857142857143
2020-05-31,737576,1481.0,529,0,628.7142857142857
2020-06-01,737577,1606.0,404,0,610.7142857142857
2020-06-02,737578,1526.0,606,0,632.1428571428571
2020-06-03,737579,1398.0,538,0,597.1428571428571
2020-06-04,737580,1339.0,555,0,583.1428571428571
2020-06-05,737581,1395.0,473,0,547.0
2020-06-06,737582,1224.0,775,0,554.2857142857143
2020-06-07,737583,1209.0,436,0,541.0
2020-06-08,737584,1256.0,369,0,536.0
