date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,15.0,50,0,
2020-03-29,737513,29.0,24,0,24.0
2020-03-30,737514,31.0,12,0,18.0
2020-03-31,737515,27.0,88,0,41.333333333333336
2020-04-01,737516,31.0,58,0,45.5
2020-04-02,737517,37.0,75,0,51.4
2020-04-03,737518,41.0,52,0,51.5
2020-04-04,737519,39.0,50,0,51.285714285714285
2020-04-05,737520,32.0,15,0,50.0
2020-04-06,737521,42.0,3,0,48.714285714285715
2020-04-07,737522,38.0,49,0,43.142857142857146
2020-04-08,737523,39.0,33,0,39.57142857142857
2020-04-09,737524,41.0,27,0,32.714285714285715
2020-04-10,737525,297.0,34,0,30.142857142857142
2020-04-11,737526,295.0,3,0,23.428571428571427
2020-04-12,737527,289.0,12,0,23.0
2020-04-13,737528,295.0,4,0,23.142857142857142
2020-04-14,737529,300.0,27,0,20.0
2020-04-15,737530,53.0,23,0,18.571428571428573
2020-04-16,737531,58.0,32,0,19.285714285714285
2020-04-17,737532,64.0,26,0,18.142857142857142
2020-04-18,737533,66.0,21,0,20.714285714285715
2020-04-19,737534,60.0,9,0,20.285714285714285
2020-04-20,737535,61.0,2,0,20.0
2020-04-21,737536,78.0,20,0,19.0
2020-04-22,737537,73.0,21,0,18.714285714285715
2020-04-23,737538,167.0,27,0,18.0
2020-04-24,737539,230.0,17,0,16.714285714285715
2020-04-25,737540,232.0,17,0,16.142857142857142
2020-04-26,737541,210.0,1,0,15.0
2020-04-27,737542,188.0,3,0,15.142857142857142
2020-04-28,737543,183.0,16,0,14.571428571428571
2020-04-29,737544,180.0,17,0,14.0
2020-04-30,737545,164.0,19,0,12.857142857142858
2020-05-01,737546,150.0,21,0,13.428571428571429
2020-05-02,737547,146.0,11,0,12.571428571428571
2020-05-03,737548,113.0,6,0,13.285714285714286
2020-05-04,737549,112.0,3,0,13.285714285714286
2020-05-05,737550,140.0,5,0,11.714285714285714
2020-05-06,737551,143.0,23,0,12.571428571428571
2020-05-07,737552,150.0,19,0,12.571428571428571
2020-05-08,737553,164.0,16,0,11.857142857142858
2020-05-09,737554,167.0,25,0,13.857142857142858
2020-05-10,737555,126.0,4,0,13.571428571428571
2020-05-11,737556,142.0,0,0,13.142857142857142
2020-05-12,737557,209.0,15,0,14.571428571428571
2020-05-13,737558,370.0,14,0,13.285714285714286
2020-05-14,737559,372.0,10,0,12.0
2020-05-15,737560,371.0,9,0,11.0
2020-05-16,737561,338.0,11,0,9.0
2020-05-17,737562,275.0,2,0,8.714285714285714
2020-05-18,737563,114.0,2,0,9.0
2020-05-19,737564,147.0,8,0,8.0
2020-05-20,737565,111.0,8,0,7.142857142857143
2020-05-21,737566,109.0,13,0,7.571428571428571
2020-05-22,737567,113.0,6,0,7.142857142857143
2020-05-23,737568,144.0,11,0,7.142857142857143
2020-05-24,737569,109.0,3,0,7.285714285714286
