date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,7.0,36,0,
2020-03-29,737513,72.0,66,0,66.0
2020-03-30,737514,94.0,104,0,85.0
2020-03-31,737515,118.0,81,0,83.66666666666667
2020-04-01,737516,105.0,69,0,80.0
2020-04-02,737517,122.0,102,0,84.4
2020-04-03,737518,152.0,65,0,81.16666666666667
2020-04-04,737519,162.0,98,0,83.57142857142857
2020-04-05,737520,174.0,135,0,93.42857142857143
2020-04-06,737521,229.0,185,0,105.0
2020-04-07,737522,228.0,215,0,124.14285714285714
2020-04-08,737523,214.0,259,0,151.28571428571428
2020-04-09,737524,226.0,274,0,175.85714285714286
2020-04-10,737525,251.0,286,0,207.42857142857142
2020-04-11,737526,294.0,392,0,249.42857142857142
2020-04-12,737527,276.0,280,0,270.14285714285717
2020-04-13,737528,380.0,289,0,285.0
2020-04-14,737529,405.0,184,0,280.57142857142856
2020-04-15,737530,374.0,268,0,281.85714285714283
2020-04-16,737531,368.0,317,0,288.0
2020-04-17,737532,378.0,384,0,302.0
2020-04-18,737533,377.0,284,0,286.57142857142856
2020-04-19,737534,398.0,285,0,287.2857142857143
2020-04-20,737535,409.0,340,0,294.57142857142856
2020-04-21,737536,438.0,378,0,322.2857142857143
2020-04-22,737537,437.0,381,0,338.42857142857144
2020-04-23,737538,378.0,389,0,348.7142857142857
2020-04-24,737539,462.0,423,0,354.2857142857143
2020-04-25,737540,427.0,408,0,372.0
2020-04-26,737541,456.0,297,0,373.7142857142857
2020-04-27,737542,483.0,285,0,365.85714285714283
2020-04-28,737543,424.0,203,0,340.85714285714283
2020-04-29,737544,149.0,349,0,336.2857142857143
2020-04-30,737545,222.0,355,0,331.42857142857144
2020-05-01,737546,288.0,346,0,320.42857142857144
2020-05-02,737547,405.0,294,0,304.14285714285717
2020-05-03,737548,245.0,191,0,289.0
2020-05-04,737549,415.0,177,0,273.57142857142856
2020-05-05,737550,404.0,276,0,284.0
2020-05-06,737551,352.0,302,0,277.2857142857143
2020-05-07,737552,354.0,323,0,272.7142857142857
2020-05-08,737553,309.0,269,0,261.7142857142857
2020-05-09,737554,324.0,229,0,252.42857142857142
2020-05-10,737555,347.0,285,0,265.85714285714283
2020-05-11,737556,303.0,189,0,267.57142857142856
2020-05-12,737557,363.0,174,0,253.0
2020-05-13,737558,351.0,221,0,241.42857142857142
2020-05-14,737559,337.0,196,0,223.28571428571428
2020-05-15,737560,320.0,228,0,217.42857142857142
2020-05-16,737561,32.0,232,0,217.85714285714286
2020-05-17,737562,326.0,243,0,211.85714285714286
2020-05-18,737563,300.0,122,0,202.28571428571428
2020-05-19,737564,35.0,137,0,197.0
2020-05-20,737565,299.0,210,0,195.42857142857142
2020-05-21,737566,25.0,181,0,193.28571428571428
2020-05-22,737567,294.0,165,0,184.28571428571428
2020-05-23,737568,207.0,201,0,179.85714285714286
2020-05-24,737569,289.0,106,0,160.28571428571428
2020-05-25,737570,277.0,84,0,154.85714285714286
