date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,0.0,83,0,
2020-03-29,737513,0.0,129,0,129.0
2020-03-30,737514,19.0,113,0,121.0
2020-03-31,737515,57.0,147,0,129.66666666666666
2020-04-01,737516,103.0,161,0,137.5
2020-04-02,737517,123.0,219,0,153.8
2020-04-03,737518,99.0,255,0,170.66666666666666
2020-04-04,737519,116.0,150,0,167.71428571428572
2020-04-05,737520,130.0,222,0,181.0
2020-04-06,737521,185.0,139,0,184.71428571428572
2020-04-07,737522,188.0,185,0,190.14285714285714
2020-04-08,737523,185.0,198,0,195.42857142857142
2020-04-09,737524,191.0,139,0,184.0
2020-04-10,737525,316.0,251,0,183.42857142857142
2020-04-11,737526,382.0,266,0,200.0
2020-04-12,737527,387.0,142,0,188.57142857142858
2020-04-13,737528,433.0,116,0,185.28571428571428
2020-04-14,737529,428.0,123,0,176.42857142857142
2020-04-15,737530,413.0,129,0,166.57142857142858
2020-04-16,737531,450.0,95,0,160.28571428571428
2020-04-17,737532,460.0,267,0,162.57142857142858
2020-04-18,737533,443.0,159,0,147.28571428571428
2020-04-19,737534,422.0,161,0,150.0
2020-04-20,737535,444.0,138,0,153.14285714285714
2020-04-21,737536,496.0,66,0,145.0
2020-04-22,737537,495.0,181,0,152.42857142857142
2020-04-23,737538,491.0,143,0,159.28571428571428
2020-04-24,737539,489.0,147,0,142.14285714285714
2020-04-25,737540,446.0,174,0,144.28571428571428
2020-04-26,737541,445.0,256,0,157.85714285714286
2020-04-27,737542,486.0,151,0,159.71428571428572
2020-04-28,737543,489.0,151,0,171.85714285714286
2020-04-29,737544,473.0,110,0,161.71428571428572
2020-04-30,737545,456.0,117,0,158.0
2020-05-01,737546,430.0,203,0,166.0
2020-05-02,737547,409.0,160,0,164.0
2020-05-03,737548,406.0,199,0,155.85714285714286
2020-05-04,737549,517.0,141,0,154.42857142857142
2020-05-05,737550,528.0,121,0,150.14285714285714
2020-05-06,737551,512.0,92,0,147.57142857142858
2020-05-07,737552,523.0,94,0,144.28571428571428
2020-05-08,737553,543.0,204,0,144.42857142857142
2020-05-09,737554,486.0,233,0,154.85714285714286
2020-05-10,737555,479.0,175,0,151.42857142857142
2020-05-11,737556,498.0,107,0,146.57142857142858
2020-05-12,737557,496.0,139,0,149.14285714285714
2020-05-13,737558,504.0,147,0,157.0
2020-05-14,737559,468.0,131,0,162.28571428571428
2020-05-15,737560,468.0,200,0,161.71428571428572
2020-05-16,737561,448.0,245,0,163.42857142857142
2020-05-17,737562,439.0,308,0,182.42857142857142
2020-05-18,737563,470.0,159,0,189.85714285714286
2020-05-19,737564,476.0,159,0,192.71428571428572
2020-05-20,737565,478.0,135,0,191.0
2020-05-21,737566,449.0,156,0,194.57142857142858
2020-05-22,737567,461.0,230,0,198.85714285714286
2020-05-23,737568,457.0,279,0,203.71428571428572
2020-05-24,737569,452.0,272,0,198.57142857142858
2020-05-25,737570,412.0,207,0,205.42857142857142
2020-05-26,737571,475.0,100,0,197.0
2020-05-27,737572,420.0,335,0,225.57142857142858
2020-05-28,737573,418.0,219,0,234.57142857142858
2020-05-29,737574,414.0,183,0,227.85714285714286
2020-05-30,737575,426.0,324,0,234.28571428571428
2020-05-31,737576,448.0,409,0,253.85714285714286
2020-06-01,737577,473.0,361,0,275.85714285714283
2020-06-02,737578,462.0,266,0,299.57142857142856
2020-06-03,737579,482.0,266,0,289.7142857142857
2020-06-04,737580,489.0,242,0,293.0
2020-06-05,737581,535.0,433,0,328.7142857142857
2020-06-06,737582,520.0,494,0,353.0
2020-06-07,737583,515.0,521,0,369.0
2020-06-08,737584,542.0,381,0,371.85714285714283
2020-06-09,737585,590.0,541,0,411.14285714285717
2020-06-10,737586,488.0,455,0,438.14285714285717
2020-06-11,737587,537.0,496,0,474.42857142857144
2020-06-12,737588,525.0,689,0,511.0
2020-06-13,737589,512.0,873,0,565.1428571428571
2020-06-14,737590,535.0,839,0,610.5714285714286
2020-06-15,737591,558.0,766,0,665.5714285714286
2020-06-16,737592,594.0,615,0,676.1428571428571
2020-06-17,737593,637.0,577,0,693.5714285714286
2020-06-18,737594,640.0,594,0,707.5714285714286
2020-06-19,737595,663.0,996,0,751.4285714285714
2020-06-20,737596,683.0,1081,0,781.1428571428571
2020-06-21,737597,751.0,1173,0,828.8571428571429
2020-06-22,737598,777.0,908,0,849.1428571428571
2020-06-23,737599,832.0,1013,0,906.0
2020-06-24,737600,914.0,915,0,954.2857142857143
2020-06-25,737601,897.0,1304,0,1055.7142857142858
2020-06-26,737602,900.0,1146,0,1077.142857142857
2020-06-27,737603,957.0,1291,0,1107.142857142857
2020-06-28,737604,1012.0,1608,0,1169.2857142857142
2020-06-29,737605,1100.0,1446,0,1246.142857142857
2020-06-30,737606,1050.0,1333,0,1291.857142857143
2020-07-01,737607,1180.0,1990,0,1445.4285714285713
2020-07-02,737608,1167.0,1636,0,1492.857142857143
2020-07-03,737609,1210.0,2270,0,1653.4285714285713
2020-07-04,737610,1267.0,1539,0,1688.857142857143
2020-07-05,737611,1332.0,1840,0,1722.0
2020-07-06,737612,1335.0,1465,0,1724.7142857142858
2020-07-07,737613,1405.0,1503,0,1749.0
2020-07-08,737614,1479.0,933,0,1598.0
2020-07-09,737615,1454.0,1543,0,1584.7142857142858
2020-07-10,737616,1412.0,1968,0,1541.5714285714287
2020-07-11,737617,1424.0,1876,0,1589.7142857142858
2020-07-12,737618,1440.0,2255,0,1649.0
2020-07-13,737619,1504.0,1908,0,1712.2857142857142
2020-07-14,737620,1565.0,1509,0,1713.142857142857
2020-07-15,737621,1652.0,2207,0,1895.142857142857
2020-07-16,737622,1641.0,1857,0,1940.0
2020-07-17,737623,1673.0,1998,0,1944.2857142857142
2020-07-18,737624,1572.0,2066,0,1971.4285714285713
