date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,0.0,10,0,
2020-03-29,737513,1.0,22,0,22.0
2020-03-30,737514,4.0,11,0,16.5
2020-03-31,737515,7.0,7,0,13.333333333333334
2020-04-01,737516,6.0,21,0,15.25
2020-04-02,737517,6.0,36,0,19.4
2020-04-03,737518,6.0,22,0,19.833333333333332
2020-04-04,737519,10.0,25,0,20.571428571428573
2020-04-05,737520,6.0,28,0,21.428571428571427
2020-04-06,737521,7.0,48,0,26.714285714285715
2020-04-07,737522,4.0,32,0,30.285714285714285
2020-04-08,737523,4.0,73,0,37.714285714285715
2020-04-09,737524,8.0,54,0,40.285714285714285
2020-04-10,737525,7.0,89,0,49.857142857142854
2020-04-11,737526,4.0,90,0,59.142857142857146
2020-04-12,737527,1.0,104,0,70.0
2020-04-13,737528,1.0,138,0,82.85714285714286
2020-04-14,737529,3.0,300,0,121.14285714285714
2020-04-15,737530,1.0,0,0,110.71428571428571
2020-04-16,737531,2.0,143,0,123.42857142857143
2020-04-17,737532,3.0,100,0,125.0
2020-04-18,737533,2.0,131,0,130.85714285714286
2020-04-19,737534,5.0,93,0,129.28571428571428
2020-04-20,737535,8.0,50,0,116.71428571428571
2020-04-21,737536,8.0,69,0,83.71428571428571
2020-04-22,737537,8.0,104,0,98.57142857142857
2020-04-23,737538,43.0,98,0,92.14285714285714
2020-04-24,737539,60.0,84,0,89.85714285714286
2020-04-25,737540,55.0,107,0,86.42857142857143
2020-04-26,737541,54.0,65,0,82.42857142857143
2020-04-27,737542,43.0,33,0,80.0
2020-04-28,737543,46.0,68,0,79.85714285714286
2020-04-29,737544,45.0,60,0,73.57142857142857
2020-04-30,737545,91.0,76,0,70.42857142857143
2020-05-01,737546,90.0,76,0,69.28571428571429
2020-05-02,737547,86.0,63,0,63.0
2020-05-03,737548,77.0,43,0,59.857142857142854
2020-05-04,737549,45.0,37,0,60.42857142857143
2020-05-05,737550,73.0,53,0,58.285714285714285
2020-05-06,737551,78.0,58,0,58.0
2020-05-07,737552,88.0,126,0,65.14285714285714
2020-05-08,737553,95.0,239,0,88.42857142857143
2020-05-09,737554,60.0,249,0,115.0
2020-05-10,737555,51.0,124,0,126.57142857142857
2020-05-11,737556,90.0,97,0,135.14285714285714
2020-05-12,737557,93.0,49,0,134.57142857142858
2020-05-13,737558,87.0,69,0,136.14285714285714
2020-05-14,737559,93.0,60,0,126.71428571428571
2020-05-15,737560,81.0,95,0,106.14285714285714
2020-05-16,737561,51.0,72,0,80.85714285714286
2020-05-17,737562,84.0,28,0,67.14285714285714
2020-05-18,737563,81.0,40,0,59.0
2020-05-19,737564,54.0,58,0,60.285714285714285
2020-05-20,737565,86.0,92,0,63.57142857142857
2020-05-21,737566,66.0,73,0,65.42857142857143
2020-05-22,737567,66.0,106,0,67.0
2020-05-23,737568,94.0,112,0,72.71428571428571
2020-05-24,737569,73.0,95,0,82.28571428571429
2020-05-25,737570,98.0,23,0,79.85714285714286
2020-05-26,737571,95.0,67,0,81.14285714285714
2020-05-27,737572,103.0,57,0,76.14285714285714
2020-05-28,737573,99.0,83,0,77.57142857142857
2020-05-29,737574,99.0,73,0,72.85714285714286
